,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,1,Henrik Norlander,71,-.235
1,2,2,Rory McIlroy,69,-.231
2,3,3,Daniel Summerhays,99,-.200
3,4,4,Andrew Landry,53,-.167
4,5,5,Jason Bohn,67,-.158
5,6,6,Alex Cejka,71,-.154
6,7,7,Brendan Steele,88,-.136
7,8,8,Jordan Spieth,80,-.130
8,9,9,Robert Streb,87,-.121
9,10,10,Martin Piller,59,-.118
10,11,11,D.A. Points,55,-.105
11,T12,T12,Thomas Aiken,70,-.100
12,T12,T12,Hideki Matsuyama,76,-.100
13,14,14,Matt Kuchar,100,-.083
14,15,15,Kevin Na,96,-.080
15,16,16,Brandt Snedeker,93,-.077
16,17,17,Mark Wilson,66,-.067
17,18,18,Brett Stegmaier,87,-.065
18,19,19,Francesco Molinari,64,-.063
19,20,20,Graham DeLaet,70,-.053
20,T21,T21,Kelly Kraft,63,-.048
21,T21,T21,Michael Thompson,71,-.048
22,23,23,Colt Knost,90,-.040
23,24,24,Johnson Wagner,86,-.037
24,25,25,Ben Martin,92,-.033
25,26,26,Luke List,79,-.029
26,T27,T27,Harris English,97,E
27,T27,T27,Derek Ernst,59,E
28,T27,T27,Kevin Kisner,97,E
29,T27,T27,Spencer Levin,104,E
30,T27,T27,Shane Lowry,57,E
31,T27,T27,Hunter Mahan,61,E
32,T27,T27,Ryan Moore,86,E
33,T27,T27,Geoff Ogilvy,63,E
34,T27,T27,Dicky Pride,55,E
35,T27,T27,Adam Scott,79,E
36,T27,T27,Chris Stroud,82,E
37,T27,T27,Bubba Watson,72,E
38,T27,T27,Tim Wilkinson,72,E
39,40,40,Kyle Reifers,115,+.020
40,41,41,Jamie Lovemark,91,+.024
41,42,42,Jason Day,76,+.026
42,43,43,Jason Kokrak,89,+.031
43,44,44,John Senden,88,+.034
44,45,45,Hudson Swafford,104,+.036
45,46,46,Rob Oppenheim,67,+.037
46,T47,T47,Brooks Koepka,75,+.038
47,T47,T47,Vaughn Taylor,72,+.038
48,49,49,Chris Kirk,90,+.040
49,50,50,Andrew Loupe,75,+.042
50,51,51,Webb Simpson,70,+.043
51,T52,T52,Tyler Aldridge,83,+.045
52,T52,T52,Danny Lee,93,+.045
53,54,54,Louis Oosthuizen,63,+.050
54,T55,T55,Tony Finau,95,+.053
55,T55,T55,Lucas Glover,75,+.053
56,T55,T55,Rod Pampling,54,+.053
57,T55,T55,Justin Rose,65,+.053
58,59,59,Roberto Castro,97,+.054
59,60,60,Rhein Gibson,58,+.056
60,T61,T61,Chad Collins,73,+.059
61,T61,T61,Wes Roach,59,+.059
