,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
0,1,1,Thomas Aiken,70,"52' 9""",13.925999999999998,22
1,2,2,Hunter Mahan,61,"52' 0""",10.610999999999999,17
2,3,3,Wes Roach,59,"51' 3""",9.219,15
3,4,4,Rod Pampling,54,"51' 0""",7.348,12
4,5,5,Kelly Kraft,63,"50' 8""",9.73,16
5,6,6,Willy Wilcox,67,"50' 6""",12.717,21
6,7,7,Jimmy Walker,85,"50' 5""",18.157,30
7,8,8,Chad Collins,73,"50' 3""",13.864,23
8,9,9,Kyle Reifers,115,"50' 2""",21.055,35
9,10,10,Phil Mickelson,75,"49' 4""",10.648,18
10,11,11,Steve Marino,72,"49' 1""",16.496,28
11,12,12,Bronson Burgoon,83,"48' 11""",18.186,31
12,13,13,Harold Varner III,92,"48' 5""",32.515,56
13,14,14,Jim Furyk,52,"48' 2""",9.253,16
14,15,15,Graeme McDowell,63,"48' 0""",11.515999999999998,20
15,T16,T16,Jonas Blixt,79,"47' 10""",14.932,26
16,T16,T16,Paul Casey,77,"47' 10""",14.92,26
17,T18,T18,Patton Kizzire,93,"47' 9""",16.605999999999998,29
18,T18,T18,Kevin Na,96,"47' 9""",14.89,26
19,20,20,Jason Bohn,67,"47' 7""",11.422,20
20,21,21,Chris Kirk,90,"47' 5""",19.333,34
21,22,22,Sergio Garcia,54,"47' 4""",7.945,14
22,T23,T23,Stewart Cink,61,"47' 2""",18.121,32
23,T23,T23,Tony Finau,95,"47' 2""",19.813,35
24,T25,T25,John Huh,86,"47' 0""",20.288,36
25,T25,T25,Michael Kim,100,"47' 0""",24.241999999999997,43
26,27,27,Daniel Berger,92,"46' 9""",8.968,16
27,T28,T28,Charles Howell III,91,"46' 7""",18.433,33
28,T28,T28,Kyle Stanley,92,"46' 7""",19.02,34
29,30,30,Dustin Johnson,87,"46' 6""",11.16,20
30,31,31,Dicky Pride,55,"46' 4""",10.555,19
31,32,32,John Senden,88,"46' 3""",17.757,32
32,T33,T33,Brendon de Jonge,83,"46' 1""",11.614,21
33,T33,T33,Emiliano Grillo,93,"46' 1""",22.121,40
34,T33,T33,Colt Knost,90,"46' 1""",15.475,28
35,T33,T33,George McNeill,51,"46' 1""",11.069,20
36,T37,T37,Bryce Molder,80,"46' 0""",10.49,19
37,T37,T37,Martin Piller,59,"46' 0""",7.172000000000001,13
38,T37,T37,Michael Thompson,71,"46' 0""",17.678,32
39,40,40,Rhein Gibson,58,"45' 11""",15.419,28
40,41,41,Johnson Wagner,86,"45' 10""",19.813,36
41,42,42,Steve Wheatcroft,85,"45' 9""",20.877,38
42,43,43,Bill Haas,86,"45' 7""",17.506,32
43,44,44,J.J. Henry,68,"45' 6""",16.933,31
44,45,45,Sung Kang,89,"45' 5""",17.976,33
