,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,,Zac Blair,105,"12' 10""",3109.75,243.0,68.0,"4"""
1,T2,,Michael Thompson,60,"12' 6""",1599.0829999999999,128.0,53.0,"1"""
2,T2,,Steve Wheatcroft,51,"12' 6""",1486.0,119.0,57.0,"6"""
3,4,,Bryce Molder,74,"11' 6""",2040.0829999999999,178.0,56.0,"3"""
4,5,,Steven Bowditch,59,"11' 5""",1129.083,99.0,62.0,"4"""
5,6,,Blayne Barber,77,"11' 4""",2714.833,240.0,51.0,"2"""
6,T7,,Billy Horschel,88,"11' 3""",2917.833,260.0,73.0,"2"""
7,T7,,Kyle Reifers,96,"11' 3""",2245.083,199.0,80.0,"3"""
8,T9,,Nicholas Lindheim,58,"11' 2""",1631.9170000000001,146.0,63.0,"9"""
9,T9,,Peter Malnati,91,"11' 2""",2714.167,243.0,62.0,"6"""
10,T11,,Ryan Armour,63,"11' 0""",1660.25,151.0,45.0,"9"""
11,T11,,Russell Henley,99,"11' 0""",3352.167,304.0,56.0,"3"""
12,T11,,Billy Hurley III,80,"11' 0""",2529.5,230.0,85.0,"3"""
13,T14,,Cody Gribble,79,"10' 11""",2532.167,232.0,44.0,"2"""
14,T14,,John Huh,92,"10' 11""",2529.583,231.0,71.0,"7"""
15,T14,,Whee Kim,74,"10' 11""",1920.9170000000001,176.0,46.0,"6"""
16,T17,,Jonas Blixt,74,"10' 10""",1997.6670000000001,184.0,55.0,"8"""
17,T17,,Luke Donald,50,"10' 10""",1341.75,124.0,47.0,"11"""
18,T17,,Martin Flores,88,"10' 10""",2273.25,210.0,58.0,"6"""
19,T17,,Jim Furyk,54,"10' 10""",1263.667,117.0,38.0,"5"""
20,T17,,Brian Gay,82,"10' 10""",2364.75,219.0,50.0,"5"""
21,T17,,Graeme McDowell,56,"10' 10""",1765.0,163.0,50.0,"4"""
22,T17,,Patrick Rodgers,76,"10' 10""",2105.5,195.0,60.0,"3"""
23,T24,,Mark Hubbard,81,"10' 9""",1824.5,170.0,53.0,"10"""
24,T24,,D.A. Points,68,"10' 9""",1910.1670000000001,178.0,50.0,"3"""
25,T26,,Brett Drewitt,57,"10' 8""",1378.3329999999999,129.0,47.0,"2"""
26,T26,,Kevin Na,86,"10' 8""",2471.75,232.0,63.0,"3"""
27,T26,,Johnson Wagner,71,"10' 8""",1849.0,174.0,41.0,"4"""
28,T29,,Sebastián Muñoz,51,"10' 7""",1490.5,141.0,44.0,"5"""
29,T29,,Tag Ridings,67,"10' 7""",1872.0829999999999,177.0,53.0,"1"""
30,T29,,Camilo Villegas,76,"10' 7""",2282.417,216.0,67.0,"4"""
31,T32,,Ben Crane,86,"10' 6""",2187.333,208.0,57.0,"4"""
32,T32,,Kevin Kisner,105,"10' 6""",2617.333,250.0,48.0,"2"""
33,T32,,Brian Stuard,93,"10' 6""",2186.917,209.0,41.0,"1"""
34,T35,,Alex Cejka,85,"10' 5""",1872.4170000000001,180.0,62.0,"4"""
35,T35,,Mackenzie Hughes,106,"10' 5""",3475.833,335.0,57.0,"3"""
36,T35,,Louis Oosthuizen,69,"10' 5""",1620.25,155.0,58.0,"4"""
37,T35,,Shawn Stefani,72,"10' 5""",1869.0829999999999,180.0,57.0,"7"""
38,T39,,Jason Bohn,75,"10' 4""",1659.5829999999999,161.0,42.0,"1"""
39,T39,,Graham DeLaet,82,"10' 4""",2520.0,243.0,48.0,"1"""
40,T39,,Zach Johnson,81,"10' 4""",2291.333,222.0,40.0,"5"""
41,T39,,Chez Reavie,98,"10' 4""",2742.0,266.0,40.0,"4"""
42,T39,,Nick Watney,75,"10' 4""",1991.6670000000001,192.0,62.0,"3"""
43,T44,,Greg Chalmers,75,"10' 3""",2137.583,209.0,57.0,"3"""
44,T44,,Stewart Cink,93,"10' 3""",2938.083,286.0,47.0,"2"""
45,T44,,Morgan Hoffmann,92,"10' 3""",2839.75,277.0,60.0,"2"""
46,T47,,Scott Brown,95,"10' 2""",2574.333,253.0,46.0,"4"""
47,T47,,K.J. Choi,72,"10' 2""",1700.1670000000001,167.0,42.0,"3"""
48,T47,,Emiliano Grillo,90,"10' 2""",2100.75,206.0,48.0,"5"""
49,T47,,Martin Laird,83,"10' 2""",2264.5,223.0,68.0,"1"""
50,T47,,David Lingmerth,79,"10' 2""",2278.667,225.0,77.0,"5"""
51,T47,,Geoff Ogilvy,80,"10' 2""",2037.0,200.0,43.0,"2"""
52,T47,,J.J. Spaun,92,"10' 2""",2279.833,225.0,69.0,"1"""
53,T47,,Brett Stegmaier,78,"10' 2""",1755.3329999999999,172.0,73.0,"1"""
