,Approach_175-200_yards_RTP_Score_RANK THIS WEEK,Approach_175-200_yards_RTP_Score_RANK LAST WEEK,Approach_175-200_yards_RTP_Score_PLAYER NAME,Approach_175-200_yards_RTP_Score_ROUNDS,Approach_175-200_yards_RTP_Score_AVG RTP
0,1,T1,Marc Leishman,52,-.172
1,2,3,Aaron Wise,52,-.155
2,3,4,Dustin Johnson,47,-.149
3,4,T1,D.J. Trahan,33,-.143
4,5,7,Charles Howell III,64,-.137
5,6,5,Rory McIlroy,50,-.131
6,7,6,Justin Thomas,49,-.128
7,8,8,Bryson DeChambeau,45,-.125
8,9,9,Hideki Matsuyama,59,-.112
9,10,10,Jason Kokrak,68,-.106
10,T11,T11,Justin Rose,42,-.100
11,T11,T11,Tiger Woods,31,-.100
12,13,13,Billy Horschel,73,-.096
13,14,16,Matt Kuchar,65,-.093
14,15,14,Scott Piercy,70,-.092
15,16,15,Patrick Cantlay,49,-.088
16,17,T18,Ryan Palmer,56,-.085
17,18,21,Patrick Rodgers,44,-.063
18,19,T23,Justin Harding,31,-.053
19,20,25,Tony Finau,61,-.052
20,T21,22,Peter Malnati,64,-.051
21,T21,20,Kevin Tway,62,-.051
22,23,26,Rickie Fowler,54,-.049
23,24,27,Charl Schwartzel,34,-.047
24,25,28,Haotong Li,32,-.043
25,26,T29,Jon Rahm,51,-.039
26,27,T23,Sebastián Muñoz,58,-.038
27,28,T36,Webb Simpson,53,-.035
28,29,T50,Bubba Watson,47,-.034
29,T30,T45,Matt Every,38,-.033
30,T30,T31,Matt Jones,67,-.033
31,32,T18,Brooks Koepka,49,-.031
32,33,34,Tommy Fleetwood,43,-.030
33,T34,33,Cameron Davis,54,-.029
34,T34,35,James Hahn,34,-.029
35,T36,T36,Kyoung-Hoon Lee,72,-.028
36,T36,T29,Shawn Stefani,57,-.028
37,38,T38,Cameron Champ,58,-.027
38,T39,T40,Nate Lashley,44,-.026
39,T39,T38,Graeme McDowell,61,-.026
40,T39,T40,Jhonattan Vegas,60,-.026
41,42,T57,Keegan Bradley,65,-.025
42,43,43,Patrick Reed,53,-.024
43,T44,44,Sung Kang,67,-.020
44,T44,T31,Hank Lebioda,55,-.020
45,46,42,Adam Schenk,80,-.018
46,47,T45,Sungjae Im,88,-.017
47,48,49,Adam Long,52,-.016
48,49,T45,Wes Roach,45,-.015
49,50,T63,Danny Lee,66,-.014
50,T51,T50,Ernie Els,43,-.013
51,T51,T50,Matthew Fitzpatrick,42,-.013
52,T51,T50,Xander Schauffele,55,-.013
53,T54,55,Charley Hoffman,58,-.011
54,T54,T63,Curtis Luck,51,-.011
55,56,T63,Harold Varner III,62,-.008
56,T57,T59,Lucas Glover,62,-.007
57,T57,T59,Kevin Streelman,63,-.007
58,T59,T61,Rory Sabbatini,71,-.006
59,T59,T61,Michael Thompson,56,-.006
60,T61,T50,Anders Albertson,48,E
61,T61,T77,Jonathan Byrd,43,E
62,T61,T45,Denny McCarthy,63,E
63,T61,T57,Robert Streb,60,E
64,T61,56,Adam Svensson,51,E
65,T61,T63,Matt Wallace,31,E
66,T67,T63,Tom Hoge,70,+.007
67,T67,68,Ryan Moore,54,+.007
68,69,T69,Hudson Swafford,59,+.008
69,T70,T71,Keith Mitchell,64,+.009
70,T70,T71,Gary Woodland,63,+.009
71,72,T119,José de Jesús Rodríguez,51,+.011
72,T73,T105,Talor Gooch,37,+.012
73,T73,75,Michael Kim,51,+.012
74,75,76,Bud Cauley,61,+.013
75,76,T77,Grayson Murray,36,+.016
76,77,T80,Si Woo Kim,65,+.017
77,78,73,Henrik Stenson,46,+.018
78,T79,83,Aaron Baddeley,51,+.020
79,T79,74,Peter Uihlein,65,+.020
80,81,T77,Joaquin Niemann,68,+.022
81,82,T69,Russell Henley,56,+.023
82,T83,T101,Sepp Straka,48,+.024
83,T83,T105,Jimmy Walker,61,+.024
84,T85,84,Jordan Spieth,57,+.025
85,T85,T85,Nick Watney,67,+.025
86,T87,T85,Hunter Mahan,45,+.026
87,T87,T85,Adam Scott,41,+.026
88,89,88,Tyrrell Hatton,46,+.027
89,90,T89,Chase Wright,53,+.028
90,T91,T89,Sam Burns,66,+.029
91,T91,T89,Max Homa,61,+.029
92,T91,T92,Sam Saunders,53,+.029
93,94,T92,Corey Conners,62,+.030
94,T95,T119,Joey Garber,44,+.031
95,T95,T92,Andrew Putnam,57,+.031
96,97,T80,Martin Laird,60,+.032
97,98,95,Beau Hossler,66,+.033
98,T99,T96,Emiliano Grillo,65,+.034
99,T99,T96,Whee Kim,57,+.034
100,101,82,Daniel Berger,48,+.035
101,102,98,Rafa Cabrera Bello,57,+.036
102,103,99,Bronson Burgoon,37,+.037
103,T104,T101,Ryan Armour,66,+.038
104,T104,100,Joel Dahmen,78,+.038
105,T106,T103,J.T. Poston,76,+.041
106,T106,T103,John Senden,39,+.041
107,108,123,Trey Mullinax,67,+.042
108,T109,T167,Ben Crane,41,+.043
109,T109,T105,Kevin Na,54,+.043
110,T109,T105,Cameron Smith,55,+.043
111,T112,T111,Paul Casey,51,+.044
112,T112,T111,Ian Poulter,49,+.044
113,114,T129,Stephan Jaeger,59,+.045
114,115,116,Nick Taylor,70,+.046
115,116,128,Scott Stallings,63,+.047
116,117,117,Johnson Wagner,45,+.048
117,118,T119,J.J. Spaun,68,+.049
118,119,118,Patton Kizzire,58,+.050
119,120,T119,Jason Day,45,+.051
120,T121,140,Jonas Blixt,66,+.052
121,T121,114,Ollie Schniederjans,63,+.052
122,123,T124,Branden Grace,62,+.053
123,124,T129,Wyndham Clark,61,+.055
124,T125,T105,Fabián Gómez,44,+.056
125,T125,T111,Brady Schnell,38,+.056
126,127,T129,Luke List,52,+.057
127,128,T124,Zach Johnson,50,+.058
128,129,T126,Roger Sloan,62,+.059
129,T130,T133,Chesson Hadley,58,+.061
130,T130,T105,Jim Knous,55,+.061
131,T130,T133,Chez Reavie,67,+.061
132,133,135,Vaughn Taylor,69,+.062
133,T134,T136,Martin Kaymer,38,+.063
134,T134,T136,Pat Perez,52,+.063
135,136,144,Roberto Castro,54,+.065
136,137,139,Francesco Molinari,41,+.067
137,138,T142,Seamus Power,58,+.068
138,T139,141,Byeong Hun An,54,+.069
139,T139,145,Jim Furyk,53,+.069
140,T141,T136,Austin Cook,50,+.071
141,T141,T162,Roberto Díaz,51,+.071
142,143,T129,Lucas Bjerregaard,37,+.073
143,144,148,Brian Stuard,76,+.074
144,T145,T126,Cameron Tringale,52,+.075
145,T145,169,Danny Willett,47,+.075
146,T147,149,Abraham Ancer,69,+.076
147,T147,T151,Chris Stroud,54,+.076
148,149,T151,Troy Merritt,42,+.078
149,150,153,Phil Mickelson,41,+.079
150,T151,T154,Stewart Cink,33,+.080
151,T151,T158,Sergio Garcia,39,+.080
152,153,999,Shane Lowry,30,+.081
153,T154,T156,Chris Kirk,47,+.082
154,T154,T165,Alex Prugh,54,+.082
155,T156,T158,Kiradech Aphibarnrat,49,+.083
156,T156,T158,Ryan Blaum,67,+.083
157,T156,T172,Kramer Hickok,59,+.083
158,T156,T165,Kelly Kraft,67,+.083
159,T156,T158,C.T. Pan,64,+.083
160,T161,T162,Andrew Landry,56,+.084
161,T161,T156,Brandt Snedeker,68,+.084
162,163,T146,Dylan Frittelli,55,+.085
163,T164,T142,Scott Brown,66,+.087
164,T164,T146,Richy Werenski,63,+.087
165,166,171,Brice Garnett,63,+.089
166,167,170,Kevin Kisner,65,+.090
167,168,164,Alex Cejka,41,+.092
168,169,T172,Kyle Stanley,53,+.093
169,T170,T175,Brian Gay,79,+.094
170,T170,T167,Carlos Ortiz,60,+.094
171,T172,T172,Sangmoon Bae,42,+.095
172,T172,150,John Chin,38,+.095
173,174,999,Martin Piller,30,+.098
174,175,177,Alex Noren,49,+.100
175,T176,T175,Tyler Duncan,66,+.103
176,T176,T180,Harris English,72,+.103
177,T176,T154,Brandon Harkins,67,+.103
178,T176,179,Anirban Lahiri,54,+.103
179,180,T180,John Huh,35,+.107
180,181,115,Dominic Bozzelli,53,+.111
181,T182,T182,Jason Dufner,56,+.112
182,T182,T182,Russell Knox,65,+.112
183,T184,178,Julián Etulain,55,+.118
184,T184,184,"Ted Potter, Jr.",56,+.118
185,T186,187,Brian Harman,67,+.122
186,T186,185,Sam Ryder,52,+.122
187,188,186,Freddie Jacobson,37,+.123
188,189,189,Mackenzie Hughes,58,+.130
189,190,188,Jim Herman,37,+.141
190,191,192,J.J. Henry,42,+.145
191,192,T194,Scott Langley,60,+.146
192,T193,198,Kyle Jones,49,+.148
193,T193,191,Josh Teater,47,+.148
194,195,T194,Ben Silverman,54,+.149
195,T196,190,Bill Haas,58,+.153
196,T196,193,D.A. Points,33,+.153
197,198,202,David Hearn,41,+.155
198,199,999,Tyrone Van Aswegen,30,+.156
199,200,197,Satoshi Kodaira,51,+.161
200,T201,200,Adam Hadwin,66,+.165
201,T201,196,Martin Trainer,51,+.165
202,203,199,Louis Oosthuizen,43,+.172
203,204,207,Chris Thompson,34,+.188
204,205,201,Brendan Steele,50,+.191
205,206,205,Rod Pampling,40,+.211
206,207,203,Cody Gribble,52,+.219
