,Approach_250-275_yards_RTP_RANK THIS WEEK,Approach_250-275_yards_RTP_RANK LAST WEEK,Approach_250-275_yards_RTP_PLAYER NAME,Approach_250-275_yards_RTP_ROUNDS,Approach_250-275_yards_RTP_AVG RTP
0,1,1,Sepp Straka,48,-1.083
1,T2,T2,Stewart Cink,33,-1.000
2,T2,T2,Emiliano Grillo,65,-1.000
3,T2,T2,Charl Schwartzel,34,-1.000
4,5,6,Troy Merritt,42,-.923
5,6,7,Whee Kim,57,-.909
6,7,9,Vaughn Taylor,69,-.870
7,T8,T10,John Chin,38,-.857
8,T8,T10,Jon Rahm,51,-.857
9,T8,T10,Bubba Watson,47,-.857
10,11,8,Brandt Snedeker,68,-.846
11,12,T13,Tyrrell Hatton,46,-.833
12,T13,T24,Ben Crane,41,-.818
13,T13,15,Peter Malnati,64,-.818
14,T15,T16,James Hahn,34,-.800
15,T15,T16,Jim Knous,55,-.800
16,T17,T18,Sung Kang,67,-.792
17,T17,T18,Jordan Spieth,57,-.792
18,T19,T20,Keith Mitchell,64,-.789
19,T19,T20,Justin Rose,42,-.789
20,T21,T22,Hunter Mahan,45,-.786
21,T21,T22,Louis Oosthuizen,43,-.786
22,23,26,Henrik Stenson,46,-.783
23,24,T24,Michael Kim,51,-.778
24,T25,T27,Chris Kirk,47,-.769
25,T25,T27,Hideki Matsuyama,59,-.769
26,T25,T27,Seamus Power,58,-.769
27,T25,T27,Seth Reeves,52,-.769
28,T29,T31,Rickie Fowler,54,-.765
29,T29,T31,Denny McCarthy,63,-.765
30,T31,T33,Daniel Berger,48,-.750
31,T31,T33,Patrick Rodgers,44,-.750
32,T31,T33,Justin Thomas,49,-.750
33,34,T39,Richy Werenski,63,-.739
34,35,37,Hudson Swafford,59,-.737
35,36,38,Peter Uihlein,65,-.733
36,T37,T39,Kramer Hickok,59,-.727
37,T37,T39,Ryan Palmer,56,-.727
38,T37,T39,Josh Teater,47,-.727
39,T40,T47,Bill Haas,58,-.722
40,T40,T43,Sebastián Muñoz,58,-.722
41,T40,T43,Aaron Wise,52,-.722
42,T43,T52,Stephan Jaeger,59,-.714
43,T43,T13,Zach Johnson,50,-.714
44,T43,999,Martin Piller,30,-.714
45,T43,46,Rory Sabbatini,71,-.714
46,T43,T52,Adam Svensson,51,-.714
47,48,T47,C.T. Pan,64,-.706
48,T49,T49,Harris English,72,-.700
