,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
0,1,2,Peter Malnati,64,-.290
1,2,1,Matt Every,38,-.288
2,3,3,Sam Ryder,52,-.267
3,4,T4,Vaughn Taylor,69,-.262
4,5,T11,Kyle Jones,49,-.255
5,6,T6,Jason Day,45,-.250
6,7,9,Rickie Fowler,54,-.247
7,8,10,Justin Rose,42,-.246
8,9,T6,Matt Kuchar,65,-.245
9,10,T11,Patrick Cantlay,49,-.244
10,T11,T4,Alex Prugh,54,-.243
11,T11,T6,J.J. Spaun,68,-.243
12,13,13,Brandon Harkins,67,-.236
13,14,15,Nate Lashley,44,-.234
14,15,16,Jordan Spieth,57,-.233
15,16,17,Si Woo Kim,65,-.229
16,17,18,Paul Casey,51,-.226
17,18,T22,Rory Sabbatini,71,-.213
18,19,43,Ben Crane,41,-.212
19,20,14,Jim Furyk,53,-.210
20,21,T29,Wes Roach,45,-.208
21,22,24,Justin Harding,31,-.207
22,23,21,Dylan Frittelli,55,-.206
23,24,25,Jhonattan Vegas,60,-.205
24,25,37,Sergio Garcia,39,-.204
25,T26,T40,Sebastián Muñoz,58,-.203
26,T26,28,Brandt Snedeker,68,-.203
27,T26,T22,Johnson Wagner,45,-.203
28,T29,47,Hank Lebioda,55,-.200
29,T29,26,Scott Piercy,70,-.200
30,T29,T58,José de Jesús Rodríguez,51,-.200
31,32,57,Ryan Palmer,56,-.198
32,33,32,Jim Herman,37,-.197
33,34,T19,Rod Pampling,40,-.196
34,35,33,Freddie Jacobson,37,-.193
35,T36,T40,Wyndham Clark,61,-.190
36,T36,35,Brian Stuard,76,-.190
37,38,T50,Adam Svensson,51,-.189
38,39,27,Brian Gay,79,-.188
39,40,T52,Zach Johnson,50,-.187
40,41,T52,D.J. Trahan,33,-.186
41,42,T38,Sung Kang,67,-.185
42,43,T44,Sungjae Im,88,-.183
43,44,42,J.T. Poston,76,-.181
44,45,T52,J.B. Holmes,54,-.178
45,46,92,Danny Willett,47,-.177
46,T47,T48,Matt Jones,67,-.175
47,T47,T48,Ryan Moore,54,-.175
48,T49,T50,Cameron Davis,54,-.174
49,T49,T44,Trey Mullinax,67,-.174
50,T51,T44,Denny McCarthy,63,-.171
51,T51,36,Rory McIlroy,50,-.171
52,T51,T29,Justin Thomas,49,-.171
53,54,65,Adam Hadwin,66,-.169
54,T55,T62,Cody Gribble,52,-.167
55,T55,T52,Kevin Kisner,65,-.167
56,57,60,Adam Schenk,80,-.165
57,58,T116,Brooks Koepka,49,-.161
58,T59,T58,Ben Silverman,54,-.160
59,T59,61,Michael Thompson,56,-.160
60,61,T62,Xander Schauffele,55,-.159
61,62,T88,Chris Thompson,34,-.158
62,63,T83,Dustin Johnson,47,-.155
63,T64,T66,Aaron Baddeley,51,-.154
64,T64,34,Bud Cauley,61,-.154
65,T64,T66,John Huh,35,-.154
66,T64,T73,Martin Laird,60,-.154
67,T64,T66,Andrew Landry,56,-.154
68,T69,T38,Julián Etulain,55,-.153
69,T69,64,Joey Garber,44,-.153
70,T69,69,Charles Howell III,64,-.153
71,T72,T70,Kiradech Aphibarnrat,49,-.152
72,T72,T70,Stewart Cink,33,-.152
