,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,1,1,Gary Woodland,63,-1.125
1,T2,T2,Cody Gribble,52,-1.000
2,T2,T2,James Hahn,34,-1.000
3,T2,T2,Nate Lashley,44,-1.000
4,T2,T2,Luke List,52,-1.000
5,T2,T2,Justin Thomas,49,-1.000
6,7,7,Lucas Glover,62,-.923
7,8,8,Johnson Wagner,45,-.909
8,9,9,Bryson DeChambeau,45,-.900
9,T10,T10,Rickie Fowler,54,-.857
10,T10,T10,Adam Long,52,-.857
11,T12,T12,Jason Day,45,-.833
12,T12,T12,Kevin Kisner,65,-.833
13,T12,T12,Wes Roach,45,-.833
14,15,15,Hank Lebioda,55,-.818
15,T16,T16,Bill Haas,58,-.800
16,T16,T16,Martin Kaymer,38,-.800
17,T16,T16,Ian Poulter,49,-.800
18,T16,T16,Andrew Putnam,57,-.800
19,T16,T16,Xander Schauffele,55,-.800
20,T16,T16,Josh Teater,47,-.800
21,T22,T22,Matt Every,38,-.778
22,T22,T22,Pat Perez,52,-.778
23,T22,T22,Scott Piercy,70,-.778
24,T22,T22,Adam Scott,41,-.778
25,26,26,John Senden,39,-.769
26,27,27,Tony Finau,61,-.765
27,T28,T28,Ernie Els,43,-.750
28,T28,T28,Brian Gay,79,-.750
29,T28,T28,Whee Kim,57,-.750
30,T28,T28,Haotong Li,32,-.750
31,T28,T28,Brady Schnell,38,-.750
32,T28,T28,Brendan Steele,50,-.750
33,T34,T34,Bud Cauley,61,-.733
34,T34,T34,Matt Jones,67,-.733
35,T36,T36,Keegan Bradley,65,-.727
36,T36,T36,Chase Wright,53,-.727
37,38,38,Brooks Koepka,49,-.714
38,T39,T39,Dustin Johnson,47,-.700
39,T39,T39,Peter Uihlein,65,-.700
40,T41,T41,Ryan Armour,66,-.667
41,T41,T41,Wyndham Clark,61,-.667
42,T41,T41,Tommy Fleetwood,43,-.667
43,T41,T41,Sergio Garcia,39,-.667
44,T41,T41,Charley Hoffman,58,-.667
45,T41,T41,D.A. Points,33,-.667
46,T41,T41,Chris Stroud,54,-.667
47,T41,T41,Adam Svensson,51,-.667
48,T49,T49,Curtis Luck,51,-.636
49,T49,T49,Trey Mullinax,67,-.636
50,T51,T51,Satoshi Kodaira,51,-.625
51,T51,T51,Sam Ryder,52,-.625
52,T51,T51,Brandt Snedeker,68,-.625
53,T54,T54,Stephan Jaeger,59,-.615
54,T54,T54,Vaughn Taylor,69,-.615
