,Approaches_225-250_yards-Rgh_RTP_RANK THIS WEEK,Approaches_225-250_yards-Rgh_RTP_RANK LAST WEEK,Approaches_225-250_yards-Rgh_RTP_PLAYER NAME,Approaches_225-250_yards-Rgh_RTP_ROUNDS,Approaches_225-250_yards-Rgh_RTP_AVG RTP
0,1,1,Justin Harding,31,-2.000
1,T2,T2,Ernie Els,43,-1.000
2,T2,T2,Kevin Na,54,-1.000
3,T2,T2,John Senden,39,-1.000
4,5,6,Brendan Steele,50,-.833
5,T6,T8,Lucas Bjerregaard,37,-.800
6,T6,7,Charles Howell III,64,-.800
7,T8,T19,Sungjae Im,88,-.750
8,T8,5,Brooks Koepka,49,-.750
9,T8,T8,Kevin Streelman,63,-.750
10,T11,T10,Patrick Cantlay,49,-.667
11,T11,T10,Julián Etulain,55,-.667
12,T11,T10,Chris Kirk,47,-.667
13,T11,T10,Matt Kuchar,65,-.667
14,T11,T10,Troy Merritt,42,-.667
15,T11,T10,Francesco Molinari,41,-.667
16,T11,999,Martin Piller,30,-.667
17,T11,T10,Scott Stallings,63,-.667
18,T11,T10,Martin Trainer,51,-.667
19,20,23,Cameron Davis,54,-.611
20,T21,T21,Dominic Bozzelli,53,-.600
21,T21,999,Shane Lowry,30,-.600
22,T21,T28,Rory McIlroy,50,-.600
23,24,24,Rory Sabbatini,71,-.583
24,T25,18,Denny McCarthy,63,-.556
25,T25,T28,Sebastián Muñoz,58,-.556
26,T25,T25,Nick Taylor,70,-.556
27,28,T21,Hudson Swafford,59,-.545
28,29,27,Wyndham Clark,61,-.529
29,T30,T28,Sam Burns,66,-.500
30,T30,T28,Roberto Castro,54,-.500
31,T30,T28,Stewart Cink,33,-.500
32,T30,T28,Joel Dahmen,78,-.500
33,T30,T28,Jason Dufner,56,-.500
34,T30,T19,Dylan Frittelli,55,-.500
35,T30,T65,Joey Garber,44,-.500
36,T30,T25,Adam Hadwin,66,-.500
37,T30,T117,J.J. Henry,42,-.500
38,T30,T28,Mackenzie Hughes,58,-.500
39,T30,T28,Haotong Li,32,-.500
40,T30,T28,Keith Mitchell,64,-.500
41,T30,T28,Louis Oosthuizen,43,-.500
42,T30,T28,J.T. Poston,76,-.500
43,T30,T28,Ollie Schniederjans,63,-.500
44,T30,T65,Cameron Tringale,52,-.500
45,T30,T28,Jhonattan Vegas,60,-.500
46,T30,T28,Aaron Wise,52,-.500
47,48,46,Max Homa,61,-.467
