,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Patrick Cantlay,49,-.196
1,2,2,Ryan Moore,54,-.143
2,3,3,Cameron Davis,54,-.126
3,4,5,Matt Wallace,31,-.086
4,5,7,Nate Lashley,44,-.047
5,6,8,Tony Finau,61,-.045
6,7,9,Rory Sabbatini,71,-.044
7,T8,6,Dylan Frittelli,55,-.040
8,T8,10,Max Homa,61,-.040
9,10,12,Jhonattan Vegas,60,-.035
10,11,13,Bryson DeChambeau,45,-.034
11,12,4,Aaron Wise,52,-.033
12,13,11,Ryan Palmer,56,-.031
13,14,14,Marc Leishman,52,-.030
14,15,T15,Matt Jones,67,-.026
15,16,17,Adam Scott,41,-.022
16,17,T15,Brooks Koepka,49,-.021
17,18,T19,Hunter Mahan,45,-.019
18,19,21,Bill Haas,58,-.017
19,T20,22,Chris Kirk,47,-.015
20,T20,T19,Justin Thomas,49,-.015
21,T22,T24,Abraham Ancer,69,E
22,T22,T24,Lucas Glover,62,E
23,T22,T24,Emiliano Grillo,65,E
24,T22,T24,Grayson Murray,36,E
25,T22,T24,Justin Rose,42,E
26,T22,T24,Kevin Streelman,63,E
27,28,T24,Harris English,72,+.009
28,29,33,Aaron Baddeley,51,+.011
29,30,34,Cameron Tringale,52,+.013
30,31,T53,Joaquin Niemann,68,+.014
31,T32,18,J.J. Spaun,68,+.018
32,T32,T24,Chris Stroud,54,+.018
33,34,T35,Chris Thompson,34,+.020
34,T35,23,Scott Brown,66,+.026
35,T35,38,Jim Furyk,53,+.026
36,37,37,Keith Mitchell,64,+.027
37,38,39,Tommy Fleetwood,43,+.031
38,39,58,J.B. Holmes,54,+.032
39,40,41,José de Jesús Rodríguez,51,+.033
40,41,T63,Jonathan Byrd,43,+.034
41,42,T42,Adam Hadwin,66,+.040
42,43,66,Josh Teater,47,+.043
43,44,44,Russell Knox,65,+.044
44,45,T35,Wyndham Clark,61,+.045
45,46,45,Rickie Fowler,54,+.046
46,47,46,Xander Schauffele,55,+.047
47,T48,T53,Lucas Bjerregaard,37,+.053
48,T48,48,Ian Poulter,49,+.053
49,50,T24,Dominic Bozzelli,53,+.054
50,51,50,Tiger Woods,31,+.056
51,T52,40,David Hearn,41,+.057
52,T52,T51,Hudson Swafford,59,+.057
53,54,T56,Rory McIlroy,50,+.059
54,55,47,Matt Kuchar,65,+.062
55,56,T53,Kevin Na,54,+.063
56,57,T42,Brian Gay,79,+.064
57,T58,999,Shane Lowry,30,+.070
58,T58,59,Chez Reavie,67,+.070
59,T58,T56,Ollie Schniederjans,63,+.070
60,61,60,Matthew Fitzpatrick,42,+.071
61,62,T61,Adam Schenk,80,+.073
62,63,T61,Cameron Champ,58,+.074
63,T64,T67,Dustin Johnson,47,+.075
64,T64,T63,Andrew Putnam,57,+.075
65,66,65,Ernie Els,43,+.079
66,67,T81,Brandt Snedeker,68,+.082
67,68,T51,Kevin Tway,62,+.083
68,T69,T67,Jon Rahm,51,+.085
69,T69,T67,Brian Stuard,76,+.085
70,T71,70,Sung Kang,67,+.086
71,T71,T89,Danny Willett,47,+.086
72,73,71,Joel Dahmen,78,+.087
73,T74,T74,Bud Cauley,61,+.088
74,T74,72,Charley Hoffman,58,+.088
75,76,T74,C.T. Pan,64,+.090
76,77,77,Cameron Smith,55,+.094
77,78,88,Roger Sloan,62,+.097
78,T79,T81,J.T. Poston,76,+.103
79,T79,T81,Patrick Rodgers,44,+.103
80,81,T85,Zach Johnson,50,+.104
81,82,T89,Sungjae Im,88,+.107
82,83,87,Luke List,52,+.108
83,84,T85,Martin Trainer,51,+.110
84,T85,93,Byeong Hun An,54,+.113
85,T85,80,Roberto Díaz,51,+.113
86,T85,T94,Denny McCarthy,63,+.113
87,T85,49,Bubba Watson,47,+.113
88,89,106,Peter Malnati,64,+.114
89,90,T102,Ben Silverman,54,+.115
90,T91,84,Austin Cook,50,+.118
91,T91,79,Carlos Ortiz,60,+.118
92,T93,96,Adam Svensson,51,+.119
93,T93,T89,Harold Varner III,62,+.119
94,95,73,Johnson Wagner,45,+.120
95,T96,T97,Paul Casey,51,+.122
96,T96,T97,Jason Day,45,+.122
97,T96,T97,Nick Taylor,70,+.122
