,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Dustin Johnson,47,-.167
1,2,2,Luke List,52,-.139
2,3,4,Webb Simpson,53,-.113
3,4,5,Marc Leishman,52,-.102
4,5,6,Tommy Fleetwood,43,-.098
5,6,7,Mackenzie Hughes,58,-.096
6,7,8,Gary Woodland,63,-.085
7,8,3,Josh Teater,47,-.081
8,9,T21,Brandt Snedeker,68,-.080
9,10,9,Patrick Cantlay,49,-.077
10,11,10,Harris English,72,-.074
11,T12,11,Paul Casey,51,-.070
12,T12,18,Kevin Tway,62,-.070
13,14,T13,Rickie Fowler,54,-.065
14,15,T13,Cameron Tringale,52,-.062
15,16,16,Keith Mitchell,64,-.058
16,17,17,Rafa Cabrera Bello,57,-.057
17,18,T27,Talor Gooch,37,-.046
18,19,T21,Jhonattan Vegas,60,-.043
19,20,23,Chesson Hadley,58,-.034
20,21,T38,Justin Thomas,49,-.029
21,T22,T19,Wyndham Clark,61,-.026
22,T22,T31,Carlos Ortiz,60,-.026
23,24,T24,Lucas Glover,62,-.023
24,25,T38,Stephan Jaeger,59,-.020
25,26,26,Xander Schauffele,55,-.019
26,27,T27,Brooks Koepka,49,-.015
27,T28,T31,Si Woo Kim,65,-.014
28,T28,30,Sepp Straka,48,-.014
29,30,33,Denny McCarthy,63,-.011
30,31,34,Hudson Swafford,59,-.010
31,T32,T36,Sam Burns,66,-.008
32,T32,T36,Nick Taylor,70,-.008
33,T34,T38,Keegan Bradley,65,E
34,T34,52,Sergio Garcia,39,E
35,T34,T38,Justin Harding,31,E
36,T34,61,Sungjae Im,88,E
37,T34,T38,Jason Kokrak,68,E
38,T34,29,Matt Kuchar,65,E
39,T34,T57,Hank Lebioda,55,E
40,T34,T38,Kyoung-Hoon Lee,72,E
41,T34,45,Trey Mullinax,67,E
42,T34,T57,Roger Sloan,62,E
43,T34,T38,J.J. Spaun,68,E
44,T34,T50,Robert Streb,60,E
45,46,35,Joaquin Niemann,68,+.008
46,47,46,Abraham Ancer,69,+.011
47,48,48,Patrick Reed,53,+.013
48,T49,49,Phil Mickelson,41,+.014
49,T49,T50,Adam Svensson,51,+.014
50,51,T19,Fabián Gómez,44,+.020
51,T52,54,J.B. Holmes,54,+.021
52,T52,53,Hideki Matsuyama,59,+.021
53,54,T70,Sebastián Muñoz,58,+.023
54,55,64,Jim Knous,55,+.025
55,T56,12,Lucas Bjerregaard,37,+.027
56,T56,55,Rory Sabbatini,71,+.027
57,58,56,Charley Hoffman,58,+.028
58,59,999,Martin Piller,30,+.030
59,60,47,Martin Laird,60,+.031
60,61,59,Patton Kizzire,58,+.032
61,62,60,Brian Stuard,76,+.035
62,63,T74,Rory McIlroy,50,+.039
63,64,T67,Joey Garber,44,+.040
64,65,T24,Chase Wright,53,+.041
65,66,T89,Nate Lashley,44,+.045
66,67,62,Seth Reeves,52,+.046
67,68,121,Danny Willett,47,+.047
68,T69,T67,Alex Cejka,41,+.048
69,T69,82,Peter Uihlein,65,+.048
70,T71,T65,Tony Finau,61,+.050
71,T71,T89,Brian Harman,67,+.050
72,T71,T65,Brendan Steele,50,+.050
73,74,69,Charles Howell III,64,+.052
74,75,72,Cameron Smith,55,+.054
75,76,73,Danny Lee,66,+.055
76,T77,T74,Anders Albertson,48,+.057
77,T77,86,Tom Hoge,70,+.057
78,79,85,Jim Furyk,53,+.058
79,80,T70,Cameron Davis,54,+.060
80,81,77,Russell Knox,65,+.061
81,T82,83,Daniel Berger,48,+.063
82,T82,T78,Ryan Moore,54,+.063
83,T82,T78,Ian Poulter,49,+.063
84,T85,81,Andrew Landry,56,+.065
85,T85,15,D.J. Trahan,33,+.065
86,87,T78,Ryan Palmer,56,+.069
87,88,94,Bud Cauley,61,+.071
88,89,87,"Ted Potter, Jr.",56,+.072
89,90,88,Ernie Els,43,+.073
90,91,T91,Russell Henley,56,+.075
91,92,95,John Senden,39,+.078
92,93,84,Corey Conners,62,+.079
93,94,96,Kevin Na,54,+.082
94,T95,T97,Hunter Mahan,45,+.083
95,T95,T97,Troy Merritt,42,+.083
96,T95,T91,Sam Saunders,53,+.083
97,98,T97,Bubba Watson,47,+.085
98,T99,T102,Byeong Hun An,54,+.086
99,T99,T102,Satoshi Kodaira,51,+.086
