,Approaches_from_125-150_yards_Rgh_RANK THIS WEEK,Approaches_from_125-150_yards_Rgh_RANK LAST WEEK,Approaches_from_125-150_yards_Rgh_PLAYER NAME,Approaches_from_125-150_yards_Rgh_ROUNDS,Approaches_from_125-150_yards_Rgh_AVG,Approaches_from_125-150_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_125-150_yards_Rgh_# OF ATTEMPTS,Approaches_from_125-150_yards_Rgh_RELATIVE TO PAR
0,1,2,Richy Werenski,63,"25' 8""",924.25,36,-1
1,2,3,Bud Cauley,61,"26' 0""",752.8330000000001,29,+1
2,3,1,Justin Harding,31,"26' 2""",104.583,4,+1
3,4,T4,Tiger Woods,31,"27' 4""",246.0,9,-2
4,T5,6,Corey Conners,62,"28' 5""",1051.583,37,+1
5,T5,7,Ryan Moore,54,"28' 5""",369.75,13,E
6,7,T8,Cameron Smith,55,"28' 8""",430.583,15,-4
7,8,10,Freddie Jacobson,37,"28' 11""",376.25,13,E
8,T9,T12,Patrick Cantlay,49,"29' 3""",584.75,20,E
9,T9,T22,Jimmy Walker,61,"29' 3""",614.5,21,+4
10,T9,16,Danny Willett,47,"29' 3""",964.75,33,+2
11,12,14,C.T. Pan,64,"29' 4""",352.0,12,+2
12,13,15,David Hearn,41,"29' 10""",417.333,14,-2
13,T14,18,Ernie Els,43,"29' 11""",358.75,12,+2
14,T14,17,Cody Gribble,52,"29' 11""",897.9169999999999,30,+2
15,16,T19,Bronson Burgoon,37,"30' 0""",510.333,17,+2
16,T17,21,Bryson DeChambeau,45,"30' 1""",691.5,23,+1
17,T17,T19,Talor Gooch,37,"30' 1""",751.1669999999999,25,-1
18,T19,T27,Brandon Harkins,67,"30' 3""",1241.583,41,+6
19,T19,T22,Keith Mitchell,64,"30' 3""",695.8330000000001,23,-1
20,21,24,Vaughn Taylor,69,"30' 8""",889.75,29,+5
21,22,26,"Ted Potter, Jr.",56,"30' 10""",832.4169999999999,27,E
22,T23,T12,Matt Kuchar,65,"30' 11""",680.9169999999999,22,E
23,T23,T27,Ian Poulter,49,"30' 11""",402.25,13,-1
24,T25,T37,Jonathan Byrd,43,"31' 0""",589.1669999999999,19,+1
25,T25,T43,Rory McIlroy,50,"31' 0""",774.0830000000001,25,+2
26,T25,11,Ryan Palmer,56,"31' 0""",743.8330000000001,24,+1
27,T25,31,Matt Wallace,31,"31' 0""",496.0,16,-1
28,29,32,Louis Oosthuizen,43,"31' 1""",310.91700000000003,10,+2
29,T30,T33,Joaquin Niemann,68,"31' 2""",1431.8329999999999,46,+1
30,T30,T33,Patrick Rodgers,44,"31' 2""",873.4169999999999,28,+2
