,Approaches_from_225-250_yards_RANK THIS WEEK,Approaches_from_225-250_yards_RANK LAST WEEK,Approaches_from_225-250_yards_PLAYER NAME,Approaches_from_225-250_yards_ROUNDS,Approaches_from_225-250_yards_AVG,Approaches_from_225-250_yards_TOTAL DISTANCE (FEET),Approaches_from_225-250_yards_# OF ATTEMPTS,Approaches_from_225-250_yards_RELATIVE TO PAR
0,1,T1,Tiger Woods,31,"38' 11""",739.5,19,-2
1,2,3,Louis Oosthuizen,43,"39' 8""",753.5,19,-2
2,3,4,Trey Mullinax,67,"40' 5""",1374.3329999999999,34,-13
3,T4,5,Tommy Fleetwood,43,"40' 8""",895.0,22,-7
4,T4,T1,Fabián Gómez,44,"40' 8""",853.25,21,-7
5,6,6,Phil Mickelson,41,"40' 10""",775.3330000000001,19,-7
6,7,7,Sam Ryder,52,"41' 10""",1339.0,32,-14
7,8,10,Keegan Bradley,65,"42' 7""",1787.75,42,-16
8,9,8,Chez Reavie,67,"42' 8""",1492.1670000000001,35,-9
9,T10,40,Sangmoon Bae,42,"43' 0""",731.4169999999999,17,-7
10,T10,13,Henrik Stenson,46,"43' 0""",2021.5829999999999,47,-7
11,12,11,Francesco Molinari,41,"43' 5""",1129.083,26,-6
12,13,12,Talor Gooch,37,"44' 0""",1143.917,26,-13
13,14,14,Adam Svensson,51,"44' 2""",839.75,19,-9
14,T15,16,Joel Dahmen,78,"44' 6""",1646.75,37,-14
15,T15,17,Brandon Harkins,67,"44' 6""",1513.8329999999999,34,-10
16,17,999,Tyrone Van Aswegen,30,"44' 11""",673.5,15,-4
17,18,15,Kramer Hickok,59,"45' 2""",1445.3329999999999,32,-1
18,19,18,Jason Day,45,"45' 5""",908.0,20,-5
19,T20,19,Justin Rose,42,"45' 6""",1229.25,27,-10
20,T20,27,Bubba Watson,47,"45' 6""",1637.9170000000001,36,-11
21,T22,33,Brooks Koepka,49,"45' 10""",1511.6670000000001,33,-10
22,T22,T20,Ian Poulter,49,"45' 10""",1282.25,28,-10
23,T22,T20,Jordan Spieth,57,"45' 10""",1375.1670000000001,30,-7
24,T22,T20,Matt Wallace,31,"45' 10""",1053.25,23,-8
25,T26,T23,Russell Knox,65,"45' 11""",1974.3329999999999,43,-9
26,T26,T23,Grayson Murray,36,"45' 11""",963.5830000000001,21,-5
27,T28,T25,Tony Finau,61,"46' 2""",1340.0,29,-8
28,T28,T25,Haotong Li,32,"46' 2""",970.0830000000001,21,-6
29,30,28,Zach Johnson,50,"46' 3""",1802.3329999999999,39,-14
30,31,29,Gary Woodland,63,"46' 9""",2010.6670000000001,43,-10
31,32,30,Adam Scott,41,"46' 10""",983.6669999999999,21,-10
32,33,31,Hideki Matsuyama,59,"46' 11""",1830.1670000000001,39,-12
33,34,32,Charley Hoffman,58,"47' 0""",987.5,21,-3
34,35,999,Shane Lowry,30,"47' 1""",800.9169999999999,17,+2
35,T36,T34,Rickie Fowler,54,"47' 4""",1893.25,40,-9
36,T36,T34,Si Woo Kim,65,"47' 4""",1656.0829999999999,35,-16
37,T36,T34,Carlos Ortiz,60,"47' 4""",1894.9170000000001,40,-18
38,39,37,Michael Kim,51,"47' 5""",1327.5829999999999,28,-6
39,40,38,Patrick Cantlay,49,"47' 6""",1045.417,22,-4
40,41,42,Ollie Schniederjans,63,"47' 8""",1382.0829999999999,29,-11
41,42,999,Martin Piller,30,"47' 11""",527.4169999999999,11,-4
42,43,41,Nick Watney,67,"48' 3""",2122.083,44,-16
43,T44,T60,Cody Gribble,52,"48' 4""",1305.333,27,-16
44,T44,51,Adam Hadwin,66,"48' 4""",1934.5,40,-10
45,46,43,Brendan Steele,50,"48' 6""",1260.667,26,-7
46,47,44,Ryan Armour,66,"48' 8""",1459.3329999999999,30,-1
47,48,58,Danny Lee,66,"48' 9""",1704.8329999999999,35,-13
48,T49,59,Daniel Berger,48,"48' 10""",2099.083,43,-10
49,T49,T46,Paul Casey,51,"48' 10""",1515.0829999999999,31,-9
50,51,48,Cameron Champ,58,"48' 11""",1319.8329999999999,27,-5
51,T52,49,Cameron Davis,54,"49' 0""",979.8330000000001,20,+2
52,T52,T52,Peter Malnati,64,"49' 0""",1273.75,26,-3
53,54,T46,Jim Furyk,53,"49' 2""",1474.1670000000001,30,-11
54,55,T52,Michael Thompson,56,"49' 3""",2414.5,49,-18
55,T56,T54,Dominic Bozzelli,53,"49' 4""",1283.667,26,-3
56,T56,T54,Wyndham Clark,61,"49' 4""",1183.667,24,-8
57,T56,39,Danny Willett,47,"49' 4""",1380.4170000000001,28,-4
58,T59,T63,Bud Cauley,61,"49' 5""",2419.75,49,-24
59,T59,T56,Alex Cejka,41,"49' 5""",741.75,15,-3
60,T59,T56,Patrick Reed,53,"49' 5""",1829.6670000000001,37,-15
61,62,76,Austin Cook,50,"49' 6""",1436.0829999999999,29,-14
62,T63,T60,Matthew Fitzpatrick,42,"49' 11""",1496.3329999999999,30,-4
63,T63,T71,Sergio Garcia,39,"49' 11""",1447.3329999999999,29,-5
64,T65,62,Lucas Glover,62,"50' 1""",2151.833,43,-18
65,T65,T63,Nate Lashley,44,"50' 1""",1402.8329999999999,28,-5
