,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
0,1,1,Tiger Woods,31,"29' 9""",8073.1669999999995,271,-0.15
1,2,4,Corey Conners,62,"30' 1""",16224.167,540,-0.10
2,3,T2,Patrick Cantlay,49,"30' 2""",11214.917,372,-0.13
3,4,5,Tom Hoge,70,"30' 4""",17124.25,565,-0.09
4,5,6,Whee Kim,57,"30' 8""",11394.75,372,-0.05
5,6,9,Rory McIlroy,50,"30' 9""",13340.917,434,-0.19
6,7,T7,Justin Thomas,49,"31' 0""",11453.0,369,-0.20
7,T8,T17,Keegan Bradley,65,"31' 1""",18203.667,585,-0.04
8,T8,T7,Charley Hoffman,58,"31' 1""",12520.0,403,-0.10
9,10,T17,Jim Furyk,53,"31' 2""",17851.333,573,-0.09
10,T11,T10,Ryan Armour,66,"31' 5""",21055.667,671,-0.06
11,T11,T10,Jason Kokrak,68,"31' 5""",20089.417,640,-0.16
12,T13,29,Talor Gooch,37,"31' 6""",11679.833,371,-0.11
13,T13,T20,Trey Mullinax,67,"31' 6""",16994.25,539,-0.09
14,T13,T14,Grayson Murray,36,"31' 6""",8502.583,270,-0.01
15,T13,T10,Joaquin Niemann,68,"31' 6""",19243.167,611,-0.04
16,T13,T25,Ryan Palmer,56,"31' 6""",14473.167,459,-0.08
17,T13,T10,Nick Watney,67,"31' 6""",18229.75,578,-0.11
18,T13,T14,Gary Woodland,63,"31' 6""",16014.5,509,-0.13
19,20,16,Emiliano Grillo,65,"31' 7""",16519.583,523,-0.09
20,21,T17,Joel Dahmen,78,"31' 8""",22216.583,702,-0.07
21,T22,T20,Bronson Burgoon,37,"31' 9""",11300.167,356,-0.01
22,T22,T20,Haotong Li,32,"31' 9""",7084.6669999999995,223,-0.11
23,T22,30,Adam Svensson,51,"31' 9""",13822.167,435,-0.07
24,T25,T23,Russell Knox,65,"31' 10""",19783.75,621,-0.07
25,T25,T23,Hideki Matsuyama,59,"31' 10""",16727.667,526,-0.16
26,T27,T25,Chesson Hadley,58,"31' 11""",15563.0,488,-0.05
27,T27,T31,Russell Henley,56,"31' 11""",17736.917,556,-0.05
28,T27,999,Shane Lowry,30,"31' 11""",7503.75,235,-0.09
29,T27,T25,Chez Reavie,67,"31' 11""",16992.25,533,-0.07
30,31,28,Abraham Ancer,69,"32' 0""",19769.417,617,-0.06
31,32,T36,Adam Hadwin,66,"32' 1""",18036.083,562,-0.06
32,33,T60,Brooks Koepka,49,"32' 3""",11042.333,342,-0.13
33,T34,T31,Rickie Fowler,54,"32' 4""",17176.583,531,-0.11
34,T34,T31,Tyrrell Hatton,46,"32' 4""",12077.333,374,-0.05
35,T34,T31,Max Homa,61,"32' 4""",17942.917,555,-0.07
36,T34,T31,Marc Leishman,52,"32' 4""",13157.333,407,-0.11
37,38,T36,Vaughn Taylor,69,"32' 5""",22899.167,706,-0.11
38,T39,T38,Byeong Hun An,54,"32' 6""",14225.917,438,-0.09
39,T39,T38,Troy Merritt,42,"32' 6""",13759.833,423,-0.14
40,T39,T38,Cameron Smith,55,"32' 6""",12051.5,371,-0.06
41,T39,999,Tyrone Van Aswegen,30,"32' 6""",6860.4169999999995,211,+0.01
42,43,T44,Hudson Swafford,59,"32' 7""",18019.083,553,-0.07
43,T44,T44,Matt Kuchar,65,"32' 8""",19291.25,590,-0.12
44,T44,T41,Adam Scott,41,"32' 8""",9281.167,284,-0.17
45,T44,T41,Brian Stuard,76,"32' 8""",22964.5,703,-0.08
