,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,1,Matt Wallace,31,"11' 3""",224.333,20,-0.20
1,2,5,Talor Gooch,37,"12' 5""",185.667,15,-0.13
2,3,2,Hideki Matsuyama,59,"12' 6""",399.917,32,-0.03
3,4,3,Keegan Bradley,65,"12' 8""",544.5,43,-0.21
4,5,4,Justin Rose,42,"13' 0""",298.75,23,-0.13
5,6,T6,Xander Schauffele,55,"13' 2""",382.917,29,-0.34
6,7,T8,Chris Kirk,47,"13' 5""",562.6669999999999,42,-0.12
7,8,11,Alex Prugh,54,"13' 7""",704.25,52,-0.37
8,9,T6,Jonathan Byrd,43,"13' 8""",478.75,35,-0.14
9,10,12,John Huh,35,"13' 9""",315.66700000000003,23,-0.17
10,11,T13,Tyrrell Hatton,46,"13' 10""",388.167,28,-0.11
11,12,18,Kyle Jones,49,"13' 11""",708.1669999999999,51,-0.39
12,T13,16,Kevin Streelman,63,"14' 0""",645.1669999999999,46,-0.20
13,T13,T13,Chris Thompson,34,"14' 0""",350.833,25,-0.20
14,T13,999,Tyrone Van Aswegen,30,"14' 0""",377.583,27,+0.04
15,16,17,Rickie Fowler,54,"14' 1""",548.0,39,-0.36
16,T17,T19,Adam Long,52,"14' 3""",656.0830000000001,46,-0.04
17,T17,15,Sebastián Muñoz,58,"14' 3""",441.5,31,-0.26
18,T17,22,Trey Mullinax,67,"14' 3""",871.0830000000001,61,-0.10
19,T17,T19,Brian Stuard,76,"14' 3""",943.0830000000001,66,-0.21
20,21,T19,Danny Willett,47,"14' 4""",314.91700000000003,22,-0.23
21,22,23,"Ted Potter, Jr.",56,"14' 7""",800.5,55,-0.09
22,T23,T27,Matt Kuchar,65,"14' 8""",1117.083,76,-0.33
23,T23,24,Louis Oosthuizen,43,"14' 8""",499.417,34,-0.03
24,T25,T25,Lucas Glover,62,"14' 9""",603.0830000000001,41,-0.02
25,T25,T25,Pat Perez,52,"14' 9""",516.3330000000001,35,-0.09
26,27,T27,Cameron Smith,55,"14' 10""",504.083,34,-0.06
27,T28,T51,Brice Garnett,63,"15' 0""",659.5830000000001,44,-0.14
28,T28,T29,Ben Silverman,54,"15' 0""",539.0830000000001,36,-0.11
29,T30,T31,Charles Howell III,64,"15' 1""",814.4169999999999,54,-0.06
30,T30,T31,Kevin Na,54,"15' 1""",437.083,29,-0.17
31,T32,T33,Branden Grace,62,"15' 2""",714.75,47,-0.21
32,T32,T33,Jim Herman,37,"15' 2""",424.417,28,-0.14
33,T32,T36,Seamus Power,58,"15' 2""",620.5830000000001,41,-0.07
34,T32,T44,Shawn Stefani,57,"15' 2""",455.417,30,E
35,36,35,Jordan Spieth,57,"15' 3""",899.5830000000001,59,-0.31
36,T37,T36,Chesson Hadley,58,"15' 4""",629.5830000000001,41,+0.07
37,T37,T36,Keith Mitchell,64,"15' 4""",598.4169999999999,39,-0.10
38,T39,T40,Bronson Burgoon,37,"15' 5""",476.833,31,E
39,T39,T51,Sergio Garcia,39,"15' 5""",385.75,25,-0.24
40,T39,T40,Kramer Hickok,59,"15' 5""",862.5,56,-0.13
41,T39,T40,Si Woo Kim,65,"15' 5""",509.583,33,-0.09
42,T39,999,Shane Lowry,30,"15' 5""",385.833,25,-0.12
43,T44,43,Byeong Hun An,54,"15' 6""",247.833,16,+0.13
44,T44,T51,Corey Conners,62,"15' 6""",896.9169999999999,58,-0.17
45,T46,T48,Stewart Cink,33,"15' 8""",282.58299999999997,18,-0.06
46,T46,T8,Whee Kim,57,"15' 8""",312.66700000000003,20,+0.05
47,T46,T48,Troy Merritt,42,"15' 8""",688.6669999999999,44,-0.14
48,T46,T29,Rod Pampling,40,"15' 8""",360.25,23,-0.22
