,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Matt Jones,67,"14' 1""",182.75,13,+2
1,2,2,Tommy Fleetwood,43,"14' 2""",98.917,7,-1
2,3,T5,Satoshi Kodaira,51,"15' 8""",187.5,12,+6
3,4,4,Fabián Gómez,44,"15' 10""",189.75,12,-2
4,5,7,Ryan Moore,54,"15' 11""",238.417,15,-4
5,T6,T8,Denny McCarthy,63,"16' 2""",274.83299999999997,17,-3
6,T6,T5,Nick Taylor,70,"16' 2""",533.9169999999999,33,-3
7,8,T8,Sam Ryder,52,"16' 5""",114.917,7,+5
8,9,10,Rafa Cabrera Bello,57,"16' 10""",268.75,16,E
9,T10,11,Alex Cejka,41,"17' 7""",228.333,13,+1
10,T10,T15,Julián Etulain,55,"17' 7""",369.25,21,-2
11,T10,T25,Ben Silverman,54,"17' 7""",193.167,11,-1
12,13,14,Brian Stuard,76,"17' 8""",459.917,26,-8
13,14,T18,Anders Albertson,48,"18' 5""",386.75,21,E
14,15,T15,Kyle Jones,49,"18' 6""",369.333,20,+6
15,16,21,Freddie Jacobson,37,"18' 9""",93.833,5,+2
16,T17,T18,Ryan Armour,66,"18' 10""",320.75,17,+3
17,T17,22,Daniel Berger,48,"18' 10""",263.91700000000003,14,E
18,T19,24,Cameron Davis,54,"18' 11""",436.0,23,+2
19,T19,12,Zach Johnson,50,"18' 11""",340.333,18,-2
20,T19,23,Xander Schauffele,55,"18' 11""",321.66700000000003,17,-2
21,T19,T58,Brady Schnell,38,"18' 11""",170.083,9,+3
22,23,17,Talor Gooch,37,"19' 0""",227.583,12,+1
23,24,T54,Joey Garber,44,"19' 1""",286.66700000000003,15,+1
24,T25,3,Brian Gay,79,"19' 4""",406.583,21,-3
25,T25,T36,David Hearn,41,"19' 4""",154.917,8,+2
26,27,T25,Jason Day,45,"19' 5""",271.5,14,+3
27,28,T27,John Senden,39,"19' 7""",215.667,11,+2
28,T29,29,Ernie Els,43,"19' 8""",216.5,11,-1
29,T29,13,Peter Malnati,64,"19' 8""",748.3330000000001,38,+4
30,31,30,Lucas Glover,62,"19' 9""",415.25,21,-2
31,T32,31,Luke List,52,"19' 10""",417.083,21,+1
32,T32,T49,Shawn Stefani,57,"19' 10""",356.5,18,+2
33,34,32,Patrick Rodgers,44,"20' 0""",279.41700000000003,14,+1
34,35,33,Hideki Matsuyama,59,"20' 2""",342.583,17,+1
35,36,T42,Stephan Jaeger,59,"20' 4""",529.5,26,+4
36,37,T34,Chris Kirk,47,"20' 5""",367.0,18,-3
37,T38,T36,James Hahn,34,"20' 6""",184.667,9,+2
38,T38,T36,Kyoung-Hoon Lee,72,"20' 6""",348.0,17,-1
39,T40,T39,Bill Haas,58,"20' 7""",391.833,19,-2
40,T40,T39,"Ted Potter, Jr.",56,"20' 7""",431.917,21,+7
41,T42,41,Matt Every,38,"20' 8""",310.41700000000003,15,+1
42,T42,T34,Adam Svensson,51,"20' 8""",247.5,12,+1
43,T44,T44,Keegan Bradley,65,"20' 11""",313.33299999999997,15,+1
44,T44,T44,Mackenzie Hughes,58,"20' 11""",271.58299999999997,13,+3
45,46,T47,Kyle Stanley,53,"21' 1""",231.917,11,E
46,47,T49,Bronson Burgoon,37,"21' 2""",360.5,17,+7
