,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,999,Tyrone Van Aswegen,30,158.9,27454900.0,48
1,2,1,Ryan Armour,66,159.7,90841800.0,158
2,3,2,Brian Stuard,76,162.6,110643600.0,189
3,4,3,Roberto Castro,54,163.7,81318000.0,138
4,5,5,Scott Langley,60,163.8,91426100.0,155
5,6,6,"Ted Potter, Jr.",56,164.4,85233900.0,144
6,T7,4,Jonathan Byrd,43,165.4,56572500.0,95
7,T7,9,Andrew Putnam,57,165.4,86952800.0,146
8,9,13,Alex Prugh,54,165.7,70374700.0,118
9,10,10,D.A. Points,33,166.0,29276300.0,49
10,11,8,Brian Gay,79,166.2,117248400.0,196
11,12,15,Adam Schenk,80,166.3,135335100.0,226
12,13,7,Corey Conners,62,167.1,99842800.0,166
13,14,19,Curtis Luck,51,167.8,68856000.0,114
14,15,12,Jim Furyk,53,167.9,85213100.0,141
15,16,18,Brady Schnell,38,168.1,50844600.0,84
16,17,16,Kyle Jones,49,168.3,66056000.0,109
17,T18,20,Anirban Lahiri,54,169.0,77889800.0,128
18,T18,23,Roger Sloan,62,169.0,102808000.0,169
19,20,T21,Vaughn Taylor,69,169.1,136984000.0,225
20,21,T21,Ben Silverman,54,169.4,86611400.0,142
21,22,14,J.J. Henry,42,170.2,40445500.0,66
22,23,29,Joaquin Niemann,68,170.5,101879000.0,166
23,24,17,Matt Kuchar,65,171.0,124328300.0,202
24,T25,T36,Alex Cejka,41,171.3,49938100.0,81
25,T25,25,Julián Etulain,55,171.3,79565100.0,129
26,27,28,Bronson Burgoon,37,171.5,56795100.0,92
27,28,T36,Nate Lashley,44,171.7,74186100.0,120
28,29,30,Andrew Landry,56,171.9,89749100.0,145
29,30,27,Scott Piercy,70,172.0,119503000.0,193
30,31,24,Ben Crane,41,172.2,52062200.0,84
31,T32,42,Zach Johnson,50,172.7,85813700.0,138
32,T32,31,Peter Malnati,64,172.7,124955000.0,201
33,34,26,Jim Herman,37,172.9,54762900.0,88
34,35,T36,Freddie Jacobson,37,173.2,46764500.0,75
35,36,T49,Brandt Snedeker,68,173.3,116045500.0,186
36,T37,T46,Robert Streb,60,173.4,84275300.0,135
37,T37,11,Chris Thompson,34,173.4,41814600.0,67
38,39,32,J.J. Spaun,68,173.6,103110000.0,165
39,40,45,J.B. Holmes,54,173.8,61959800.0,99
40,41,40,Ryan Moore,54,174.0,109617700.0,175
41,T42,41,Beau Hossler,66,174.1,114693600.0,183
