,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,999,Tyrone Van Aswegen,30,142.8,32380000.0,63
1,2,T13,D.J. Trahan,33,151.4,25615200.0,47
2,3,1,Beau Hossler,66,154.7,90753600.0,163
3,4,T5,Wyndham Clark,61,154.9,75289500.0,135
4,5,3,Si Woo Kim,65,155.0,58604800.0,105
5,6,4,Hunter Mahan,45,155.6,52643700.0,94
6,T7,8,Trey Mullinax,67,155.7,83511400.0,149
7,T7,T5,Charl Schwartzel,34,155.7,26336500.0,47
8,9,9,Haotong Li,32,156.0,32567700.0,58
9,T10,T11,Adam Scott,41,156.3,36000600.0,64
10,T10,T11,Brendan Steele,50,156.3,65834700.0,117
11,12,7,Adam Schenk,80,156.4,92362400.0,164
12,13,T48,Rory McIlroy,50,156.6,38327400.0,68
13,T14,T13,Stewart Cink,33,156.7,35544900.0,63
14,T14,10,Danny Lee,66,156.7,93647800.0,166
15,16,15,Cameron Champ,58,157.4,87270600.0,154
16,17,16,Nick Watney,67,157.5,73697000.0,130
17,18,18,Justin Rose,42,157.8,36919700.0,65
18,19,T32,Aaron Wise,52,158.1,64316300.0,113
19,20,20,Bronson Burgoon,37,158.2,56969800.0,100
20,T21,T21,James Hahn,34,158.4,23385900.0,41
21,T21,2,Dustin Johnson,47,158.4,38772500.0,68
22,T23,999,Shane Lowry,30,158.7,33715000.0,59
23,T23,19,Sam Saunders,53,158.7,71403100.0,125
24,25,25,Andrew Putnam,57,158.9,58342700.0,102
25,T26,T23,Sungjae Im,88,159.0,99594700.0,174
26,T26,T38,Seamus Power,58,159.0,77273600.0,135
27,28,T28,Adam Long,52,159.1,72175800.0,126
28,T29,T32,Charley Hoffman,58,159.2,57309600.0,100
29,T29,T32,Ian Poulter,49,159.2,49850100.0,87
30,31,T36,Tyrrell Hatton,46,159.3,53318800.0,93
31,T32,T38,Jon Rahm,51,159.4,48769900.0,85
32,T32,41,Martin Trainer,51,159.4,81504700.0,142
33,T34,40,Chesson Hadley,58,159.5,70638700.0,123
34,T34,T21,Ryan Palmer,56,159.5,59156700.0,103
35,T36,T42,Byeong Hun An,54,159.7,65534000.0,114
36,T36,T42,Marc Leishman,52,159.7,47718700.0,83
37,T38,T36,Peter Malnati,64,159.8,86845900.0,151
38,T38,999,Martin Piller,30,159.8,31646200.0,55
39,T38,T53,Shawn Stefani,57,159.8,69589900.0,121
40,T41,T46,Joel Dahmen,78,159.9,100748400.0,175
41,T41,T42,Graeme McDowell,61,159.9,62763700.0,109
42,T41,T28,Harold Varner III,62,159.9,81752400.0,142
43,44,T48,Scott Stallings,63,160.0,89289700.0,155
44,T45,T51,Michael Kim,51,160.1,77790400.0,135
45,T45,T51,Troy Merritt,42,160.1,49552200.0,86
46,47,T42,Austin Cook,50,160.2,68640100.0,119
47,48,T53,Tommy Fleetwood,43,160.3,34051900.0,59
48,T49,55,Sam Burns,66,160.4,92967800.0,161
49,T49,T28,Joey Garber,44,160.4,47348000.0,82
50,T51,63,Keegan Bradley,65,160.5,75711000.0,131
51,T51,T48,Tom Hoge,70,160.5,83200800.0,144
52,T51,T32,Joaquin Niemann,68,160.5,83212500.0,144
53,T51,60,Ollie Schniederjans,63,160.5,80335600.0,139
54,T55,T56,Billy Horschel,73,160.6,67641300.0,117
55,T55,T56,Martin Kaymer,38,160.6,59539000.0,103
56,57,T46,Hudson Swafford,59,160.7,78693600.0,136
57,T58,59,Abraham Ancer,69,160.8,84514200.0,146
58,T58,17,Peter Uihlein,65,160.8,72953200.0,126
59,T60,T80,Ben Crane,41,160.9,45167300.0,78
60,T60,T56,Chris Stroud,54,160.9,78764900.0,136
61,62,T64,Cameron Davis,54,161.0,62614200.0,108
62,T63,T28,Anders Albertson,48,161.1,62047000.0,107
63,T63,61,Max Homa,61,161.1,79431900.0,137
64,65,62,Jordan Spieth,57,161.2,70779500.0,122
65,66,T64,Sung Kang,67,161.4,87147900.0,150
66,67,T87,Matt Kuchar,65,161.5,55245200.0,95
67,68,77,Seth Reeves,52,161.6,77382400.0,133
68,T69,T89,Roberto Castro,54,161.7,63446600.0,109
69,T69,T70,Patton Kizzire,58,161.7,62295600.0,107
70,T69,T70,Phil Mickelson,41,161.7,54137200.0,93
71,T69,T26,Roger Sloan,62,161.7,85555200.0,147
72,T69,T70,Jhonattan Vegas,60,161.7,72184200.0,124
73,74,69,Brandon Harkins,67,161.8,100160800.0,172
74,T75,T82,Corey Conners,62,161.9,62365800.0,107
75,T75,73,Branden Grace,62,161.9,68788200.0,118
76,T75,T80,Cameron Tringale,52,161.9,53618400.0,92
77,T75,T64,Richy Werenski,63,161.9,91497500.0,157
78,79,T92,Bud Cauley,61,162.0,75240500.0,129
79,T80,T74,Russell Knox,65,162.1,67684600.0,116
80,T80,T74,Keith Mitchell,64,162.1,69449100.0,119
81,82,76,Sam Ryder,52,162.2,65380400.0,112
82,83,T89,Julián Etulain,55,162.4,68389200.0,117
83,T84,T78,Lucas Glover,62,162.5,66114300.0,113
84,T84,T94,Talor Gooch,37,162.5,47969500.0,82
85,T84,T78,Anirban Lahiri,54,162.5,78370000.0,134
86,T84,T67,Nick Taylor,70,162.5,100058100.0,171
87,88,97,Mackenzie Hughes,58,162.6,75515600.0,129
88,T89,114,Jonas Blixt,66,163.0,87437200.0,149
89,T89,T82,Ernie Els,43,163.0,38739600.0,66
90,T89,T82,Kyoung-Hoon Lee,72,163.0,79204700.0,135
91,T92,T67,Sangmoon Bae,42,163.1,46960700.0,80
92,T92,T85,Jason Dufner,56,163.1,75159700.0,128
93,T92,T85,Pat Perez,52,163.1,50500100.0,86
94,95,T87,Kevin Streelman,63,163.2,81053100.0,138
95,96,T23,Sepp Straka,48,163.3,62307900.0,106
96,T97,T92,Tyler Duncan,66,163.4,89396900.0,152
97,T97,T104,Alex Prugh,54,163.4,59987900.0,102
98,99,T110,Kevin Tway,62,163.5,66496300.0,113
99,100,T100,Adam Hadwin,66,163.6,83061900.0,141
100,101,129,J.J. Henry,42,163.7,48311500.0,82
101,T102,T100,Charles Howell III,64,164.0,61383700.0,104
102,T102,T120,Alex Noren,49,164.0,63161000.0,107
103,T102,T100,Chase Wright,53,164.0,64350900.0,109
104,105,98,Brandt Snedeker,68,164.1,70297100.0,119
105,T106,106,Curtis Luck,51,164.2,65630800.0,111
106,T106,T104,Grayson Murray,36,164.2,58527500.0,99
107,108,99,Cody Gribble,52,164.4,85820200.0,145
108,109,108,Andrew Landry,56,164.5,72256300.0,122
109,110,T133,Wes Roach,45,164.6,42651400.0,72
110,111,T110,Jason Day,45,164.7,45053900.0,76
111,T112,112,Ryan Blaum,67,164.8,95542900.0,161
112,T112,T158,Bubba Watson,47,164.8,58725900.0,99
113,114,113,C.T. Pan,64,164.9,65283200.0,110
114,115,T131,Brady Schnell,38,165.0,45131300.0,76
115,T116,T100,Zach Johnson,50,165.1,70118300.0,118
116,T116,T94,Josh Teater,47,165.1,51114400.0,86
117,T118,T118,Brian Gay,79,165.3,93439500.0,157
118,T118,T89,Jim Knous,55,165.3,67241200.0,113
119,T118,T115,José de Jesús Rodríguez,51,165.3,65461700.0,110
120,121,107,Hank Lebioda,55,165.4,70837800.0,119
121,T122,T115,Matt Every,38,165.5,45281500.0,76
122,T122,T94,Adam Svensson,51,165.5,67923500.0,114
123,124,123,J.T. Poston,76,165.7,111522100.0,187
124,T125,117,Dylan Frittelli,55,165.8,72818800.0,122
125,T125,124,"Ted Potter, Jr.",56,165.8,92492200.0,155
126,T127,T120,Fabián Gómez,44,165.9,52545500.0,88
127,T127,T125,Kevin Kisner,65,165.9,71660200.0,120
128,T127,T125,Hideki Matsuyama,59,165.9,60916500.0,102
129,T127,T118,Webb Simpson,53,165.9,56138000.0,94
130,T131,T127,Tony Finau,61,166.0,65125600.0,109
131,T131,T127,Vaughn Taylor,69,166.0,88470000.0,148
132,133,T139,Brian Harman,67,166.1,85488400.0,143
133,134,130,Francesco Molinari,41,166.2,43669000.0,73
134,T135,109,Dominic Bozzelli,53,166.3,59256500.0,99
