,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Martin Trainer,51,155.2,245305700.0,439
1,2,2,James Hahn,34,156.7,119617900.0,212
2,3,3,Josh Teater,47,157.8,208536200.0,367
3,4,T5,Adam Svensson,51,159.0,232328400.0,406
4,T5,T5,Corey Conners,62,159.3,284456000.0,496
5,T5,4,Brady Schnell,38,159.3,174320100.0,304
6,7,9,Patrick Rodgers,44,159.5,240592000.0,419
7,8,8,Roger Sloan,62,159.6,309694600.0,539
8,9,11,Matt Every,38,159.8,149549200.0,260
9,10,T5,Alex Prugh,54,160.0,243640400.0,423
10,T11,12,Troy Merritt,42,160.2,209386200.0,363
11,T11,14,Ben Silverman,54,160.2,278491700.0,483
12,13,10,Roberto Díaz,51,160.4,210804400.0,365
13,14,T18,Peter Malnati,64,160.5,346009400.0,599
14,T15,15,Kevin Tway,62,161.0,313562800.0,541
15,T15,T33,Peter Uihlein,65,161.0,282781400.0,488
16,T17,T16,Andrew Landry,56,161.1,288248300.0,497
17,T17,T27,Trey Mullinax,67,161.1,349673100.0,603
18,T17,T16,Louis Oosthuizen,43,161.1,157203900.0,271
19,20,T18,Jason Dufner,56,161.2,253093300.0,436
20,T21,T18,Alex Cejka,41,161.3,181731300.0,313
21,T21,T21,Kyle Jones,49,161.3,236883400.0,408
22,23,T21,Michael Kim,51,161.4,219627500.0,378
23,T24,T27,Cody Gribble,52,161.5,248776900.0,428
24,T24,23,Seth Reeves,52,161.5,219760300.0,378
25,26,T24,Chesson Hadley,58,161.6,279327300.0,480
26,T27,T27,Cameron Champ,58,161.7,295068600.0,507
27,T27,T24,Nate Lashley,44,161.7,207251700.0,356
28,29,30,Wyndham Clark,61,161.8,294121800.0,505
29,30,13,José de Jesús Rodríguez,51,161.9,224937800.0,386
30,T31,T24,Ben Crane,41,162.0,185416500.0,318
31,T31,T35,Nick Watney,67,162.0,327136400.0,561
32,T31,T42,Chase Wright,53,162.0,261846600.0,449
33,T34,T38,Scott Langley,60,162.1,323289100.0,554
34,T34,T31,Grayson Murray,36,162.1,153435100.0,263
35,36,T45,Jim Knous,55,162.3,245941500.0,421
36,T37,T35,Abraham Ancer,69,162.4,319169800.0,546
37,T37,T31,Brice Garnett,63,162.4,268870100.0,460
38,T37,37,Brian Gay,79,162.4,398682700.0,682
39,T37,T45,Brandon Harkins,67,162.4,291724800.0,499
40,41,T38,J.B. Holmes,54,162.5,183055600.0,313
41,42,T38,Julián Etulain,55,162.6,244627000.0,418
42,T43,T33,Jonathan Byrd,43,162.7,189154500.0,323
43,T43,999,Shane Lowry,30,162.7,137615600.0,235
44,T43,41,Vaughn Taylor,69,162.7,384879000.0,657
45,T46,T42,Ryan Armour,66,162.8,338766800.0,578
46,T46,T42,Brendan Steele,50,162.8,247951900.0,423
47,48,T45,Aaron Baddeley,51,162.9,258015500.0,440
48,T49,T48,Patrick Cantlay,49,163.0,225270000.0,384
49,T49,T63,Fabián Gómez,44,163.0,205948000.0,351
50,T49,T48,Brian Stuard,76,163.0,389712300.0,664
51,T49,T58,Hudson Swafford,59,163.0,312127900.0,532
52,T53,51,Scott Piercy,70,163.1,339967000.0,579
53,T53,999,Martin Piller,30,163.1,112710900.0,192
54,T55,T52,Bronson Burgoon,37,163.2,189233700.0,322
55,T55,T58,Tyler Duncan,66,163.2,309604100.0,527
56,T55,T52,Lucas Glover,62,163.2,373715900.0,636
57,T55,T52,Andrew Putnam,57,163.2,232657500.0,396
58,T59,T63,Kramer Hickok,59,163.4,275276100.0,468
59,T59,T58,Charley Hoffman,58,163.4,229373800.0,390
60,T59,T58,Chris Kirk,47,163.4,238301500.0,405
61,T59,T56,Nick Taylor,70,163.4,391679400.0,666
62,T63,T66,Joel Dahmen,78,163.6,363420500.0,617
63,T63,T89,Whee Kim,57,163.6,202000200.0,343
64,T63,T68,Joaquin Niemann,68,163.6,362822300.0,616
65,T63,T66,Seamus Power,58,163.6,293265900.0,498
66,T67,T48,Cameron Davis,54,163.7,242799600.0,412
67,T67,T63,Sam Saunders,53,163.7,323441500.0,549
68,T69,T58,Bill Haas,58,163.8,313709600.0,532
69,T69,T68,Russell Knox,65,163.8,345612000.0,586
70,T69,T68,Kyoung-Hoon Lee,72,163.8,310157200.0,526
71,T69,T74,Cameron Tringale,52,163.8,228840700.0,388
72,T73,T71,Hunter Mahan,45,163.9,222510700.0,377
73,T73,T71,"Ted Potter, Jr.",56,163.9,275604600.0,467
74,T73,T71,Kevin Streelman,63,163.9,361145900.0,612
75,76,T74,Ollie Schniederjans,63,164.0,305221100.0,517
76,T77,T109,Sangmoon Bae,42,164.1,175429000.0,297
77,T77,76,Adam Long,52,164.1,306663500.0,519
78,T77,T77,Harold Varner III,62,164.1,359818900.0,609
79,T80,T77,Luke List,52,164.2,270097200.0,457
80,T80,999,Tyrone Van Aswegen,30,164.2,135338700.0,229
81,82,79,Francesco Molinari,41,164.3,179245200.0,303
82,T83,T80,Ernie Els,43,164.4,189967100.0,321
83,T83,T94,Matt Kuchar,65,164.4,332523800.0,562
84,T85,82,Adam Hadwin,66,164.5,297957000.0,503
85,T85,T83,Robert Streb,60,164.5,317930900.0,537
86,T85,T83,Jimmy Walker,61,164.5,328105700.0,554
87,T88,T83,Sam Burns,66,164.7,355789600.0,600
88,T88,T83,Phil Mickelson,41,164.7,193850400.0,327
89,T90,T80,Jonas Blixt,66,164.8,352507000.0,594
90,T90,T89,Austin Cook,50,164.8,221857200.0,374
91,T90,T106,Jim Furyk,53,164.8,297800800.0,502
92,T90,T83,Graeme McDowell,61,164.8,275263400.0,464
93,T90,T89,Ian Poulter,49,164.8,191020200.0,322
94,T95,T101,Denny McCarthy,63,164.9,320522900.0,540
95,T95,93,D.A. Points,33,164.9,131233900.0,221
96,T95,127,Sepp Straka,48,164.9,204203100.0,344
97,T98,T94,Billy Horschel,73,165.0,323729600.0,545
98,T98,T94,Charles Howell III,64,165.0,294064400.0,495
99,T98,T132,Stephan Jaeger,59,165.0,279788800.0,471
100,T98,T94,Si Woo Kim,65,165.0,253052600.0,426
101,T98,T118,Carlos Ortiz,60,165.0,338029500.0,569
102,T98,T94,John Senden,39,165.0,162195400.0,273
103,T98,T94,Brandt Snedeker,68,165.0,329650900.0,555
104,T98,T83,Johnson Wagner,45,165.0,213836700.0,360
105,T106,T109,Rory McIlroy,50,165.1,247793200.0,417
106,T106,T56,D.J. Trahan,33,165.1,130723600.0,220
107,T108,T101,Bud Cauley,61,165.2,365207200.0,614
108,T108,100,Branden Grace,62,165.2,230688600.0,388
109,T108,T101,Martin Laird,60,165.2,331823400.0,558
110,T111,T116,Dominic Bozzelli,53,165.4,213808100.0,359
111,T111,T144,John Chin,38,165.4,141722800.0,238
112,T111,T106,Jason Day,45,165.4,156599600.0,263
113,T111,T89,Brian Harman,67,165.4,342328200.0,575
114,T111,T106,Freddie Jacobson,37,165.4,154191500.0,259
115,116,113,Scott Stallings,63,165.5,318667200.0,535
116,T117,T109,Justin Harding,31,165.6,80457700.0,135
117,T117,T109,Kevin Kisner,65,165.6,293987500.0,493
118,T117,T144,Justin Thomas,49,165.6,207404900.0,348
119,T120,T101,Anders Albertson,48,165.7,226668700.0,380
120,T120,T141,Jim Herman,37,165.7,179566000.0,301
121,T122,T132,David Hearn,41,165.8,170077500.0,285
122,T122,T118,Mackenzie Hughes,58,165.8,310368000.0,520
123,T122,T130,Danny Lee,66,165.8,361632200.0,606
124,T122,T118,Richy Werenski,63,165.8,341486000.0,572
125,T126,T144,Brooks Koepka,49,165.9,194138100.0,325
126,T126,T116,Rory Sabbatini,71,165.9,360072800.0,603
127,128,T118,Satoshi Kodaira,51,166.0,222290700.0,372
128,T129,T123,Martin Kaymer,38,166.1,226645600.0,379
129,T129,T123,J.T. Poston,76,166.1,437042000.0,731
130,T129,T123,Jon Rahm,51,166.1,215286200.0,360
131,T132,T162,Joey Garber,44,166.2,181273600.0,303
132,T132,126,C.T. Pan,64,166.2,306979200.0,513
133,T132,T132,Chris Stroud,54,166.2,269189500.0,450
134,135,T118,Harris English,72,166.3,413752700.0,691
135,T136,T114,J.J. Henry,42,166.4,200101100.0,334
136,T136,T128,Max Homa,61,166.4,336742500.0,562
137,T136,T141,Dustin Johnson,47,166.4,231837700.0,387
138,T136,T128,Gary Woodland,63,166.4,270803300.0,452
139,T140,T130,Anirban Lahiri,54,166.5,269747000.0,450
140,T140,T101,Hank Lebioda,55,166.5,251729400.0,420
141,T140,T178,Chris Thompson,34,166.5,157038400.0,262
142,T140,T170,Aaron Wise,52,166.5,241526300.0,403
143,T144,T136,Marc Leishman,52,166.7,240090100.0,400
144,T144,T182,Rod Pampling,40,166.7,189626600.0,316
145,T144,T136,Chez Reavie,67,166.7,273086000.0,455
146,T147,138,John Huh,35,166.8,196384400.0,327
147,T147,T153,Sungjae Im,88,166.8,458838600.0,764
148,T149,T150,Russell Henley,56,166.9,304584400.0,507
149,T149,T139,Sebastián Muñoz,58,166.9,265492900.0,442
150,T149,185,Bubba Watson,47,166.9,243378200.0,405
151,152,T139,Jordan Spieth,57,167.0,293454400.0,488
152,153,T141,Cameron Smith,55,167.1,222016500.0,369
153,T154,T114,Roberto Castro,54,167.3,282540800.0,469
154,T154,T132,Talor Gooch,37,167.3,209612100.0,348
155,T154,T147,Tyrrell Hatton,46,167.3,199405100.0,331
156,T154,T147,Patton Kizzire,58,167.3,256596400.0,426
157,T154,T147,Jason Kokrak,68,167.3,358344600.0,595
158,159,T150,Paul Casey,51,167.4,212759900.0,353
159,T160,T158,Tom Hoge,70,167.5,327523400.0,543
160,T160,T153,Kyle Stanley,53,167.5,212239400.0,352
161,162,157,Rickie Fowler,54,167.6,301061100.0,499
162,T163,T160,Zach Johnson,50,167.7,287394300.0,476
163,T163,T158,Michael Thompson,56,167.7,344652800.0,571
164,T165,T150,Daniel Berger,48,167.8,280915500.0,465
165,T165,T160,Justin Rose,42,167.8,194495600.0,322
166,T167,T162,Bryson DeChambeau,45,167.9,246657500.0,408
167,T167,T162,Matthew Fitzpatrick,42,167.9,203115200.0,336
168,T167,T170,Alex Noren,49,167.9,225420800.0,373
169,T170,T162,Scott Brown,66,168.0,326599300.0,540
170,T170,T182,Dylan Frittelli,55,168.0,312048600.0,516
171,T170,T190,Sergio Garcia,39,168.0,191711400.0,317
172,T170,T166,Beau Hossler,66,168.0,341151900.0,564
173,T170,T166,Matt Jones,67,168.0,307319000.0,508
174,T170,T153,Adam Schenk,80,168.0,414864900.0,686
175,T176,T168,Tony Finau,61,168.1,278914000.0,461
176,T176,T168,Jhonattan Vegas,60,168.1,315814800.0,522
177,T178,T170,Stewart Cink,33,168.2,142291000.0,235
178,T178,196,Kelly Kraft,67,168.2,312488700.0,516
179,T178,T170,Xander Schauffele,55,168.2,243409500.0,402
180,181,175,Ryan Blaum,67,168.3,356963900.0,589
181,T182,T176,Emiliano Grillo,65,168.5,274233400.0,452
182,T182,T176,Kevin Na,54,168.5,223886300.0,369
183,184,T178,Tommy Fleetwood,43,168.6,191173600.0,315
184,T185,T180,Sung Kang,67,168.7,358835100.0,591
185,T185,T180,Charl Schwartzel,34,168.7,103838600.0,171
186,187,T170,Keegan Bradley,65,168.8,312417900.0,514
187,T188,T187,Curtis Luck,51,168.9,208585000.0,343
188,T188,T153,Wes Roach,45,168.9,212798000.0,350
189,190,T190,Ryan Palmer,56,169.0,263388900.0,433
190,T191,193,J.J. Spaun,68,169.1,317770500.0,522
191,T191,T182,Shawn Stefani,57,169.1,266579800.0,438
192,T191,186,Matt Wallace,31,169.1,152178300.0,250
193,194,T187,Keith Mitchell,64,169.4,272530400.0,447
194,195,189,Tiger Woods,31,169.5,135424700.0,222
195,196,T190,Ryan Moore,54,169.6,291269300.0,477
196,T197,T194,Byeong Hun An,54,169.9,259322900.0,424
197,T197,T194,Sam Ryder,52,169.9,268575800.0,439
198,199,200,Webb Simpson,53,170.3,325022500.0,530
199,200,202,Danny Willett,47,170.4,267435600.0,436
200,201,197,Patrick Reed,53,170.6,258512400.0,421
201,202,198,Haotong Li,32,170.7,140144800.0,228
202,203,199,Rafa Cabrera Bello,57,170.8,244790800.0,398
203,204,201,Kiradech Aphibarnrat,49,171.3,222019300.0,360
204,205,205,Lucas Bjerregaard,37,172.0,152957400.0,247
205,206,203,Adam Scott,41,172.8,159223600.0,256
206,207,204,Hideki Matsuyama,59,173.3,300750100.0,482
207,208,206,Pat Perez,52,176.0,214799300.0,339
208,209,207,Henrik Stenson,46,177.3,262906800.0,412
