,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,999,Tyrone Van Aswegen,30,159.5,1951736.0,340
1,2,1,Martin Trainer,51,160.2,4117170.0,714
2,3,2,Corey Conners,62,161.3,4466646.0,769
3,4,4,Alex Prugh,54,161.6,3740030.0,643
4,T5,5,Brady Schnell,38,161.8,2702960.0,464
5,T5,3,Roger Sloan,62,161.8,4980578.0,855
6,7,6,Josh Teater,47,162.5,3247546.0,555
7,T8,T7,Ryan Armour,66,162.9,5136176.0,876
8,T8,11,Peter Malnati,64,162.9,5578103.0,951
9,T10,T7,James Hahn,34,163.0,1790119.0,305
10,T10,T7,Andrew Putnam,57,163.0,3779530.0,644
11,12,18,Ben Silverman,54,163.2,4419107.0,752
12,13,12,Brian Gay,79,163.5,6093706.0,1035
13,T14,T7,Ben Crane,41,163.6,2826460.0,480
14,T14,13,Kyle Jones,49,163.6,3697589.0,628
15,T14,T14,Michael Kim,51,163.6,3669515.0,623
16,T17,T16,Bronson Burgoon,37,163.7,3029986.0,514
17,T17,T16,Andrew Landry,56,163.7,4502537.0,764
18,T19,T14,Jonathan Byrd,43,163.9,2956448.0,501
19,T19,T19,Chesson Hadley,58,163.9,4402609.0,746
20,T19,T19,Troy Merritt,42,163.9,3481975.0,590
21,T22,21,Julián Etulain,55,164.2,3925813.0,664
22,T22,T28,Scott Langley,60,164.2,5083513.0,860
23,T24,23,Joaquin Niemann,68,164.4,5479138.0,926
24,T24,22,"Ted Potter, Jr.",56,164.4,4533307.0,766
25,26,T24,Nick Watney,67,164.5,5162767.0,872
26,T27,T24,Brian Stuard,76,164.6,5837643.0,985
27,T27,T24,Vaughn Taylor,69,164.6,6103330.0,1030
28,29,T33,Trey Mullinax,67,164.7,5610328.0,946
29,30,999,Shane Lowry,30,164.8,2200440.0,371
30,31,32,Alex Cejka,41,164.9,2855423.0,481
31,32,31,Patrick Rodgers,44,165.0,4022480.0,677
32,33,T33,Kevin Tway,62,165.1,4802625.0,808
33,34,T24,José de Jesús Rodríguez,51,165.2,3717421.0,625
34,T35,T33,Cameron Champ,58,165.3,5112298.0,859
35,T35,T46,Matt Every,38,165.3,2641720.0,444
36,T35,T36,Nate Lashley,44,165.3,3296956.0,554
37,T38,999,Martin Piller,30,165.4,1804336.0,303
38,T38,38,Peter Uihlein,65,165.4,4586005.0,770
39,40,T39,Adam Svensson,51,165.5,3932139.0,660
