,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Matthew Fitzpatrick,42,19.8,41280.0,58
1,T2,2,Cody Gribble,52,20.7,62605.0,84
2,T2,T3,Troy Merritt,42,20.7,55968.0,75
3,T2,T3,Gary Woodland,63,20.7,97698.0,131
4,T5,T5,Marc Leishman,52,20.9,70039.0,93
5,T5,T5,Luke List,52,20.9,94836.0,126
6,T7,7,Bryson DeChambeau,45,21.1,87205.0,115
7,T7,T10,Sergio Garcia,39,21.1,56952.0,75
8,9,8,James Hahn,34,21.2,27506.0,36
9,10,9,Kyle Stanley,53,21.3,49918.0,65
10,11,T12,Patrick Cantlay,49,21.5,77283.0,100
11,12,14,Max Homa,61,21.6,84891.0,109
12,T13,26,Talor Gooch,37,21.7,56183.0,72
13,T13,15,Hideki Matsuyama,59,21.7,91571.0,117
14,T13,999,Tyrone Van Aswegen,30,21.7,18732.0,24
15,16,T22,Rory McIlroy,50,21.9,101488.0,129
16,T17,T19,Tommy Fleetwood,43,22.1,59605.0,75
17,T17,T19,Michael Kim,51,22.1,44642.0,56
18,T17,T19,Brooks Koepka,49,22.1,79437.0,100
19,T17,T22,Justin Thomas,49,22.1,86854.0,109
20,T21,16,Dustin Johnson,47,22.2,87736.0,110
21,T21,T10,Nate Lashley,44,22.2,39998.0,50
22,T23,17,Hudson Swafford,59,22.3,80924.0,101
23,T23,T22,Nick Watney,67,22.3,80350.0,100
24,25,T22,Seth Reeves,52,22.4,80689.0,100
25,T26,T27,Lucas Glover,62,22.5,97053.0,120
26,T26,T27,Adam Long,52,22.5,69755.0,86
27,T28,T29,Bud Cauley,61,22.6,97773.0,120
28,T28,T29,Emiliano Grillo,65,22.6,77398.0,95
29,T28,T37,J.B. Holmes,54,22.6,61959.0,76
30,T31,T32,Jason Dufner,56,22.7,54046.0,66
31,T31,T32,Matt Jones,67,22.7,94074.0,115
32,T33,T34,Russell Knox,65,22.8,66472.0,81
33,T33,18,Martin Trainer,51,22.8,79687.0,97
34,T33,T40,Aaron Wise,52,22.8,96676.0,118
35,T36,T34,Anders Albertson,48,22.9,62582.0,76
36,T36,T37,Keith Mitchell,64,22.9,99084.0,120
37,T36,T29,Alex Prugh,54,22.9,66664.0,81
38,T36,T48,Ollie Schniederjans,63,22.9,95781.0,116
39,T40,T40,Rafa Cabrera Bello,57,23.0,69506.0,84
40,T40,T40,Bill Haas,58,23.0,78708.0,95
41,T40,T40,Kevin Kisner,65,23.0,72783.0,88
42,T40,T40,Hunter Mahan,45,23.0,62873.0,76
43,T40,T46,Sam Saunders,53,23.0,87924.0,106
44,T45,T46,Sung Kang,67,23.1,105674.0,127
45,T45,T37,Chase Wright,53,23.1,64841.0,78
46,T47,T34,Ryan Palmer,56,23.2,84514.0,101
47,T47,T48,Brendan Steele,50,23.2,74239.0,89
48,T49,T40,Matt Kuchar,65,23.3,87406.0,104
49,T49,T48,Martin Laird,60,23.3,96262.0,115
50,T49,T51,Adam Scott,41,23.3,53746.0,64
51,T52,T53,Abraham Ancer,69,23.4,87729.0,104
52,T52,T53,Sam Burns,66,23.4,108559.0,129
53,T54,T56,John Huh,35,23.5,42239.0,50
54,T54,T51,Jim Knous,55,23.5,72674.0,86
55,T54,T56,Patrick Rodgers,44,23.5,72783.0,86
56,T57,T53,Keegan Bradley,65,23.7,91332.0,107
57,T57,T59,Cameron Champ,58,23.7,122648.0,144
58,T57,T59,J.T. Poston,76,23.7,115134.0,135
59,T57,T59,Xander Schauffele,55,23.7,88872.0,104
60,T61,T70,Matt Every,38,23.8,48873.0,57
61,T61,T62,Tony Finau,61,23.8,106316.0,124
62,T61,T62,Rory Sabbatini,71,23.8,101920.0,119
63,T61,T62,Kevin Streelman,63,23.8,102671.0,120
64,T65,T66,Martin Kaymer,38,23.9,65352.0,76
65,T65,T62,Hank Lebioda,55,23.9,68830.0,80
66,T65,T66,Grayson Murray,36,23.9,65363.0,76
67,T65,T77,Adam Svensson,51,23.9,62798.0,73
68,T69,T70,Rickie Fowler,54,24.0,96633.0,112
69,T69,T70,Tyrrell Hatton,46,24.0,55345.0,64
70,T69,T70,Tiger Woods,31,24.0,48326.0,56
71,72,T74,Adam Hadwin,66,24.1,95415.0,110
72,T73,T89,Cameron Tringale,52,24.2,58483.0,67
73,T73,58,Jimmy Walker,61,24.2,81053.0,93
74,T73,T66,Bubba Watson,47,24.2,106117.0,122
75,T76,T77,Paul Casey,51,24.3,77026.0,88
76,T76,T77,Danny Willett,47,24.3,75249.0,86
77,T78,T83,Sungjae Im,88,24.4,152221.0,173
78,T78,T66,Kyle Jones,49,24.4,44862.0,51
79,T78,T80,Henrik Stenson,46,24.4,72087.0,82
80,T81,T80,Ryan Armour,66,24.5,43147.0,49
81,T81,T74,Cameron Davis,54,24.5,88027.0,100
82,T81,T89,Dylan Frittelli,55,24.5,102987.0,117
83,T81,T74,Curtis Luck,51,24.5,52831.0,60
84,T81,T95,Kevin Tway,62,24.5,99612.0,113
85,T86,T113,John Chin,38,24.6,46041.0,52
86,T86,T83,Harris English,72,24.6,123040.0,139
87,T86,T110,Zach Johnson,50,24.6,59398.0,67
88,T86,T83,Patton Kizzire,58,24.6,71714.0,81
89,T86,T107,Peter Malnati,64,24.6,85853.0,97
90,T86,T83,Phil Mickelson,41,24.6,74466.0,84
91,T86,T83,Jordan Spieth,57,24.6,89497.0,101
92,T93,T95,Roberto Díaz,51,24.7,54184.0,61
93,T93,T98,Mackenzie Hughes,58,24.7,79245.0,89
94,T93,T89,Ian Poulter,49,24.7,63135.0,71
95,T93,82,Brandt Snedeker,68,24.7,80866.0,91
96,T93,T107,Johnson Wagner,45,24.7,50681.0,57
97,T93,T98,Richy Werenski,63,24.7,103963.0,117
98,T99,T98,David Hearn,41,24.8,32102.0,36
99,T99,T95,Kramer Hickok,59,24.8,72428.0,81
100,T99,T93,Ryan Moore,54,24.8,80195.0,90
101,T99,T93,Cameron Smith,55,24.8,57218.0,64
102,103,T98,Joaquin Niemann,68,24.9,92362.0,103
103,T104,T83,Brice Garnett,63,25.0,70083.0,78
104,T104,T98,D.A. Points,33,25.0,20699.0,23
105,T104,T89,Webb Simpson,53,25.0,105443.0,117
106,T104,T98,Jhonattan Vegas,60,25.0,120744.0,134
107,T108,T105,Ernie Els,43,25.1,38858.0,43
108,T108,T105,Trey Mullinax,67,25.1,131979.0,146
109,T108,T113,Peter Uihlein,65,25.1,83155.0,92
110,111,T107,Joel Dahmen,78,25.2,102460.0,113
111,T112,T130,Jim Furyk,53,25.3,45584.0,50
112,T112,T123,Brian Harman,67,25.3,90332.0,99
113,T112,T98,Adam Schenk,80,25.3,113076.0,124
114,T112,T110,John Senden,39,25.3,41931.0,46
115,T112,T123,J.J. Spaun,68,25.3,97350.0,107
116,T117,T130,Sangmoon Bae,42,25.4,43942.0,48
117,T117,T119,Russell Henley,56,25.4,73122.0,80
118,T119,T115,Byeong Hun An,54,25.5,111080.0,121
119,T119,T115,C.T. Pan,64,25.5,73476.0,80
120,T119,T115,Patrick Reed,53,25.5,100008.0,109
121,T122,T125,Jonas Blixt,66,25.6,94765.0,103
122,T122,T115,Fabián Gómez,44,25.6,55225.0,60
123,T122,T119,Si Woo Kim,65,25.6,97586.0,106
124,T122,T119,Kevin Na,54,25.6,62578.0,68
125,126,T145,Sepp Straka,48,25.7,74027.0,80
126,T127,T110,Lucas Bjerregaard,37,25.8,58411.0,63
127,T127,T125,Chesson Hadley,58,25.8,70661.0,76
128,T127,T132,Scott Piercy,70,25.8,99439.0,107
129,T127,T128,Nick Taylor,70,25.8,118008.0,127
130,T127,T145,D.J. Trahan,33,25.8,51050.0,55
131,T132,T137,Dominic Bozzelli,53,25.9,68186.0,73
132,T132,T128,Jason Day,45,25.9,69012.0,74
133,T132,T119,Julián Etulain,55,25.9,61604.0,66
134,T132,T137,Denny McCarthy,63,25.9,99906.0,107
135,136,T125,Alex Noren,49,26.0,77726.0,83
136,T137,T132,Beau Hossler,66,26.1,110988.0,118
137,T137,T132,Scott Langley,60,26.1,41358.0,44
138,T137,T145,Danny Lee,66,26.1,118198.0,126
139,T137,T132,Francesco Molinari,41,26.1,51647.0,55
140,T137,T132,Sam Ryder,52,26.1,98755.0,105
141,T137,168,Ben Silverman,54,26.1,53545.0,57
142,T137,T143,Harold Varner III,62,26.1,111018.0,118
143,T144,T137,Jason Kokrak,68,26.2,133769.0,142
144,T144,T137,Seamus Power,58,26.2,98279.0,104
145,T144,T137,Justin Rose,42,26.2,69852.0,74
146,T144,T143,Robert Streb,60,26.2,72723.0,77
147,T148,142,Branden Grace,62,26.3,83223.0,88
