,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,Cameron Champ,58,153.3,3647959.0,661
1,2,2,Bubba Watson,47,154.1,2746406.0,495
2,3,6,Dustin Johnson,47,155.4,2646239.0,473
3,4,7,Rory McIlroy,50,157.1,2912788.0,515
4,5,5,Brooks Koepka,49,157.2,2337449.0,413
5,6,3,Trey Mullinax,67,157.5,4105823.0,724
6,7,4,Seth Reeves,52,158.9,2836544.0,496
7,8,9,Justin Thomas,49,159.4,2715006.0,473
8,9,10,Martin Trainer,51,160.4,3136179.0,543
9,10,8,Patrick Cantlay,49,161.6,2676674.0,460
10,11,22,D.J. Trahan,33,161.7,1530557.0,263
11,12,13,Kevin Tway,62,161.9,3624513.0,622
12,13,11,Phil Mickelson,41,162.3,2378120.0,407
13,14,12,Luke List,52,162.6,3453525.0,590
14,15,T25,Ryan Palmer,56,163.0,3145390.0,536
15,16,T17,Aaron Wise,52,163.1,3112072.0,530
16,17,20,Alex Prugh,54,163.4,2923506.0,497
17,18,24,J.B. Holmes,54,163.5,2265840.0,385
18,19,T15,Ollie Schniederjans,63,163.7,3764650.0,639
19,20,14,Gary Woodland,63,163.8,3514737.0,596
20,T21,23,Wyndham Clark,61,164.2,3806734.0,644
21,T21,T15,Jon Rahm,51,164.2,2718845.0,460
22,23,T17,Tony Finau,61,164.6,3341539.0,564
23,T24,27,Cameron Davis,54,164.9,3015935.0,508
24,T24,19,Grayson Murray,36,164.9,2083506.0,351
25,T26,28,Brandon Harkins,67,165.1,3957767.0,666
26,T26,21,Keith Mitchell,64,165.1,3351905.0,564
27,28,T35,Peter Uihlein,65,165.7,3513297.0,589
28,29,T25,Byeong Hun An,54,165.9,3201210.0,536
29,30,39,Matt Every,38,166.0,2056205.0,344
30,T31,29,Sam Burns,66,166.2,4426588.0,740
31,T31,999,Shane Lowry,30,166.2,1728637.0,289
32,33,41,Lucas Bjerregaard,37,166.3,1819478.0,304
33,34,30,Xander Schauffele,55,166.5,2930416.0,489
34,T35,T31,Jason Day,45,166.8,2077157.0,346
35,T35,T31,Bryson DeChambeau,45,166.8,3181872.0,530
36,37,40,Danny Lee,66,166.9,4519529.0,752
37,38,33,Jhonattan Vegas,60,167.1,3946274.0,656
38,39,T56,Alex Noren,49,167.2,2721332.0,452
39,40,34,Patrick Rodgers,44,167.4,3157271.0,524
40,T41,T47,Dominic Bozzelli,53,167.7,2753749.0,456
41,T41,46,Joaquin Niemann,68,167.7,4341756.0,719
42,43,T60,Sepp Straka,48,167.8,2610157.0,432
43,T44,T42,Corey Conners,62,168.1,3613754.0,597
44,T44,T35,Tommy Fleetwood,43,168.1,2197184.0,363
45,T46,T37,James Hahn,34,168.2,1422864.0,235
46,T46,T37,Matt Wallace,31,168.2,1841307.0,304
47,48,44,Harold Varner III,62,168.3,4313797.0,712
48,49,T64,Jim Knous,55,168.5,3093110.0,510
