,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Cameron Champ,19,248.3,1287334.0,144
1,2,2,Grayson Murray,14,249.0,681358.0,76
2,3,3,Anirban Lahiri,17,249.1,556099.0,62
3,4,T4,Patrick Rodgers,14,249.7,773099.0,86
4,5,7,Michael Kim,21,250.1,504264.0,56
5,6,6,Scott Piercy,19,250.2,963700.0,107
6,7,T4,Alex Prugh,18,250.6,730871.0,81
7,8,8,Luke List,16,250.7,1137354.0,126
8,9,9,Stewart Cink,12,251.2,370796.0,41
9,10,12,Troy Merritt,12,251.7,679523.0,75
10,11,13,Jason Day,14,252.0,671217.0,74
11,12,T14,Justin Rose,11,252.3,672237.0,74
12,13,19,Bryson DeChambeau,13,252.7,1046319.0,115
13,T14,T20,Chesson Hadley,20,253.0,692335.0,76
14,T14,T20,Adam Scott,12,253.0,582872.0,64
15,16,11,Adam Schenk,24,253.4,1131012.0,124
16,T17,23,Keith Mitchell,19,253.6,1095765.0,120
17,T17,16,Johnson Wagner,14,253.6,520342.0,57
18,19,17,Hudson Swafford,20,253.7,922310.0,101
19,20,10,Brandt Snedeker,18,253.8,831413.0,91
20,T21,24,Bronson Burgoon,14,254.0,466397.0,51
21,T21,18,Brian Gay,22,254.0,713257.0,78
22,T23,26,Andrew Putnam,17,254.5,540528.0,59
23,T23,T14,Jimmy Walker,17,254.5,851906.0,93
24,T25,T27,Ernie Els,14,254.9,394526.0,43
25,T25,29,Scott Langley,20,254.9,403700.0,44
26,27,22,Adam Hadwin,18,255.0,1009891.0,110
27,28,30,Lucas Glover,17,255.2,1102396.0,120
28,T29,25,Cameron Davis,18,255.4,919392.0,100
29,T29,T27,Brandon Harkins,21,255.4,1195212.0,130
30,31,T31,Ian Poulter,13,255.5,652958.0,71
31,32,34,Michael Thompson,17,255.6,929494.0,101
32,33,35,Patton Kizzire,18,255.7,745632.0,81
33,T34,T36,Max Homa,19,255.8,1003722.0,109
34,T34,T36,Sung Kang,20,255.8,1169338.0,127
35,36,38,"Ted Potter, Jr.",18,255.9,755403.0,82
36,T37,T39,Hunter Mahan,15,256.0,700392.0,76
37,T37,T39,Sam Ryder,16,256.0,967534.0,105
38,39,T41,Marc Leishman,14,256.1,857302.0,93
39,40,T31,Jim Furyk,16,256.2,461120.0,50
40,41,45,Sam Burns,22,256.5,1191392.0,129
41,42,T41,Corey Conners,20,256.6,775888.0,84
42,43,T46,Jason Kokrak,17,256.8,1312824.0,142
43,44,48,Kevin Tway,19,256.9,1045170.0,113
