,Birdie_or_Better_Percentage_-_150-175_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_150-175_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_150-175_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_150-175_ya_ROUNDS,Birdie_or_Better_Percentage_-_150-175_ya_%,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL HOLES
0,1,1,Andrew Putnam,57,23.29,34,146
1,2,2,Cameron Champ,58,23.2,42,181
2,3,3,Adam Scott,41,22.92,22,96
3,4,6,Marc Leishman,52,21.95,27,123
4,5,7,"Ted Potter, Jr.",56,21.51,37,172
5,T6,5,Dustin Johnson,47,21.15,22,104
6,T6,8,Gary Woodland,63,21.15,33,156
7,8,4,Brady Schnell,38,21.11,19,90
8,9,999,Martin Piller,30,21.05,12,57
9,10,11,Justin Thomas,49,20.83,25,120
10,11,10,Scott Langley,60,20.69,42,203
11,12,9,Hank Lebioda,55,20.65,32,155
12,T13,15,Brian Gay,79,19.02,39,205
13,T13,17,Andrew Landry,56,19.02,31,163
14,T15,T18,Keith Mitchell,64,19.01,27,142
15,T15,T18,Justin Rose,42,19.01,23,121
16,17,13,Brooks Koepka,49,19.0,19,100
17,18,999,Tyrone Van Aswegen,30,18.92,14,74
18,19,14,Ben Silverman,54,18.9,31,164
19,20,21,Hideki Matsuyama,59,18.54,33,178
20,21,22,Patrick Cantlay,49,18.52,20,108
21,22,20,Anders Albertson,48,18.49,22,119
22,23,23,Tiger Woods,31,18.39,16,87
23,24,28,Austin Cook,50,18.38,25,136
24,25,24,Rafa Cabrera Bello,57,18.32,24,131
25,26,12,Matt Every,38,18.29,15,82
26,27,26,Francesco Molinari,41,18.18,16,88
27,28,33,Rory McIlroy,50,18.05,24,133
28,29,16,Jim Herman,37,18.02,20,111
29,30,27,Abraham Ancer,69,17.86,35,196
30,31,30,Corey Conners,62,17.79,29,163
31,32,29,Graeme McDowell,61,17.76,27,152
32,33,31,Jordan Spieth,57,17.69,26,147
33,T34,32,Jason Day,45,17.65,15,85
34,T34,34,Jim Furyk,53,17.65,30,170
35,36,35,Kiradech Aphibarnrat,49,17.5,21,120
36,37,36,Luke List,52,17.39,28,161
37,38,25,Ben Crane,41,17.35,17,98
38,39,37,Peter Uihlein,65,17.28,28,162
39,T40,T39,Troy Merritt,42,17.09,20,117
40,T40,T39,Ian Poulter,49,17.09,20,117
41,T40,T39,Chez Reavie,67,17.09,27,158
42,43,42,Russell Knox,65,17.07,35,205
43,44,38,J.J. Henry,42,17.0,17,100
44,T45,43,Charles Howell III,64,16.77,27,161
45,T45,48,Nick Watney,67,16.77,28,167
46,47,44,Beau Hossler,66,16.76,29,173
47,48,T45,Brian Stuard,76,16.67,37,222
48,49,50,Lucas Glover,62,16.51,35,212
49,50,51,Sung Kang,67,16.5,33,200
50,51,52,Emiliano Grillo,65,16.48,29,176
51,T52,53,Xander Schauffele,55,16.41,21,128
52,T52,54,Adam Svensson,51,16.41,21,128
53,54,55,Rickie Fowler,54,16.38,29,177
54,55,57,Nick Taylor,70,16.27,34,209
55,56,56,Aaron Baddeley,51,16.25,26,160
56,57,59,Brandt Snedeker,68,16.2,29,179
57,58,T78,David Hearn,41,16.16,16,99
58,59,112,Sangmoon Bae,42,16.04,17,106
59,60,T69,José de Jesús Rodríguez,51,16.03,21,131
60,61,T86,Ryan Armour,66,15.98,31,194
61,62,104,Talor Gooch,37,15.97,19,119
62,63,63,Pat Perez,52,15.96,15,94
63,64,64,Haotong Li,32,15.94,11,69
64,65,T65,Bronson Burgoon,37,15.93,18,113
65,66,67,Phil Mickelson,41,15.91,14,88
66,67,62,Scott Brown,66,15.87,30,189
67,T68,T45,Keegan Bradley,65,15.85,29,183
68,T68,49,Roberto Castro,54,15.85,26,164
69,70,120,Curtis Luck,51,15.84,16,101
70,71,91,Cameron Tringale,52,15.83,19,120
71,T72,T69,Stewart Cink,33,15.79,15,95
72,T72,T69,Chesson Hadley,58,15.79,24,152
73,T72,T69,Kyle Stanley,53,15.79,18,114
74,75,74,Joel Dahmen,78,15.76,32,203
75,76,999,Shane Lowry,30,15.71,11,70
76,77,58,Brandon Harkins,67,15.7,27,172
77,78,61,Sungjae Im,88,15.66,39,249
78,79,77,Richy Werenski,63,15.61,32,205
79,80,68,Ryan Palmer,56,15.56,21,135
80,81,80,Kevin Kisner,65,15.52,27,174
81,82,81,Billy Horschel,73,15.43,25,162
82,83,T45,Alex Cejka,41,15.38,16,104
83,84,83,Adam Schenk,80,15.35,31,202
84,85,60,Cameron Davis,54,15.32,17,111
85,86,84,Freddie Jacobson,37,15.29,13,85
86,87,T65,Martin Laird,60,15.26,29,190
87,T88,T86,Tommy Fleetwood,43,15.22,14,92
88,T88,75,Sergio Garcia,39,15.22,14,92
89,T88,85,Whee Kim,57,15.22,21,138
90,91,90,Michael Kim,51,15.15,20,132
91,92,T88,Roger Sloan,62,15.06,25,166
92,93,93,Jason Kokrak,68,15.04,34,226
93,94,94,Jhonattan Vegas,60,15.03,29,193
