,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Patrick Cantlay,49,33.33,17.0,51
1,2,3,Cameron Davis,54,29.89,26.0,87
2,3,4,Ryan Moore,54,28.57,10.0,35
3,4,2,Ryan Palmer,56,28.13,18.0,64
4,5,6,Grayson Murray,36,27.12,16.0,59
5,6,7,Jhonattan Vegas,60,27.06,23.0,85
6,7,5,Aaron Wise,52,26.23,16.0,61
7,8,9,Max Homa,61,25.33,19.0,75
8,9,10,Abraham Ancer,69,25.0,11.0,44
9,10,T12,Hunter Mahan,45,24.07,13.0,54
10,11,8,Chris Stroud,54,23.64,13.0,55
11,12,11,Nate Lashley,44,23.26,10.0,43
12,T13,14,Matt Jones,67,23.08,18.0,78
13,T13,T20,Cameron Tringale,52,23.08,18.0,78
14,15,15,Matt Wallace,31,22.86,8.0,35
15,16,16,Kevin Streelman,63,22.67,17.0,75
16,17,18,Bryson DeChambeau,45,22.41,13.0,58
17,18,19,Rory Sabbatini,71,22.06,15.0,68
18,19,29,Joaquin Niemann,68,21.74,15.0,69
19,20,T20,Chris Kirk,47,21.54,14.0,65
20,T21,23,Marc Leishman,52,21.21,7.0,33
21,T21,T12,Justin Thomas,49,21.21,14.0,66
22,23,24,Scott Piercy,70,21.15,11.0,52
23,24,39,J.B. Holmes,54,20.63,13.0,63
24,25,26,Stewart Cink,33,20.51,8.0,39
25,26,28,Jon Rahm,51,20.34,12.0,59
26,27,17,Dylan Frittelli,55,20.0,15.0,75
27,28,30,Tony Finau,61,19.7,13.0,66
28,T29,31,Si Woo Kim,65,19.67,12.0,61
29,T29,22,José de Jesús Rodríguez,51,19.67,12.0,61
30,31,34,Tom Hoge,70,19.44,14.0,72
31,32,35,Byeong Hun An,54,19.35,12.0,62
32,33,25,Wyndham Clark,61,19.32,17.0,88
33,34,33,Jim Herman,37,18.92,7.0,37
34,35,T36,Kevin Na,54,18.75,9.0,48
35,36,T87,Jonathan Byrd,43,18.64,11.0,59
36,T37,T36,Lucas Bjerregaard,37,18.42,7.0,38
37,T37,40,Ian Poulter,49,18.42,7.0,38
38,39,41,Jason Day,45,18.37,9.0,49
39,40,42,Sung Kang,67,18.28,17.0,93
40,T41,32,Ollie Schniederjans,63,18.0,18.0,100
41,T41,89,Chris Thompson,34,18.0,9.0,50
42,43,27,Dominic Bozzelli,53,17.86,10.0,56
43,44,45,Adam Scott,41,17.78,8.0,45
44,45,47,Sam Burns,66,17.72,14.0,79
45,T46,46,Anders Albertson,48,17.65,12.0,68
46,T46,52,Rory McIlroy,50,17.65,9.0,51
47,48,50,Cameron Champ,58,17.59,19.0,108
48,49,51,Keith Mitchell,64,17.57,13.0,74
49,50,T61,Josh Teater,47,17.39,8.0,46
50,51,53,Sam Ryder,52,17.31,9.0,52
51,52,T54,J.T. Poston,76,17.24,15.0,87
52,53,T56,Cameron Smith,55,17.19,11.0,64
53,T54,T58,Tyrrell Hatton,46,17.14,6.0,35
54,T54,T58,Haotong Li,32,17.14,6.0,35
55,56,69,Scott Brown,66,17.11,13.0,76
56,57,T54,Adam Svensson,51,16.95,10.0,59
57,T58,48,Harris English,72,16.67,18.0,108
58,T58,T36,Talor Gooch,37,16.67,9.0,54
59,T58,T61,Emiliano Grillo,65,16.67,7.0,42
60,T58,60,Bill Haas,58,16.67,10.0,60
61,T58,43,Brooks Koepka,49,16.67,8.0,48
62,T58,T56,Roger Sloan,62,16.67,12.0,72
63,T58,49,Kevin Tway,62,16.67,12.0,72
64,T58,T61,Tiger Woods,31,16.67,6.0,36
65,66,44,Carlos Ortiz,60,16.36,18.0,110
66,67,71,Brandon Harkins,67,16.33,16.0,98
67,T68,67,Kiradech Aphibarnrat,49,16.28,7.0,43
