,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,2,Jason Day,45,31.0,31,100
1,2,3,Vaughn Taylor,69,30.87,71,230
2,3,4,Kiradech Aphibarnrat,49,30.51,36,118
3,4,1,Matt Kuchar,65,30.16,57,189
4,5,5,Pat Perez,52,29.76,25,84
5,6,7,Sam Ryder,52,29.51,36,122
6,7,8,Jordan Spieth,57,29.45,48,163
7,8,9,Ryan Moore,54,29.41,40,136
8,9,23,Brandt Snedeker,68,28.57,54,189
9,10,14,Anirban Lahiri,54,28.15,38,135
10,11,12,Adam Schenk,80,28.0,63,225
11,T12,19,Nate Lashley,44,27.91,36,129
12,T12,18,J.J. Spaun,68,27.91,48,172
13,14,11,Peter Malnati,64,27.7,59,213
14,15,T20,Jhonattan Vegas,60,27.66,39,141
15,16,24,Rickie Fowler,54,27.34,38,139
16,17,25,Adam Scott,41,27.12,16,59
17,18,22,Zach Johnson,50,27.07,36,133
18,19,10,Justin Thomas,49,27.05,33,122
19,20,26,Rafa Cabrera Bello,57,27.03,30,111
20,21,T20,Scott Piercy,70,26.94,52,193
21,22,28,Kevin Na,54,26.73,27,101
22,23,35,Jonathan Byrd,43,26.45,32,121
23,24,17,Matt Every,38,26.42,28,106
24,25,16,Brian Gay,79,26.41,61,231
25,26,30,Bryson DeChambeau,45,26.32,30,114
26,27,31,Rory Sabbatini,71,26.23,48,183
27,28,32,Paul Casey,51,26.14,23,88
28,29,T37,Curtis Luck,51,26.05,31,119
29,30,51,Hank Lebioda,55,25.95,34,131
30,T31,29,Brandon Harkins,67,25.89,51,197
31,T31,T37,Cameron Smith,55,25.89,29,112
32,33,39,Brian Stuard,76,25.87,52,201
33,34,27,Dylan Frittelli,55,25.79,41,159
34,35,41,Matt Jones,67,25.78,33,128
35,36,43,Matt Wallace,31,25.76,17,66
36,37,15,Jim Furyk,53,25.74,35,136
37,38,44,Hideki Matsuyama,59,25.71,27,105
38,T39,T46,Matthew Fitzpatrick,42,25.53,24,94
39,T39,T46,Justin Harding,31,25.53,12,47
40,41,48,Michael Thompson,56,25.5,38,149
41,T42,49,Patrick Cantlay,49,25.37,34,134
42,T42,59,José de Jesús Rodríguez,51,25.37,34,134
43,T44,50,Freddie Jacobson,37,25.3,21,83
44,T44,33,Scott Langley,60,25.3,42,166
45,46,108,Danny Willett,47,25.22,29,115
46,47,36,Julián Etulain,55,25.17,36,143
47,48,34,Alex Prugh,54,25.15,41,163
48,49,40,Ollie Schniederjans,63,25.13,47,187
49,T50,52,Scott Brown,66,25.0,37,148
50,T50,42,Johnson Wagner,45,25.0,26,104
51,52,54,Kyle Jones,49,24.82,35,141
52,53,55,Sungjae Im,88,24.79,59,238
53,54,13,Talor Gooch,37,24.72,22,89
54,T55,92,Roberto Castro,54,24.66,36,146
55,T55,58,Andrew Putnam,57,24.66,36,146
56,T57,53,Corey Conners,62,24.62,48,195
57,T57,45,Cameron Tringale,52,24.62,32,130
58,59,62,Bill Haas,58,24.53,39,159
59,60,61,Beau Hossler,66,24.52,51,208
60,61,74,Wes Roach,45,24.49,24,98
61,62,73,Adam Hadwin,66,24.4,41,168
62,63,65,Gary Woodland,63,24.26,33,136
63,64,67,Shawn Stefani,57,24.14,28,116
64,65,66,Joaquin Niemann,68,24.07,52,216
65,T66,76,Ben Crane,41,24.0,24,100
66,T66,68,Charl Schwartzel,34,24.0,12,50
67,68,69,Si Woo Kim,65,23.97,35,146
68,69,60,Dustin Johnson,47,23.91,33,138
69,70,80,Brooks Koepka,49,23.89,27,113
70,71,88,Ryan Palmer,56,23.74,33,139
71,72,T122,Russell Henley,56,23.7,32,135
72,73,72,Chris Kirk,47,23.68,27,114
73,74,64,Hudson Swafford,59,23.67,40,169
74,75,57,Sergio Garcia,39,23.66,22,93
75,76,75,Chez Reavie,67,23.57,33,140
76,77,T81,Sebastián Muñoz,58,23.48,27,115
77,78,T81,Roger Sloan,62,23.47,46,196
78,79,78,J.T. Poston,76,23.41,48,205
79,80,79,Kevin Streelman,63,23.4,44,188
80,81,70,Denny McCarthy,63,23.33,35,150
81,82,84,Sung Kang,67,23.16,41,177
82,T83,T85,Luke List,52,23.13,34,147
83,T83,T85,Jon Rahm,51,23.13,31,134
84,T85,63,Bud Cauley,61,23.12,40,173
85,T85,87,Andrew Landry,56,23.12,40,173
86,87,71,Jim Herman,37,23.08,21,91
87,88,T89,Aaron Baddeley,51,23.02,29,126
88,89,91,Xander Schauffele,55,23.01,26,113
89,90,94,Justin Rose,42,22.83,21,92
90,91,114,Wyndham Clark,61,22.8,44,193
91,92,T89,Ben Silverman,54,22.78,36,158
92,93,56,Sepp Straka,48,22.76,28,123
93,94,77,Nick Watney,67,22.75,43,189
94,T95,95,Russell Knox,65,22.73,40,176
95,T95,83,Rory McIlroy,50,22.73,30,132
96,97,110,J.B. Holmes,54,22.56,30,133
97,T98,T111,Ryan Armour,66,22.54,39,173
98,T98,T98,Ryan Blaum,67,22.54,39,173
99,T98,T98,Troy Merritt,42,22.54,32,142
100,101,101,John Huh,35,22.5,18,80
101,102,999,Shane Lowry,30,22.47,20,89
102,103,103,Branden Grace,62,22.45,33,147
103,104,106,D.A. Points,33,22.39,15,67
104,105,109,Emiliano Grillo,65,22.32,25,112
105,106,107,Cameron Davis,54,22.22,34,153
106,107,T111,Lucas Glover,62,22.16,39,176
107,108,96,Nick Taylor,70,22.12,50,226
108,109,113,Sam Burns,66,22.11,42,190
109,110,97,Martin Laird,60,21.84,38,174
110,111,118,Phil Mickelson,41,21.8,29,133
111,112,147,Chris Thompson,34,21.74,20,92
112,113,119,Kevin Kisner,65,21.68,31,143
