,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Justin Thomas,49,-.203
1,2,3,Rory McIlroy,50,-.195
2,3,2,Justin Rose,42,-.187
3,4,5,Adam Scott,41,-.169
4,5,4,Dustin Johnson,47,-.166
5,6,6,Jason Kokrak,68,-.155
6,T7,10,Matt Every,38,-.154
7,T7,7,Hideki Matsuyama,59,-.154
8,9,9,Charles Howell III,64,-.152
9,10,11,Patrick Cantlay,49,-.144
10,T11,8,D.J. Trahan,33,-.142
11,T11,12,Tiger Woods,31,-.142
12,13,22,Matt Kuchar,65,-.141
13,T14,T14,Troy Merritt,42,-.139
14,T14,T14,Jordan Spieth,57,-.139
15,16,16,Xander Schauffele,55,-.138
16,17,T17,Peter Malnati,64,-.136
17,18,13,Scott Piercy,70,-.135
18,T19,T19,Jon Rahm,51,-.133
19,T19,T19,Gary Woodland,63,-.133
20,21,26,Hank Lebioda,55,-.132
21,22,23,Andrew Putnam,57,-.131
22,23,T27,Webb Simpson,53,-.130
23,24,T19,Sergio Garcia,39,-.125
24,25,24,Bryson DeChambeau,45,-.124
25,26,25,Rickie Fowler,54,-.123
26,27,T17,Brooks Koepka,49,-.121
27,T28,T29,Aaron Baddeley,51,-.118
28,T28,T29,Tony Finau,61,-.118
29,T28,T38,Brandt Snedeker,68,-.118
30,T31,T31,Jason Day,45,-.117
31,T31,T31,Sung Kang,67,-.117
32,T31,T59,Wes Roach,45,-.117
33,T31,T31,Vaughn Taylor,69,-.117
34,35,T27,Sungjae Im,88,-.116
35,36,T40,Michael Thompson,56,-.114
36,37,42,Si Woo Kim,65,-.113
37,T38,T31,Denny McCarthy,63,-.112
38,T38,T43,Sam Ryder,52,-.112
39,T38,T31,Adam Schenk,80,-.112
40,T38,T31,Nick Watney,67,-.112
41,T42,T38,Talor Gooch,37,-.111
42,T42,45,Patrick Rodgers,44,-.111
43,44,46,Ryan Moore,54,-.110
44,45,47,Ryan Blaum,67,-.108
45,T46,T40,Bud Cauley,61,-.107
46,T46,T43,Corey Conners,62,-.107
47,T46,T48,Lucas Glover,62,-.107
48,T46,T31,Nate Lashley,44,-.107
49,T46,T48,Ian Poulter,49,-.107
50,T46,T48,Rory Sabbatini,71,-.107
51,T52,T66,Graeme McDowell,61,-.103
52,T52,57,Sebastián Muñoz,58,-.103
53,T54,T53,Matt Jones,67,-.100
54,T54,T53,Kevin Na,54,-.100
55,T56,56,Kevin Kisner,65,-.099
56,T56,52,Scott Stallings,63,-.099
57,58,58,Paul Casey,51,-.097
58,T59,T61,Billy Horschel,73,-.095
59,T59,T63,Stephan Jaeger,59,-.095
60,T59,T53,Ollie Schniederjans,63,-.095
61,T59,T66,Bubba Watson,47,-.095
62,63,T59,Martin Laird,60,-.094
63,64,65,Kevin Streelman,63,-.093
64,T65,T87,Roberto Castro,54,-.092
65,T65,T69,Wyndham Clark,61,-.092
66,T65,999,Shane Lowry,30,-.092
67,68,92,José de Jesús Rodríguez,51,-.091
68,T69,T69,Stewart Cink,33,-.090
69,T69,T61,Trey Mullinax,67,-.090
70,T69,T69,Brian Stuard,76,-.090
71,T69,T81,Nick Taylor,70,-.090
72,T73,T76,Jim Furyk,53,-.089
73,T73,73,Charley Hoffman,58,-.089
74,T75,68,Adam Svensson,51,-.088
75,T75,T74,Jhonattan Vegas,60,-.088
76,T77,T76,Emiliano Grillo,65,-.087
77,T77,T76,James Hahn,34,-.087
78,T77,T76,Marc Leishman,52,-.087
79,T77,T83,Ryan Palmer,56,-.087
80,81,80,Byeong Hun An,54,-.086
81,82,T69,Alex Prugh,54,-.085
82,T83,T63,Dominic Bozzelli,53,-.084
83,T83,T83,Cameron Champ,58,-.084
84,85,T98,Henrik Stenson,46,-.083
85,86,T81,Tom Hoge,70,-.082
86,T87,90,Russell Knox,65,-.081
87,T87,T87,Richy Werenski,63,-.081
88,89,T87,Brandon Harkins,67,-.079
89,90,93,Luke List,52,-.078
90,T91,T96,Jonas Blixt,66,-.076
91,T91,T117,Adam Hadwin,66,-.076
92,T93,T98,Tommy Fleetwood,43,-.074
93,T93,T104,Danny Lee,66,-.074
94,T93,T98,Patrick Reed,53,-.074
95,T93,T96,Aaron Wise,52,-.074
96,T97,T101,Martin Kaymer,38,-.073
97,T97,T101,Keith Mitchell,64,-.073
98,T97,T94,Sam Saunders,53,-.073
99,T97,T83,Peter Uihlein,65,-.073
100,T97,T121,Harold Varner III,62,-.073
101,T102,T83,Anders Albertson,48,-.072
102,T102,103,Joel Dahmen,78,-.072
103,T104,T124,Scott Brown,66,-.071
104,T104,T134,Ben Crane,41,-.071
105,T104,T113,Dylan Frittelli,55,-.071
106,T104,T113,Seamus Power,58,-.071
107,T104,T74,Johnson Wagner,45,-.071
108,T109,T124,Roberto Díaz,51,-.070
109,T109,T107,J.T. Poston,76,-.070
110,T111,T109,Kiradech Aphibarnrat,49,-.069
111,T111,T109,Rafa Cabrera Bello,57,-.069
112,T111,T94,Julián Etulain,55,-.069
113,T111,T109,Andrew Landry,56,-.069
114,T111,T109,Chez Reavie,67,-.069
115,T111,T136,Ben Silverman,54,-.069
116,T111,T104,Kevin Tway,62,-.069
117,118,91,Chase Wright,53,-.068
118,T119,T117,Haotong Li,32,-.067
119,T119,T117,Francesco Molinari,41,-.067
120,T119,T104,Sepp Straka,48,-.067
121,T122,T121,Sam Burns,66,-.066
122,T122,T136,Zach Johnson,50,-.066
123,T124,T146,Sangmoon Bae,42,-.065
124,T124,T117,Brian Gay,79,-.065
125,T124,T146,Cameron Tringale,52,-.065
126,T127,T121,Ryan Armour,66,-.064
127,T127,T107,Carlos Ortiz,60,-.064
128,T127,T124,Cameron Smith,55,-.064
129,T130,T128,Branden Grace,62,-.062
130,T130,T128,Max Homa,61,-.062
131,T130,T128,Chris Kirk,47,-.062
132,133,T136,J.J. Spaun,68,-.061
133,134,132,Matthew Fitzpatrick,42,-.060
134,T135,133,C.T. Pan,64,-.059
135,T135,127,Hudson Swafford,59,-.059
136,T137,145,Cody Gribble,52,-.057
137,T137,T150,Curtis Luck,51,-.057
138,T137,T136,Hunter Mahan,45,-.057
139,T137,T136,Matt Wallace,31,-.057
140,T141,T134,Fabián Gómez,44,-.056
141,T141,T141,Beau Hossler,66,-.056
142,T143,T141,Russell Henley,56,-.055
143,T143,144,Patton Kizzire,58,-.055
144,T143,131,Roger Sloan,62,-.055
145,T143,T113,Shawn Stefani,57,-.055
146,147,T113,Brady Schnell,38,-.054
147,148,T154,Keegan Bradley,65,-.053
148,T149,T150,Abraham Ancer,69,-.050
149,T149,T150,Tyrrell Hatton,46,-.050
150,T149,T146,Jim Herman,37,-.050
151,T149,149,Robert Streb,60,-.050
152,153,158,Harris English,72,-.049
153,T154,T169,Daniel Berger,48,-.048
154,T154,T141,Cameron Davis,54,-.048
155,T156,153,Austin Cook,50,-.047
156,T156,T154,Ernie Els,43,-.047
157,T156,161,Jimmy Walker,61,-.047
158,T159,T159,Jim Knous,55,-.046
159,T159,999,Martin Piller,30,-.046
160,161,157,Kyoung-Hoon Lee,72,-.045
161,T162,T154,J.B. Holmes,54,-.043
162,T162,T159,Adam Long,52,-.043
163,164,T166,Kramer Hickok,59,-.042
164,T165,162,Kyle Jones,49,-.041
165,T165,T163,Whee Kim,57,-.041
166,T167,T163,Chesson Hadley,58,-.040
167,T167,T163,Phil Mickelson,41,-.040
168,T167,T169,Joaquin Niemann,68,-.040
169,T170,195,Joey Garber,44,-.039
170,T170,T174,Scott Langley,60,-.039
171,T172,T183,Jonathan Byrd,43,-.038
172,T172,T166,Freddie Jacobson,37,-.038
173,T174,T169,Pat Perez,52,-.037
174,T174,T179,Danny Willett,47,-.037
175,T176,T181,Brian Harman,67,-.036
176,T176,173,Louis Oosthuizen,43,-.036
177,178,T174,John Huh,35,-.034
178,T179,178,Jason Dufner,56,-.032
179,T179,T174,Bill Haas,58,-.032
180,T181,T166,Alex Noren,49,-.031
181,T181,T179,Brendan Steele,50,-.031
182,183,T169,John Chin,38,-.030
183,184,T181,Justin Harding,31,-.029
184,185,T183,Anirban Lahiri,54,-.027
185,186,185,Kyle Stanley,53,-.026
186,187,186,John Senden,39,-.025
187,188,190,Chris Thompson,34,-.024
188,189,T174,Josh Teater,47,-.023
189,190,T191,Alex Cejka,41,-.019
190,T191,189,Tyler Duncan,66,-.017
191,T191,199,Mackenzie Hughes,58,-.017
192,193,T187,Martin Trainer,51,-.016
193,194,194,Brice Garnett,63,-.014
194,195,196,Bronson Burgoon,37,-.013
195,T196,193,David Hearn,41,-.012
196,T196,T197,Charl Schwartzel,34,-.012
197,T196,T187,Chris Stroud,54,-.012
198,199,T191,Kelly Kraft,67,-.007
199,T200,200,Michael Kim,51,-.005
200,T200,T197,Seth Reeves,52,-.005
201,202,201,Lucas Bjerregaard,37,-.004
202,T203,202,Grayson Murray,36,E
203,T203,207,Rod Pampling,40,E
204,205,203,J.J. Henry,42,+.011
205,T206,204,Satoshi Kodaira,51,+.017
206,T206,999,Tyrone Van Aswegen,30,+.017
207,208,205,"Ted Potter, Jr.",56,+.018
208,209,206,D.A. Points,33,+.020
