,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,T1,Corey Conners,62,"28' 8""",598,17121.083,-64.00
1,2,T1,Patrick Cantlay,49,"28' 10""",411,11858.917,-59.00
2,3,T3,Tiger Woods,31,"29' 1""",289,8408.25,-41.00
3,4,6,Tom Hoge,70,"29' 7""",601,17789.417,-49.00
4,T5,T12,Rory McIlroy,50,"29' 9""",473,14064.083,-92.00
5,T5,T7,Trey Mullinax,67,"29' 9""",600,17865.333,-54.00
6,T5,5,Justin Thomas,49,"29' 9""",404,12016.25,-82.00
7,T8,T12,Keegan Bradley,65,"29' 10""",628,18748.167,-33.00
8,T8,T10,Whee Kim,57,"29' 10""",392,11707.417,-16.00
9,10,T7,Charley Hoffman,58,"30' 0""",439,13157.167,-39.00
10,11,9,Joaquin Niemann,68,"30' 1""",671,20208.333,-27.00
11,12,T24,Jim Furyk,53,"30' 3""",609,18436.833,-54.00
12,T13,999,Shane Lowry,30,"30' 4""",260,7889.5830000000005,-24.00
13,T13,T10,Nick Watney,67,"30' 4""",632,19146.083,-71.00
14,T13,T12,Gary Woodland,63,"30' 4""",547,16610.0,-73.00
15,T16,T16,Ryan Armour,66,"30' 5""",715,21776.833,-46.00
16,T16,15,Bronson Burgoon,37,"30' 5""",387,11777.0,-5.00
17,T16,999,Tyrone Van Aswegen,30,"30' 5""",238,7238.0,+4.00
18,T19,T16,Russell Knox,65,"30' 6""",681,20775.583,-55.00
19,T19,T16,Jason Kokrak,68,"30' 6""",683,20827.833,-106.00
20,T21,T19,Chesson Hadley,58,"30' 7""",529,16192.583,-21.00
21,T21,T29,Ryan Palmer,56,"30' 7""",497,15184.333,-43.00
22,T21,T33,Adam Svensson,51,"30' 7""",480,14690.0,-42.00
23,T21,T19,Vaughn Taylor,69,"30' 7""",796,24312.917,-93.00
24,T25,T29,Adam Hadwin,66,"30' 8""",619,18991.25,-47.00
25,T25,T21,Matt Kuchar,65,"30' 8""",666,20408.333,-94.00
26,T25,T21,Hideki Matsuyama,59,"30' 8""",558,17127.583,-86.00
27,T25,T21,Chez Reavie,67,"30' 8""",579,17771.333,-40.00
28,T29,T40,Talor Gooch,37,"30' 9""",386,11865.5,-43.00
29,T29,T24,Emiliano Grillo,65,"30' 9""",552,16992.333,-48.00
30,T31,T26,Joel Dahmen,78,"30' 10""",755,23265.0,-54.00
31,T31,T26,Grayson Murray,36,"30' 10""",293,9024.167,E
32,T33,T29,Abraham Ancer,69,"30' 11""",686,21190.75,-34.00
33,T33,T29,Troy Merritt,42,"30' 11""",467,14448.5,-65.00
34,T33,T26,Alex Prugh,54,"30' 11""",460,14203.583,-39.00
35,T36,T33,Tyrrell Hatton,46,"31' 0""",402,12465.5,-20.00
36,T36,T33,Haotong Li,32,"31' 0""",253,7840.25,-17.00
37,T36,T33,Cameron Smith,55,"31' 0""",405,12555.583,-26.00
38,T39,T37,Rickie Fowler,54,"31' 1""",570,17724.583,-70.00
39,T39,T43,Russell Henley,56,"31' 1""",600,18636.417,-33.00
40,T39,T37,Brian Stuard,76,"31' 1""",769,23907.583,-69.00
41,42,39,Josh Teater,47,"31' 3""",394,12301.667,-9.00
42,T43,T40,Max Homa,61,"31' 4""",593,18587.667,-37.00
43,T43,65,Brooks Koepka,49,"31' 4""",364,11397.25,-44.00
44,T45,T54,J.B. Holmes,54,"31' 5""",323,10154.5,-14.00
45,T45,T46,Nate Lashley,44,"31' 5""",413,12961.917,-44.00
46,T45,42,Marc Leishman,52,"31' 5""",447,14029.417,-39.00
47,T48,T43,Andrew Landry,56,"31' 6""",598,18819.75,-41.00
48,T48,T43,Brendan Steele,50,"31' 6""",485,15267.167,-15.00
49,T50,T60,Alex Cejka,41,"31' 7""",360,11383.917,-7.00
50,T50,T46,Jason Dufner,56,"31' 7""",539,17004.833,-17.00
51,T50,T46,Jon Rahm,51,"31' 7""",414,13063.667,-55.00
52,T50,T51,Hudson Swafford,59,"31' 7""",594,18740.083,-35.00
53,T54,T51,Kramer Hickok,59,"31' 8""",572,18105.583,-24.00
54,T54,T49,Phil Mickelson,41,"31' 8""",321,10164.333,-13.00
55,T54,T49,Sam Ryder,52,"31' 8""",518,16383.167,-58.00
56,T57,T51,Andrew Putnam,57,"31' 9""",451,14306.333,-59.00
57,T57,T54,Peter Uihlein,65,"31' 9""",496,15763.0,-36.00
58,T59,T54,Tony Finau,61,"31' 10""",467,14883.75,-55.00
59,T59,T54,J.T. Poston,76,"31' 10""",828,26389.667,-58.00
60,T59,T54,Justin Rose,42,"31' 10""",358,11389.083,-67.00
61,T59,T54,Xander Schauffele,55,"31' 10""",428,13622.417,-59.00
62,T63,T60,Byeong Hun An,54,"31' 11""",454,14473.75,-39.00
63,T63,T82,Hank Lebioda,55,"31' 11""",521,16644.333,-69.00
64,T65,T71,Scott Brown,66,"32' 0""",633,20266.5,-45.00
65,T65,62,Branden Grace,62,"32' 0""",439,14034.083,-27.00
66,T67,T73,Tyler Duncan,66,"32' 1""",643,20638.75,-11.00
67,T67,T66,Scott Langley,60,"32' 1""",670,21489.167,-26.00
68,T67,T63,Louis Oosthuizen,43,"32' 1""",337,10824.417,-12.00
69,T67,T63,Adam Scott,41,"32' 1""",295,9459.833,-50.00
70,T71,T66,Scott Piercy,70,"32' 2""",676,21759.75,-91.00
71,T71,T66,Ollie Schniederjans,63,"32' 2""",514,16527.833,-49.00
72,T73,T66,Lucas Glover,62,"32' 3""",728,23477.167,-78.00
73,T73,T82,Peter Malnati,64,"32' 3""",640,20664.417,-87.00
74,T73,T90,Brady Schnell,38,"32' 3""",349,11265.0,-19.00
75,T73,T66,Kyle Stanley,53,"32' 3""",416,13402.917,-11.00
76,T77,T90,Roberto Castro,54,"32' 4""",554,17904.417,-51.00
77,T77,T82,Zach Johnson,50,"32' 4""",547,17673.0,-36.00
78,T77,T100,Jim Knous,55,"32' 4""",437,14120.417,-20.00
79,T77,T90,Danny Lee,66,"32' 4""",645,20868.583,-48.00
80,T77,T71,Adam Long,52,"32' 4""",580,18749.083,-25.00
81,T77,T76,Sebastián Muñoz,58,"32' 4""",506,16358.167,-52.00
82,T83,T97,Bud Cauley,61,"32' 5""",700,22711.833,-75.00
83,T83,T104,Matt Every,38,"32' 5""",331,10723.917,-51.00
84,T83,T82,Brandon Harkins,67,"32' 5""",581,18814.583,-46.00
85,T83,T73,C.T. Pan,64,"32' 5""",557,18075.917,-33.00
86,T83,T82,Adam Schenk,80,"32' 5""",792,25664.333,-89.00
87,T83,T90,Scott Stallings,63,"32' 5""",604,19602.917,-60.00
88,T83,T120,Harold Varner III,62,"32' 5""",668,21677.917,-49.00
89,T90,T76,Paul Casey,51,"32' 6""",421,13697.0,-41.00
90,T90,T76,Si Woo Kim,65,"32' 6""",486,15783.5,-55.00
91,T90,T76,Luke List,52,"32' 6""",513,16658.333,-40.00
92,T90,T76,Ryan Moore,54,"32' 6""",616,20034.333,-68.00
93,T94,T82,Kevin Na,54,"32' 7""",430,14017.583,-43.00
94,T94,T82,Kevin Streelman,63,"32' 7""",723,23568.333,-67.00
95,T96,T111,Ben Crane,41,"32' 8""",365,11917.083,-26.00
96,T96,T90,James Hahn,34,"32' 8""",218,7129.5,-19.00
97,T96,T90,Michael Kim,51,"32' 8""",420,13706.333,-2.00
98,T96,T90,Patrick Rodgers,44,"32' 8""",478,15602.917,-53.00
99,T96,T73,Roger Sloan,62,"32' 8""",599,19562.167,-33.00
100,T96,T104,Robert Streb,60,"32' 8""",565,18463.0,-28.00
101,T96,T120,D.J. Trahan,33,"32' 8""",218,7112.8330000000005,-31.00
102,T96,T111,Kevin Tway,62,"32' 8""",537,17529.083,-37.00
103,T104,T82,Fabián Gómez,44,"32' 9""",408,13360.0,-23.00
104,T104,T97,Sung Kang,67,"32' 9""",685,22426.25,-80.00
105,T104,T128,Graeme McDowell,61,"32' 9""",517,16933.583,-53.00
106,T104,T97,Francesco Molinari,41,"32' 9""",357,11677.5,-24.00
107,T104,T104,Sam Saunders,53,"32' 9""",560,18346.167,-41.00
108,T104,T100,Danny Willett,47,"32' 9""",465,15239.083,-17.00
109,T104,T120,Chase Wright,53,"32' 9""",529,17330.5,-36.00
110,T111,T76,Anders Albertson,48,"32' 10""",419,13767.75,-30.00
111,T111,T116,Austin Cook,50,"32' 10""",486,15968.417,-23.00
112,T111,T100,Bryson DeChambeau,45,"32' 10""",507,16632.167,-63.00
