,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
0,1,1,Bubba Watson,47,78.9,15,19,-7.00
1,2,2,Phil Mickelson,41,77.3,17,22,-6.00
2,3,3,Tiger Woods,31,71.4,10,14,-1.00
3,4,4,James Hahn,34,68.4,13,19,-2.00
4,5,T5,Troy Merritt,42,66.7,16,24,-4.00
5,6,7,Billy Horschel,73,66.1,39,59,-2.00
6,7,8,Hudson Swafford,59,65.7,23,35,-4.00
7,8,9,Kevin Kisner,65,65.6,21,32,+1.00
8,T9,T5,John Chin,38,65.4,17,26,-4.00
9,T9,14,Josh Teater,47,65.4,17,26,-2.00
10,11,T10,Cameron Smith,55,65.1,28,43,-7.00
11,12,12,Sergio Garcia,39,64.7,11,17,-2.00
12,13,T10,Harold Varner III,62,64.4,29,45,-4.00
13,14,13,Corey Conners,62,64.3,18,28,-1.00
14,15,T16,D.J. Trahan,33,63.6,7,11,-1.00
15,16,15,Stewart Cink,33,63.3,19,30,-1.00
16,T17,T20,J.J. Henry,42,62.5,15,24,-2.00
17,T17,19,Matt Kuchar,65,62.5,20,32,-5.00
18,T17,T16,Ryan Palmer,56,62.5,25,40,-4.00
19,20,T16,Ollie Schniederjans,63,61.4,35,57,-12.00
20,21,22,Jim Knous,55,61.1,22,36,-4.00
21,22,T20,Justin Rose,42,60.9,28,46,-9.00
22,23,23,Jordan Spieth,57,60.5,23,38,-7.00
23,T24,T24,Bryson DeChambeau,45,60.0,15,25,-7.00
24,T24,T24,Dustin Johnson,47,60.0,12,20,-4.00
25,26,T26,Jhonattan Vegas,60,59.5,25,42,-3.00
26,27,28,Shawn Stefani,57,59.3,16,27,E
27,28,T54,Alex Cejka,41,59.1,13,22,-2.00
28,29,29,Xander Schauffele,55,59.0,23,39,-5.00
29,30,30,Chris Kirk,47,58.8,20,34,-5.00
30,T31,T31,Chesson Hadley,58,58.3,28,48,-4.00
31,T31,T31,Freddie Jacobson,37,58.3,14,24,+1.00
32,T31,T40,Danny Willett,47,58.3,21,36,-3.00
33,34,T33,Cameron Champ,58,58.1,18,31,E
34,35,T71,Sepp Straka,48,57.9,11,19,+1.00
35,36,T33,J.J. Spaun,68,57.8,26,45,-7.00
36,T37,T51,Curtis Luck,51,57.7,15,26,-4.00
37,T37,T35,Pat Perez,52,57.7,15,26,-5.00
38,39,38,Hideki Matsuyama,59,57.5,23,40,-2.00
39,40,39,Adam Long,52,57.4,31,54,-2.00
40,T41,T40,Jason Day,45,57.1,8,14,-3.00
41,T41,T40,Nate Lashley,44,57.1,20,35,-4.00
42,T41,T40,Keith Mitchell,64,57.1,20,35,-7.00
43,T41,T40,Webb Simpson,53,57.1,12,21,-1.00
44,45,T46,Tony Finau,61,56.8,21,37,E
45,46,48,John Huh,35,56.7,17,30,-2.00
46,T47,T49,Patrick Cantlay,49,56.5,13,23,-2.00
47,T47,T26,Peter Uihlein,65,56.5,26,46,-4.00
48,T47,T49,Matt Wallace,31,56.5,13,23,-3.00
49,T50,T51,Rickie Fowler,54,56.0,28,50,-9.00
50,T50,T60,Brady Schnell,38,56.0,14,25,-6.00
51,52,37,Alex Noren,49,55.9,19,34,-7.00
52,53,53,"Ted Potter, Jr.",56,55.8,24,43,-10.00
53,T54,T54,Michael Kim,51,55.6,20,36,E
54,T54,T46,Scott Piercy,70,55.6,25,45,-8.00
55,T54,T54,Adam Scott,41,55.6,15,27,-3.00
