,GIR_Percentage_-_100_yards_RANK THIS WEEK,GIR_Percentage_-_100_yards_RANK LAST WEEK,GIR_Percentage_-_100_yards_PLAYER NAME,GIR_Percentage_-_100_yards_ROUNDS,GIR_Percentage_-_100_yards_%,GIR_Percentage_-_100_yards_GREENS HIT,GIR_Percentage_-_100_yards_TOTAL HOLES,GIR_Percentage_-_100_yards_RELATIVE TO PAR
0,1,1,Corey Conners,62,70.71,437,618,-0.19
1,2,2,Rory McIlroy,50,69.54,331,476,-0.21
2,3,3,Tiger Woods,31,68.95,211,306,-0.18
3,4,10,Jim Furyk,53,67.28,436,648,-0.18
4,5,6,James Hahn,34,67.23,160,238,-0.13
5,6,5,D.J. Trahan,33,67.18,176,262,-0.16
6,7,4,Brooks Koepka,49,66.75,253,379,-0.18
7,8,9,Keegan Bradley,65,66.56,430,646,-0.11
8,9,11,Talor Gooch,37,66.23,304,459,-0.19
9,10,7,Matt Kuchar,65,65.91,435,660,-0.19
10,11,16,Alex Prugh,54,65.52,323,493,-0.13
11,12,13,Russell Knox,65,65.37,472,722,-0.15
12,13,19,Henrik Stenson,46,65.31,320,490,-0.13
13,14,14,Josh Teater,47,65.21,283,434,-0.14
14,15,17,Paul Casey,51,64.93,274,422,-0.14
15,16,18,Hideki Matsuyama,59,64.86,395,609,-0.19
16,17,12,Scott Piercy,70,64.81,466,719,-0.18
17,18,T33,Justin Thomas,49,64.29,288,448,-0.2
18,19,23,Kevin Streelman,63,64.16,494,770,-0.17
19,20,T24,Jason Kokrak,68,64.1,482,752,-0.21
20,21,26,Cameron Champ,58,64.09,389,607,-0.17
21,22,21,Nate Lashley,44,63.96,291,455,-0.19
22,23,31,Russell Henley,56,63.89,407,637,-0.15
23,24,20,Ryan Palmer,56,63.87,350,548,-0.21
24,25,27,Troy Merritt,42,63.77,294,461,-0.2
25,26,35,Adam Schenk,80,63.69,563,884,-0.22
26,27,28,Dustin Johnson,47,63.68,277,435,-0.21
27,28,29,Charles Howell III,64,63.67,375,589,-0.21
28,29,30,Aaron Wise,52,63.6,311,489,-0.14
29,T30,32,Marc Leishman,52,63.51,308,485,-0.18
30,T30,15,Johnson Wagner,45,63.51,308,485,-0.19
31,32,T33,Kyoung-Hoon Lee,72,63.45,427,673,-0.18
32,33,T24,Shawn Stefani,57,63.43,366,577,-0.15
33,34,37,Lucas Glover,62,63.41,494,779,-0.18
34,35,40,Jhonattan Vegas,60,63.33,411,649,-0.15
35,36,38,Trey Mullinax,67,63.31,440,695,-0.14
36,37,41,Carlos Ortiz,60,63.24,418,661,-0.12
37,38,39,Danny Willett,47,63.15,341,540,-0.13
38,39,43,Emiliano Grillo,65,63.12,380,602,-0.18
39,40,44,Tyrrell Hatton,46,63.04,278,441,-0.15
40,41,36,Nick Watney,67,63.02,443,703,-0.17
41,42,54,Hank Lebioda,55,62.98,359,570,-0.18
42,43,45,Patrick Cantlay,49,62.9,278,442,-0.21
43,44,46,Justin Rose,42,62.89,261,415,-0.24
44,45,47,Xander Schauffele,55,62.82,299,476,-0.17
45,46,48,Ian Poulter,49,62.8,265,422,-0.18
46,47,55,Webb Simpson,53,62.78,398,634,-0.2
47,48,22,Wes Roach,45,62.7,269,429,-0.15
48,49,T52,Jason Dufner,56,62.48,363,581,-0.12
49,50,70,Hudson Swafford,59,62.41,425,681,-0.19
50,51,63,Adam Svensson,51,62.4,327,524,-0.14
51,52,58,Gary Woodland,63,62.31,367,589,-0.16
52,53,49,Sungjae Im,88,62.29,588,944,-0.18
53,54,69,Ben Silverman,54,62.21,405,651,-0.19
54,55,80,Kevin Tway,62,62.16,368,592,-0.14
55,56,42,Tyler Duncan,66,62.15,417,671,-0.11
56,57,74,John Chin,38,62.14,192,309,-0.11
57,58,T59,Keith Mitchell,64,62.12,351,565,-0.16
58,59,84,Sebastián Muñoz,58,62.11,354,570,-0.17
59,60,T61,Lucas Bjerregaard,37,62.07,180,290,-0.09
60,61,T52,Harris English,72,62.04,523,843,-0.16
61,62,T61,Rickie Fowler,54,62.03,397,640,-0.21
62,63,50,J.J. Spaun,68,62.01,408,658,-0.17
63,64,56,J.J. Henry,42,61.86,253,409,-0.11
