,GIR_Percentage_-_75-100_yards_RANK THIS WEEK,GIR_Percentage_-_75-100_yards_RANK LAST WEEK,GIR_Percentage_-_75-100_yards_PLAYER NAME,GIR_Percentage_-_75-100_yards_ROUNDS,GIR_Percentage_-_75-100_yards_%,GIR_Percentage_-_75-100_yards_GREENS HIT,GIR_Percentage_-_75-100_yards_TOTAL HOLES,GIR_Percentage_-_75-100_yards_RELATIVE TO PAR
0,T1,T1,David Hearn,41,100.0,21,21,-0.05
1,T1,T1,John Huh,35,100.0,10,10,-0.10
2,3,3,Keegan Bradley,65,96.77,30,31,-0.43
3,4,4,Justin Harding,31,94.44,17,18,-0.29
4,5,7,Gary Woodland,63,92.86,26,28,-0.42
5,T6,5,Graeme McDowell,61,92.31,36,39,-0.39
6,T6,8,Ian Poulter,49,92.31,24,26,-0.29
7,8,9,Rafa Cabrera Bello,57,92.0,23,25,-0.22
8,9,10,Cameron Davis,54,91.43,32,35,-0.28
9,10,6,Hudson Swafford,59,90.91,30,33,-0.30
10,11,13,Jason Day,45,90.0,18,20,-0.39
11,12,999,Tyrone Van Aswegen,30,89.47,17,19,-0.24
12,T13,16,Aaron Baddeley,51,89.29,25,28,-0.16
13,T13,T11,Justin Thomas,49,89.29,25,28,-0.20
14,15,17,Anders Albertson,48,89.19,33,37,-0.27
15,16,26,Cody Gribble,52,88.89,32,36,-0.19
16,17,14,Brandt Snedeker,68,88.68,47,53,-0.43
17,18,19,Brian Stuard,76,88.57,62,70,-0.37
18,19,15,Corey Conners,62,88.24,45,51,-0.27
19,20,T21,Ollie Schniederjans,63,87.76,43,49,-0.35
20,T21,T21,Matt Jones,67,87.5,21,24,-0.38
21,T21,T21,Russell Knox,65,87.5,42,48,-0.31
22,T21,T36,Brooks Koepka,49,87.5,21,24,-0.19
23,T21,18,Scott Piercy,70,87.5,42,48,-0.33
24,25,25,Brendan Steele,50,87.18,34,39,-0.24
25,26,T27,J.T. Poston,76,87.04,47,54,-0.28
26,27,T29,John Senden,39,86.96,20,23,-0.20
27,T28,T36,Mackenzie Hughes,58,86.84,33,38,-0.27
28,T28,34,Nate Lashley,44,86.84,33,38,-0.33
29,30,T29,Peter Malnati,64,86.54,45,52,-0.42
30,T31,40,J.J. Henry,42,86.36,19,22,-0.16
31,T31,T32,Francesco Molinari,41,86.36,19,22,-0.37
32,33,35,Charles Howell III,64,86.05,37,43,-0.30
33,T34,T36,Rickie Fowler,54,85.71,30,35,-0.43
34,T34,T36,James Hahn,34,85.71,18,21,E
35,36,T11,Sergio Garcia,39,85.19,23,27,-0.22
36,37,41,Sam Ryder,52,84.85,28,33,-0.46
37,38,T27,Alex Prugh,54,84.75,50,59,-0.38
38,T39,T44,Dominic Bozzelli,53,84.62,22,26,-0.36
39,T39,42,Hunter Mahan,45,84.62,22,26,-0.41
40,T39,20,Denny McCarthy,63,84.62,22,26,-0.36
41,42,T32,Matt Kuchar,65,84.31,43,51,-0.37
42,43,T21,Chris Stroud,54,84.0,21,25,-0.24
43,44,47,Michael Thompson,56,83.78,31,37,-0.42
44,T45,T62,Martin Laird,60,83.72,36,43,-0.39
45,T45,67,Scott Langley,60,83.72,36,43,-0.39
46,T47,43,Harold Varner III,62,83.67,41,49,-0.27
47,T47,T48,Nick Watney,67,83.67,41,49,-0.37
48,49,T48,Nick Taylor,70,83.58,56,67,-0.29
49,T50,T59,Ryan Armour,66,83.33,30,36,-0.20
50,T50,T48,Beau Hossler,66,83.33,35,42,-0.26
51,T50,68,Stephan Jaeger,59,83.33,25,30,-0.16
52,T50,T48,Sung Kang,67,83.33,45,54,-0.40
53,T50,T48,Hideki Matsuyama,59,83.33,20,24,-0.25
54,T55,T55,Andrew Landry,56,82.98,39,47,-0.18
55,T55,T55,Adam Long,52,82.98,39,47,-0.18
56,57,T62,Kramer Hickok,59,82.93,34,41,-0.18
57,T58,T48,Matt Every,38,82.76,24,29,-0.38
58,T58,74,Shawn Stefani,57,82.76,24,29,-0.29
59,T58,T48,Sepp Straka,48,82.76,24,29,-0.21
60,61,58,Sam Saunders,53,82.61,38,46,-0.24
61,62,T59,Matt Wallace,31,82.35,14,17,-0.50
62,63,T62,Jason Dufner,56,82.05,32,39,-0.28
63,T64,T65,Charley Hoffman,58,81.82,27,33,-0.33
64,T64,T65,Freddie Jacobson,37,81.82,9,11,-0.67
65,T64,T77,Dustin Johnson,47,81.82,27,33,-0.37
66,T64,70,Rod Pampling,40,81.82,18,22,-0.33
67,T64,61,Ben Silverman,54,81.82,27,33,-0.19
68,69,69,Abraham Ancer,69,81.4,35,43,-0.40
69,70,T71,Jason Kokrak,68,81.08,30,37,-0.33
70,71,73,Justin Rose,42,80.95,17,21,-0.35
71,T72,T93,Sangmoon Bae,42,80.77,21,26,-0.29
72,T72,T44,Jim Furyk,53,80.77,21,26,-0.48
73,T72,92,Cameron Tringale,52,80.77,21,26,-0.48
74,75,88,Brandon Harkins,67,80.7,46,57,-0.39
75,T76,57,Roberto Díaz,51,80.56,29,36,-0.38
76,T76,76,Lucas Glover,62,80.56,29,36,-0.38
77,T76,124,Robert Streb,60,80.56,29,36,-0.07
78,T79,T77,Kiradech Aphibarnrat,49,80.0,24,30,-0.63
79,T79,T77,Bronson Burgoon,37,80.0,20,25,-0.15
80,T79,T77,Bud Cauley,61,80.0,36,45,-0.36
81,T79,T104,Bill Haas,58,80.0,20,25,-0.25
82,T79,T104,Jim Herman,37,80.0,20,25,-0.40
83,T79,87,Sungjae Im,88,80.0,56,70,-0.34
84,T79,T77,Chris Kirk,47,80.0,28,35,-0.36
85,T79,T71,Jim Knous,55,80.0,36,45,-0.31
86,T79,T111,Hank Lebioda,55,80.0,32,40,-0.41
87,T79,T77,Troy Merritt,42,80.0,28,35,-0.18
88,T79,91,Joaquin Niemann,68,80.0,48,60,-0.35
89,T79,T77,D.A. Points,33,80.0,12,15,-0.33
90,T79,T77,Patrick Rodgers,44,80.0,28,35,-0.21
91,T79,T77,Adam Scott,41,80.0,8,10,-0.50
92,T79,75,Chase Wright,53,80.0,28,35,-0.18
93,94,T111,Peter Uihlein,65,79.66,47,59,-0.23
94,95,T97,Jimmy Walker,61,79.55,35,44,-0.17
95,96,89,"Ted Potter, Jr.",56,79.49,31,39,-0.29
96,97,90,Phil Mickelson,41,79.41,27,34,-0.33
97,T98,T93,Stewart Cink,33,78.95,15,19,-0.07
98,T98,120,Russell Henley,56,78.95,30,38,-0.30
99,T98,T93,Kevin Kisner,65,78.95,30,38,-0.30
100,101,T97,Scott Brown,66,78.79,26,33,-0.31
101,102,T131,Dylan Frittelli,55,78.72,37,47,-0.35
102,T103,134,Lucas Bjerregaard,37,78.57,22,28,-0.23
103,T103,T97,Patrick Cantlay,49,78.57,22,28,-0.36
104,T103,T97,Satoshi Kodaira,51,78.57,22,28,-0.18
105,T103,T97,Xander Schauffele,55,78.57,22,28,-0.41
106,107,103,Rory Sabbatini,71,78.43,40,51,-0.43
107,T108,T104,Ryan Blaum,67,78.26,36,46,-0.47
108,T108,T104,Sam Burns,66,78.26,36,46,-0.28
109,T108,T131,Kyle Jones,49,78.26,36,46,-0.44
110,T108,T104,Kevin Streelman,63,78.26,36,46,-0.33
111,T108,159,Chris Thompson,34,78.26,18,23,-0.28
112,113,110,Seamus Power,58,78.13,25,32,-0.32
113,T114,T104,Daniel Berger,48,77.78,21,27,-0.33
114,T114,T121,Fabián Gómez,44,77.78,21,27,-0.29
115,T114,T77,Talor Gooch,37,77.78,14,18,-0.43
116,T114,T111,Branden Grace,62,77.78,28,36,-0.29
117,T114,T111,Luke List,52,77.78,28,36,-0.21
118,T114,T97,Scott Stallings,63,77.78,35,45,-0.23
119,120,T118,Trey Mullinax,67,77.59,45,58,-0.22
120,T121,T129,Roberto Castro,54,77.5,31,40,-0.39
121,T121,T125,Brian Harman,67,77.5,31,40,-0.39
122,123,T142,Danny Willett,47,77.42,24,31,-0.38
123,124,T131,Adam Schenk,80,77.27,34,44,-0.41
124,125,T118,Carlos Ortiz,60,77.19,44,57,-0.25
125,T126,T137,Jonas Blixt,66,76.92,30,39,-0.20
126,T126,T121,Charl Schwartzel,34,76.92,10,13,-0.50
127,128,123,Vaughn Taylor,69,76.83,63,82,-0.33
128,129,116,J.J. Spaun,68,76.74,33,43,-0.36
129,130,150,Jonathan Byrd,43,76.67,23,30,-0.35
130,131,T125,Pat Perez,52,76.47,13,17,-0.15
131,T132,T162,Tyler Duncan,66,76.32,29,38,-0.34
132,T132,T129,Anirban Lahiri,54,76.32,29,38,-0.38
133,134,T125,Roger Sloan,62,76.27,45,59,-0.29
134,T135,T125,Joey Garber,44,76.0,19,25,E
135,T135,117,Brian Gay,79,76.0,57,75,-0.32
136,T137,T135,Cameron Champ,58,75.86,44,58,-0.23
137,T137,178,Ben Crane,41,75.86,22,29,-0.41
138,T137,T135,Keith Mitchell,64,75.86,22,29,-0.50
139,140,T137,Emiliano Grillo,65,75.76,25,33,-0.28
140,141,139,Andrew Putnam,57,75.61,31,41,-0.55
141,T142,T140,Joel Dahmen,78,75.56,34,45,-0.35
142,T142,T140,Jon Rahm,51,75.56,34,45,-0.38
143,T144,T142,Tommy Fleetwood,43,75.0,15,20,-0.20
144,T144,169,Brice Garnett,63,75.0,27,36,-0.44
145,T144,T142,Chesson Hadley,58,75.0,27,36,-0.19
146,T144,T142,Tyrrell Hatton,46,75.0,18,24,-0.44
147,T144,T152,Tom Hoge,70,75.0,27,36,-0.33
148,T144,T142,Billy Horschel,73,75.0,33,44,-0.24
149,T144,T142,Martin Kaymer,38,75.0,18,24,-0.50
150,T144,T111,Whee Kim,57,75.0,15,20,-0.20
151,T144,96,Sebastián Muñoz,58,75.0,27,36,-0.37
152,T144,T44,Ryan Palmer,56,75.0,27,36,-0.37
153,T144,T142,Jhonattan Vegas,60,75.0,33,44,-0.24
154,T155,T165,J.B. Holmes,54,74.36,29,39,-0.45
155,T155,149,Ryan Moore,54,74.36,29,39,-0.41
156,157,T152,Martin Trainer,51,74.29,52,70,-0.25
157,T158,151,Byeong Hun An,54,73.91,17,23,-0.12
158,T158,T186,Alex Noren,49,73.91,17,23,-0.18
159,160,T174,D.J. Trahan,33,73.33,11,15,-0.27
160,161,154,Chez Reavie,67,73.17,30,41,-0.37
161,T162,185,Adam Hadwin,66,73.08,38,52,-0.39
162,T162,155,Jordan Spieth,57,73.08,38,52,-0.47
163,T164,T190,Rory McIlroy,50,72.73,16,22,-0.13
164,T164,T167,Bubba Watson,47,72.73,32,44,-0.03
165,T164,T182,Richy Werenski,63,72.73,24,33,-0.04
166,167,158,Patton Kizzire,58,72.41,21,29,-0.10
167,168,157,Julián Etulain,55,72.22,26,36,-0.23
168,T169,T190,Wyndham Clark,61,72.09,31,43,-0.29
169,T169,T167,José de Jesús Rodríguez,51,72.09,31,43,-0.52
170,T171,T160,Marc Leishman,52,72.0,18,25,-0.28
171,T171,999,Shane Lowry,30,72.0,18,25,-0.44
172,T171,T160,Kevin Na,54,72.0,18,25,-0.44
173,T171,T170,Johnson Wagner,45,72.0,18,25,-0.22
174,175,T162,Ernie Els,43,71.88,23,32,-0.26
175,176,T162,Zach Johnson,50,71.79,28,39,-0.32
176,T177,T186,Austin Cook,50,71.43,25,35,-0.28
177,T177,T165,Louis Oosthuizen,43,71.43,15,21,-0.20
178,T177,T190,Adam Svensson,51,71.43,30,42,-0.33
179,T177,177,Kevin Tway,62,71.43,40,56,-0.20
180,181,172,Kelly Kraft,67,71.15,37,52,-0.22
181,T182,T182,Brady Schnell,38,70.97,22,31,-0.27
182,T182,T196,Webb Simpson,53,70.97,22,31,-0.27
183,184,T170,Paul Casey,51,70.83,17,24,-0.12
184,185,156,Aaron Wise,52,70.73,29,41,-0.41
185,186,173,Josh Teater,47,70.59,24,34,-0.21
186,T187,T200,John Chin,38,70.0,14,20,-0.29
187,T187,T174,Matthew Fitzpatrick,42,70.0,21,30,-0.19
188,T187,999,Martin Piller,30,70.0,14,20,-0.21
189,T187,T200,Henrik Stenson,46,70.0,14,20,-0.36
190,T187,T174,Tiger Woods,31,70.0,7,10,-0.43
191,192,T179,Cameron Smith,55,69.23,18,26,-0.50
192,193,181,Max Homa,61,69.05,29,42,-0.21
193,T194,T182,Michael Kim,51,68.97,20,29,-0.05
194,T194,T179,Curtis Luck,51,68.97,20,29,-0.40
195,T196,T186,Patrick Reed,53,68.75,22,32,-0.23
196,T196,T186,Wes Roach,45,68.75,11,16,-0.27
197,T198,T193,Harris English,72,68.57,24,35,-0.08
198,T198,T193,Seth Reeves,52,68.57,24,35,-0.08
199,200,T193,Tony Finau,61,67.65,23,34,-0.26
200,T201,204,Alex Cejka,41,66.67,16,24,-0.31
201,T201,T196,Si Woo Kim,65,66.67,20,30,-0.50
202,203,198,Kyoung-Hoon Lee,72,65.63,21,32,-0.29
203,204,199,Haotong Li,32,65.38,17,26,-0.29
204,205,T200,Kyle Stanley,53,64.71,11,17,-0.27
205,206,203,Grayson Murray,36,62.5,15,24,-0.07
206,207,205,Bryson DeChambeau,45,60.87,14,23,-0.29
207,208,206,Danny Lee,66,60.0,27,45,-0.37
208,209,207,C.T. Pan,64,53.33,16,30,-0.31
