,GIR_Percentage_-__125_yards_RANK THIS WEEK,GIR_Percentage_-__125_yards_RANK LAST WEEK,GIR_Percentage_-__125_yards_PLAYER NAME,GIR_Percentage_-__125_yards_ROUNDS,GIR_Percentage_-__125_yards_%,GIR_Percentage_-__125_yards_GREENS HIT,GIR_Percentage_-__125_yards_TOTAL HOLES,GIR_Percentage_-__125_yards_RELATIVE TO PAR
0,1,2,Chris Kirk,47,88.83,159,179,-0.48
1,2,5,Corey Conners,62,88.21,232,263,-0.38
2,3,7,Xander Schauffele,55,88.04,184,209,-0.45
3,4,3,Denny McCarthy,63,88.02,213,242,-0.47
4,5,8,Hideki Matsuyama,59,87.98,183,208,-0.49
5,6,9,Jason Day,45,87.95,146,166,-0.51
6,7,10,Charles Howell III,64,87.5,224,256,-0.43
7,8,6,Bud Cauley,61,87.13,237,272,-0.51
8,9,11,Matt Jones,67,87.12,203,233,-0.52
9,10,4,Matt Kuchar,65,86.97,247,284,-0.49
10,11,1,Justin Thomas,49,86.76,190,219,-0.61
11,12,14,Rod Pampling,40,86.57,116,134,-0.31
12,13,18,Jim Furyk,53,86.29,151,175,-0.42
13,14,15,James Hahn,34,86.27,88,102,-0.44
14,15,16,Gary Woodland,63,86.17,218,253,-0.57
15,16,17,Adam Scott,41,85.84,97,113,-0.58
16,T17,13,Nate Lashley,44,85.71,150,175,-0.43
17,T17,25,Webb Simpson,53,85.71,198,231,-0.46
18,19,28,Nick Watney,67,85.66,227,265,-0.46
19,20,20,Paul Casey,51,85.47,147,172,-0.54
20,21,T21,Lucas Glover,62,85.45,229,268,-0.48
21,22,24,Brice Garnett,63,85.44,176,206,-0.4
22,23,12,Sebastián Muñoz,58,85.43,170,199,-0.51
23,24,19,Sergio Garcia,39,85.28,139,163,-0.5
24,25,23,John Senden,39,85.25,104,122,-0.45
25,26,26,Kevin Na,54,85.16,132,155,-0.52
26,27,27,Tiger Woods,31,85.15,86,101,-0.53
27,28,30,Dylan Frittelli,55,85.06,222,261,-0.49
28,29,29,Cameron Davis,54,85.0,204,240,-0.41
29,30,T46,Brooks Koepka,49,84.88,174,205,-0.53
30,31,31,Rory Sabbatini,71,84.78,245,289,-0.48
31,32,32,Martin Laird,60,84.76,228,269,-0.45
32,33,T21,Scott Piercy,70,84.56,241,285,-0.46
33,34,37,Ben Silverman,54,84.47,174,206,-0.39
34,35,33,Patrick Cantlay,49,84.28,193,229,-0.5
35,36,34,Kevin Streelman,63,84.27,241,286,-0.46
36,37,36,Russell Knox,65,84.17,202,240,-0.4
37,38,42,Sungjae Im,88,84.14,329,391,-0.5
38,39,38,Danny Willett,47,83.96,157,187,-0.46
39,40,35,Talor Gooch,37,83.78,124,148,-0.51
40,41,43,Brian Stuard,76,83.74,206,246,-0.4
41,42,59,Brandon Harkins,67,83.56,249,298,-0.48
42,43,45,Johnson Wagner,45,83.54,132,158,-0.46
43,44,40,Jonas Blixt,66,83.52,223,267,-0.43
44,45,48,John Huh,35,83.47,101,121,-0.4
45,46,49,Andrew Putnam,57,83.43,151,181,-0.4
46,47,56,Anders Albertson,48,83.42,166,199,-0.36
47,48,T51,Bryson DeChambeau,45,83.33,185,222,-0.55
48,49,53,Abraham Ancer,69,83.27,224,269,-0.46
49,50,T54,Ryan Moore,54,83.26,179,215,-0.51
50,51,57,Jason Dufner,56,83.24,154,185,-0.48
51,52,58,"Ted Potter, Jr.",56,83.19,188,226,-0.31
52,53,50,Joaquin Niemann,68,83.11,246,296,-0.4
53,54,T87,Cameron Tringale,52,83.07,157,189,-0.43
54,T55,70,Dominic Bozzelli,53,83.05,147,177,-0.45
55,T55,62,Pat Perez,52,83.05,98,118,-0.53
56,57,63,Patrick Reed,53,83.04,186,224,-0.44
