,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Justin Thomas,49,84.4,330,391
1,2,2,Trey Mullinax,67,84.3,376,446
2,3,3,Charles Howell III,64,83.27,453,544
3,4,4,Gary Woodland,63,82.9,451,544
4,5,6,Aaron Wise,52,81.84,347,424
5,6,7,Alex Prugh,54,81.76,354,433
6,7,5,Matt Kuchar,65,81.47,466,572
7,8,17,Martin Laird,60,81.2,380,468
8,9,8,Nick Watney,67,81.18,427,526
9,10,9,Ernie Els,43,81.1,279,344
10,11,16,John Chin,38,81.06,244,301
11,T12,T11,Cameron Champ,58,80.99,345,426
12,T12,T11,Jason Day,45,80.99,277,342
13,14,13,Marc Leishman,52,80.86,321,397
14,15,15,James Hahn,34,80.83,253,313
15,16,18,Xander Schauffele,55,80.54,356,442
16,17,19,Matt Jones,67,80.51,442,549
17,18,23,Corey Conners,62,80.15,432,539
18,19,25,Keith Mitchell,64,80.04,417,521
19,T20,24,Scott Stallings,63,80.0,364,455
20,T20,46,D.J. Trahan,33,80.0,204,255
21,22,20,Danny Lee,66,79.96,387,484
22,23,36,Rory McIlroy,50,79.95,307,384
23,24,26,Kyoung-Hoon Lee,72,79.84,503,630
24,25,T37,Kevin Tway,62,79.82,356,446
25,26,27,Byeong Hun An,54,79.81,328,411
26,27,28,Sebastián Muñoz,58,79.79,375,470
27,28,22,Nate Lashley,44,79.74,303,380
28,29,21,Peter Uihlein,65,79.69,357,448
29,30,31,Talor Gooch,37,79.67,239,300
30,31,14,Brooks Koepka,49,79.61,289,363
31,32,30,Adam Scott,41,79.52,264,332
32,33,33,Keegan Bradley,65,79.48,426,536
33,34,41,Dustin Johnson,47,79.4,266,335
34,35,35,Patrick Cantlay,49,79.27,283,357
35,36,32,Matt Every,38,79.26,237,299
36,37,T37,Tiger Woods,31,79.24,187,236
37,38,39,Phil Mickelson,41,79.17,209,264
38,39,40,Hunter Mahan,45,79.06,321,406
39,40,53,Dominic Bozzelli,53,79.01,335,424
40,41,42,Jason Kokrak,68,78.99,440,557
41,T42,T75,Jim Furyk,53,78.96,394,499
42,T42,T43,Justin Rose,42,78.96,244,309
43,44,45,Andrew Putnam,57,78.91,348,441
44,45,50,Jimmy Walker,61,78.86,373,473
45,T46,65,Lucas Bjerregaard,37,78.78,193,245
46,T46,49,Brendan Steele,50,78.78,349,443
47,48,58,Sepp Straka,48,78.68,299,380
48,49,52,Haotong Li,32,78.6,180,229
49,50,T43,Ryan Palmer,56,78.57,341,434
50,51,47,Scott Piercy,70,78.52,497,633
51,52,29,Johnson Wagner,45,78.5,314,400
52,53,54,Sung Kang,67,78.48,434,553
53,54,55,Branden Grace,62,78.47,339,432
54,55,34,Bubba Watson,47,78.46,255,325
55,56,48,J.J. Spaun,68,78.41,443,565
56,57,61,Adam Schenk,80,78.27,515,658
57,58,60,Russell Knox,65,78.24,417,533
58,59,73,Brandon Harkins,67,78.23,381,487
59,60,57,Nick Taylor,70,78.21,427,546
60,61,62,Charley Hoffman,58,78.11,339,434
61,62,T98,Chris Thompson,34,78.09,196,251
62,63,63,Emiliano Grillo,65,78.08,456,584
63,T64,64,Jason Dufner,56,78.07,381,488
64,T64,59,Danny Willett,47,78.07,299,383
65,66,69,J.B. Holmes,54,78.06,281,360
66,67,51,Jim Knous,55,78.01,305,391
67,68,67,Paul Casey,51,77.9,356,457
68,69,68,Kyle Stanley,53,77.88,345,443
69,70,56,Harold Varner III,62,77.85,383,492
70,71,70,Ian Poulter,49,77.81,305,392
71,72,T75,Fabián Gómez,44,77.67,320,412
72,73,106,Hank Lebioda,55,77.59,360,464
73,74,77,Stewart Cink,33,77.57,204,263
74,75,78,Jon Rahm,51,77.55,297,383
75,76,79,Hideki Matsuyama,59,77.53,376,485
76,77,80,Billy Horschel,73,77.51,455,587
77,78,71,Ryan Armour,66,77.5,520,671
78,79,81,Grayson Murray,36,77.47,196,253
79,80,88,Denny McCarthy,63,77.42,408,527
80,T81,82,Patrick Reed,53,77.38,301,389
81,T81,74,Roger Sloan,62,77.38,407,526
82,83,83,Troy Merritt,42,77.35,280,362
83,84,66,Carlos Ortiz,60,77.31,385,498
84,85,118,Dylan Frittelli,55,77.3,344,445
