,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,10,Dustin Johnson,47,61.79,173,280
1,2,2,Jhonattan Vegas,60,61.61,207,336
2,3,1,D.J. Trahan,33,61.24,109,178
3,4,3,Cameron Davis,54,61.08,193,316
4,5,9,Brooks Koepka,49,60.7,139,229
5,6,6,John Senden,39,60.61,120,198
6,7,18,Talor Gooch,37,60.37,131,217
7,8,4,Cameron Tringale,52,60.28,170,282
8,9,5,Ryan Palmer,56,60.07,176,293
9,10,8,Paul Casey,51,60.0,120,200
10,11,19,Danny Willett,47,59.78,162,271
11,12,11,Jim Knous,55,59.69,191,320
12,13,13,Corey Conners,62,59.56,162,272
13,14,7,Alex Prugh,54,59.47,157,264
14,15,12,Hideki Matsuyama,59,59.2,177,299
15,16,14,Cameron Champ,58,59.0,213,361
16,17,17,James Hahn,34,58.64,95,162
17,18,20,Jason Dufner,56,58.27,155,266
18,19,29,Josh Teater,47,58.09,140,241
19,20,15,Harris English,72,58.06,227,391
20,21,23,Patrick Cantlay,49,57.92,150,259
21,22,16,Dylan Frittelli,55,57.88,169,292
22,23,28,Sungjae Im,88,57.84,236,408
23,24,26,Tiger Woods,31,57.81,74,128
24,25,24,Shawn Stefani,57,57.72,172,298
25,26,27,Luke List,52,57.63,185,321
26,27,25,Johnson Wagner,45,57.21,115,201
27,28,21,Bubba Watson,47,57.02,134,235
28,29,30,Justin Thomas,49,56.81,146,257
29,30,32,Scott Piercy,70,56.8,167,294
30,31,22,Daniel Berger,48,56.78,134,236
31,32,33,"Ted Potter, Jr.",56,56.58,159,281
32,33,34,Lucas Glover,62,56.54,160,283
33,34,35,Keith Mitchell,64,56.33,187,332
34,35,36,Xander Schauffele,55,56.21,163,290
35,36,61,Carlos Ortiz,60,56.09,175,312
36,37,44,Rory McIlroy,50,56.06,148,264
37,38,37,Rickie Fowler,54,55.93,165,295
38,39,T38,Rory Sabbatini,71,55.86,186,333
39,40,40,Stewart Cink,33,55.84,110,197
40,41,41,Phil Mickelson,41,55.81,149,267
41,42,42,Tony Finau,61,55.75,194,348
42,43,59,Sangmoon Bae,42,55.66,123,221
43,44,43,Tommy Fleetwood,43,55.61,104,187
44,45,31,Sepp Straka,48,55.6,144,259
45,46,T38,Matt Kuchar,65,55.56,135,243
46,47,53,Kevin Tway,62,55.43,204,368
47,48,45,Adam Scott,41,55.4,118,213
48,49,T57,Adam Svensson,51,55.34,145,262
49,50,48,Wyndham Clark,61,55.18,213,386
50,51,46,Francesco Molinari,41,55.15,91,165
51,52,60,Jonathan Byrd,43,55.13,129,234
52,53,52,Peter Uihlein,65,55.12,237,430
53,54,49,Charl Schwartzel,34,55.0,121,220
54,55,50,Abraham Ancer,69,54.96,155,282
55,56,47,J.J. Spaun,68,54.85,181,330
56,57,54,Billy Horschel,73,54.55,186,341
57,58,55,Ian Poulter,49,54.5,109,200
58,59,T57,Ryan Moore,54,54.37,112,206
59,60,83,Joaquin Niemann,68,54.32,201,370
60,61,62,Charles Howell III,64,54.14,170,314
61,62,71,Nick Watney,67,54.13,190,351
62,63,56,Nate Lashley,44,54.11,112,207
63,64,63,Jon Rahm,51,54.08,126,233
64,65,64,Patrick Rodgers,44,54.07,146,270
65,66,81,Chris Thompson,34,54.02,121,224
66,67,65,Russell Knox,65,54.01,148,274
67,68,51,J.B. Holmes,54,53.87,160,297
68,69,86,Trey Mullinax,67,53.83,232,431
69,70,68,Kevin Streelman,63,53.82,148,275
70,71,69,Jordan Spieth,57,53.78,192,357
71,72,70,Andrew Landry,56,53.74,115,214
72,73,85,Hudson Swafford,59,53.71,181,337
73,T74,84,Alex Cejka,41,53.67,95,177
74,T74,999,Tyrone Van Aswegen,30,53.67,95,177
75,76,79,Nick Taylor,70,53.62,200,373
76,77,67,Brandon Harkins,67,53.59,209,390
77,78,72,Adam Long,52,53.53,144,269
78,79,73,Patrick Reed,53,53.52,152,284
79,80,87,Harold Varner III,62,53.49,184,344
80,81,74,Hunter Mahan,45,53.39,118,221
81,82,75,Chesson Hadley,58,53.37,174,326
82,83,76,Kevin Kisner,65,53.36,127,238
83,84,66,Seth Reeves,52,53.33,160,300
84,85,78,Brice Garnett,63,53.31,137,257
85,86,77,Brendan Steele,50,53.3,121,227
86,87,97,Robert Streb,60,53.16,168,316
87,88,93,J.J. Henry,42,53.13,102,192
88,89,89,Sergio Garcia,39,53.11,94,177
89,90,80,Hank Lebioda,55,53.06,130,245
90,91,82,Marc Leishman,52,53.05,148,279
91,92,90,Chase Wright,53,53.01,141,266
92,93,118,Webb Simpson,53,52.94,117,221
93,94,91,Adam Schenk,80,52.9,228,431
94,95,107,Keegan Bradley,65,52.88,147,278
95,96,T100,David Hearn,41,52.87,83,157
96,97,105,Richy Werenski,63,52.85,176,333
97,98,88,Byeong Hun An,54,52.81,160,303
98,99,92,J.T. Poston,76,52.66,208,395
99,100,112,John Chin,38,52.61,121,230
100,T101,T98,Curtis Luck,51,52.41,152,290
101,T101,108,Sebastián Muñoz,58,52.41,163,311
102,103,94,Gary Woodland,63,52.35,156,298
103,104,95,Troy Merritt,42,52.3,91,174
104,105,119,Brady Schnell,38,52.27,92,176
105,106,96,Jason Kokrak,68,52.24,175,335
106,107,121,Mackenzie Hughes,58,52.13,171,328
107,108,T100,Emiliano Grillo,65,52.11,148,284
108,109,102,Si Woo Kim,65,52.07,176,338
109,110,103,Branden Grace,62,52.02,167,321
110,111,999,Martin Piller,30,51.96,93,179
111,112,127,José de Jesús Rodríguez,51,51.9,150,289
112,113,T125,Ollie Schniederjans,63,51.88,235,453
113,T114,106,Matt Jones,67,51.83,170,328
114,T114,104,Chris Stroud,54,51.83,156,301
115,116,109,Beau Hossler,66,51.74,193,373
