,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Brooks Koepka,49,80.83,97,23,-62,-4
1,2,2,Rory McIlroy,50,79.87,127,32,-82,+2
2,3,3,Bubba Watson,47,78.29,119,33,-64,E
3,4,4,Keith Mitchell,64,76.97,117,35,-64,E
4,5,5,Justin Thomas,49,76.47,104,32,-82,-1
5,6,6,Grayson Murray,36,75.76,75,24,-38,+7
6,7,7,Adam Scott,41,75.29,64,21,-41,-5
7,8,8,Gary Woodland,63,75.14,130,43,-92,-2
8,9,15,Dustin Johnson,47,74.65,106,36,-61,-10
9,10,10,Byeong Hun An,54,74.21,118,41,-69,+12
10,11,11,Luke List,52,73.78,121,43,-75,-1
11,12,12,Patrick Cantlay,49,73.68,98,35,-63,-5
12,13,13,Jon Rahm,51,73.61,106,38,-61,-2
13,14,14,Cameron Champ,58,73.48,133,48,-83,+11
14,15,9,Lucas Bjerregaard,37,72.94,62,23,-28,+1
15,16,16,Bryson DeChambeau,45,72.61,114,43,-73,-9
16,17,17,Jhonattan Vegas,60,71.51,133,53,-79,-4
17,18,21,Ryan Palmer,56,71.22,99,40,-53,E
18,19,19,Tony Finau,61,70.35,121,51,-63,+8
19,20,20,Aaron Wise,52,70.12,115,49,-70,+2
20,21,18,Seth Reeves,52,69.78,97,42,-60,+1
21,22,24,Trey Mullinax,67,69.74,136,59,-73,-4
22,23,22,Xander Schauffele,55,69.66,101,44,-58,-6
23,24,23,Cameron Davis,54,69.23,99,44,-47,+3
24,25,25,Tommy Fleetwood,43,69.16,74,33,-51,+2
25,26,32,D.J. Trahan,33,68.35,54,25,-26,-1
26,27,27,Jason Day,45,68.22,73,34,-45,+2
27,28,28,Matt Wallace,31,67.86,57,27,-31,+2
28,29,26,Wyndham Clark,61,67.8,120,57,-78,-8
29,30,29,Patrick Reed,53,67.7,109,52,-55,+5
30,31,30,Jason Kokrak,68,67.46,141,68,-60,-1
31,32,33,Dylan Frittelli,55,67.44,116,56,-68,-9
32,33,31,Justin Rose,42,67.27,74,36,-35,E
33,34,T34,Brandon Harkins,67,67.19,129,63,-63,-4
34,35,40,Talor Gooch,37,66.98,71,35,-39,-5
35,36,37,Sungjae Im,88,66.93,170,84,-110,-10
36,37,T34,Hideki Matsuyama,59,66.67,116,58,-63,-11
37,38,36,Webb Simpson,53,66.48,117,59,-67,-2
38,39,38,Paul Casey,51,65.91,87,45,-51,-15
39,40,53,Alex Noren,49,65.87,83,43,-42,-5
40,T41,41,Sergio Garcia,39,65.79,75,39,-46,-5
41,T41,48,J.B. Holmes,54,65.79,75,39,-31,+4
42,43,39,Matt Jones,67,65.32,113,60,-73,-10
43,44,T46,Sepp Straka,48,65.04,80,43,-42,-1
44,45,43,Dominic Bozzelli,53,64.6,73,40,-43,+5
45,46,42,Sam Ryder,52,64.42,105,58,-65,-6
46,47,T44,Kevin Tway,62,64.29,108,60,-61,-9
47,48,52,Adam Hadwin,66,64.12,109,61,-71,-9
48,49,T44,Si Woo Kim,65,64.1,100,56,-67,-1
49,50,T46,Sam Burns,66,63.96,126,71,-75,-5
50,51,59,Daniel Berger,48,63.76,95,54,-47,+1
51,52,49,Phil Mickelson,41,63.71,79,45,-36,+4
52,53,50,Sung Kang,67,63.5,127,73,-73,-11
53,54,51,Marc Leishman,52,63.45,92,53,-52,-5
54,55,60,J.J. Spaun,68,62.94,107,63,-51,-8
55,56,55,Charles Howell III,64,62.79,108,64,-61,+1
56,57,57,Harris English,72,62.73,138,82,-81,-4
57,58,56,Emiliano Grillo,65,62.67,94,56,-46,-10
58,59,54,Carlos Ortiz,60,61.96,114,70,-64,-9
59,60,68,Sebastián Muñoz,58,61.59,93,58,-61,+3
60,T61,63,Matt Every,38,61.29,57,36,-32,E
61,T61,58,Stephan Jaeger,59,61.29,95,60,-52,-1
62,63,61,Branden Grace,62,61.27,87,55,-47,-15
63,64,T80,Wes Roach,45,61.26,68,43,-38,-6
64,65,T64,Danny Lee,66,61.22,120,76,-66,+6
65,66,62,Max Homa,61,61.02,108,69,-61,-7
66,67,T64,Tiger Woods,31,60.87,56,36,-33,-8
67,68,66,Harold Varner III,62,60.62,117,76,-49,-3
68,69,67,Ryan Blaum,67,60.59,123,80,-60,-10
69,70,70,Jim Knous,55,60.28,85,56,-41,-3
70,71,69,Haotong Li,32,60.23,53,35,-26,+1
71,72,73,John Chin,38,59.77,52,35,-27,+4
72,73,82,Sam Saunders,53,59.43,104,71,-56,+11
73,T74,T71,Kiradech Aphibarnrat,49,59.38,76,52,-31,-15
74,T74,T71,Martin Kaymer,38,59.38,76,52,-50,-9
75,76,T76,Austin Cook,50,59.2,74,51,-36,+8
76,77,74,Patrick Rodgers,44,59.15,84,58,-61,E
77,78,75,Rickie Fowler,54,59.02,108,75,-71,E
78,79,86,Henrik Stenson,46,58.99,82,57,-43,-1
79,80,T76,Keegan Bradley,65,58.79,107,75,-58,-5
80,81,78,Ian Poulter,49,58.68,71,50,-48,-3
81,82,T80,Troy Merritt,42,58.59,75,53,-54,-5
82,83,92,Richy Werenski,63,58.5,117,83,-64,+3
83,84,88,Scott Stallings,63,58.42,118,84,-66,-6
84,85,79,Ollie Schniederjans,63,58.38,108,77,-64,-15
85,86,87,Lucas Glover,62,58.25,120,86,-64,-8
86,87,95,Scott Piercy,70,58.15,107,77,-61,-8
87,88,83,Hudson Swafford,59,58.14,100,72,-65,+1
88,89,89,Beau Hossler,66,58.13,118,85,-55,E
89,90,90,Hunter Mahan,45,58.02,76,55,-39,+4
90,91,85,Martin Trainer,51,57.96,91,66,-55,E
91,92,99,Alex Prugh,54,57.86,81,59,-40,-7
92,93,91,Bud Cauley,61,57.69,120,88,-83,-11
93,94,103,Chris Thompson,34,57.65,49,36,-21,-2
94,T95,93,Rafa Cabrera Bello,57,57.53,84,62,-48,-6
95,T95,84,Denny McCarthy,63,57.53,107,79,-64,-14
96,97,94,Patton Kizzire,58,57.45,81,60,-44,+4
97,98,96,Seamus Power,58,57.39,101,75,-55,-5
98,99,T100,Tom Hoge,70,57.3,106,79,-47,+3
99,100,97,Kevin Streelman,63,56.87,120,91,-64,-5
100,101,98,Brendan Steele,50,56.86,87,66,-44,E
101,102,999,Shane Lowry,30,56.79,46,35,-19,-6
102,103,108,Danny Willett,47,56.58,86,66,-43,-1
103,104,T100,Jordan Spieth,57,56.42,101,78,-52,-7
104,105,110,Joey Garber,44,56.38,53,41,-18,-1
105,106,102,Stewart Cink,33,56.34,40,31,-19,+6
106,107,107,Anders Albertson,48,56.3,76,59,-33,-3
107,108,T127,Hank Lebioda,55,55.94,80,63,-47,-13
108,109,123,Rod Pampling,40,55.88,57,45,-17,+1
109,110,104,Rory Sabbatini,71,55.87,119,94,-72,-15
110,111,114,Tyler Duncan,66,55.81,96,76,-44,-5
111,112,118,Martin Laird,60,55.67,113,90,-66,-1
112,T113,112,Scott Brown,66,55.56,95,76,-47,-14
113,T113,105,J.T. Poston,76,55.56,135,108,-69,-8
114,115,132,Brian Harman,67,55.0,99,81,-55,+5
115,116,109,Michael Thompson,56,54.95,100,82,-47,-10
116,117,106,Chase Wright,53,54.93,78,64,-47,-5
117,118,116,Nick Watney,67,54.64,100,83,-61,-11
118,T119,134,Cody Gribble,52,54.55,84,70,-56,-8
119,T119,120,Joaquin Niemann,68,54.55,102,85,-46,-10
120,121,126,Jimmy Walker,61,54.44,92,77,-56,+5
121,122,113,Chris Kirk,47,54.41,74,62,-47,-3
122,123,135,Mackenzie Hughes,58,54.32,88,74,-44,-5
123,124,115,Tyrrell Hatton,46,54.31,63,53,-42,-1
124,125,125,Nick Taylor,70,54.04,127,108,-72,-12
125,126,117,Kevin Kisner,65,53.99,88,75,-42,-4
126,127,124,Adam Schenk,80,53.91,124,106,-57,-6
127,128,119,James Hahn,34,53.85,35,30,-29,+2
128,129,129,Bill Haas,58,53.71,94,81,-62,-14
129,130,T127,Peter Uihlein,65,53.7,87,75,-54,E
130,131,121,Abraham Ancer,69,53.61,104,90,-67,E
131,132,122,Joel Dahmen,78,53.59,112,97,-68,-2
132,133,138,Corey Conners,62,53.5,84,73,-40,-15
133,134,136,Matt Kuchar,65,52.79,104,93,-65,-26
134,135,130,Charley Hoffman,58,52.63,70,63,-37,-2
135,136,131,Bronson Burgoon,37,52.58,51,46,-19,-1
136,137,139,Jonas Blixt,66,52.02,103,95,-58,-2
137,138,T143,Kramer Hickok,59,51.92,81,75,-46,-6
138,T139,162,Graeme McDowell,61,51.85,70,65,-38,-2
139,T139,137,Charl Schwartzel,34,51.85,28,26,-15,-1
140,141,149,Adam Svensson,51,51.77,73,68,-49,-3
141,142,T140,Adam Long,52,51.52,85,80,-43,-3
