,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,2,Justin Thomas,49,71.56,78,109,-84,-1.00
1,2,3,Ian Poulter,49,70.42,50,71,-52,-3.00
2,3,1,Brandt Snedeker,68,70.33,64,91,-67,-12.00
3,4,5,Jason Dufner,56,69.7,46,66,-50,-6.00
4,5,7,James Hahn,34,69.44,25,36,-29,+2.00
5,6,8,Gary Woodland,63,68.7,90,131,-96,-2.00
6,7,4,Roberto Díaz,51,67.21,41,61,-41,-9.00
7,8,10,Martin Kaymer,38,67.11,51,76,-52,-9.00
8,T9,9,Bud Cauley,61,66.67,80,120,-84,-11.00
9,T9,11,Troy Merritt,42,66.67,50,75,-55,-5.00
10,11,14,Si Woo Kim,65,66.04,70,106,-71,-1.00
11,12,22,Scott Langley,60,65.91,29,44,-32,-20.00
12,T13,T15,Tyrrell Hatton,46,65.63,42,64,-43,-1.00
13,T13,T15,Adam Scott,41,65.63,42,64,-43,-5.00
14,15,13,Cody Gribble,52,65.48,55,84,-60,-8.00
15,16,12,Adam Hadwin,66,65.45,72,110,-78,-9.00
16,17,18,Abraham Ancer,69,65.38,68,104,-69,E
17,18,19,Louis Oosthuizen,43,65.31,32,49,-35,-5.00
18,19,20,John Senden,39,65.22,30,46,-32,-3.00
19,20,21,Patrick Rodgers,44,65.12,56,86,-62,E
20,21,24,Sebastián Muñoz,58,64.89,61,94,-65,+3.00
21,22,34,Rory McIlroy,50,64.34,83,129,-89,+2.00
22,23,23,Brian Gay,79,64.1,50,78,-52,-22.00
23,24,6,Nate Lashley,44,64.0,32,50,-32,-8.00
24,25,26,Bryson DeChambeau,45,63.48,73,115,-76,-9.00
25,T26,25,Matt Every,38,63.16,36,57,-38,E
26,T26,17,Bill Haas,58,63.16,60,95,-63,-14.00
27,28,38,Adam Svensson,51,63.01,46,73,-51,-3.00
28,29,30,Patrick Cantlay,49,63.0,63,100,-64,-5.00
29,30,31,Russell Knox,65,62.96,51,81,-51,-19.00
30,T31,T35,Paul Casey,51,62.5,55,88,-60,-15.00
31,T31,86,Ben Crane,41,62.5,20,32,-21,E
32,T31,T35,Rickie Fowler,54,62.5,70,112,-77,E
33,T31,29,Whee Kim,57,62.5,30,48,-31,E
34,T31,52,Matt Kuchar,65,62.5,65,104,-68,-26.00
35,T31,T35,Tiger Woods,31,62.5,35,56,-39,-8.00
36,37,27,Hudson Swafford,59,62.38,63,101,-69,+1.00
37,38,40,Chris Kirk,47,62.16,46,74,-51,-3.00
38,T39,33,Brooks Koepka,49,62.0,62,100,-67,-4.00
39,T39,44,Nick Watney,67,62.0,62,100,-64,-11.00
40,41,51,Aaron Wise,52,61.86,73,118,-75,+2.00
41,42,42,Matt Jones,67,61.74,71,115,-75,-10.00
42,43,43,Wyndham Clark,61,61.72,79,128,-82,-8.00
43,44,39,Johnson Wagner,45,61.4,35,57,-38,-8.00
44,45,32,Sergio Garcia,39,61.33,46,75,-48,-5.00
45,46,28,Jimmy Walker,61,61.29,57,93,-58,+5.00
46,47,46,Joel Dahmen,78,61.06,69,113,-73,-2.00
47,48,48,Vaughn Taylor,69,60.92,53,87,-58,-27.00
48,49,50,Jason Day,45,60.81,45,74,-48,+2.00
49,50,47,Denny McCarthy,63,60.75,65,107,-68,-14.00
50,51,53,Jon Rahm,51,60.38,64,106,-67,-2.00
51,52,54,Byeong Hun An,54,60.33,73,121,-75,+12.00
52,53,76,Dominic Bozzelli,53,60.27,44,73,-46,+5.00
53,54,T73,Sungjae Im,88,60.12,104,173,-112,-10.00
54,T55,T56,Tommy Fleetwood,43,60.0,45,75,-53,+2.00
55,T55,45,Jim Furyk,53,60.0,30,50,-31,-22.00
56,T55,T56,Lucas Glover,62,60.0,72,120,-76,-8.00
57,T55,49,Seth Reeves,52,60.0,60,100,-64,+1.00
58,59,79,Peter Malnati,64,59.79,58,97,-58,-8.00
59,60,59,Cameron Champ,58,59.72,86,144,-90,+11.00
60,61,T60,Anirban Lahiri,54,59.68,37,62,-37,+4.00
61,62,62,Rory Sabbatini,71,59.66,71,119,-76,-15.00
62,63,69,Brian Harman,67,59.6,59,99,-62,+5.00
63,64,63,Luke List,52,59.52,75,126,-82,-1.00
64,65,55,Ollie Schniederjans,63,59.48,69,116,-74,-15.00
65,66,T65,Jonas Blixt,66,59.22,61,103,-63,-2.00
66,67,T60,Julián Etulain,55,59.09,39,66,-42,-8.00
67,68,70,Sam Ryder,52,59.05,62,105,-67,-6.00
68,69,93,Stephan Jaeger,59,58.95,56,95,-59,-1.00
69,70,72,Michael Kim,51,58.93,33,56,-35,+8.00
70,71,T73,Chez Reavie,67,58.9,43,73,-45,-8.00
71,72,T77,Kyle Jones,49,58.82,30,51,-32,-4.00
72,T73,64,Hank Lebioda,55,58.75,47,80,-50,-13.00
73,T73,T56,Roger Sloan,62,58.75,47,80,-49,-9.00
74,75,T94,Peter Uihlein,65,58.7,54,92,-57,E
75,T76,75,Charley Hoffman,58,58.57,41,70,-43,-2.00
76,T76,71,Graeme McDowell,61,58.57,41,70,-44,-2.00
77,78,88,Brandon Harkins,67,58.46,76,130,-79,-4.00
78,T79,T77,Rafa Cabrera Bello,57,58.33,49,84,-53,-6.00
79,T79,109,Talor Gooch,37,58.33,42,72,-45,-5.00
80,81,67,Nick Taylor,70,58.27,74,127,-79,-12.00
81,T82,T137,Cameron Tringale,52,58.21,39,67,-40,-7.00
82,T82,80,Jhonattan Vegas,60,58.21,78,134,-85,-4.00
83,84,T65,Dustin Johnson,47,58.18,64,110,-66,-10.00
84,85,85,Webb Simpson,53,58.12,68,117,-71,-2.00
85,86,T94,Kramer Hickok,59,58.02,47,81,-49,-6.00
86,87,83,Branden Grace,62,57.95,51,88,-55,-15.00
87,T88,84,Grayson Murray,36,57.89,44,76,-47,+7.00
88,T88,103,Ben Silverman,54,57.89,33,57,-37,-3.00
89,90,89,Daniel Berger,48,57.73,56,97,-57,+1.00
90,T91,139,John Chin,38,57.69,30,52,-31,+4.00
91,T91,99,Seamus Power,58,57.69,60,104,-64,-5.00
92,T91,92,Chase Wright,53,57.69,45,78,-47,-5.00
93,94,82,Harris English,72,57.55,80,139,-87,-4.00
94,95,81,Martin Laird,60,57.39,66,115,-71,-1.00
95,96,91,Sam Burns,66,57.36,74,129,-82,-5.00
96,T97,T94,Justin Harding,31,57.14,12,21,-13,-2.00
97,T97,T94,Charl Schwartzel,34,57.14,16,28,-16,-1.00
98,T97,90,Scott Stallings,63,57.14,68,119,-72,-6.00
99,100,100,Marc Leishman,52,56.99,53,93,-57,-5.00
100,101,87,Martin Trainer,51,56.7,55,97,-59,E
101,102,104,Sung Kang,67,56.69,72,127,-79,-11.00
102,T103,T105,Keith Mitchell,64,56.67,68,120,-74,E
103,T103,T105,Ryan Moore,54,56.67,51,90,-55,-19.00
104,T103,T105,Kevin Streelman,63,56.67,68,120,-70,-5.00
105,106,125,Bubba Watson,47,56.56,69,122,-73,E
106,107,T110,Jordan Spieth,57,56.44,57,101,-58,-7.00
107,108,T121,Dylan Frittelli,55,56.41,66,117,-73,-9.00
108,T109,112,C.T. Pan,64,56.25,45,80,-47,-2.00
109,T109,68,Sepp Straka,48,56.25,45,80,-46,-1.00
110,111,113,Matt Wallace,31,56.14,32,57,-35,+2.00
111,112,T141,Henrik Stenson,46,56.1,46,82,-47,-1.00
112,113,T117,Scott Piercy,70,56.07,60,107,-65,-8.00
113,114,116,Charles Howell III,64,55.96,61,109,-65,+1.00
114,115,T117,Kevin Na,54,55.88,38,68,-43,-6.00
115,T116,119,Ernie Els,43,55.81,24,43,-26,+1.00
116,T116,133,Danny Willett,47,55.81,48,86,-48,-1.00
117,118,120,Xander Schauffele,55,55.77,58,104,-62,-6.00
118,T119,T121,Patton Kizzire,58,55.56,45,81,-46,+4.00
119,T119,T137,Danny Lee,66,55.56,70,126,-72,+6.00
120,T119,T121,Hideki Matsuyama,59,55.56,65,117,-67,-11.00
121,122,114,Trey Mullinax,67,55.48,81,146,-85,-4.00
122,123,124,Kyle Stanley,53,55.38,36,65,-39,+3.00
123,T124,127,Matthew Fitzpatrick,42,55.17,32,58,-35,-2.00
124,T124,126,Carlos Ortiz,60,55.17,64,116,-70,-9.00
125,126,108,Brice Garnett,63,55.13,43,78,-46,+2.00
126,127,129,Pat Perez,52,55.1,27,49,-31,-6.00
127,128,T94,José de Jesús Rodríguez,51,55.07,38,69,-39,-2.00
128,129,130,Max Homa,61,55.05,60,109,-67,-7.00
129,130,T149,Fabián Gómez,44,55.0,33,60,-37,-8.00
130,131,131,Kyoung-Hoon Lee,72,54.95,50,91,-53,+1.00
131,132,T135,Kevin Tway,62,54.87,62,113,-64,-9.00
132,133,999,Martin Piller,30,54.84,17,31,-18,+1.00
133,134,T110,Sam Saunders,53,54.72,58,106,-60,+11.00
134,135,134,Richy Werenski,63,54.7,64,117,-67,+3.00
135,136,132,Cameron Smith,55,54.69,35,64,-36,-3.00
136,137,999,Shane Lowry,30,54.35,25,46,-26,-6.00
137,138,101,Alex Noren,49,54.22,45,83,-48,-5.00
138,139,115,Keegan Bradley,65,54.21,58,107,-62,-5.00
139,140,140,Patrick Reed,53,54.13,59,109,-64,+5.00
140,T141,T135,Austin Cook,50,54.05,40,74,-41,+8.00
141,T141,T141,Justin Rose,42,54.05,40,74,-43,E
142,143,143,Brendan Steele,50,53.93,48,89,-49,E
143,144,144,Aaron Baddeley,51,53.85,42,78,-43,-5.00
144,145,102,Zach Johnson,50,53.73,36,67,-40,-5.00
145,146,146,Ryan Blaum,67,53.66,66,123,-71,-10.00
146,147,128,Jim Knous,55,53.49,46,86,-48,-3.00
147,148,T164,Tyler Duncan,66,53.13,51,96,-57,-5.00
148,T149,T164,Wes Roach,45,52.94,36,68,-40,-6.00
149,T149,147,Brian Stuard,76,52.94,36,68,-37,-18.00
150,151,167,Brady Schnell,38,52.78,19,36,-20,-13.00
151,152,T160,D.J. Trahan,33,52.73,29,55,-29,-1.00
152,T153,T149,Emiliano Grillo,65,52.63,50,95,-55,-10.00
153,T153,T149,Chesson Hadley,58,52.63,40,76,-43,+2.00
154,T153,T149,Hunter Mahan,45,52.63,40,76,-41,+4.00
155,156,154,Freddie Jacobson,37,52.5,21,40,-24,-4.00
156,157,155,Michael Thompson,56,52.48,53,101,-58,-10.00
157,158,156,Tony Finau,61,52.42,65,124,-72,+8.00
158,159,158,Adam Long,52,52.33,45,86,-50,-3.00
159,160,159,Kevin Kisner,65,52.27,46,88,-48,-4.00
160,161,T160,D.A. Points,33,52.17,12,23,-12,-7.00
161,162,T149,Cameron Davis,54,52.0,52,100,-54,+3.00
162,163,157,Kelly Kraft,67,51.69,46,89,-49,+4.00
163,164,T164,Scott Brown,66,51.58,49,95,-53,-14.00
164,165,148,Ryan Palmer,56,51.49,52,101,-54,E
165,166,168,Jason Kokrak,68,51.41,73,142,-74,-1.00
166,167,T169,Kiradech Aphibarnrat,49,51.32,39,76,-40,-15.00
167,168,163,Russell Henley,56,51.25,41,80,-44,-6.00
168,169,171,Stewart Cink,33,51.22,21,41,-24,+6.00
169,170,181,Corey Conners,62,51.19,43,84,-45,-15.00
170,171,145,Josh Teater,47,50.82,31,61,-32,+1.00
171,T172,162,Shawn Stefani,57,50.65,39,77,-39,E
172,T172,T172,Robert Streb,60,50.65,39,77,-41,-5.00
173,T174,T172,John Huh,35,50.0,25,50,-26,-1.00
174,T174,T172,Satoshi Kodaira,51,50.0,37,74,-38,-3.00
175,T174,T172,Phil Mickelson,41,50.0,42,84,-44,+4.00
176,177,177,J.T. Poston,76,49.63,67,135,-75,-8.00
177,178,187,J.J. Spaun,68,49.53,53,107,-53,-8.00
178,179,178,Mackenzie Hughes,58,49.44,44,89,-47,-5.00
179,T180,179,Andrew Putnam,57,49.15,29,59,-30,-16.00
180,T180,182,Harold Varner III,62,49.15,58,118,-60,-3.00
181,182,180,Haotong Li,32,49.06,26,53,-29,+1.00
182,183,198,Jonathan Byrd,43,49.02,25,51,-25,E
183,184,T190,Curtis Luck,51,48.33,29,60,-29,-3.00
184,185,185,Beau Hossler,66,48.31,57,118,-59,E
185,186,186,Billy Horschel,73,48.24,41,85,-44,+2.00
186,187,T169,Alex Prugh,54,48.15,39,81,-43,-7.00
187,188,184,Tom Hoge,70,48.11,51,106,-54,+3.00
188,189,200,Sangmoon Bae,42,47.92,23,48,-25,-7.00
189,190,189,Alex Cejka,41,47.83,22,46,-23,-14.00
190,191,T190,Lucas Bjerregaard,37,47.62,30,63,-32,+1.00
191,192,194,J.B. Holmes,54,47.37,36,76,-37,+4.00
192,193,193,Francesco Molinari,41,47.27,26,55,-27,+2.00
193,194,183,David Hearn,41,47.22,17,36,-18,-1.00
194,195,T195,Bronson Burgoon,37,47.06,24,51,-25,-1.00
195,196,197,Ryan Armour,66,46.94,23,49,-24,-6.00
196,197,T172,Adam Schenk,80,46.77,58,124,-63,-6.00
197,198,192,Joaquin Niemann,68,46.6,48,103,-54,-10.00
198,199,T195,Chris Stroud,54,46.48,33,71,-35,+5.00
199,200,188,Anders Albertson,48,46.05,35,76,-37,-3.00
200,201,199,Andrew Landry,56,45.24,38,84,-39,-11.00
201,202,203,Chris Thompson,34,44.9,22,49,-22,-2.00
202,203,201,Roberto Castro,54,43.08,28,65,-29,-14.00
203,204,999,Tyrone Van Aswegen,30,41.67,10,24,-13,+3.00
204,205,202,"Ted Potter, Jr.",56,41.46,34,82,-34,-1.00
205,206,204,Joey Garber,44,39.62,21,53,-23,-1.00
206,207,205,Jim Herman,37,39.22,20,51,-21,-2.00
207,208,207,Rod Pampling,40,38.6,22,57,-22,+1.00
208,209,206,J.J. Henry,42,34.09,15,44,-17,-2.00
