,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Gary Woodland,63,34.35,45,131,-51,51 Under
1,2,3,Adam Scott,41,32.81,21,64,-21,21 Under
2,3,2,Bubba Watson,47,31.97,39,122,-37,37 Under
3,4,4,Sangmoon Bae,42,31.25,15,48,-12,12 Under
4,5,6,Marc Leishman,52,31.18,29,93,-28,28 Under
5,6,8,Cameron Champ,58,30.56,44,144,-41,41 Under
6,7,9,Rickie Fowler,54,30.36,34,112,-39,39 Under
7,8,10,Joel Dahmen,78,30.09,34,113,-34,34 Under
8,9,7,Cody Gribble,52,29.76,25,84,-28,28 Under
9,10,5,Alex Prugh,54,29.63,24,81,-25,25 Under
10,11,T18,Rory McIlroy,50,29.46,38,129,-39,39 Under
11,T12,11,Anders Albertson,48,28.95,22,76,-21,21 Under
12,T12,14,Grayson Murray,36,28.95,22,76,-24,24 Under
13,14,T15,Michael Kim,51,28.57,16,56,-16,16 Under
14,15,T15,Sergio Garcia,39,28.0,21,75,-21,21 Under
15,16,T18,Bryson DeChambeau,45,27.83,32,115,-24,24 Under
16,T17,13,Talor Gooch,37,27.78,20,72,-19,19 Under
17,T17,20,James Hahn,34,27.78,10,36,-13,13 Under
18,19,21,Emiliano Grillo,65,27.37,26,95,-27,27 Under
19,20,22,Hideki Matsuyama,59,27.35,32,117,-30,30 Under
20,21,T15,Brooks Koepka,49,27.0,27,100,-27,27 Under
21,22,26,Luke List,52,26.98,34,126,-32,32 Under
22,23,27,Xander Schauffele,55,26.92,28,104,-28,28 Under
23,24,28,Tiger Woods,31,26.79,15,56,-17,17 Under
24,25,29,Sung Kang,67,26.77,34,127,-34,34 Under
25,T26,T30,Troy Merritt,42,26.67,20,75,-22,22 Under
26,T26,T30,Keith Mitchell,64,26.67,32,120,-35,35 Under
27,T28,T32,Tony Finau,61,26.61,33,124,-38,38 Under
28,T28,T32,Charles Howell III,64,26.61,29,109,-29,29 Under
29,T28,37,Justin Thomas,49,26.61,29,109,-30,30 Under
30,31,34,Pat Perez,52,26.53,13,49,-15,15 Under
31,32,35,Jon Rahm,51,26.42,28,106,-28,28 Under
32,33,36,Martin Kaymer,38,26.32,20,76,-21,21 Under
33,34,23,Aaron Wise,52,26.27,31,118,-31,31 Under
34,35,25,Jonas Blixt,66,26.21,27,103,-26,26 Under
35,36,38,Jhonattan Vegas,60,26.12,35,134,-38,38 Under
36,37,T45,Peter Uihlein,65,26.09,24,92,-21,21 Under
37,38,39,Matt Kuchar,65,25.96,27,104,-25,25 Under
38,39,24,Martin Trainer,51,25.77,25,97,-24,24 Under
39,T40,T40,Sam Burns,66,25.58,33,129,-40,40 Under
40,T40,T40,Ernie Els,43,25.58,11,43,-10,10 Under
41,42,42,Bill Haas,58,25.26,24,95,-24,24 Under
42,T43,T45,Paul Casey,51,25.0,22,88,-24,24 Under
43,T43,T45,Lucas Glover,62,25.0,30,120,-28,28 Under
44,T43,T55,J.B. Holmes,54,25.0,19,76,-16,16 Under
45,T43,T45,Kevin Na,54,25.0,17,68,-20,20 Under
46,T43,62,Ollie Schniederjans,63,25.0,29,116,-28,28 Under
47,T43,999,Tyrone Van Aswegen,30,25.0,6,24,-8,8 Under
48,49,49,Max Homa,61,24.77,27,109,-31,31 Under
49,T50,44,Ryan Palmer,56,24.75,25,101,-23,23 Under
50,T50,43,Hudson Swafford,59,24.75,25,101,-27,27 Under
51,52,50,Brendan Steele,50,24.72,22,89,-22,22 Under
52,53,52,Johnson Wagner,45,24.56,14,57,-15,15 Under
53,54,53,Patrick Rodgers,44,24.42,21,86,-27,27 Under
54,T55,T55,Austin Cook,50,24.32,18,74,-17,17 Under
55,T55,54,Chris Kirk,47,24.32,18,74,-19,19 Under
56,57,T59,Keegan Bradley,65,24.3,26,107,-27,27 Under
57,58,51,Graeme McDowell,61,24.29,17,70,-18,18 Under
58,59,57,Matthew Fitzpatrick,42,24.14,14,58,-11,11 Under
59,60,58,Abraham Ancer,69,24.04,25,104,-25,25 Under
60,T61,T59,Patrick Cantlay,49,24.0,24,100,-22,22 Under
61,T61,61,Nick Watney,67,24.0,24,100,-25,25 Under
62,63,63,Kevin Kisner,65,23.86,21,88,-20,20 Under
63,64,T85,D.J. Trahan,33,23.64,13,55,-12,12 Under
64,65,T67,Denny McCarthy,63,23.36,25,107,-27,27 Under
65,66,64,Brice Garnett,63,23.08,18,78,-19,19 Under
66,67,74,Seth Reeves,52,23.0,23,100,-23,23 Under
67,68,T69,Matt Wallace,31,22.81,13,57,-15,15 Under
68,69,T71,Jason Dufner,56,22.73,15,66,-17,17 Under
69,70,T75,Tommy Fleetwood,43,22.67,17,75,-22,22 Under
70,71,77,Haotong Li,32,22.64,12,53,-9,9 Under
71,72,78,Matt Jones,67,22.61,26,115,-29,29 Under
72,73,90,Sungjae Im,88,22.54,39,173,-40,40 Under
73,74,79,Sepp Straka,48,22.5,18,80,-17,17 Under
74,75,93,Ryan Armour,66,22.45,11,49,-11,11 Under
75,76,82,Carlos Ortiz,60,22.41,26,116,-27,27 Under
76,77,80,Chesson Hadley,58,22.37,17,76,-15,15 Under
77,T78,T71,Brian Harman,67,22.22,22,99,-22,22 Under
78,T78,T67,Brady Schnell,38,22.22,8,36,-9,9 Under
79,80,T71,Jim Furyk,53,22.0,11,50,-11,11 Under
80,81,83,Jason Kokrak,68,21.83,31,142,-29,29 Under
81,82,T75,Chase Wright,53,21.79,17,78,-17,17 Under
82,T83,94,Martin Laird,60,21.74,25,115,-25,25 Under
83,T83,T85,D.A. Points,33,21.74,5,23,-5,5 Under
84,T83,T85,John Senden,39,21.74,10,46,-12,12 Under
85,86,88,Jason Day,45,21.62,16,74,-17,17 Under
86,87,89,Kyle Stanley,53,21.54,14,65,-15,15 Under
87,88,T69,Roberto Díaz,51,21.31,13,61,-11,11 Under
88,89,T91,Roger Sloan,62,21.25,17,80,-17,17 Under
89,90,81,Seamus Power,58,21.15,22,104,-23,23 Under
90,T91,98,Matt Every,38,21.05,12,57,-12,12 Under
91,T91,109,Ben Silverman,54,21.05,12,57,-13,13 Under
92,93,97,Kramer Hickok,59,20.99,17,81,-16,16 Under
93,94,84,Jim Knous,55,20.93,18,86,-18,18 Under
94,95,108,Dustin Johnson,47,20.91,23,110,-21,21 Under
95,96,T95,Kevin Streelman,63,20.83,25,120,-26,26 Under
96,97,T91,Robert Streb,60,20.78,16,77,-15,15 Under
97,98,100,Byeong Hun An,54,20.66,25,121,-22,22 Under
98,99,105,Webb Simpson,53,20.51,24,117,-23,23 Under
99,100,65,Alex Noren,49,20.48,17,83,-19,19 Under
100,101,102,Branden Grace,62,20.45,18,88,-20,20 Under
101,102,99,Harold Varner III,62,20.34,24,118,-18,18 Under
102,103,103,Tyrrell Hatton,46,20.31,13,64,-13,13 Under
103,104,104,Rafa Cabrera Bello,57,20.24,17,84,-19,19 Under
104,105,101,Trey Mullinax,67,19.86,29,146,-28,28 Under
105,106,T95,Kyle Jones,49,19.61,10,51,-11,11 Under
106,107,111,Stewart Cink,33,19.51,8,41,-9,9 Under
107,108,T128,Kevin Tway,62,19.47,22,113,-22,22 Under
108,109,T106,Joaquin Niemann,68,19.42,20,103,-21,21 Under
109,T110,112,Rory Sabbatini,71,19.33,23,119,-26,26 Under
110,T110,126,Scott Stallings,63,19.33,23,119,-22,22 Under
111,112,T141,John Chin,38,19.23,10,52,-10,10 Under
112,113,T115,Mackenzie Hughes,58,19.1,17,89,-17,17 Under
113,114,118,Adam Hadwin,66,19.09,21,110,-23,23 Under
114,T115,T113,Andrew Landry,56,19.05,16,84,-15,15 Under
115,T115,T113,Sam Ryder,52,19.05,20,105,-24,24 Under
116,117,T106,Cameron Davis,54,19.0,19,100,-20,20 Under
117,118,117,Billy Horschel,73,18.82,16,85,-16,16 Under
118,T119,66,Ben Crane,41,18.75,6,32,-5,5 Under
119,T119,T115,Russell Henley,56,18.75,15,80,-14,14 Under
120,T119,119,Cameron Smith,55,18.75,12,64,-12,12 Under
121,122,T146,J.J. Spaun,68,18.69,20,107,-17,17 Under
122,123,127,Danny Willett,47,18.6,16,86,-14,14 Under
123,124,144,Peter Malnati,64,18.56,18,97,-17,17 Under
124,125,T120,J.T. Poston,76,18.52,25,135,-27,27 Under
125,126,122,Hunter Mahan,45,18.42,14,76,-14,14 Under
126,127,123,Vaughn Taylor,69,18.39,16,87,-18,18 Under
127,128,125,Ian Poulter,49,18.31,13,71,-13,13 Under
128,129,T135,Scott Langley,60,18.18,8,44,-9,9 Under
129,130,150,Nick Taylor,70,18.11,23,127,-23,23 Under
130,131,133,Sebastián Muñoz,58,18.09,17,94,-20,20 Under
131,132,110,Nate Lashley,44,18.0,9,50,-9,9 Under
132,133,T130,Kelly Kraft,67,17.98,16,89,-16,16 Under
133,134,T130,Phil Mickelson,41,17.86,15,84,-15,15 Under
134,135,154,Adam Svensson,51,17.81,13,73,-16,16 Under
135,136,T141,Scott Piercy,70,17.76,19,107,-21,21 Under
136,137,T158,Wes Roach,45,17.65,12,68,-13,13 Under
137,T138,169,Hank Lebioda,55,17.5,14,80,-12,12 Under
138,T138,T135,C.T. Pan,64,17.5,14,80,-11,11 Under
139,140,137,Adam Long,52,17.44,15,86,-18,18 Under
140,141,999,Shane Lowry,30,17.39,8,46,-8,8 Under
141,142,138,Russell Knox,65,17.28,14,81,-13,13 Under
142,143,124,Harris English,72,17.27,24,139,-26,26 Under
143,144,152,Richy Werenski,63,17.09,20,117,-21,21 Under
144,T145,140,Tom Hoge,70,16.98,18,106,-17,17 Under
145,T145,139,Si Woo Kim,65,16.98,18,106,-19,19 Under
146,147,T128,Adam Schenk,80,16.94,21,124,-20,20 Under
147,148,151,Scott Brown,66,16.84,16,95,-16,16 Under
148,T149,148,Bud Cauley,61,16.67,20,120,-22,22 Under
149,T149,163,Tyler Duncan,66,16.67,16,96,-16,16 Under
150,T149,132,Julián Etulain,55,16.67,11,66,-14,14 Under
151,T149,134,Fabián Gómez,44,16.67,10,60,-13,13 Under
152,T149,T141,Ryan Moore,54,16.67,15,90,-17,17 Under
153,154,177,Daniel Berger,48,16.49,16,97,-16,16 Under
154,155,145,Chez Reavie,67,16.44,12,73,-12,12 Under
155,156,T158,Zach Johnson,50,16.42,11,67,-14,14 Under
156,157,T120,Josh Teater,47,16.39,10,61,-11,11 Under
157,158,T146,Louis Oosthuizen,43,16.33,8,49,-8,8 Under
158,159,156,Dylan Frittelli,55,16.24,19,117,-23,23 Under
159,160,149,Justin Rose,42,16.22,12,74,-13,13 Under
160,161,153,Patton Kizzire,58,16.05,13,81,-11,11 Under
161,162,187,J.J. Henry,42,15.91,7,44,-8,8 Under
162,163,155,Michael Thompson,56,15.84,16,101,-19,19 Under
163,164,157,Patrick Reed,53,15.6,17,109,-16,16 Under
164,165,174,Corey Conners,62,15.48,13,84,-12,12 Under
165,166,160,Ryan Blaum,67,15.45,19,123,-21,21 Under
166,167,173,Brandt Snedeker,68,15.38,14,91,-15,15 Under
167,168,162,Freddie Jacobson,37,15.0,6,40,-8,8 Under
168,169,165,Jordan Spieth,57,14.85,15,101,-13,13 Under
169,170,170,Wyndham Clark,61,14.84,19,128,-22,22 Under
170,171,164,Henrik Stenson,46,14.63,12,82,-12,12 Under
171,172,168,Francesco Molinari,41,14.55,8,55,-7,7 Under
172,T173,T171,Justin Harding,31,14.29,3,21,-4,4 Under
173,T173,T171,Charley Hoffman,58,14.29,10,70,-12,12 Under
174,T173,161,Danny Lee,66,14.29,18,126,-16,16 Under
175,T173,167,Shawn Stefani,57,14.29,11,77,-9,9 Under
176,T173,T192,Chris Thompson,34,14.29,7,49,-5,5 Under
177,178,176,Sam Saunders,53,14.15,15,106,-15,15 Under
178,179,166,Chris Stroud,54,14.08,10,71,-9,9 Under
179,180,175,John Huh,35,14.0,7,50,-7,7 Under
180,T181,178,Bronson Burgoon,37,13.73,7,51,-8,8 Under
181,T181,199,Jim Herman,37,13.73,7,51,-6,6 Under
182,183,182,Stephan Jaeger,59,13.68,13,95,-15,15 Under
183,184,T180,Cameron Tringale,52,13.43,9,67,-9,9 Under
184,185,183,Brian Stuard,76,13.24,9,68,-9,9 Under
185,186,184,Kiradech Aphibarnrat,49,13.16,10,76,-10,10 Under
186,187,188,Brandon Harkins,67,13.08,17,130,-16,16 Under
187,T188,179,Alex Cejka,41,13.04,6,46,-7,7 Under
188,T188,197,José de Jesús Rodríguez,51,13.04,9,69,-8,8 Under
189,T190,186,Anirban Lahiri,54,12.9,8,62,-7,7 Under
190,T190,999,Martin Piller,30,12.9,4,31,-5,5 Under
191,192,189,Brian Gay,79,12.82,10,78,-10,10 Under
192,193,T180,Lucas Bjerregaard,37,12.7,8,63,-10,10 Under
193,194,185,Whee Kim,57,12.5,6,48,-6,6 Under
194,195,191,Dominic Bozzelli,53,12.33,9,73,-10,10 Under
195,196,205,Roberto Castro,54,12.31,8,65,-7,7 Under
196,197,190,Rod Pampling,40,12.28,7,57,-3,3 Under
197,198,T192,"Ted Potter, Jr.",56,12.2,10,82,-9,9 Under
198,199,194,Satoshi Kodaira,51,12.16,9,74,-8,8 Under
199,200,195,Kyoung-Hoon Lee,72,12.09,11,91,-8,8 Under
200,201,202,Jonathan Byrd,43,11.76,6,51,-4,4 Under
201,202,198,Beau Hossler,66,11.02,13,118,-14,14 Under
202,203,196,Jimmy Walker,61,10.75,10,93,-8,8 Under
203,204,200,Aaron Baddeley,51,10.26,8,78,-8,8 Under
204,205,201,Curtis Luck,51,10.0,6,60,-4,4 Under
205,206,207,Joey Garber,44,9.43,5,53,-7,7 Under
206,207,203,Andrew Putnam,57,8.47,5,59,-5,5 Under
207,208,204,Charl Schwartzel,34,7.14,2,28,-2,2 Under
208,209,206,David Hearn,41,5.56,2,36,-3,3 Under
