,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,2,Tiger Woods,31,72.86,341,468,-0.29
1,2,3,James Hahn,34,72.71,445,612,-0.27
2,3,1,Matt Kuchar,65,72.41,756,1044,-0.31
3,4,4,Justin Thomas,49,72.1,597,828,-0.35
4,5,5,Charles Howell III,64,72.04,791,1098,-0.29
5,6,6,Corey Conners,62,72.03,752,1044,-0.26
6,7,13,Jim Furyk,53,71.18,615,864,-0.24
7,8,8,Scott Piercy,70,70.71,840,1188,-0.29
8,9,14,Rory McIlroy,50,70.65,585,828,-0.36
9,10,7,Brooks Koepka,49,70.5,533,756,-0.33
10,11,12,Gary Woodland,63,70.28,759,1080,-0.34
11,12,19,Talor Gooch,37,70.27,468,666,-0.28
12,13,17,Dustin Johnson,47,70.08,555,792,-0.32
13,14,10,D.J. Trahan,33,70.07,391,558,-0.28
14,15,16,Alex Prugh,54,70.0,630,900,-0.24
15,16,15,Cameron Champ,58,69.94,705,1008,-0.31
16,17,9,Johnson Wagner,45,69.9,541,774,-0.27
17,18,11,Ryan Palmer,56,69.76,653,936,-0.3
18,19,18,Paul Casey,51,69.74,590,846,-0.3
19,20,20,Emiliano Grillo,65,69.62,777,1116,-0.27
20,21,21,Jason Dufner,56,69.55,676,972,-0.24
21,22,22,Keegan Bradley,65,69.54,726,1044,-0.25
22,23,23,Xander Schauffele,55,69.34,649,936,-0.32
23,24,24,Ian Poulter,49,69.31,524,756,-0.28
24,25,25,Aaron Wise,52,69.16,610,882,-0.31
25,26,27,Hideki Matsuyama,59,69.05,696,1008,-0.29
26,27,28,Russell Knox,65,68.97,720,1044,-0.25
27,T28,T30,Lucas Glover,62,68.87,719,1044,-0.27
28,T28,T30,Jhonattan Vegas,60,68.87,719,1044,-0.28
29,30,32,Troy Merritt,42,68.86,471,684,-0.31
30,31,26,Nate Lashley,44,68.78,520,756,-0.27
31,32,T44,John Chin,38,68.71,470,684,-0.24
32,33,35,Marc Leishman,52,68.63,593,864,-0.31
33,34,34,Nick Watney,67,68.52,777,1134,-0.29
34,35,36,Keith Mitchell,64,68.49,752,1098,-0.3
35,36,37,John Senden,39,68.47,456,666,-0.21
36,37,39,Patrick Cantlay,49,68.43,542,792,-0.34
37,38,T52,Hank Lebioda,55,68.41,628,918,-0.27
38,39,40,Brendan Steele,50,68.4,591,864,-0.25
39,40,42,Jason Day,45,68.33,492,720,-0.34
40,41,43,Jason Kokrak,68,68.32,787,1152,-0.29
41,42,T44,Kevin Streelman,63,68.21,749,1098,-0.26
42,T43,47,Kyoung-Hoon Lee,72,68.14,834,1224,-0.26
43,T43,33,J.J. Spaun,68,68.14,785,1152,-0.27
44,45,46,Brice Garnett,63,68.12,748,1098,-0.26
45,T46,51,Martin Laird,60,68.06,686,1008,-0.28
46,T46,T49,Jon Rahm,51,68.06,539,792,-0.33
47,T46,T49,Chez Reavie,67,68.06,735,1080,-0.29
48,49,61,Kevin Tway,62,68.01,710,1044,-0.26
49,50,69,Henrik Stenson,46,67.98,465,684,-0.23
50,51,60,Josh Teater,47,67.9,550,810,-0.24
51,52,38,Jim Knous,55,67.86,623,918,-0.25
52,T53,T52,Billy Horschel,73,67.85,806,1188,-0.25
53,T53,54,Danny Willett,47,67.85,574,846,-0.23
54,55,T57,Russell Henley,56,67.84,635,936,-0.23
55,T56,59,Trey Mullinax,67,67.81,769,1134,-0.27
56,T56,55,Adam Scott,41,67.81,476,702,-0.31
57,58,56,Cameron Tringale,52,67.71,585,864,-0.28
58,59,62,Stewart Cink,33,67.68,402,594,-0.26
59,60,66,Andrew Putnam,57,67.63,633,936,-0.31
60,61,63,Carlos Ortiz,60,67.62,706,1044,-0.26
61,62,70,Adam Schenk,80,67.52,948,1404,-0.29
62,63,68,Rickie Fowler,54,67.49,656,972,-0.34
63,64,65,Sungjae Im,88,67.46,1020,1512,-0.3
64,65,74,Webb Simpson,53,67.44,607,900,-0.3
65,66,48,Sepp Straka,48,67.39,558,828,-0.27
66,67,T57,Tyler Duncan,66,67.36,776,1152,-0.24
67,T68,75,Dylan Frittelli,55,67.3,642,954,-0.26
68,T68,64,Shawn Stefani,57,67.3,642,954,-0.25
69,70,T72,Tommy Fleetwood,43,67.28,436,648,-0.26
70,71,T72,J.B. Holmes,54,67.02,567,846,-0.26
71,T72,71,Cameron Davis,54,66.99,627,936,-0.27
72,T72,67,Matt Every,38,66.99,410,612,-0.33
73,74,41,Bubba Watson,47,66.94,482,720,-0.26
74,75,78,Hunter Mahan,45,66.91,542,810,-0.28
75,76,80,Ryan Moore,54,66.77,649,972,-0.29
76,77,92,Hudson Swafford,59,66.76,685,1026,-0.3
77,78,79,Ryan Armour,66,66.75,793,1188,-0.22
78,T79,77,Fabián Gómez,44,66.67,528,792,-0.23
79,T79,T82,Tyrrell Hatton,46,66.67,504,756,-0.29
80,T79,76,Kramer Hickok,59,66.67,708,1062,-0.26
81,T79,T82,Kevin Na,54,66.67,588,882,-0.28
82,T79,T100,Adam Svensson,51,66.67,588,882,-0.25
83,84,84,Joel Dahmen,78,66.59,887,1332,-0.3
84,85,81,Adam Hadwin,66,66.58,743,1116,-0.29
85,86,98,Sebastián Muñoz,58,66.57,671,1008,-0.29
86,87,85,Luke List,52,66.55,587,882,-0.29
87,T88,T86,Byeong Hun An,54,66.45,610,918,-0.3
88,T88,T86,Sam Ryder,52,66.45,622,936,-0.31
89,90,T89,Abraham Ancer,69,66.41,765,1152,-0.29
90,91,93,Chris Kirk,47,66.3,537,810,-0.26
91,T92,T95,Ernie Els,43,66.26,489,738,-0.25
92,T92,T95,Branden Grace,62,66.26,644,972,-0.24
93,94,88,Roberto Castro,54,66.22,596,900,-0.23
94,95,91,Harold Varner III,62,66.2,715,1080,-0.28
95,96,T89,Anders Albertson,48,66.18,548,828,-0.23
96,97,102,Matt Jones,67,66.14,750,1134,-0.29
97,98,110,Scott Brown,66,66.13,738,1116,-0.26
98,99,94,Peter Uihlein,65,66.05,749,1134,-0.28
99,100,105,Rory Sabbatini,71,66.0,796,1206,-0.29
100,101,T106,Joaquin Niemann,68,65.99,784,1188,-0.25
101,102,108,Phil Mickelson,41,65.94,451,684,-0.32
102,103,109,Andrew Landry,56,65.92,617,936,-0.24
103,104,104,Chase Wright,53,65.9,605,918,-0.27
104,105,103,Danny Lee,66,65.89,759,1152,-0.28
105,106,97,Harris English,72,65.87,830,1260,-0.27
106,107,123,Chris Thompson,34,65.85,403,612,-0.21
107,108,111,Beau Hossler,66,65.82,782,1188,-0.29
108,109,112,Sung Kang,67,65.81,770,1170,-0.29
109,110,99,Seth Reeves,52,65.78,592,900,-0.28
110,T111,120,Lucas Bjerregaard,37,65.74,355,540,-0.21
111,T111,122,Ben Silverman,54,65.74,639,972,-0.25
112,113,113,Bud Cauley,61,65.66,721,1098,-0.31
113,114,115,Bryson DeChambeau,45,65.61,496,756,-0.34
114,115,114,Graeme McDowell,61,65.59,673,1026,-0.28
115,116,116,Tony Finau,61,65.58,661,1008,-0.32
116,117,117,Charley Hoffman,58,65.53,637,972,-0.28
117,118,T118,Justin Rose,42,65.5,448,684,-0.34
118,119,121,Bronson Burgoon,37,65.47,436,666,-0.25
119,120,T106,Wes Roach,45,65.37,506,774,-0.26
120,121,127,Brandon Harkins,67,65.34,741,1134,-0.3
121,122,124,Kevin Kisner,65,65.33,635,972,-0.29
122,T123,129,David Hearn,41,65.32,435,666,-0.25
123,T123,T125,C.T. Pan,64,65.32,729,1116,-0.28
124,T123,T125,Nick Taylor,70,65.32,776,1188,-0.29
125,126,128,Kyle Stanley,53,65.28,564,864,-0.24
126,127,T118,Scott Stallings,63,65.25,693,1062,-0.29
127,128,T100,Dominic Bozzelli,53,65.14,598,918,-0.33
128,129,130,Louis Oosthuizen,43,65.12,422,648,-0.27
129,130,131,Pat Perez,52,65.11,586,900,-0.26
130,131,137,Denny McCarthy,63,65.07,691,1062,-0.3
131,132,150,Austin Cook,50,64.98,538,828,-0.28
132,133,135,Adam Long,52,64.96,608,936,-0.22
133,134,136,John Huh,35,64.92,409,630,-0.23
134,135,T138,Michael Thompson,56,64.88,654,1008,-0.29
135,T136,134,J.J. Henry,42,64.77,443,684,-0.18
136,T136,141,Patrick Rodgers,44,64.77,513,792,-0.29
137,138,143,Max Homa,61,64.69,687,1062,-0.27
138,T139,154,Robert Streb,60,64.68,652,1008,-0.25
139,T139,144,Vaughn Taylor,69,64.68,780,1206,-0.31
140,141,T138,Sergio Garcia,39,64.63,349,540,-0.32
141,142,133,Roger Sloan,62,64.61,721,1116,-0.28
142,T143,T145,Chesson Hadley,58,64.58,651,1008,-0.27
143,T143,T145,Patrick Reed,53,64.58,558,864,-0.3
144,T143,T145,Brian Stuard,76,64.58,837,1296,-0.25
145,146,140,Whee Kim,57,64.57,616,954,-0.25
146,147,151,J.T. Poston,76,64.51,836,1296,-0.27
147,148,142,Jonas Blixt,66,64.5,743,1152,-0.3
148,T149,T145,Tom Hoge,70,64.48,766,1188,-0.25
149,T149,153,Jimmy Walker,61,64.48,708,1098,-0.23
150,151,149,Roberto Díaz,51,64.42,545,846,-0.27
151,152,152,Rafa Cabrera Bello,57,64.4,626,972,-0.3
152,153,165,Richy Werenski,63,64.39,707,1098,-0.28
153,154,155,Haotong Li,32,64.29,324,504,-0.26
154,155,T156,Aaron Baddeley,51,64.27,590,918,-0.3
155,T156,T158,Si Woo Kim,65,64.26,694,1080,-0.35
156,T156,999,Tyrone Van Aswegen,30,64.26,347,540,-0.19
157,158,132,Alex Noren,49,64.25,532,828,-0.25
158,159,160,Wyndham Clark,61,64.22,682,1062,-0.35
159,160,T166,Sangmoon Bae,42,64.03,461,720,-0.25
160,T161,T162,"Ted Potter, Jr.",56,63.99,622,972,-0.26
161,T161,T162,Jordan Spieth,57,63.99,622,972,-0.33
162,163,T156,Sam Saunders,53,63.94,610,954,-0.25
163,T164,T166,Daniel Berger,48,63.89,552,864,-0.28
164,T164,T166,Cameron Smith,55,63.89,575,900,-0.3
165,166,T177,Mackenzie Hughes,58,63.79,620,972,-0.26
166,167,164,Ben Crane,41,63.69,470,738,-0.27
167,168,T177,Brandt Snedeker,68,63.68,745,1170,-0.29
168,169,161,Brady Schnell,38,63.6,435,684,-0.25
169,170,T158,Jonathan Byrd,43,63.55,469,738,-0.28
170,171,169,Matthew Fitzpatrick,42,63.53,446,702,-0.28
171,172,171,Sam Burns,66,63.45,731,1152,-0.31
172,173,170,Julián Etulain,55,63.4,582,918,-0.26
173,174,172,Patton Kizzire,58,63.39,639,1008,-0.3
174,175,179,Stephan Jaeger,59,63.33,627,990,-0.26
175,176,175,Joey Garber,44,63.19,455,720,-0.24
176,177,176,Grayson Murray,36,63.12,409,648,-0.29
177,178,174,Brian Gay,79,63.04,851,1350,-0.28
178,179,173,Jim Herman,37,62.91,419,666,-0.26
179,180,180,Justin Harding,31,62.73,271,432,-0.31
180,181,184,José de Jesús Rodríguez,51,62.53,574,918,-0.28
181,182,181,Peter Malnati,64,62.5,675,1080,-0.3
182,183,182,Kyle Jones,49,62.41,528,846,-0.22
183,184,185,Ollie Schniederjans,63,62.39,685,1098,-0.31
184,185,183,Zach Johnson,50,62.11,559,900,-0.26
185,186,186,Ryan Blaum,67,62.08,704,1134,-0.29
186,187,192,Bill Haas,58,62.04,603,972,-0.25
187,188,194,Alex Cejka,41,62.01,413,666,-0.22
188,189,999,Shane Lowry,30,62.0,279,450,-0.27
189,190,999,Martin Piller,30,61.85,334,540,-0.28
190,191,190,Satoshi Kodaira,51,61.81,534,864,-0.24
191,192,191,Francesco Molinari,41,61.76,378,612,-0.26
192,193,188,Curtis Luck,51,61.7,522,846,-0.28
193,194,196,Scott Langley,60,61.69,644,1044,-0.3
194,195,193,Michael Kim,51,61.68,544,882,-0.23
195,196,187,Chris Stroud,54,61.56,554,900,-0.28
196,197,200,Rod Pampling,40,61.55,421,684,-0.19
197,198,195,Kiradech Aphibarnrat,49,61.47,509,828,-0.3
198,199,197,Martin Kaymer,38,61.4,420,684,-0.27
199,200,189,Kelly Kraft,67,61.29,695,1134,-0.28
200,T201,T198,D.A. Points,33,61.28,364,594,-0.21
201,T201,T198,Charl Schwartzel,34,61.28,353,576,-0.28
202,T203,202,Brian Harman,67,61.11,715,1170,-0.26
203,T203,201,Anirban Lahiri,54,61.11,550,900,-0.27
204,205,203,Martin Trainer,51,60.35,554,918,-0.3
205,206,204,Freddie Jacobson,37,60.0,378,630,-0.28
206,207,205,Cody Gribble,52,59.61,515,864,-0.31
207,208,207,Matt Wallace,31,59.52,300,504,-0.28
208,209,206,Seamus Power,58,59.47,578,972,-0.26
