,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Charl Schwartzel,34,"30' 11""",28,866.0830000000001,+5.00
1,2,2,James Hahn,34,"33' 9""",28,944.8330000000001,+8.00
2,3,3,Lucas Glover,62,"34' 0""",65,2209.75,E
3,4,4,Russell Knox,65,"34' 8""",68,2358.25,+3.00
4,5,T9,Jim Furyk,53,"35' 2""",39,1372.9170000000001,+1.00
5,6,6,Ernie Els,43,"35' 5""",38,1347.3329999999999,+3.00
6,7,8,Cameron Davis,54,"35' 8""",87,3105.75,-11.00
7,8,7,Justin Harding,31,"36' 0""",15,540.5830000000001,+2.00
8,9,T9,Marc Leishman,52,"36' 5""",33,1200.917,-1.00
9,10,11,Rory McIlroy,50,"36' 11""",51,1884.5829999999999,+3.00
10,11,5,Joey Garber,44,"37' 0""",50,1851.6670000000001,+15.00
11,12,T19,Jonathan Byrd,43,"37' 3""",59,2196.833,+2.00
12,13,999,Tyrone Van Aswegen,30,"37' 8""",33,1243.833,+7.00
13,14,13,D.A. Points,33,"37' 10""",23,869.5,+6.00
14,15,15,Matt Wallace,31,"38' 1""",35,1334.3329999999999,-3.00
15,16,16,Kevin Streelman,63,"38' 3""",75,2866.667,E
16,17,T21,Joaquin Niemann,68,"38' 6""",69,2655.417,+1.00
17,18,T45,Talor Gooch,37,"38' 9""",54,2091.75,+10.00
18,T19,18,Hunter Mahan,45,"38' 11""",54,2100.167,-1.00
19,T19,T21,D.J. Trahan,33,"38' 11""",41,1594.0829999999999,+5.00
20,T21,T23,Tony Finau,61,"39' 4""",66,2596.917,-3.00
21,T21,T23,Rory Sabbatini,71,"39' 4""",68,2675.833,-3.00
22,T23,25,Stewart Cink,33,"39' 5""",39,1538.1670000000001,+6.00
23,T23,14,Ryan Palmer,56,"39' 5""",64,2520.5,-2.00
24,25,T26,Chesson Hadley,58,"39' 9""",97,3852.417,+17.00
25,26,T36,Corey Conners,62,"39' 10""",57,2271.5,+7.00
26,T27,T28,Aaron Baddeley,51,"40' 0""",88,3521.583,+1.00
27,T27,48,Chris Stroud,54,"40' 0""",55,2199.75,+1.00
28,T29,T30,Abraham Ancer,69,"40' 1""",44,1764.8329999999999,E
29,T29,12,Keegan Bradley,65,"40' 1""",65,2603.083,+11.00
30,T29,T36,Bud Cauley,61,"40' 1""",80,3204.583,+7.00
31,T29,T30,Emiliano Grillo,65,"40' 1""",42,1681.75,E
32,T29,49,David Hearn,41,"40' 1""",35,1404.3329999999999,+2.00
33,T29,T45,Danny Lee,66,"40' 1""",112,4487.5,+14.00
34,35,17,Matt Every,38,"40' 3""",44,1770.5829999999999,+14.00
35,T36,T26,J.B. Holmes,54,"40' 4""",63,2539.25,+2.00
36,T36,32,Trey Mullinax,67,"40' 4""",111,4473.0,+14.00
37,38,T34,Scott Piercy,70,"40' 5""",52,2102.917,+7.00
38,39,T38,"Ted Potter, Jr.",56,"40' 7""",79,3205.0,+12.00
39,40,T42,Alex Prugh,54,"40' 8""",57,2319.583,+7.00
40,41,T42,Si Woo Kim,65,"40' 9""",61,2484.333,+9.00
41,42,T59,Matt Kuchar,65,"41' 0""",65,2665.25,+4.00
42,43,T71,Danny Willett,47,"41' 2""",70,2881.25,+6.00
43,T44,50,John Senden,39,"41' 4""",35,1445.5,+5.00
44,T44,33,Scott Stallings,63,"41' 4""",82,3386.583,+22.00
45,46,51,Michael Kim,51,"41' 5""",73,3024.5,+15.00
46,47,52,Ian Poulter,49,"41' 6""",38,1576.0829999999999,+2.00
47,48,53,Kevin Kisner,65,"41' 8""",65,2707.167,+9.00
48,T49,T55,Jimmy Walker,61,"41' 9""",84,3503.667,+13.00
49,T49,54,Chase Wright,53,"41' 9""",65,2715.0,+14.00
50,51,T64,Ollie Schniederjans,63,"41' 10""",100,4187.25,+7.00
51,52,T19,Alex Noren,49,"41' 11""",47,1971.25,+8.00
52,T53,T38,Roberto Castro,54,"42' 0""",64,2685.667,+9.00
53,T53,T28,Sergio Garcia,39,"42' 0""",52,2183.0,+17.00
54,T55,T45,Ben Crane,41,"42' 1""",48,2020.8329999999999,+9.00
55,T55,T42,Nate Lashley,44,"42' 1""",43,1807.9170000000001,-2.00
56,T55,T57,Brian Stuard,76,"42' 1""",94,3954.417,+8.00
57,58,T38,José de Jesús Rodríguez,51,"42' 2""",61,2573.5,+2.00
58,59,68,Adam Hadwin,66,"42' 3""",50,2112.917,+2.00
59,T60,T59,Kyoung-Hoon Lee,72,"42' 4""",80,3385.667,+11.00
60,T60,T71,Carlos Ortiz,60,"42' 4""",110,4653.0,+13.00
61,T60,T59,Jhonattan Vegas,60,"42' 4""",85,3597.667,-3.00
62,63,T78,Martin Trainer,51,"42' 5""",91,3862.0,+10.00
63,64,T64,Justin Rose,42,"42' 6""",39,1658.8329999999999,E
64,65,86,Brandon Harkins,67,"42' 7""",98,4170.583,+20.00
65,66,T57,Russell Henley,56,"42' 8""",55,2347.917,+12.00
66,T67,T69,Charley Hoffman,58,"42' 10""",57,2442.417,+5.00
67,T67,T69,Chris Kirk,47,"42' 10""",65,2783.917,-1.00
68,T69,T64,Tyler Duncan,66,"42' 11""",72,3087.75,+18.00
69,T69,T71,Sung Kang,67,"42' 11""",93,3994.333,+8.00
70,T69,T71,Sam Ryder,52,"42' 11""",52,2229.833,+7.00
71,T69,87,Henrik Stenson,46,"42' 11""",48,2060.333,+10.00
72,T69,T71,Vaughn Taylor,69,"42' 11""",93,3993.0,+14.00
73,74,T78,Richy Werenski,63,"43' 0""",89,3827.167,+13.00
74,T75,100,Cody Gribble,52,"43' 2""",86,3711.917,+23.00
75,T75,T78,Tyrrell Hatton,46,"43' 2""",35,1511.5829999999999,+5.00
76,T75,67,J.J. Henry,42,"43' 2""",49,2116.25,+8.00
77,T75,T59,Sungjae Im,88,"43' 2""",112,4837.667,+12.00
78,T75,T38,Brooks Koepka,49,"43' 2""",48,2070.5,-1.00
79,T75,T84,Robert Streb,60,"43' 2""",96,4146.917,+13.00
80,T81,83,Kiradech Aphibarnrat,49,"43' 3""",43,1858.3329999999999,+8.00
81,T81,77,Roberto Díaz,51,"43' 3""",53,2291.167,+6.00
82,T81,T103,Shawn Stefani,57,"43' 3""",68,2941.0,+9.00
83,T84,T96,Jonas Blixt,66,"43' 4""",90,3897.5,+19.00
84,T84,T34,Cameron Tringale,52,"43' 4""",78,3377.0,+1.00
85,T86,T55,Peter Malnati,64,"43' 5""",114,4946.417,+13.00
86,T86,999,Martin Piller,30,"43' 5""",30,1301.917,+6.00
87,88,T84,Harold Varner III,62,"43' 6""",84,3653.583,+10.00
88,89,T96,J.J. Spaun,68,"43' 9""",55,2408.25,+1.00
89,T90,92,Andrew Putnam,57,"43' 10""",53,2325.167,+4.00
90,T90,90,Nick Taylor,70,"43' 10""",98,4298.167,+12.00
91,92,T93,C.T. Pan,64,"43' 11""",67,2942.25,+6.00
92,T93,113,Wyndham Clark,61,"44' 0""",88,3871.667,+4.00
93,T93,95,Ryan Moore,54,"44' 0""",35,1540.9170000000001,-5.00
94,95,T96,Cameron Smith,55,"44' 1""",64,2822.667,+6.00
95,T96,T71,Scott Brown,66,"44' 2""",76,3356.25,+2.00
96,T96,91,Bill Haas,58,"44' 2""",60,2648.833,-1.00
97,98,99,Luke List,52,"44' 3""",93,4114.75,+10.00
98,T99,T111,Adam Svensson,51,"44' 4""",59,2613.333,+7.00
99,T99,T59,Chris Thompson,34,"44' 4""",50,2214.833,+1.00
100,T101,T88,Jim Herman,37,"44' 5""",37,1643.3329999999999,+6.00
101,T101,T101,John Huh,35,"44' 5""",31,1377.9170000000001,+5.00
102,T101,T101,Satoshi Kodaira,51,"44' 5""",43,1908.1670000000001,+10.00
