,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1.0,Russell Knox,65,275,Valspar Championship,1,11
1,2,2.0,Emiliano Grillo,65,254,RBC Heritage,2,5
2,3,3.0,Shubhankar Sharma,24,250,the Memorial Tournament presented by Nationwide,2,5
3,4,4.0,Roger Sloan,62,243,AT&T Pebble Beach Pro-Am,2,2
4,5,5.0,Harris English,72,236,THE PLAYERS Championship,1,11
5,6,6.0,Nick Taylor,70,221,Valero Texas Open,3,13
6,7,7.0,Jason Kokrak,68,219,Valspar Championship,3,15
7,8,67.0,Kramer Hickok,59,218,RBC Canadian Open,2,4
8,9,8.0,Lucas Bjerregaard,37,206,PGA Championship,4,17
9,T10,9.0,Francesco Molinari,41,204,Arnold Palmer Invitational presented by Mastercard,1,7
10,T10,10.0,D.A. Points,33,204,Arnold Palmer Invitational presented by Mastercard,1,7
11,12,11.0,Padraig Harrington,17,202,AT&T Byron Nelson,2,13
12,13,12.0,Shawn Stefani,57,200,AT&T Byron Nelson,3,11
13,14,13.0,Branden Grace,62,194,Waste Management Phoenix Open,2,7
14,T15,14.0,Jim Knous,55,193,Farmers Insurance Open,4,3
15,T15,15.0,Adam Schenk,80,193,Arnold Palmer Invitational presented by Mastercard,3,9
16,17,16.0,Ryan Moore,54,190,THE PLAYERS Championship,3,5
17,18,17.0,Patton Kizzire,58,186,Sentry Tournament of Champions,1,8
18,T19,18.0,Joaquin Niemann,68,176,Shriners Hospitals for Children Open,3,17
19,T19,19.0,Paul Casey,51,176,World Golf Championships-Mexico Championship,2,14
20,21,20.0,Kelly Kraft,67,173,Sony Open in Hawaii,1,7
21,22,21.0,Alex Cejka,41,170,Sanderson Farms Championship,2,4
22,23,22.0,Si Woo Kim,65,167,Valero Texas Open,2,16
23,T24,23.0,Chesson Hadley,58,162,Waste Management Phoenix Open,4,6
24,T24,24.0,Keith Mitchell,64,162,Sony Open in Hawaii,2,7
25,T24,25.0,Chris Stroud,54,162,Shriners Hospitals for Children Open,1,14
26,27,26.0,Aaron Baddeley,51,158,Safeway Open,2,10
27,28,27.0,Roberto Díaz,51,157,Shriners Hospitals for Children Open,2,3
28,T29,12.0,Shawn Stefani,57,156,Valspar Championship,1,16
29,T29,44.0,Jonas Blixt,66,156,RBC Canadian Open,1,9
30,T29,29.0,Seamus Power,58,156,THE PLAYERS Championship,3,3
31,32,30.0,Sam Ryder,52,154,Safeway Open,2,14
32,33,31.0,Justin Rose,42,153,THE PLAYERS Championship,2,15
33,34,32.0,Sungjae Im,88,152,THE PLAYERS Championship,2,13
34,35,33.0,Chez Reavie,67,149,Sony Open in Hawaii,2,16
35,36,17.0,Patton Kizzire,58,147,Sony Open in Hawaii,2,12
36,37,35.0,J.B. Holmes,54,146,Genesis Open,1,6
37,38,36.0,David Pastore,4,143,Farmers Insurance Open,2,2
38,T39,37.0,Rafa Cabrera Bello,57,142,AT&T Byron Nelson,2,6
39,T39,38.0,J.J. Spaun,68,142,Shriners Hospitals for Children Open,1,12
40,T41,39.0,D.J. Trahan,33,137,Sanderson Farms Championship,3,17
41,T41,40.0,Kevin Streelman,63,137,RBC Heritage,3,10
42,43,41.0,Chad Campbell,24,136,AT&T Byron Nelson,1,3
43,44,33.0,Chez Reavie,67,134,Sony Open in Hawaii,2,6
44,45,43.0,Dylan Frittelli,55,133,PGA Championship,2,2
45,46,44.0,Jonas Blixt,66,132,Charles Schwab Challenge,2,17
46,T47,29.0,Seamus Power,58,131,Genesis Open,2,11
47,T47,45.0,Jason Schmuhl,3,131,AT&T Pebble Beach Pro-Am,2,14
48,T47,47.0,Patrick Rodgers,44,131,Genesis Open,2,7
49,50,48.0,Harold Varner III,62,129,THE PLAYERS Championship,1,1
50,51,49.0,Julián Etulain,55,128,AT&T Byron Nelson,1,10
51,52,50.0,Webb Simpson,53,127,The RSM Classic,3,10
52,53,51.0,Adam Svensson,51,126,Desert Classic,3,2
53,54,52.0,Sam Burns,66,125,RBC Heritage,4,5
54,55,16.0,Ryan Moore,54,122,THE PLAYERS Championship,1,17
55,56,54.0,Jason Day,45,121,the Memorial Tournament presented by Nationwide,2,2
56,57,55.0,J.T. Poston,76,119,Safeway Open,1,18
57,T58,56.0,Brian Stuard,76,116,AT&T Pebble Beach Pro-Am,4,11
58,T58,57.0,Andrew Putnam,57,116,the Memorial Tournament presented by Nationwide,1,14
59,60,58.0,Kevin Na,54,114,THE PLAYERS Championship,2,9
