,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Brooks Koepka,49,80.68,71,17
1,2,2,Justin Thomas,49,80.0,80,20
2,3,4,Rory McIlroy,50,79.17,95,25
3,4,3,Bryson DeChambeau,45,78.69,96,26
4,5,5,Bubba Watson,47,76.72,89,27
5,6,6,Byeong Hun An,54,75.61,93,30
6,7,7,Gary Woodland,63,75.56,102,33
7,8,8,Keith Mitchell,64,75.4,95,31
8,9,10,Grayson Murray,36,73.86,65,23
9,10,11,Luke List,52,73.57,103,37
10,11,12,Cameron Champ,58,73.33,110,40
11,12,9,Lucas Bjerregaard,37,72.58,45,17
12,13,14,Paul Casey,51,72.45,71,27
13,14,15,Adam Scott,41,72.37,55,21
14,15,13,Webb Simpson,53,72.31,94,36
15,T16,16,Patrick Cantlay,49,72.22,78,30
16,T16,17,Dustin Johnson,47,72.22,78,30
17,18,21,Sergio Garcia,39,71.43,60,24
18,19,18,Patrick Reed,53,70.97,88,36
19,20,20,Jon Rahm,51,70.54,79,33
20,21,22,Justin Rose,42,69.79,67,29
21,22,24,Trey Mullinax,67,69.75,113,49
22,23,23,Xander Schauffele,55,69.64,78,34
23,24,19,Wyndham Clark,61,69.33,104,46
24,25,25,Jason Day,45,69.32,61,27
25,26,26,Tony Finau,61,69.23,90,40
26,27,28,Cameron Davis,54,69.17,83,37
27,28,27,Hideki Matsuyama,59,69.12,94,42
28,29,30,Aaron Wise,52,68.85,84,38
29,30,29,Jhonattan Vegas,60,68.83,106,48
30,31,33,Dylan Frittelli,55,67.86,95,45
31,32,31,Kevin Tway,62,67.65,92,44
32,33,32,Jason Kokrak,68,67.61,119,57
33,34,T36,Sungjae Im,88,67.44,145,70
34,35,39,Ryan Palmer,56,66.96,75,37
35,36,35,Sung Kang,67,66.86,115,57
36,T37,38,Brandon Harkins,67,66.67,104,52
37,T37,49,Alex Noren,49,66.67,64,32
38,T37,T36,Matt Wallace,31,66.67,44,22
39,40,47,Talor Gooch,37,65.93,60,31
40,41,34,Seth Reeves,52,65.79,75,39
41,42,40,Matt Jones,67,65.75,96,50
42,43,41,Charles Howell III,64,65.69,90,47
43,44,43,Marc Leishman,52,65.52,76,40
44,45,42,Sepp Straka,48,65.38,68,36
45,46,44,Tiger Woods,31,65.28,47,25
46,47,50,Daniel Berger,48,65.25,77,41
47,48,45,Ian Poulter,49,65.22,60,32
48,49,48,D.J. Trahan,33,64.52,40,22
49,50,51,Si Woo Kim,65,64.39,85,47
50,51,52,Tommy Fleetwood,43,64.29,54,30
51,52,55,Adam Hadwin,66,63.89,92,52
52,53,46,Dominic Bozzelli,53,63.83,60,34
53,54,53,Max Homa,61,63.51,94,54
