,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Corey Conners,62,"32' 9""",25210.667,769,6
1,2,2,Jim Furyk,53,"33' 1""",24290.333,734,7
2,3,3,Russell Knox,65,"33' 7""",29435.833,876,27
3,4,4,Keegan Bradley,65,"33' 11""",27332.917,805,22
4,5,5,Tiger Woods,31,"34' 0""",12763.333,375,1
5,T6,9,Ryan Armour,66,"34' 2""",29952.25,876,78
6,T6,6,Chesson Hadley,58,"34' 2""",25500.25,746,143
7,8,T7,Jason Dufner,56,"34' 3""",23815.083,695,21
8,T9,T21,Talor Gooch,37,"34' 5""",19003.5,552,12
9,T9,999,Tyrone Van Aswegen,30,"34' 5""",11705.167,340,156
10,T11,T10,Joaquin Niemann,68,"34' 6""",31983.917,926,101
11,T11,T10,Vaughn Taylor,69,"34' 6""",35574.5,1030,139
12,13,12,Lucas Glover,62,"34' 8""",32856.333,947,28
13,14,20,Rory McIlroy,50,"34' 9""",22924.167,660,9
14,T15,T14,Chez Reavie,67,"34' 10""",24902.75,715,46
15,T15,T14,Brian Stuard,76,"34' 10""",34294.417,985,143
16,T17,13,Matt Kuchar,65,"34' 11""",29984.5,859,3
17,T17,T25,Brady Schnell,38,"34' 11""",16215.417,464,169
18,T19,T16,Abraham Ancer,69,"35' 0""",30783.917,880,90
19,T19,T16,Charley Hoffman,58,"35' 0""",21722.0,621,117
20,T19,T16,Troy Merritt,42,"35' 0""",20655.667,590,30
21,T22,T25,Alex Cejka,41,"35' 1""",16870.667,481,188
22,T22,T16,Nate Lashley,44,"35' 1""",19432.667,554,31
23,24,T21,Patrick Cantlay,49,"35' 2""",20796.083,591,37
24,25,24,Marc Leishman,52,"35' 3""",21948.917,623,33
25,T26,T36,Adam Svensson,51,"35' 6""",23443.667,660,79
26,T26,T25,Nick Watney,67,"35' 6""",30968.833,872,34
27,T28,T28,Emiliano Grillo,65,"35' 7""",26096.333,733,20
28,T28,T28,Andrew Landry,56,"35' 7""",27171.75,764,103
29,T28,T28,Alex Prugh,54,"35' 7""",22898.417,643,15
30,T31,T31,Bronson Burgoon,37,"35' 8""",18335.417,514,119
31,T31,T31,James Hahn,34,"35' 8""",10890.917,305,2
32,T31,T41,Russell Henley,56,"35' 8""",27491.917,771,55
33,T31,T31,Kevin Streelman,63,"35' 8""",33802.917,947,42
34,T35,T46,Adam Hadwin,66,"35' 10""",29313.5,818,85
35,T35,T34,Francesco Molinari,41,"35' 10""",16585.167,463,192
36,T35,T34,Ryan Moore,54,"35' 10""",27434.833,765,76
37,T38,T36,Hideki Matsuyama,59,"35' 11""",27596.0,769,26
38,T38,T21,Josh Teater,47,"35' 11""",19911.667,555,51
39,T40,T38,Whee Kim,57,"36' 0""",19961.583,554,146
40,T40,T38,Justin Rose,42,"36' 0""",18238.583,507,118
41,T42,T38,Matt Every,38,"36' 1""",16024.25,444,72
42,T42,T41,Kevin Kisner,65,"36' 1""",27759.333,769,122
43,T42,T41,Gary Woodland,63,"36' 1""",27552.25,763,11
44,T45,T50,Scott Langley,60,"36' 2""",31091.167,860,194
45,T45,T41,Scott Piercy,70,"36' 2""",32225.25,891,8
46,T47,T50,Ben Crane,41,"36' 3""",17397.5,480,167
47,T47,T41,Tyler Duncan,66,"36' 3""",29733.583,821,67
48,T47,T48,Adam Long,52,"36' 3""",28228.167,779,133
49,T47,T48,Justin Thomas,49,"36' 3""",21925.833,605,4
50,T51,T50,Roberto Castro,54,"36' 4""",26015.5,716,94
51,T51,T50,Rickie Fowler,54,"36' 4""",28863.167,794,63
52,T51,T46,Sergio Garcia,39,"36' 4""",18247.75,502,141
53,T51,T50,Louis Oosthuizen,43,"36' 4""",15549.167,428,129
54,T51,T50,Ryan Palmer,56,"36' 4""",25309.333,696,18
55,T56,T56,Joel Dahmen,78,"36' 5""",36480.75,1002,84
56,T56,T56,Tom Hoge,70,"36' 5""",31062.917,853,149
57,T58,T75,Austin Cook,50,"36' 7""",22707.917,621,132
58,T58,T60,Max Homa,61,"36' 7""",31498.5,861,138
59,T58,59,Zach Johnson,50,"36' 7""",26799.833,732,185
60,T61,T62,Matthew Fitzpatrick,42,"36' 8""",18992.167,518,171
61,T61,T62,Kyle Stanley,53,"36' 8""",20353.583,555,126
62,T61,T62,Michael Thompson,56,"36' 8""",32794.833,894,135
63,T61,T72,Danny Willett,47,"36' 8""",24959.333,680,53
64,T65,T67,Paul Casey,51,"36' 9""",20412.417,555,19
65,T65,T67,Tyrrell Hatton,46,"36' 9""",19622.917,534,79
66,T65,T67,Jason Kokrak,68,"36' 9""",34683.25,943,41
67,T65,T62,Hank Lebioda,55,"36' 9""",25668.833,699,38
68,T65,T77,Danny Lee,66,"36' 9""",35908.833,977,105
69,T65,T67,"Ted Potter, Jr.",56,"36' 9""",28147.667,766,161
70,T65,T60,Webb Simpson,53,"36' 9""",29421.833,801,65
71,T65,T67,Brendan Steele,50,"36' 9""",24228.417,660,39
72,T65,T62,Hudson Swafford,59,"36' 9""",30801.917,839,77
73,T74,T72,Dustin Johnson,47,"36' 10""",22454.5,609,13
74,T74,T100,Brooks Koepka,49,"36' 10""",19652.75,533,10
75,T74,T77,Trey Mullinax,67,"36' 10""",34846.833,946,56
76,T74,T72,Andrew Putnam,57,"36' 10""",23708.75,644,60
77,T74,T100,Ben Silverman,54,"36' 10""",27714.75,752,111
78,T74,T82,Harold Varner III,62,"36' 10""",34238.667,930,95
79,T80,T56,Roger Sloan,62,"36' 11""",31587.417,855,142
80,T80,T75,Cameron Smith,55,"36' 11""",21704.583,588,164
81,T82,T77,Michael Kim,51,"37' 0""",23052.5,623,195
