,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Justin Harding,31,"32' 10""",11,361.25,E
1,2,T11,Dustin Johnson,47,"34' 8""",78,2706.75,-13.00
2,3,3,Brady Schnell,38,"35' 6""",49,1740.8329999999999,+6.00
3,4,4,Kevin Streelman,63,"35' 9""",76,2719.917,+13.00
4,5,5,Matthew Fitzpatrick,42,"35' 10""",43,1541.5829999999999,+6.00
5,6,6,Phil Mickelson,41,"36' 6""",74,2698.917,+1.00
6,7,T18,Brooks Koepka,49,"37' 0""",65,2406.333,-1.00
7,8,2,Matt Every,38,"37' 1""",33,1224.75,+7.00
8,9,8,Lucas Glover,62,"37' 5""",88,3293.333,-2.00
9,10,T18,Talor Gooch,37,"37' 6""",65,2439.833,-3.00
10,T11,10,Paul Casey,51,"37' 9""",43,1623.0829999999999,-3.00
11,T11,17,Justin Thomas,49,"37' 9""",70,2642.417,-2.00
12,13,13,"Ted Potter, Jr.",56,"38' 0""",69,2624.083,+5.00
13,14,14,Hank Lebioda,55,"38' 1""",71,2706.333,E
14,15,T15,Alex Cejka,41,"38' 7""",42,1619.5,+2.00
15,16,T15,Marc Leishman,52,"38' 8""",88,3402.333,-9.00
16,17,23,Sergio Garcia,39,"38' 11""",63,2453.0,E
17,T18,T21,Aaron Baddeley,51,"39' 7""",70,2770.333,+9.00
18,T18,T11,Kyle Jones,49,"39' 7""",76,3005.917,+9.00
19,20,24,Gary Woodland,63,"39' 10""",71,2828.583,-6.00
20,T21,26,Rafa Cabrera Bello,57,"40' 0""",70,2802.5,-4.00
21,T21,T28,Joaquin Niemann,68,"40' 0""",119,4759.833,+1.00
22,23,35,Sangmoon Bae,42,"40' 1""",54,2166.167,+6.00
23,24,T44,Anders Albertson,48,"40' 2""",70,2812.583,+4.00
24,25,T31,Nick Taylor,70,"40' 3""",130,5229.25,-1.00
25,T26,20,Matt Kuchar,65,"40' 4""",70,2823.75,E
26,T26,9,Josh Teater,47,"40' 4""",74,2983.333,-6.00
27,28,T28,Abraham Ancer,69,"40' 5""",91,3679.25,+1.00
28,T29,T40,Harold Varner III,62,"40' 6""",94,3803.917,+9.00
29,T29,T56,Danny Willett,47,"40' 6""",85,3440.167,+4.00
30,T31,T31,Chesson Hadley,58,"40' 7""",59,2395.667,-2.00
31,T31,30,Nate Lashley,44,"40' 7""",66,2678.083,+3.00
32,T31,T31,Hideki Matsuyama,59,"40' 7""",96,3893.75,+2.00
33,34,T59,D.J. Trahan,33,"40' 8""",46,1869.6670000000001,+3.00
34,T35,T36,Sam Saunders,53,"40' 9""",109,4444.917,+9.00
35,T35,53,Webb Simpson,53,"40' 9""",80,3262.0,-9.00
36,37,48,Brandon Harkins,67,"40' 11""",119,4865.0,+12.00
37,T38,T21,Cameron Davis,54,"41' 0""",84,3443.5,+5.00
38,T38,T36,Jason Dufner,56,"41' 0""",59,2420.667,+14.00
39,T38,T36,Tommy Fleetwood,43,"41' 0""",51,2092.25,-5.00
40,T38,27,Danny Lee,66,"41' 0""",110,4511.25,+6.00
41,T38,T40,Rory McIlroy,50,"41' 0""",76,3113.417,+3.00
42,T38,T36,Jordan Spieth,57,"41' 0""",108,4424.667,+14.00
43,T44,T40,Patrick Cantlay,49,"41' 1""",78,3205.25,-6.00
44,T44,T44,Roger Sloan,62,"41' 1""",110,4519.333,E
45,46,43,Jhonattan Vegas,60,"41' 2""",92,3789.0,-4.00
46,47,47,Francesco Molinari,41,"41' 5""",38,1573.0,+5.00
47,48,T64,Scott Langley,60,"41' 6""",92,3817.083,+9.00
48,T49,T49,Martin Kaymer,38,"41' 7""",49,2037.4170000000001,+5.00
49,T49,T49,Adam Long,52,"41' 7""",59,2451.417,+8.00
50,51,T51,Pat Perez,52,"41' 8""",42,1750.4170000000001,+5.00
51,T52,T54,Kyle Stanley,53,"41' 11""",58,2431.417,+13.00
52,T52,25,Jimmy Walker,61,"41' 11""",103,4318.25,+13.00
53,T52,66,Bubba Watson,47,"41' 11""",71,2973.917,+6.00
54,55,T56,Jason Kokrak,68,"42' 0""",78,3276.333,E
55,T56,T59,Peter Malnati,64,"42' 1""",115,4842.083,+18.00
56,T56,34,Ryan Palmer,56,"42' 1""",58,2442.417,+4.00
57,T56,67,Alex Prugh,54,"42' 1""",76,3198.167,+14.00
58,T59,T78,Cody Gribble,52,"42' 2""",82,3455.167,+20.00
59,T59,58,Andrew Landry,56,"42' 2""",62,2614.5,+4.00
60,T59,77,Shawn Stefani,57,"42' 2""",77,3246.417,+18.00
61,62,T54,Jim Knous,55,"42' 4""",80,3387.667,+2.00
62,T63,63,Jonas Blixt,66,"42' 5""",94,3983.917,+10.00
63,T63,T59,John Senden,39,"42' 5""",51,2163.25,+4.00
64,T63,T78,Kevin Tway,62,"42' 5""",114,4833.083,-8.00
65,T63,999,Tyrone Van Aswegen,30,"42' 5""",42,1782.0,+7.00
66,67,T69,Zach Johnson,50,"42' 7""",53,2258.667,+9.00
67,68,T94,Lucas Bjerregaard,37,"42' 8""",37,1577.5829999999999,+1.00
68,69,68,Patrick Rodgers,44,"43' 0""",73,3140.167,+8.00
69,T70,T64,Sepp Straka,48,"43' 1""",70,3014.333,-1.00
70,T70,T59,Aaron Wise,52,"43' 1""",63,2712.25,+13.00
71,T72,T44,Corey Conners,62,"43' 2""",76,3283.667,+6.00
72,T72,T71,Patton Kizzire,58,"43' 2""",63,2718.833,+2.00
73,T72,T94,Brandt Snedeker,68,"43' 2""",100,4320.75,-8.00
74,T72,T71,Brendan Steele,50,"43' 2""",60,2589.0,+3.00
75,76,74,Billy Horschel,73,"43' 3""",61,2636.0,+8.00
76,T77,T75,Tony Finau,61,"43' 4""",100,4335.833,+5.00
77,T77,T85,Nick Watney,67,"43' 4""",88,3815.75,+13.00
78,79,T85,Ollie Schniederjans,63,"43' 6""",110,4780.5,+14.00
79,T80,80,Kyoung-Hoon Lee,72,"43' 7""",70,3052.417,E
80,T80,T75,Scott Stallings,63,"43' 7""",113,4920.917,+17.00
81,82,T51,J.J. Henry,42,"43' 8""",48,2096.5,+5.00
82,83,T69,Robert Streb,60,"43' 9""",68,2977.667,E
83,T84,T82,Ian Poulter,49,"43' 10""",48,2103.75,+3.00
84,T84,T82,Andrew Putnam,57,"43' 10""",89,3902.0,+11.00
85,86,T85,Rickie Fowler,54,"43' 11""",77,3383.833,-5.00
86,T87,99,Bud Cauley,61,"44' 0""",85,3740.25,+6.00
87,T87,88,Luke List,52,"44' 0""",79,3476.75,-11.00
88,T87,T105,Graeme McDowell,61,"44' 0""",65,2861.0,+6.00
89,T90,T89,Cameron Champ,58,"44' 1""",117,5159.917,+18.00
90,T90,T89,James Hahn,34,"44' 1""",33,1454.5,+4.00
91,T90,T89,Brian Stuard,76,"44' 1""",85,3749.25,+3.00
92,T90,T89,Hudson Swafford,59,"44' 1""",101,4448.5,-1.00
93,T90,81,Cameron Tringale,52,"44' 1""",81,3567.5,-5.00
94,T95,T102,Mackenzie Hughes,58,"44' 3""",94,4160.75,-9.00
95,T95,97,Chris Stroud,54,"44' 3""",93,4113.333,+8.00
96,97,T82,Henrik Stenson,46,"44' 5""",31,1376.4170000000001,+8.00
97,T98,100,Bronson Burgoon,37,"44' 7""",49,2185.417,+6.00
98,T98,93,Adam Schenk,80,"44' 7""",123,5484.6669999999995,+18.00
99,100,101,Xander Schauffele,55,"44' 8""",53,2369.333,-1.00
100,101,T102,Byeong Hun An,54,"44' 9""",93,4158.667,+8.00
101,102,104,Jason Day,45,"44' 10""",42,1882.5829999999999,+8.00
102,103,T105,Michael Kim,51,"44' 11""",78,3503.5,+12.00
103,T104,T148,Sebastián Muñoz,58,"45' 0""",86,3869.417,+2.00
104,T104,T110,Scott Piercy,70,"45' 0""",94,4228.917,+9.00
105,T104,T146,José de Jesús Rodríguez,51,"45' 0""",86,3868.167,+13.00
106,T107,T110,Russell Henley,56,"45' 1""",67,3020.5,+5.00
107,T107,107,Adam Svensson,51,"45' 1""",70,3157.25,+1.00
108,109,T153,Sungjae Im,88,"45' 2""",118,5328.5830000000005,E
109,T110,108,Haotong Li,32,"45' 3""",41,1856.0,+4.00
110,T110,152,Trey Mullinax,67,"45' 3""",126,5704.9169999999995,E
111,T112,109,Bryson DeChambeau,45,"45' 4""",61,2764.25,+8.00
112,T112,T94,Brian Gay,79,"45' 4""",79,3582.167,+10.00
113,T114,T110,Ryan Blaum,67,"45' 5""",96,4356.833,+17.00
114,T114,T110,Ryan Moore,54,"45' 5""",63,2861.417,+4.00
115,T114,T119,Ben Silverman,54,"45' 5""",69,3135.333,+10.00
116,T117,T114,Max Homa,61,"45' 6""",120,5462.3330000000005,+18.00
117,T117,98,Wes Roach,45,"45' 6""",61,2774.917,+8.00
118,T119,T117,Kevin Kisner,65,"45' 7""",71,3238.25,+13.00
119,T119,T117,Russell Knox,65,"45' 7""",82,3734.75,+5.00
120,T121,T119,Sam Burns,66,"45' 8""",120,5479.0,-1.00
121,T121,T150,Austin Cook,50,"45' 8""",44,2009.6670000000001,+8.00
122,T121,T119,J.T. Poston,76,"45' 8""",122,5573.5830000000005,+12.00
123,T124,156,Daniel Berger,48,"45' 10""",80,3665.917,+5.00
124,T124,T142,Julián Etulain,55,"45' 10""",87,3984.25,+8.00
125,T124,T136,Dylan Frittelli,55,"45' 10""",102,4674.667,+13.00
126,T124,T123,Beau Hossler,66,"45' 10""",106,4855.667,+14.00
127,T124,T123,Troy Merritt,42,"45' 10""",48,2199.5,+4.00
128,T124,T144,Richy Werenski,63,"45' 10""",89,4075.833,+15.00
129,T130,T114,Keegan Bradley,65,"45' 11""",56,2570.5,E
130,T130,T125,Tyrrell Hatton,46,"45' 11""",46,2110.417,+5.00
131,T130,T146,J.B. Holmes,54,"45' 11""",47,2159.917,+1.00
132,T130,T148,Kelly Kraft,67,"45' 11""",86,3952.0,+17.00
133,T130,T132,Curtis Luck,51,"45' 11""",91,4178.417,+13.00
134,T130,T125,Michael Thompson,56,"45' 11""",64,2936.917,+10.00
135,T136,127,Charley Hoffman,58,"46' 0""",71,3268.0,+2.00
136,T136,T153,Carlos Ortiz,60,"46' 0""",76,3493.917,-2.00
137,T138,T177,John Chin,38,"46' 1""",56,2579.917,+11.00
138,T138,T128,Joel Dahmen,78,"46' 1""",89,4099.583,+10.00
139,T138,T128,John Huh,35,"46' 1""",61,2811.25,+12.00
140,T138,T136,Whee Kim,57,"46' 1""",60,2763.167,+13.00
141,T138,T128,Anirban Lahiri,54,"46' 1""",81,3729.417,+12.00
142,T143,T132,Charles Howell III,64,"46' 2""",97,4475.5,+5.00
143,T143,T132,Hunter Mahan,45,"46' 2""",60,2771.0,+5.00
144,T143,T132,Kevin Na,54,"46' 2""",61,2814.25,+5.00
145,T146,164,Martin Laird,60,"46' 3""",97,4483.583,+3.00
146,T146,T136,Jon Rahm,51,"46' 3""",51,2358.417,+5.00
147,T146,T136,Matt Wallace,31,"46' 3""",41,1895.5829999999999,+5.00
148,T149,141,Louis Oosthuizen,43,"46' 4""",28,1297.417,+4.00
149,T149,T128,Chris Thompson,34,"46' 4""",61,2825.417,+7.00
150,151,T142,Justin Rose,42,"46' 5""",56,2599.083,+13.00
151,152,T144,Vaughn Taylor,69,"46' 6""",81,3763.917,+12.00
152,153,T119,Chase Wright,53,"46' 7""",49,2283.0,+2.00
153,154,T150,Dominic Bozzelli,53,"46' 8""",74,3454.833,+10.00
154,T155,T71,Roberto Díaz,51,"46' 10""",64,2999.75,+8.00
155,T155,T114,Bill Haas,58,"46' 10""",106,4965.083,+13.00
156,T155,T187,David Hearn,41,"46' 10""",50,2343.0,+5.00
157,T155,T153,Stephan Jaeger,59,"46' 10""",99,4633.667,-2.00
158,159,T136,Jim Furyk,53,"46' 11""",52,2437.917,+3.00
159,160,158,Satoshi Kodaira,51,"47' 5""",70,3317.0,+6.00
160,161,159,Rory Sabbatini,71,"47' 6""",112,5318.9169999999995,+3.00
161,T162,T177,Roberto Castro,54,"47' 8""",62,2956.417,+14.00
162,T162,192,Adam Hadwin,66,"47' 8""",90,4289.25,+12.00
163,T164,T160,Kiradech Aphibarnrat,49,"47' 9""",64,3058.333,+6.00
164,T164,T160,Sung Kang,67,"47' 9""",101,4822.417,+11.00
165,166,165,Ben Crane,41,"47' 10""",44,2105.833,+12.00
166,167,163,Ernie Els,43,"47' 11""",55,2637.0,+4.00
167,168,176,Ryan Armour,66,"48' 1""",72,3464.333,+14.00
168,169,167,Patrick Reed,53,"48' 4""",80,3868.333,+1.00
169,T170,T171,Jonathan Byrd,43,"48' 5""",63,3048.333,+7.00
170,T170,T187,Jim Herman,37,"48' 5""",43,2081.667,+13.00
171,T170,T168,C.T. Pan,64,"48' 5""",74,3583.833,+11.00
172,T170,186,Seth Reeves,52,"48' 5""",87,4212.833,+4.00
173,T170,T168,Cameron Smith,55,"48' 5""",56,2713.417,+3.00
174,T175,T195,Tyler Duncan,66,"48' 6""",62,3005.667,+14.00
175,T175,170,Chris Kirk,47,"48' 6""",66,3201.75,+6.00
176,177,T171,Chez Reavie,67,"48' 7""",52,2524.167,+8.00
177,T178,175,Tom Hoge,70,"48' 8""",105,5107.583,+6.00
178,T178,T173,Freddie Jacobson,37,"48' 8""",55,2675.75,+18.00
179,T178,T173,Si Woo Kim,65,"48' 8""",70,3405.917,-1.00
180,181,179,Sam Ryder,52,"49' 0""",77,3775.5,+9.00
181,T182,T180,Keith Mitchell,64,"49' 1""",52,2551.5,-3.00
182,T182,T180,Adam Scott,41,"49' 1""",49,2405.083,+8.00
183,T182,193,Peter Uihlein,65,"49' 1""",83,4074.25,+4.00
184,185,T183,Harris English,72,"49' 2""",108,5313.1669999999995,-8.00
185,186,T183,Charl Schwartzel,34,"49' 4""",37,1825.4170000000001,+6.00
186,187,185,Stewart Cink,33,"49' 5""",48,2372.167,+5.00
187,T188,182,Brice Garnett,63,"49' 9""",62,3082.167,+10.00
188,T188,T187,Emiliano Grillo,65,"49' 9""",74,3683.0,+12.00
189,190,166,Kramer Hickok,59,"49' 10""",73,3638.083,+10.00
190,191,157,Seamus Power,58,"50' 1""",81,4056.5,+7.00
191,T192,190,Matt Jones,67,"50' 2""",89,4467.917,+12.00
192,T192,T160,Rod Pampling,40,"50' 2""",58,2908.667,+8.00
193,T194,191,Branden Grace,62,"50' 3""",78,3920.167,+14.00
194,T194,198,Brian Harman,67,"50' 3""",60,3014.75,+3.00
195,196,194,J.J. Spaun,68,"50' 5""",106,5347.6669999999995,E
196,197,200,Alex Noren,49,"50' 7""",64,3238.0,+12.00
197,T198,202,Scott Brown,66,"51' 1""",89,4548.833,+19.00
198,T198,197,Wyndham Clark,61,"51' 1""",117,5974.0,-3.00
199,T198,T195,D.A. Points,33,"51' 1""",36,1839.8329999999999,+5.00
200,201,199,Grayson Murray,36,"51' 6""",65,3346.417,+10.00
201,202,999,Shane Lowry,30,"52' 6""",41,2153.167,+5.00
202,203,201,Fabián Gómez,44,"53' 0""",50,2649.583,+1.00
203,204,204,Denny McCarthy,63,"54' 9""",93,5088.917,-1.00
204,T205,206,Johnson Wagner,45,"55' 2""",58,3198.083,+8.00
205,T205,203,Tiger Woods,31,"55' 2""",28,1544.4170000000001,+7.00
206,207,205,Martin Trainer,51,"55' 6""",86,4773.333,+26.00
207,208,207,Joey Garber,44,"60' 5""",50,3022.333,+2.00
208,209,999,Martin Piller,30,"61' 11""",33,2044.25,+1.00
