,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Justin Harding,31,"34' 8""",10822,26,901.8330000000001,+2.00
1,2,2,Lucas Glover,62,"36' 0""",66037,153,5503.0830000000005,-2.00
2,3,4,Kevin Streelman,63,"37' 0""",67039,151,5586.5830000000005,+13.00
3,T4,T13,Talor Gooch,37,"38' 1""",54379,119,4531.583,+7.00
4,T4,6,Marc Leishman,52,"38' 1""",55239,121,4603.25,-10.00
5,6,5,Cameron Davis,54,"38' 4""",78591,171,6549.25,-6.00
6,7,3,Matt Every,38,"38' 11""",35944,77,2995.333,+21.00
7,T8,T7,James Hahn,34,"39' 4""",28792,61,2399.333,+12.00
8,T8,T9,Rory McIlroy,50,"39' 4""",59976,127,4998.0,+6.00
9,T10,16,Joaquin Niemann,68,"39' 5""",88983,188,7415.25,+2.00
10,T10,T9,"Ted Potter, Jr.",56,"39' 5""",69949,148,5829.0830000000005,+17.00
11,12,T11,Brooks Koepka,49,"39' 7""",53722,113,4476.833,-2.00
12,T13,T13,Aaron Baddeley,51,"39' 10""",75503,158,6291.9169999999995,+10.00
13,T13,T22,D.J. Trahan,33,"39' 10""",41565,87,3463.75,+8.00
14,15,T26,Dustin Johnson,47,"39' 11""",69389,145,5782.4169999999995,-8.00
15,16,17,Chesson Hadley,58,"40' 1""",74977,156,6248.0830000000005,+15.00
16,T17,18,Abraham Ancer,69,"40' 4""",65329,135,5444.0830000000005,+1.00
17,T17,T13,Sergio Garcia,39,"40' 4""",55632,115,4636.0,+17.00
18,T17,999,Tyrone Van Aswegen,30,"40' 4""",36310,75,3025.833,+14.00
19,20,T19,Danny Lee,66,"40' 6""",107985,222,8998.75,+20.00
20,21,T19,Russell Knox,65,"40' 7""",73116,150,6093.0,+8.00
21,T22,T22,Matt Kuchar,65,"40' 8""",65868,135,5489.0,+4.00
22,T22,T7,Ryan Palmer,56,"40' 8""",59555,122,4962.917,+2.00
23,24,T43,Danny Willett,47,"40' 9""",75857,155,6321.4169999999995,+10.00
24,25,T19,Nate Lashley,44,"41' 2""",53832,109,4486.0,+1.00
25,26,T58,Brady Schnell,38,"41' 3""",44522,90,3710.167,+15.00
26,T27,T28,Phil Mickelson,41,"41' 5""",75971,153,6330.9169999999995,+14.00
27,T27,T28,Charl Schwartzel,34,"41' 5""",32298,65,2691.5,+11.00
28,29,T33,Alex Prugh,54,"41' 6""",66213,133,5517.75,+21.00
29,30,T43,Brandon Harkins,67,"41' 8""",108427,217,9035.583,+32.00
30,T31,25,Corey Conners,62,"41' 9""",66662,133,5555.1669999999995,+13.00
31,T31,T30,Tony Finau,61,"41' 9""",83193,166,6932.75,+2.00
32,T31,T33,Nick Taylor,70,"41' 9""",114329,228,9527.417,+11.00
33,T31,T30,Jhonattan Vegas,60,"41' 9""",88640,177,7386.6669999999995,-7.00
34,35,T22,Jimmy Walker,61,"41' 10""",93863,187,7821.9169999999995,+26.00
35,T36,T30,Jim Furyk,53,"41' 11""",45730,91,3810.833,+4.00
36,T36,T39,Harold Varner III,62,"41' 11""",89490,178,7457.5,+19.00
37,38,T35,John Senden,39,"42' 0""",43305,86,3608.75,+9.00
38,T39,T45,Bud Cauley,61,"42' 1""",83338,165,6944.8330000000005,+13.00
39,T39,T45,Alex Cejka,41,"42' 1""",42956,85,3579.667,+13.00
40,T41,T35,Sam Saunders,53,"42' 2""",86990,172,7249.1669999999995,+19.00
41,T41,T49,Justin Thomas,49,"42' 2""",68817,136,5734.75,-3.00
42,43,T41,Rafa Cabrera Bello,57,"42' 3""",58277,115,4856.417,+4.00
43,44,T45,Matt Wallace,31,"42' 6""",38759,76,3229.917,+2.00
44,T45,T45,Roger Sloan,62,"42' 7""",93041,182,7753.4169999999995,+7.00
45,T45,T37,Scott Stallings,63,"42' 7""",99690,195,8307.5,+39.00
