,SG_Approach_the_Green_RANK THIS WEEK,SG_Approach_the_Green_RANK LAST WEEK,SG_Approach_the_Green_PLAYER NAME,SG_Approach_the_Green_ROUNDS,SG_Approach_the_Green_AVERAGE,SG_Approach_the_Green_TOTAL SG:APP,SG_Approach_the_Green_MEASURED ROUNDS
0,1,1,Henrik Stenson,46,1.287,43.772,34
1,2,3,Keegan Bradley,65,1.043,46.918,45
2,3,2,Sergio Garcia,39,0.996,27.892,28
3,4,13,Talor Gooch,37,0.9840000000000001,30.500999999999998,31
4,5,5,Rory McIlroy,50,0.9159999999999999,33.88,37
5,6,4,Hideki Matsuyama,59,0.9,38.705,43
6,7,6,Justin Thomas,49,0.883,30.021,34
7,8,8,Jason Kokrak,68,0.828,43.879,53
8,9,7,Matt Kuchar,65,0.826,39.663000000000004,48
9,10,9,Patrick Cantlay,49,0.823,27.154,33
10,11,12,Brooks Koepka,49,0.8140000000000001,24.413,30
11,12,10,Emiliano Grillo,65,0.813,33.352,41
12,13,11,Tiger Woods,31,0.807,16.937,21
13,14,14,Jim Furyk,53,0.7879999999999999,32.312,41
14,15,15,Adam Scott,41,0.7,16.793,24
15,16,17,Dustin Johnson,47,0.693,23.555,34
16,17,16,Corey Conners,62,0.67,28.807,43
17,18,18,Marc Leishman,52,0.6609999999999999,23.141,35
18,19,20,Paul Casey,51,0.632,19.601,31
19,20,19,Webb Simpson,53,0.627,28.223000000000003,45
20,21,21,Russell Knox,65,0.614,30.066999999999997,49
21,22,T22,Justin Rose,42,0.603,17.494,29
22,23,24,Ryan Moore,54,0.5670000000000001,24.377,43
23,24,26,Gary Woodland,63,0.537,23.09,43
24,25,25,Nate Lashley,44,0.522,16.185,31
25,26,27,Chez Reavie,67,0.488,19.51,40
26,27,28,Lucas Glover,62,0.479,25.372,53
27,28,29,Ryan Palmer,56,0.46799999999999997,18.267,39
28,29,31,Charley Hoffman,58,0.45799999999999996,16.043,35
29,30,33,Troy Merritt,42,0.45399999999999996,14.99,33
30,31,30,Danny Willett,47,0.446,16.932000000000002,38
31,32,34,Kevin Streelman,63,0.44299999999999995,23.486,53
32,33,35,Xander Schauffele,55,0.429,15.015,35
33,34,32,Zach Johnson,50,0.423,17.354,41
34,35,37,Byeong Hun An,54,0.408,15.912,39
35,36,44,Roberto Castro,54,0.39399999999999996,15.744000000000002,40
36,37,38,Sepp Straka,48,0.39,12.484000000000002,32
37,38,36,Trey Mullinax,67,0.389,20.625999999999998,53
38,39,T40,Joaquin Niemann,68,0.385,20.022000000000002,52
39,40,999,Tyrone Van Aswegen,30,0.38299999999999995,7.276,19
40,41,42,Tommy Fleetwood,43,0.382,9.937999999999999,26
