,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,1,1,J.T. Poston,76,17
1,T2,T2,Hank Lebioda,55,16
2,T2,T2,Adam Long,52,16
3,T2,T2,Jordan Spieth,57,16
4,T5,T9,Scott Brown,66,15
5,T5,T5,Harris English,72,15
6,T5,T16,Adam Hadwin,66,15
7,T5,T9,Sungjae Im,88,15
8,T5,T5,Rory Sabbatini,71,15
9,T5,T5,Adam Schenk,80,15
10,T5,T5,Brian Stuard,76,15
11,T12,T16,Ryan Armour,66,14
12,T12,T9,Julián Etulain,55,14
13,T12,T9,Si Woo Kim,65,14
14,T12,T16,Danny Lee,66,14
15,T12,T9,Luke List,52,14
16,T12,T16,Sebastián Muñoz,58,14
17,T12,T9,Robert Streb,60,14
18,T12,T16,Harold Varner III,62,14
19,T12,T9,Richy Werenski,63,14
20,T21,T51,Dylan Frittelli,55,13
21,T21,T16,Lucas Glover,62,13
22,T21,T26,Tom Hoge,70,13
23,T21,T16,Seamus Power,58,13
24,T21,T16,Chez Reavie,67,13
25,T21,T16,Chris Stroud,54,13
26,T21,T16,Jhonattan Vegas,60,13
27,T28,T33,Jonathan Byrd,43,12
28,T28,T26,Russell Henley,56,12
29,T28,T26,Kelly Kraft,67,12
30,T28,T26,Ryan Moore,54,12
31,T28,T26,C.T. Pan,64,12
32,T28,T26,Brady Schnell,38,12
33,T28,T33,Ollie Schniederjans,63,12
34,T28,T33,Brandt Snedeker,68,12
35,T28,T26,Michael Thompson,56,12
36,T37,T33,Ryan Blaum,67,11
37,T37,T33,Sam Burns,66,11
38,T37,T33,Roberto Castro,54,11
39,T37,T33,Alex Cejka,41,11
40,T37,T33,Max Homa,61,11
41,T37,T33,Mackenzie Hughes,58,11
42,T37,T33,Zach Johnson,50,11
43,T37,T51,Kyle Jones,49,11
44,T37,T33,Sung Kang,67,11
45,T37,T33,Kevin Kisner,65,11
46,T37,T51,Peter Malnati,64,11
47,T37,T33,Joaquin Niemann,68,11
48,T37,T66,Rod Pampling,40,11
49,T37,T33,Pat Perez,52,11
50,T37,T33,Scott Piercy,70,11
51,T37,T33,Sam Ryder,52,11
52,T37,T33,Roger Sloan,62,11
53,T37,T33,Adam Svensson,51,11
54,T55,T51,Kiradech Aphibarnrat,49,10
55,T55,T51,Aaron Baddeley,51,10
56,T55,T66,Jonas Blixt,66,10
57,T55,T66,Tyler Duncan,66,10
58,T55,T51,Brice Garnett,63,10
59,T55,T51,Brian Gay,79,10
60,T55,T66,Cody Gribble,52,10
61,T55,T51,Emiliano Grillo,65,10
62,T55,T51,Bill Haas,58,10
63,T55,T66,Stephan Jaeger,59,10
64,T55,T66,Jim Knous,55,10
65,T55,T51,Russell Knox,65,10
66,T55,999,Martin Piller,30,10
67,T55,T51,Seth Reeves,52,10
68,T55,T51,José de Jesús Rodríguez,51,10
69,T55,T51,Scott Stallings,63,10
70,T55,T51,Shawn Stefani,57,10
71,T55,T51,Kevin Streelman,63,10
72,T73,T66,Anders Albertson,48,9
73,T73,T66,Rafa Cabrera Bello,57,9
74,T73,T66,Austin Cook,50,9
75,T73,T66,Bryson DeChambeau,45,9
76,T73,T66,Tony Finau,61,9
77,T73,T66,Rickie Fowler,54,9
78,T73,T84,Joey Garber,44,9
79,T73,T84,Kramer Hickok,59,9
80,T73,T66,Matt Jones,67,9
81,T73,T66,Michael Kim,51,9
82,T73,T66,Jason Kokrak,68,9
83,T73,T66,Carlos Ortiz,60,9
84,T73,T66,Patrick Rodgers,44,9
85,T73,T84,D.J. Trahan,33,9
86,T73,T66,Jimmy Walker,61,9
87,T88,T84,Abraham Ancer,69,8
88,T88,T84,Bud Cauley,61,8
89,T88,T96,Whee Kim,57,8
90,T88,T84,Kyoung-Hoon Lee,72,8
91,T88,T84,Graeme McDowell,61,8
92,T88,T84,Keith Mitchell,64,8
93,T88,T84,Ryan Palmer,56,8
94,T88,T84,Alex Prugh,54,8
95,T88,T96,J.J. Spaun,68,8
96,T88,T84,Gary Woodland,63,8
97,T88,T84,Chase Wright,53,8
98,T99,T96,Byeong Hun An,54,7
99,T99,T121,John Chin,38,7
100,T99,T96,Cameron Davis,54,7
101,T99,T96,Matt Every,38,7
102,T99,T96,Tommy Fleetwood,43,7
103,T99,T96,Branden Grace,62,7
104,T99,T96,Brian Harman,67,7
105,T99,T96,Beau Hossler,66,7
106,T99,T96,Martin Kaymer,38,7
107,T99,T96,Martin Laird,60,7
108,T99,T96,Scott Langley,60,7
109,T99,T96,Marc Leishman,52,7
110,T99,T121,Curtis Luck,51,7
111,T99,T96,Denny McCarthy,63,7
112,T99,T96,Troy Merritt,42,7
113,T99,T96,Louis Oosthuizen,43,7
114,T99,T96,Andrew Putnam,57,7
115,T99,T96,Jon Rahm,51,7
116,T99,T96,Patrick Reed,53,7
117,T99,T96,Sam Saunders,53,7
118,T99,T96,Xander Schauffele,55,7
119,T99,T121,Ben Silverman,54,7
120,T99,T96,Hudson Swafford,59,7
121,T99,T96,Vaughn Taylor,69,7
122,T99,T96,Josh Teater,47,7
123,T99,T96,Cameron Tringale,52,7
124,T125,T121,Dominic Bozzelli,53,6
125,T125,T121,Bronson Burgoon,37,6
126,T125,T121,Patrick Cantlay,49,6
127,T125,T121,Paul Casey,51,6
128,T125,T121,Cameron Champ,58,6
129,T125,T121,Jason Day,45,6
130,T125,T121,Jason Dufner,56,6
131,T125,T121,Jim Furyk,53,6
132,T125,T121,Chesson Hadley,58,6
133,T125,T121,Brandon Harkins,67,6
134,T125,T121,Tyrrell Hatton,46,6
135,T125,T153,David Hearn,41,6
136,T125,T121,John Huh,35,6
137,T125,T121,Dustin Johnson,47,6
138,T125,T121,Brooks Koepka,49,6
139,T125,T121,Matt Kuchar,65,6
140,T125,T121,Andrew Landry,56,6
141,T125,T121,Hideki Matsuyama,59,6
142,T125,T121,Trey Mullinax,67,6
143,T125,T121,Kevin Na,54,6
144,T125,T121,D.A. Points,33,6
145,T125,T121,"Ted Potter, Jr.",56,6
146,T125,T121,Ian Poulter,49,6
147,T125,T121,Wes Roach,45,6
148,T125,T121,Justin Rose,42,6
149,T125,T153,Webb Simpson,53,6
150,T125,T121,Nick Taylor,70,6
151,T125,T121,Justin Thomas,49,6
152,T125,T121,Martin Trainer,51,6
153,T125,T121,Kevin Tway,62,6
154,T125,T121,Peter Uihlein,65,6
155,T156,T153,Sangmoon Bae,42,5
156,T156,T153,Daniel Berger,48,5
157,T156,T153,Stewart Cink,33,5
