,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Paul Casey,51,"5' 8""",1232.167,218,134
1,2,2,Byeong Hun An,54,"6' 0""",1823.9170000000001,306,189
2,T3,T3,Bud Cauley,61,"6' 2""",2486.833,404,16
3,T3,T3,Brandt Snedeker,68,"6' 2""",2328.833,377,34
4,5,5,Dustin Johnson,47,"6' 3""",1542.75,246,15
5,T6,T6,Si Woo Kim,65,"6' 4""",2045.8329999999999,321,13
6,T6,T6,Brian Stuard,76,"6' 4""",2451.667,386,6
7,T6,T6,Tiger Woods,31,"6' 4""",838.6669999999999,132,107
8,9,9,Charl Schwartzel,34,"6' 5""",798.5,124,84
9,T10,T10,Patrick Cantlay,49,"6' 6""",1560.1670000000001,241,1
10,T10,T10,Hideki Matsuyama,59,"6' 6""",1925.0829999999999,295,11
11,T12,T10,Jim Furyk,53,"6' 7""",1607.8329999999999,244,8
12,T12,T13,Lucas Glover,62,"6' 7""",2377.167,359,3
13,T12,T13,Russell Henley,56,"6' 7""",1953.5,298,23
14,T12,T13,Zach Johnson,50,"6' 7""",2075.167,317,38
15,T12,T13,Michael Thompson,56,"6' 7""",2476.417,374,22
16,T12,999,Tyrone Van Aswegen,30,"6' 7""",833.1669999999999,127,13
17,T18,T24,Alex Cejka,41,"6' 8""",1377.0829999999999,207,152
18,T18,T18,Branden Grace,62,"6' 8""",1881.9170000000001,282,190
19,T18,T38,Stephan Jaeger,59,"6' 8""",2204.5,329,29
20,T18,T18,Louis Oosthuizen,43,"6' 8""",1299.917,196,62
21,T18,T18,Ian Poulter,49,"6' 8""",1441.3329999999999,217,144
22,T18,T18,Webb Simpson,53,"6' 8""",2209.0,331,2
23,T18,T24,Adam Svensson,51,"6' 8""",1754.5829999999999,264,150
24,T18,T13,Kevin Tway,62,"6' 8""",2145.667,323,46
25,T18,T18,Matt Wallace,31,"6' 8""",1093.167,164,126
26,T27,T28,Ryan Armour,66,"6' 9""",2271.417,337,5
27,T27,T24,Russell Knox,65,"6' 9""",2099.5,312,41
28,T27,999,Shane Lowry,30,"6' 9""",1049.75,155,115
29,T27,T28,Peter Malnati,64,"6' 9""",2744.75,408,32
30,T27,T24,Cameron Smith,55,"6' 9""",1666.8329999999999,247,90
31,T27,T18,Jimmy Walker,61,"6' 9""",2408.333,355,34
32,T33,T28,Aaron Baddeley,51,"6' 10""",2008.4170000000001,293,4
33,T33,T28,Tommy Fleetwood,43,"6' 10""",1395.5,204,7
34,T33,T28,James Hahn,34,"6' 10""",705.3330000000001,103,171
35,T33,T38,J.B. Holmes,54,"6' 10""",1508.3329999999999,220,138
36,T33,T38,Rory McIlroy,50,"6' 10""",1647.5829999999999,240,128
37,T33,T28,Francesco Molinari,41,"6' 10""",1331.5829999999999,196,26
38,T33,T28,Justin Rose,42,"6' 10""",1385.9170000000001,203,30
39,T33,T28,Kevin Streelman,63,"6' 10""",2482.75,364,93
40,T33,T50,Justin Thomas,49,"6' 10""",1570.0829999999999,230,79
41,T42,T38,Jason Dufner,56,"6' 11""",1812.25,262,197
42,T42,T38,Tyler Duncan,66,"6' 11""",2280.417,330,181
43,T42,T38,Matthew Fitzpatrick,42,"6' 11""",1470.75,213,187
44,T42,T38,Charley Hoffman,58,"6' 11""",1744.6670000000001,251,178
45,T42,T38,Matt Jones,67,"6' 11""",2372.167,343,38
46,T42,T38,Adam Long,52,"6' 11""",2185.667,317,109
47,T42,T38,Ollie Schniederjans,63,"6' 11""",2524.417,365,151
48,T49,T59,Wyndham Clark,61,"7' 0""",2618.0,372,162
49,T49,T50,Charles Howell III,64,"7' 0""",2056.0,295,81
50,T49,T59,Mackenzie Hughes,58,"7' 0""",2357.833,338,54
51,T49,T50,Sungjae Im,88,"7' 0""",3432.0,490,44
52,T49,T50,Luke List,52,"7' 0""",2245.333,321,181
53,T49,T50,Kevin Na,54,"7' 0""",1596.0829999999999,227,136
54,T49,T50,Joaquin Niemann,68,"7' 0""",2584.667,369,123
55,T49,T50,Chez Reavie,67,"7' 0""",2052.917,293,100
56,T49,T28,Brady Schnell,38,"7' 0""",1324.75,189,57
57,T49,T59,Nick Watney,67,"7' 0""",2309.167,330,137
58,T59,T38,Sergio Garcia,39,"7' 1""",1554.0829999999999,219,143
59,T59,T28,Bill Haas,58,"7' 1""",2531.167,356,89
60,T59,T68,Brian Harman,67,"7' 1""",2748.833,386,140
61,T59,T59,Martin Kaymer,38,"7' 1""",1825.25,259,121
62,T59,T59,Rory Sabbatini,71,"7' 1""",2935.833,413,19
63,T59,T59,Sam Saunders,53,"7' 1""",2612.917,367,55
64,T59,T59,Scott Stallings,63,"7' 1""",2683.583,380,159
65,T59,T76,Harold Varner III,62,"7' 1""",2703.083,381,100
66,T67,T50,Julián Etulain,55,"7' 2""",2090.583,293,56
67,T67,T59,Matt Every,38,"7' 2""",1280.417,179,202
68,T67,T68,Rickie Fowler,54,"7' 2""",2207.583,307,47
69,T67,T68,Jason Kokrak,68,"7' 2""",2716.167,377,75
70,T67,T68,Anirban Lahiri,54,"7' 2""",2328.833,324,83
71,T67,T68,Troy Merritt,42,"7' 2""",1581.75,221,130
72,T67,T50,Roger Sloan,62,"7' 2""",2504.833,351,166
73,T67,T68,Chris Stroud,54,"7' 2""",2267.25,318,69
74,T67,T89,D.J. Trahan,33,"7' 2""",941.4169999999999,131,28
75,T76,T89,Jonas Blixt,66,"7' 3""",2810.0,388,95
76,T76,T38,Keegan Bradley,65,"7' 3""",2053.417,284,111
77,T76,T76,Rafa Cabrera Bello,57,"7' 3""",2071.167,286,65
78,T76,T132,Ben Crane,41,"7' 3""",1336.9170000000001,184,75
79,T76,T76,Bryson DeChambeau,45,"7' 3""",2150.083,297,61
80,T76,T107,Adam Hadwin,66,"7' 3""",2523.0,349,120
81,T76,T89,Brandon Harkins,67,"7' 3""",2794.75,384,199
82,T76,T76,Kevin Kisner,65,"7' 3""",2281.167,315,73
83,T76,T76,Marc Leishman,52,"7' 3""",1686.3329999999999,233,18
84,T76,T76,Phil Mickelson,41,"7' 3""",1737.9170000000001,239,165
85,T76,T76,C.T. Pan,64,"7' 3""",2330.5,323,37
86,T76,T76,Pat Perez,52,"7' 3""",1559.4170000000001,214,73
87,T76,T76,Scott Piercy,70,"7' 3""",2437.417,337,27
88,T76,T76,J.T. Poston,76,"7' 3""",3561.667,493,25
89,T76,T76,Xander Schauffele,55,"7' 3""",1790.3329999999999,248,45
90,T76,T120,Chris Thompson,34,"7' 3""",1162.083,160,167
91,T92,T89,Abraham Ancer,69,"7' 4""",2662.167,364,48
92,T92,T89,Sam Burns,66,"7' 4""",3050.0,415,135
93,T92,T182,Jonathan Byrd,43,"7' 4""",1621.0,220,11
94,T92,T76,Roberto Castro,54,"7' 4""",2093.917,286,20
95,T92,T89,Ernie Els,43,"7' 4""",1472.3329999999999,201,17
96,T92,T89,Tyrrell Hatton,46,"7' 4""",1511.0829999999999,206,209
97,T92,T120,Brooks Koepka,49,"7' 4""",1510.4170000000001,207,84
98,T92,T89,Andrew Landry,56,"7' 4""",2322.833,315,119
99,T92,T68,Nate Lashley,44,"7' 4""",1507.75,206,40
100,T92,T89,Hank Lebioda,55,"7' 4""",2003.5,274,173
101,T92,T89,Kyoung-Hoon Lee,72,"7' 4""",2433.083,332,149
102,T92,T59,Graeme McDowell,61,"7' 4""",2193.417,300,33
103,T92,T89,Jon Rahm,51,"7' 4""",1751.75,239,71
104,T92,T76,José de Jesús Rodríguez,51,"7' 4""",2111.583,287,88
105,T92,T107,Robert Streb,60,"7' 4""",2293.583,312,66
106,T92,T89,Vaughn Taylor,69,"7' 4""",3093.583,423,52
107,T92,T68,Nick Taylor,70,"7' 4""",3309.667,450,113
108,T92,T107,Cameron Tringale,52,"7' 4""",1839.0,250,49
