,Proximity_to_Hole_from_10-20_yards_RANK THIS WEEK,Proximity_to_Hole_from_10-20_yards_RANK LAST WEEK,Proximity_to_Hole_from_10-20_yards_PLAYER NAME,Proximity_to_Hole_from_10-20_yards_ROUNDS,Proximity_to_Hole_from_10-20_yards_AVG DTP,Proximity_to_Hole_from_10-20_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_10-20_yards_# OF SHOTS,Proximity_to_Hole_from_10-20_yards_SCRAMBLING RANK
0,1,1,Justin Thomas,49,"5' 2""",432.667,84,79
1,T2,T2,Byeong Hun An,54,"5' 4""",764.5830000000001,144,189
2,T2,T2,Paul Casey,51,"5' 4""",520.4169999999999,97,134
3,4,4,Matt Wallace,31,"5' 5""",369.333,68,126
4,T5,T6,Dustin Johnson,47,"5' 7""",543.3330000000001,97,15
5,T5,5,D.J. Trahan,33,"5' 7""",358.5,64,28
6,T7,T24,Jonathan Byrd,43,"5' 8""",540.6669999999999,95,11
7,T7,T6,Bud Cauley,61,"5' 8""",1098.333,193,16
8,T7,T6,Matt Jones,67,"5' 8""",776.4169999999999,138,38
9,T10,T13,Webb Simpson,53,"5' 9""",856.25,148,2
10,T10,T10,Brian Stuard,76,"5' 9""",940.0830000000001,164,6
11,T10,T13,Kevin Tway,62,"5' 9""",761.8330000000001,132,46
12,T13,T10,Brooks Koepka,49,"5' 10""",505.167,86,84
13,T13,T10,J.J. Spaun,68,"5' 10""",853.1669999999999,146,131
14,T15,T16,Rickie Fowler,54,"5' 11""",847.9169999999999,144,47
15,T15,T16,Charl Schwartzel,34,"5' 11""",289.16700000000003,49,84
16,T15,T16,Brandt Snedeker,68,"5' 11""",999.6669999999999,170,34
17,T15,T16,Kevin Streelman,63,"5' 11""",1031.667,175,93
18,T19,T13,Brian Harman,67,"6' 0""",1035.083,172,140
19,T19,999,Shane Lowry,30,"6' 0""",402.083,67,115
20,T19,T21,Hideki Matsuyama,59,"6' 0""",791.0830000000001,132,11
21,T19,T21,Michael Thompson,56,"6' 0""",931.5830000000001,155,22
22,T23,T21,Brandon Harkins,67,"6' 1""",1052.167,173,199
23,T23,T24,Tyrrell Hatton,46,"6' 1""",559.5830000000001,92,209
24,T23,T24,Andrew Putnam,57,"6' 1""",577.3330000000001,95,123
25,T23,T6,Brady Schnell,38,"6' 1""",483.333,79,57
26,T27,T28,Matthew Fitzpatrick,42,"6' 2""",563.9169999999999,92,187
27,T27,T28,Si Woo Kim,65,"6' 2""",919.5,150,13
28,T27,T28,Chris Kirk,47,"6' 2""",771.25,125,98
29,T27,T28,Kyoung-Hoon Lee,72,"6' 2""",798.3330000000001,130,149
30,T27,T36,Peter Malnati,64,"6' 2""",1206.333,196,32
31,T27,T28,Pat Perez,52,"6' 2""",552.0,89,73
32,T27,T28,Robert Streb,60,"6' 2""",950.25,154,66
33,T27,T41,Chris Thompson,34,"6' 2""",378.5,61,167
34,T27,T24,Jimmy Walker,61,"6' 2""",1004.3330000000001,163,34
35,T27,T28,Nick Watney,67,"6' 2""",888.25,144,137
36,T37,T36,Aaron Baddeley,51,"6' 3""",836.1669999999999,134,4
37,T37,T41,Wyndham Clark,61,"6' 3""",1039.0,166,162
38,T37,T41,Tyler Duncan,66,"6' 3""",870.0830000000001,139,181
39,T37,T28,Bill Haas,58,"6' 3""",956.5,154,89
40,T37,T36,Charles Howell III,64,"6' 3""",722.1669999999999,115,81
41,T37,T36,Keith Mitchell,64,"6' 3""",784.0,125,176
42,T37,T41,Ollie Schniederjans,63,"6' 3""",1055.083,168,151
43,T44,T41,Patrick Cantlay,49,"6' 4""",711.5,112,1
44,T44,T41,Sungjae Im,88,"6' 4""",1326.5829999999999,210,44
45,T44,T52,Stephan Jaeger,59,"6' 4""",884.1669999999999,140,29
46,T44,T41,Russell Knox,65,"6' 4""",825.9169999999999,131,41
47,T44,T41,Luke List,52,"6' 4""",978.4169999999999,154,181
48,T44,T16,Graeme McDowell,61,"6' 4""",916.5830000000001,144,33
49,T50,T41,Jonas Blixt,66,"6' 5""",1122.417,174,95
50,T50,T52,Roberto Castro,54,"6' 5""",830.5,130,20
51,T50,T41,Austin Cook,50,"6' 5""",781.5830000000001,122,173
52,T50,T73,Harris English,72,"6' 5""",1316.0829999999999,204,70
53,T50,T52,Dylan Frittelli,55,"6' 5""",823.25,129,34
54,T50,T36,J.B. Holmes,54,"6' 5""",596.3330000000001,93,138
55,T50,T52,Kevin Na,54,"6' 5""",597.75,93,136
56,T50,999,Tyrone Van Aswegen,30,"6' 5""",319.33299999999997,50,13
57,T50,T41,Bubba Watson,47,"6' 5""",650.9169999999999,102,21
58,T59,T58,Rafa Cabrera Bello,57,"6' 6""",830.0,127,65
59,T59,T58,Corey Conners,62,"6' 6""",645.8330000000001,99,185
60,T59,T58,Branden Grace,62,"6' 6""",820.0,126,190
61,T59,T84,Rod Pampling,40,"6' 6""",532.25,82,172
62,T59,T58,J.T. Poston,76,"6' 6""",1421.5,220,25
63,T59,T58,Xander Schauffele,55,"6' 6""",672.25,103,45
64,T59,T58,Josh Teater,47,"6' 6""",563.25,87,147
65,T59,T58,Tiger Woods,31,"6' 6""",413.5,64,107
66,T67,T67,Lucas Glover,62,"6' 7""",1026.417,156,3
67,T67,T73,Fabián Gómez,44,"6' 7""",644.25,98,79
68,T67,T84,Mackenzie Hughes,58,"6' 7""",1026.0,156,54
69,T67,T67,Martin Kaymer,38,"6' 7""",819.4169999999999,124,121
70,T67,T67,C.T. Pan,64,"6' 7""",984.75,150,37
71,T67,T58,Scott Piercy,70,"6' 7""",1011.4169999999999,154,27
72,T67,T67,Seamus Power,58,"6' 7""",963.8330000000001,147,105
73,T67,T73,Scott Stallings,63,"6' 7""",1082.75,164,159
74,T67,T73,Harold Varner III,62,"6' 7""",1047.667,159,100
75,T76,T73,Abraham Ancer,69,"6' 8""",1146.583,172,48
76,T76,T73,Russell Henley,56,"6' 8""",991.3330000000001,149,23
77,T76,T58,Matt Kuchar,65,"6' 8""",843.0,126,9
78,T76,T73,Andrew Landry,56,"6' 8""",911.75,137,119
79,T76,T73,Denny McCarthy,63,"6' 8""",1076.75,161,10
80,T76,T73,Ian Poulter,49,"6' 8""",583.9169999999999,88,144
81,T76,T52,Martin Trainer,51,"6' 8""",1028.417,155,161
82,T76,T92,Cameron Tringale,52,"6' 8""",672.75,101,49
83,T84,T92,Alex Cejka,41,"6' 9""",514.0830000000001,76,152
84,T84,T84,Stewart Cink,33,"6' 9""",409.917,61,188
85,T84,T84,Jim Furyk,53,"6' 9""",661.5,98,8
86,T84,T92,Brian Gay,79,"6' 9""",1181.25,176,60
87,T84,T92,Cody Gribble,52,"6' 9""",989.0,147,204
88,T84,T84,Beau Hossler,66,"6' 9""",993.25,147,168
89,T84,T84,Anirban Lahiri,54,"6' 9""",1024.0,151,83
90,T84,T104,Joaquin Niemann,68,"6' 9""",1054.667,156,123
91,T84,T67,Sam Saunders,53,"6' 9""",1126.75,167,55
92,T84,T84,Cameron Smith,55,"6' 9""",717.3330000000001,106,90
93,T84,T107,Johnson Wagner,45,"6' 9""",664.4169999999999,99,158
94,T95,T104,Daniel Berger,48,"6' 10""",953.3330000000001,140,127
95,T95,T92,Sam Burns,66,"6' 10""",1231.083,181,135
96,T95,T119,Matt Every,38,"6' 10""",525.5830000000001,77,202
97,T95,T107,David Hearn,41,"6' 10""",565.5,83,93
98,T95,T92,Billy Horschel,73,"6' 10""",915.4169999999999,134,77
99,T95,T92,Martin Laird,60,"6' 10""",1002.0830000000001,146,116
100,T95,T92,Phil Mickelson,41,"6' 10""",745.5,109,165
101,T95,T92,Trey Mullinax,67,"6' 10""",1113.833,163,100
102,T95,T92,"Ted Potter, Jr.",56,"6' 10""",942.4169999999999,138,200
103,T95,T92,Ben Silverman,54,"6' 10""",829.5830000000001,122,109
104,T95,T84,Henrik Stenson,46,"6' 10""",698.4169999999999,102,42
105,T95,T73,Chris Stroud,54,"6' 10""",886.0,130,69
106,T95,T92,Jhonattan Vegas,60,"6' 10""",921.4169999999999,135,114
107,T108,T107,Julián Etulain,55,"6' 11""",900.75,130,56
108,T108,T104,Sung Kang,67,"6' 11""",1199.917,173,50
109,T108,T52,Wes Roach,45,"6' 11""",643.4169999999999,93,53
110,T108,T73,Roger Sloan,62,"6' 11""",1093.167,158,166
111,T108,T119,Adam Svensson,51,"6' 11""",812.0,117,150
112,T113,T119,Anders Albertson,48,"7' 0""",744.3330000000001,106,59
113,T113,T107,Tommy Fleetwood,43,"7' 0""",660.8330000000001,94,7
114,T113,T107,Charley Hoffman,58,"7' 0""",702.75,100,178
115,T113,T107,Patton Kizzire,58,"7' 0""",804.75,115,159
116,T113,T107,Marc Leishman,52,"7' 0""",756.3330000000001,108,18
117,T113,T129,Rory McIlroy,50,"7' 0""",672.0830000000001,96,128
118,T113,T164,Alex Noren,49,"7' 0""",745.9169999999999,107,180
119,T113,T119,Carlos Ortiz,60,"7' 0""",1010.0,145,153
120,T113,T107,Vaughn Taylor,69,"7' 0""",1333.6670000000001,191,52
121,T113,T107,Gary Woodland,63,"7' 0""",912.0830000000001,130,169
122,T123,T143,Adam Hadwin,66,"7' 1""",1097.0,154,120
123,T123,T119,Zach Johnson,50,"7' 1""",866.1669999999999,122,38
124,T123,T119,Louis Oosthuizen,43,"7' 1""",648.4169999999999,92,62
125,T123,T119,Justin Rose,42,"7' 1""",529.3330000000001,75,30
