,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Paul Casey,51,"6' 5""",153.0,24,134
1,2,2,Patrick Cantlay,49,"7' 4""",212.417,29,1
2,3,3,James Hahn,34,"8' 1""",104.667,13,171
3,4,4,Tiger Woods,31,"8' 5""",92.583,11,107
4,5,T11,J.B. Holmes,54,"8' 7""",197.083,23,138
5,6,6,Ian Poulter,49,"8' 9""",235.75,27,144
6,7,T11,Ben Crane,41,"8' 10""",221.25,25,75
7,T8,T8,Byeong Hun An,54,"8' 11""",338.667,38,189
8,T8,T8,Charley Hoffman,58,"8' 11""",240.583,27,178
9,10,T11,Jason Dufner,56,"9' 0""",162.167,18,197
10,11,15,Branden Grace,62,"9' 1""",355.167,39,190
11,12,5,Bud Cauley,61,"9' 2""",432.0,47,16
12,T13,T17,Russell Knox,65,"9' 4""",270.5,29,41
13,T13,T17,Charl Schwartzel,34,"9' 4""",215.0,23,84
14,T13,999,Tyrone Van Aswegen,30,"9' 4""",102.25,11,13
15,T16,T19,Tommy Fleetwood,43,"9' 6""",266.0,28,7
16,T16,T8,Russell Henley,56,"9' 6""",284.91700000000003,30,23
17,T16,T19,Si Woo Kim,65,"9' 6""",360.417,38,13
18,T16,16,Aaron Wise,52,"9' 6""",361.75,38,201
19,T20,T11,Talor Gooch,37,"9' 7""",191.167,20,97
20,T20,T22,Adam Long,52,"9' 7""",278.33299999999997,29,109
21,T20,T22,Louis Oosthuizen,43,"9' 7""",191.417,20,62
22,23,24,Aaron Baddeley,51,"9' 9""",398.917,41,4
23,24,T28,Adam Svensson,51,"10' 2""",254.333,25,150
24,T25,T30,Freddie Jacobson,37,"10' 3""",286.83299999999997,28,193
25,T25,T30,Pat Perez,52,"10' 3""",236.5,23,73
26,T27,T35,Cameron Davis,54,"10' 4""",435.5,42,72
27,T27,T25,Bill Haas,58,"10' 4""",444.083,43,89
28,T27,T35,Adam Hadwin,66,"10' 4""",371.917,36,120
29,T27,T51,Dustin Johnson,47,"10' 4""",269.5,26,15
30,T27,T32,Danny Lee,66,"10' 4""",380.917,37,90
31,T27,T32,Justin Rose,42,"10' 4""",319.25,31,30
32,33,T32,Kevin Tway,62,"10' 5""",467.25,45,46
33,T34,T41,Stephan Jaeger,59,"10' 6""",600.5830000000001,57,29
34,T34,T35,Anirban Lahiri,54,"10' 6""",377.75,36,83
35,T34,T28,Martin Laird,60,"10' 6""",504.5,48,116
36,37,7,Keegan Bradley,65,"10' 7""",371.0,35,111
37,T38,T25,Hank Lebioda,55,"10' 8""",427.417,40,173
38,T38,T39,Phil Mickelson,41,"10' 8""",256.16700000000003,24,165
39,40,T41,Charles Howell III,64,"10' 9""",622.4169999999999,58,81
40,T41,T41,Mackenzie Hughes,58,"10' 10""",540.5,50,54
41,T41,T46,Andrew Landry,56,"10' 10""",422.833,39,119
42,T41,T46,Andrew Putnam,57,"10' 10""",303.41700000000003,28,123
43,T41,T19,Nick Taylor,70,"10' 10""",530.5,49,113
44,T41,T46,Michael Thompson,56,"10' 10""",412.417,38,22
45,T41,T41,Chase Wright,53,"10' 10""",335.5,31,146
46,T47,T55,Roberto Díaz,51,"10' 11""",349.667,32,63
47,T47,T51,Bryson DeChambeau,45,"10' 11""",360.583,33,61
48,T47,T35,Jim Furyk,53,"10' 11""",284.33299999999997,26,8
49,T47,27,Sergio Garcia,39,"10' 11""",218.167,20,143
50,T47,T77,Rory McIlroy,50,"10' 11""",306.16700000000003,28,128
51,T47,T39,Joaquin Niemann,68,"10' 11""",491.167,45,123
52,T47,T41,Seamus Power,58,"10' 11""",522.25,48,105
53,T54,T53,Bronson Burgoon,37,"11' 0""",297.41700000000003,27,175
54,T54,T53,Billy Horschel,73,"11' 0""",472.833,43,77
55,T56,T55,Jordan Spieth,57,"11' 1""",522.5,47,50
56,T56,T46,Shawn Stefani,57,"11' 1""",411.083,37,82
57,T58,T58,Lucas Glover,62,"11' 2""",390.083,35,3
58,T58,T58,Justin Harding,31,"11' 2""",133.5,12,184
59,T58,T46,David Hearn,41,"11' 2""",301.25,27,93
60,T58,T58,Trey Mullinax,67,"11' 2""",614.9169999999999,55,100
61,T58,T58,Rory Sabbatini,71,"11' 2""",570.6669999999999,51,19
62,T58,T58,Kyle Stanley,53,"11' 2""",322.83299999999997,29,141
63,T58,T75,Chris Stroud,54,"11' 2""",459.5,41,69
64,T65,T68,Ryan Armour,66,"11' 3""",474.167,42,5
65,T65,T63,Francesco Molinari,41,"11' 3""",202.5,18,26
66,T65,T63,Kevin Na,54,"11' 3""",371.667,33,136
67,T65,T63,Patrick Rodgers,44,"11' 3""",370.25,33,154
68,T69,T77,Kyle Jones,49,"11' 4""",362.583,32,122
69,T69,T97,Scott Langley,60,"11' 4""",363.583,32,100
70,T69,T68,Luke List,52,"11' 4""",442.0,39,181
71,T69,T68,Jhonattan Vegas,60,"11' 4""",511.833,45,114
72,73,T72,Adam Scott,41,"11' 5""",274.91700000000003,24,24
73,74,T68,Kelly Kraft,67,"11' 6""",506.167,44,179
74,T75,T63,Anders Albertson,48,"11' 7""",382.583,33,59
75,T75,T77,Jon Rahm,51,"11' 7""",441.25,38,71
76,77,T82,Ryan Moore,54,"11' 8""",477.167,41,131
77,T78,T84,Stewart Cink,33,"11' 9""",294.25,25,188
78,T78,T84,Sam Ryder,52,"11' 9""",410.75,35,43
79,T78,T77,Brandt Snedeker,68,"11' 9""",577.3330000000001,49,34
80,T78,T72,Harold Varner III,62,"11' 9""",493.167,42,100
81,T82,T63,Julián Etulain,55,"11' 10""",507.667,43,56
82,T82,T77,Sungjae Im,88,"11' 10""",861.0830000000001,73,44
83,T82,T55,Sebastián Muñoz,58,"11' 10""",496.833,42,157
84,T82,T93,Bubba Watson,47,"11' 10""",519.3330000000001,44,21
85,T82,T87,Richy Werenski,63,"11' 10""",567.3330000000001,48,118
86,T87,T87,Marc Leishman,52,"11' 11""",310.16700000000003,26,18
87,T87,999,Martin Piller,30,"11' 11""",297.58299999999997,25,67
88,89,T89,Cameron Smith,55,"12' 0""",358.75,30,90
89,T90,T91,Wyndham Clark,61,"12' 1""",687.1669999999999,57,162
90,T90,T91,Ernie Els,43,"12' 1""",375.667,31,17
91,T90,T82,Jim Knous,55,"12' 1""",385.333,32,155
92,T93,T123,Rod Pampling,40,"12' 2""",463.0,38,172
93,T93,T93,John Senden,39,"12' 2""",279.33299999999997,23,156
94,T95,T114,Kramer Hickok,59,"12' 3""",538.1669999999999,44,117
95,T95,T97,Matt Jones,67,"12' 3""",552.0830000000001,45,38
96,T95,T97,Chez Reavie,67,"12' 3""",405.5,33,100
97,T98,T123,Brian Gay,79,"12' 4""",703.3330000000001,57,60
98,T98,T105,Peter Malnati,64,"12' 4""",580.25,47,32
99,T98,T100,Graeme McDowell,61,"12' 4""",368.75,30,33
100,T98,T100,Grayson Murray,36,"12' 4""",295.75,24,205
101,T98,T100,Kevin Streelman,63,"12' 4""",516.8330000000001,42,93
102,T98,T89,D.J. Trahan,33,"12' 4""",222.417,18,28
103,T104,T75,Dominic Bozzelli,53,"12' 5""",410.083,33,125
104,T104,T105,Alex Cejka,41,"12' 5""",249.0,20,152
105,T104,T93,Tyler Duncan,66,"12' 5""",448.417,36,181
106,T104,T105,Chris Kirk,47,"12' 5""",483.083,39,98
107,T104,T84,Nate Lashley,44,"12' 5""",261.25,21,40
108,T104,T105,D.A. Points,33,"12' 5""",273.41700000000003,22,131
109,T104,T72,José de Jesús Rodríguez,51,"12' 5""",359.917,29,88
110,T104,T100,Webb Simpson,53,"12' 5""",459.0,37,2
111,T104,T114,Hudson Swafford,59,"12' 5""",558.1669999999999,45,186
112,T113,T109,Joel Dahmen,78,"12' 6""",612.8330000000001,49,142
113,T113,T109,Kyoung-Hoon Lee,72,"12' 6""",627.0,50,149
114,T113,T109,Patrick Reed,53,"12' 6""",588.75,47,96
115,T113,T128,Robert Streb,60,"12' 6""",585.6669999999999,47,66
116,T113,T109,Vaughn Taylor,69,"12' 6""",523.3330000000001,42,52
117,T118,T114,Chesson Hadley,58,"12' 7""",200.75,16,145
118,T118,T114,Patton Kizzire,58,"12' 7""",390.75,31,159
119,T118,T114,C.T. Pan,64,"12' 7""",464.333,37,37
120,T121,T119,Jonas Blixt,66,"12' 9""",522.5,41,95
121,T121,T128,Cody Gribble,52,"12' 9""",458.25,36,204
122,T121,T121,Kevin Kisner,65,"12' 9""",331.25,26,73
123,T124,T123,Kiradech Aphibarnrat,49,"12' 10""",512.3330000000001,40,31
124,T124,T128,Denny McCarthy,63,"12' 10""",859.0830000000001,67,10
125,T124,T119,Scott Stallings,63,"12' 10""",551.5,43,159
126,T124,T149,Cameron Tringale,52,"12' 10""",514.3330000000001,40,49
127,T124,T123,Johnson Wagner,45,"12' 10""",538.1669999999999,42,158
128,T129,T135,Austin Cook,50,"12' 11""",386.333,30,173
129,T129,T128,Beau Hossler,66,"12' 11""",854.5830000000001,66,168
130,T129,T128,Sung Kang,67,"12' 11""",670.3330000000001,52,50
131,T129,T123,Brooks Koepka,49,"12' 11""",401.667,31,84
132,T129,T100,Roger Sloan,62,"12' 11""",476.917,37,166
133,T129,T170,Sepp Straka,48,"12' 11""",425.5,33,195
134,T135,T135,Matthew Fitzpatrick,42,"13' 0""",312.16700000000003,24,187
135,T135,T142,Zach Johnson,50,"13' 0""",442.917,34,38
136,T135,T149,Matt Kuchar,65,"13' 0""",441.333,34,9
137,T135,T135,Hideki Matsuyama,59,"13' 0""",378.0,29,11
138,T135,T128,Ben Silverman,54,"13' 0""",544.5830000000001,42,109
139,T135,T121,Jimmy Walker,61,"13' 0""",533.0830000000001,41,34
140,141,T109,Seth Reeves,52,"13' 1""",419.583,32,191
141,T142,T93,Joey Garber,44,"13' 2""",422.0,32,68
142,T142,T157,Curtis Luck,51,"13' 2""",421.083,32,87
143,T142,T142,Hunter Mahan,45,"13' 2""",487.75,37,177
144,T142,T142,Xander Schauffele,55,"13' 2""",512.5,39,45
145,T142,T153,Henrik Stenson,46,"13' 2""",434.583,33,42
