,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,T1,1,Rickie Fowler,54,"1' 5""",30.416999999999998,21,47
1,T1,T2,Matt Kuchar,65,"1' 5""",40.25,28,9
2,T3,T4,Justin Harding,31,"1' 7""",7.75,5,184
3,T3,T4,Louis Oosthuizen,43,"1' 7""",22.666999999999998,14,62
4,5,7,Kyoung-Hoon Lee,72,"1' 8""",33.25,20,149
5,T6,T4,Josh Teater,47,"1' 10""",40.667,22,147
6,T6,T13,Danny Willett,47,"1' 10""",46.667,26,163
7,T8,T9,Martin Kaymer,38,"1' 11""",38.417,20,121
8,T8,T32,Nate Lashley,44,"1' 11""",27.0,14,40
9,T8,T9,Pat Perez,52,"1' 11""",38.917,20,73
10,T11,8,Zach Johnson,50,"2' 0""",80.333,40,38
11,T11,T11,Rory Sabbatini,71,"2' 0""",63.083,32,19
12,T11,T2,Chris Thompson,34,"2' 0""",35.75,18,167
13,T14,T13,Charley Hoffman,58,"2' 1""",61.167,29,178
14,T14,T13,Kyle Jones,49,"2' 1""",63.833,31,122
15,T14,999,Shane Lowry,30,"2' 1""",30.666999999999998,15,115
16,T14,T13,Troy Merritt,42,"2' 1""",42.333,20,130
17,T14,T13,Adam Scott,41,"2' 1""",25.0,12,24
18,T19,T20,Kiradech Aphibarnrat,49,"2' 2""",49.25,23,31
19,T19,T20,Sam Burns,66,"2' 2""",81.0,37,135
20,T19,T32,Stephan Jaeger,59,"2' 2""",78.75,36,29
21,T19,T20,Chris Kirk,47,"2' 2""",38.667,18,98
22,T19,T20,Haotong Li,32,"2' 2""",30.5,14,100
23,T19,T26,Alex Prugh,54,"2' 2""",59.167,27,198
24,T19,T11,Sam Saunders,53,"2' 2""",86.417,40,55
25,T26,T20,Alex Cejka,41,"2' 3""",56.083,25,152
26,T26,T67,Roberto Díaz,51,"2' 3""",54.5,24,63
27,T26,T26,Joel Dahmen,78,"2' 3""",75.333,33,142
28,T26,T42,J.B. Holmes,54,"2' 3""",49.583,22,138
29,T26,T26,Peter Malnati,64,"2' 3""",80.75,36,32
30,T26,T32,Denny McCarthy,63,"2' 3""",58.333,26,10
31,T26,T42,Ryan Palmer,56,"2' 3""",54.25,24,112
32,T26,T26,Patrick Reed,53,"2' 3""",55.5,25,96
33,T26,T13,Peter Uihlein,65,"2' 3""",57.75,26,139
34,T35,T42,Ryan Armour,66,"2' 4""",86.167,37,5
35,T35,T32,Aaron Baddeley,51,"2' 4""",39.667,17,4
36,T35,T32,Keegan Bradley,65,"2' 4""",92.417,40,111
37,T35,T42,Bud Cauley,61,"2' 4""",75.917,32,16
38,T35,T32,Stewart Cink,33,"2' 4""",25.25,11,188
39,T35,T32,Jason Dufner,56,"2' 4""",44.917,19,197
40,T35,T32,Hideki Matsuyama,59,"2' 4""",75.75,33,11
41,T35,T32,Ian Poulter,49,"2' 4""",42.5,18,144
42,T35,T13,Sepp Straka,48,"2' 4""",51.75,22,195
43,T35,T26,Robert Streb,60,"2' 4""",64.0,27,66
44,T45,T67,Harris English,72,"2' 5""",95.5,39,70
45,T45,T42,Tommy Fleetwood,43,"2' 5""",40.917,17,7
46,T45,T42,Freddie Jacobson,37,"2' 5""",36.75,15,193
47,T45,T42,Si Woo Kim,65,"2' 5""",66.083,27,13
48,T45,T42,Scott Langley,60,"2' 5""",69.917,29,100
49,T45,T42,Nick Taylor,70,"2' 5""",92.833,38,113
50,T51,T42,Corey Conners,62,"2' 6""",61.5,25,185
51,T51,T58,Brice Garnett,63,"2' 6""",70.25,28,196
52,T51,T32,Fabián Gómez,44,"2' 6""",57.917,23,79
53,T51,T20,Bill Haas,58,"2' 6""",120.417,48,89
54,T51,T58,Tyrrell Hatton,46,"2' 6""",42.833,17,209
55,T51,T42,Sungjae Im,88,"2' 6""",103.25,42,44
56,T51,T42,Kelly Kraft,67,"2' 6""",96.5,38,179
57,T51,T58,Andrew Landry,56,"2' 6""",76.5,31,119
58,T51,T42,Rory McIlroy,50,"2' 6""",70.083,28,128
59,T51,T58,Phil Mickelson,41,"2' 6""",54.583,22,165
60,T51,T67,Sebastián Muñoz,58,"2' 6""",63.333,25,157
61,T51,T58,Jon Rahm,51,"2' 6""",66.0,26,71
62,T51,T58,Patrick Rodgers,44,"2' 6""",82.167,33,154
63,T51,T58,Justin Rose,42,"2' 6""",39.583,16,30
64,T51,T58,Hudson Swafford,59,"2' 6""",71.667,29,186
65,T51,T58,Matt Wallace,31,"2' 6""",39.75,16,126
66,T67,T26,Anders Albertson,48,"2' 7""",58.833,23,59
67,T67,T67,Ernie Els,43,"2' 7""",23.0,9,17
68,T67,T67,Lucas Glover,62,"2' 7""",84.333,33,3
69,T67,T67,Max Homa,61,"2' 7""",112.417,43,86
70,T67,T67,Patton Kizzire,58,"2' 7""",69.25,27,159
71,T67,T67,Luke List,52,"2' 7""",66.75,26,181
72,T67,T42,Graeme McDowell,61,"2' 7""",85.833,33,33
73,T67,999,Martin Piller,30,"2' 7""",31.416999999999998,12,67
74,T67,T81,Brandt Snedeker,68,"2' 7""",80.0,31,34
75,T67,T67,Vaughn Taylor,69,"2' 7""",109.417,42,52
76,T67,T67,Jhonattan Vegas,60,"2' 7""",84.333,33,114
77,T78,T79,Byeong Hun An,54,"2' 8""",67.583,25,189
78,T78,T42,Talor Gooch,37,"2' 8""",42.25,16,97
79,T78,T81,Carlos Ortiz,60,"2' 8""",99.75,37,153
80,T78,T67,Harold Varner III,62,"2' 8""",102.333,38,100
81,T82,T81,Ryan Blaum,67,"2' 9""",114.0,41,108
82,T82,T81,James Hahn,34,"2' 9""",41.333,15,171
83,T82,T81,Tom Hoge,70,"2' 9""",115.583,42,148
84,T82,T81,John Huh,35,"2' 9""",56.917,21,78
85,T82,T81,Trey Mullinax,67,"2' 9""",109.833,40,100
86,T82,T81,Chez Reavie,67,"2' 9""",99.25,36,100
87,T82,T81,Tiger Woods,31,"2' 9""",60.833,22,107
88,T89,T94,Lucas Bjerregaard,37,"2' 10""",36.5,13,203
89,T89,T125,Dominic Bozzelli,53,"2' 10""",77.417,27,125
90,T89,T81,John Chin,38,"2' 10""",48.75,17,192
91,T89,T81,Sergio Garcia,39,"2' 10""",80.167,28,143
92,T89,T103,Russell Henley,56,"2' 10""",99.333,35,23
93,T89,T94,Billy Horschel,73,"2' 10""",70.5,25,77
94,T89,T103,Dustin Johnson,47,"2' 10""",70.583,25,15
95,T89,T94,Anirban Lahiri,54,"2' 10""",106.25,37,83
96,T89,T94,C.T. Pan,64,"2' 10""",92.75,33,37
97,T89,T114,José de Jesús Rodríguez,51,"2' 10""",75.583,27,88
98,T89,T81,Adam Schenk,80,"2' 10""",116.417,41,90
