,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Marc Leishman,52,"4' 7""",4.533,82,18
1,2,T2,Ian Poulter,49,"5' 2""",5.14,83,144
2,T3,T4,Charl Schwartzel,34,"5' 3""",2.45,39,84
3,T3,T4,Kevin Tway,62,"5' 3""",6.51,104,46
4,T5,T2,Sergio Garcia,39,"5' 4""",3.658,57,143
5,T5,T9,Dustin Johnson,47,"5' 4""",5.269,82,15
6,T5,T6,Adam Svensson,51,"5' 4""",5.113,80,150
7,T5,T6,Matt Wallace,31,"5' 4""",3.6319999999999997,57,126
8,T9,T9,Paul Casey,51,"5' 5""",3.806,59,134
9,T9,T6,Zach Johnson,50,"5' 5""",6.974,107,38
10,T9,T9,Adam Scott,41,"5' 5""",3.363,52,24
11,T12,T12,Bud Cauley,61,"5' 6""",9.765,148,16
12,T12,T19,Alex Cejka,41,"5' 6""",4.584,69,152
13,T12,T14,Peter Malnati,64,"5' 6""",8.336,127,32
14,T12,T12,J.T. Poston,76,"5' 6""",10.048,152,25
15,T12,T14,Martin Trainer,51,"5' 6""",7.662000000000001,116,161
16,T17,T14,Byeong Hun An,54,"5' 7""",5.871,88,189
17,T17,T24,Adam Hadwin,66,"5' 7""",7.249,109,120
18,T17,T14,Sungjae Im,88,"5' 7""",11.495,171,44
19,T17,999,Shane Lowry,30,"5' 7""",2.727,41,115
20,T17,T14,Michael Thompson,56,"5' 7""",8.158,122,22
21,T22,T19,Aaron Baddeley,51,"5' 8""",6.747999999999999,99,4
22,T22,T19,Keegan Bradley,65,"5' 8""",5.537999999999999,81,111
23,T22,T19,Lucas Glover,62,"5' 8""",8.311,123,3
24,T22,T45,Talor Gooch,37,"5' 8""",3.892,57,97
25,T22,T19,Mackenzie Hughes,58,"5' 8""",7.559,111,54
26,T22,T36,Justin Thomas,49,"5' 8""",4.765,70,79
27,T28,T24,Patrick Cantlay,49,"5' 9""",4.797,70,1
28,T28,T24,Si Woo Kim,65,"5' 9""",7.419,108,13
29,T28,T24,Russell Knox,65,"5' 9""",6.737,98,41
30,T28,T24,Tiger Woods,31,"5' 9""",2.48,36,107
