,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Paul Casey,51,"5' 5""",393.167,73,134
1,2,2,Jim Furyk,53,"5' 10""",571.1669999999999,98,8
2,T3,T5,Byeong Hun An,54,"6' 3""",734.9169999999999,117,189
3,T3,T5,Russell Henley,56,"6' 3""",554.0830000000001,89,23
4,5,4,Daniel Berger,48,"6' 4""",617.1669999999999,97,127
5,T6,T7,Ryan Moore,54,"6' 5""",579.25,90,131
6,T6,T7,Pat Perez,52,"6' 5""",431.583,67,73
7,T8,T7,Roberto Díaz,51,"6' 6""",535.4169999999999,82,63
8,T8,3,Julián Etulain,55,"6' 6""",655.0,101,56
9,T10,T11,Ryan Armour,66,"6' 7""",764.25,116,5
10,T10,10,Troy Merritt,42,"6' 7""",426.167,65,130
11,T10,999,Tyrone Van Aswegen,30,"6' 7""",329.25,50,13
12,T13,T11,Charl Schwartzel,34,"6' 8""",351.833,53,84
13,T13,T15,Nick Watney,67,"6' 8""",825.0830000000001,124,137
14,T15,T15,Charley Hoffman,58,"6' 9""",581.3330000000001,86,178
15,T15,T15,Mackenzie Hughes,58,"6' 9""",806.0830000000001,120,54
16,T17,T20,Charles Howell III,64,"6' 10""",655.75,96,81
17,T17,T15,Chris Stroud,54,"6' 10""",757.6669999999999,111,69
18,T17,T20,Brian Stuard,76,"6' 10""",865.5,126,6
19,20,T22,Si Woo Kim,65,"6' 11""",769.0830000000001,111,13
20,T21,T27,Patrick Cantlay,49,"7' 0""",717.6669999999999,102,1
21,T21,T11,Bud Cauley,61,"7' 0""",907.9169999999999,129,16
22,T21,T27,Matthew Fitzpatrick,42,"7' 0""",477.167,68,187
23,T21,T27,Chesson Hadley,58,"7' 0""",837.1669999999999,119,145
