,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,James Hahn,34,"6' 0""",89.75,15,171
1,2,3,D.J. Trahan,33,"6' 2""",167.0,27,28
2,3,2,Brandt Snedeker,68,"6' 4""",541.8330000000001,85,34
3,4,4,Byeong Hun An,54,"7' 0""",532.1669999999999,76,189
4,5,5,Louis Oosthuizen,43,"7' 2""",328.25,46,62
5,6,6,Bud Cauley,61,"7' 3""",689.25,95,16
6,T7,T7,Matt Jones,67,"7' 4""",583.4169999999999,80,38
7,T7,T7,Phil Mickelson,41,"7' 4""",382.5,52,165
8,T7,999,Tyrone Van Aswegen,30,"7' 4""",147.0,20,13
9,T10,T18,Ben Crane,41,"7' 5""",333.917,45,75
10,T10,9,Tommy Fleetwood,43,"7' 5""",318.5,43,7
11,T10,T12,Brian Harman,67,"7' 5""",602.25,81,140
12,13,T10,Alex Cejka,41,"7' 6""",299.75,40,152
13,T14,T12,Tyrrell Hatton,46,"7' 7""",431.667,57,209
14,T14,T12,Martin Kaymer,38,"7' 7""",409.25,54,121
15,T14,T12,Francesco Molinari,41,"7' 7""",327.58299999999997,43,26
16,T17,16,Xander Schauffele,55,"7' 9""",432.0,56,45
17,T17,T18,Jimmy Walker,61,"7' 9""",665.1669999999999,86,34
18,T19,17,Webb Simpson,53,"7' 10""",632.4169999999999,81,2
19,T19,T18,Justin Thomas,49,"7' 10""",374.333,48,79
20,T21,T18,Patrick Cantlay,49,"7' 11""",372.083,47,1
21,T21,T18,Branden Grace,62,"7' 11""",537.0830000000001,68,190
22,T21,T18,Si Woo Kim,65,"7' 11""",592.4169999999999,75,13
23,T21,T33,Rod Pampling,40,"7' 11""",434.0,55,172
24,T21,T18,Justin Rose,42,"7' 11""",341.25,43,30
25,T21,T18,Matt Wallace,31,"7' 11""",237.75,30,126
26,27,T27,Brian Stuard,76,"8' 0""",637.3330000000001,80,6
27,T28,T18,Zach Johnson,50,"8' 1""",533.0830000000001,66,38
28,T28,T27,Danny Lee,66,"8' 1""",768.0,95,90
29,T28,T29,Kevin Na,54,"8' 1""",411.167,51,136
30,T28,T10,Roger Sloan,62,"8' 1""",708.5830000000001,88,166
31,T28,T29,Michael Thompson,56,"8' 1""",776.1669999999999,96,22
32,T33,32,Paul Casey,51,"8' 2""",423.417,52,134
33,T33,T29,Matt Every,38,"8' 2""",392.75,48,202
34,T33,T62,Harold Varner III,62,"8' 2""",631.0,77,100
35,T36,T33,Rafa Cabrera Bello,57,"8' 3""",656.75,80,65
36,T36,T48,Joaquin Niemann,68,"8' 3""",758.5830000000001,92,123
37,T36,T48,Ben Silverman,54,"8' 3""",568.1669999999999,69,109
38,T39,T35,J.B. Holmes,54,"8' 4""",415.25,50,138
39,T39,T35,Luke List,52,"8' 4""",711.4169999999999,85,181
40,T39,T35,Hideki Matsuyama,59,"8' 4""",583.0,70,11
41,T39,T35,Grayson Murray,36,"8' 4""",467.833,56,205
42,T39,T35,D.A. Points,33,"8' 4""",358.167,43,131
43,T39,T35,Andrew Putnam,57,"8' 4""",407.917,49,123
44,T39,T48,Scott Stallings,63,"8' 4""",657.5830000000001,79,159
45,T46,T42,Corey Conners,62,"8' 5""",562.9169999999999,67,185
46,T46,T42,Lucas Glover,62,"8' 5""",642.0830000000001,76,3
47,T46,T35,Trey Mullinax,67,"8' 5""",597.25,71,100
48,T46,T42,Cameron Smith,55,"8' 5""",482.0,57,90
49,T46,T42,Kevin Streelman,63,"8' 5""",803.5,95,93
50,T46,T42,Hudson Swafford,59,"8' 5""",659.6669999999999,78,186
51,T52,T48,Aaron Baddeley,51,"8' 6""",508.083,60,4
52,T52,T48,Adam Hadwin,66,"8' 6""",711.25,84,120
53,T52,T54,Brandon Harkins,67,"8' 6""",817.3330000000001,96,199
54,T52,T48,Sam Ryder,52,"8' 6""",580.4169999999999,68,43
55,T56,T54,Bryson DeChambeau,45,"8' 7""",481.583,56,61
56,T56,T42,Rory McIlroy,50,"8' 7""",445.75,52,128
57,T56,T54,Charl Schwartzel,34,"8' 7""",223.25,26,84
58,T59,T72,Roberto Castro,54,"8' 8""",457.833,53,20
59,T59,T59,Jason Dufner,56,"8' 8""",685.4169999999999,79,197
60,T59,T54,Dustin Johnson,47,"8' 8""",329.75,38,15
61,T59,T59,Rory Sabbatini,71,"8' 8""",804.0830000000001,93,19
62,T59,T59,Sam Saunders,53,"8' 8""",616.25,71,55
63,T64,T83,Dominic Bozzelli,53,"8' 9""",508.583,58,125
64,T64,T65,Cody Gribble,52,"8' 9""",508.333,58,204
65,T64,T128,David Hearn,41,"8' 9""",297.75,34,93
66,T64,T62,Russell Knox,65,"8' 9""",675.1669999999999,77,41
67,T64,T62,Tiger Woods,31,"8' 9""",235.417,27,107
68,T69,T65,Stewart Cink,33,"8' 10""",449.833,51,188
69,T69,T65,Wyndham Clark,61,"8' 10""",671.5,76,162
