,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
0,1,1,Justin Harding,31,"1' 10""",22.25,12,184
1,2,2,Chris Thompson,34,"2' 3""",70.75,31,167
2,3,3,James Hahn,34,"2' 4""",54.0,23,171
3,T4,T4,Ernie Els,43,"2' 5""",95.083,39,17
4,T4,T4,Matthew Fitzpatrick,42,"2' 5""",130.75,54,187
5,T4,T6,Wes Roach,45,"2' 5""",79.583,33,53
6,T4,T9,Danny Willett,47,"2' 5""",159.75,65,163
7,8,T9,Stephan Jaeger,59,"2' 7""",166.333,64,29
8,9,T6,Kevin Tway,62,"2' 8""",180.667,67,46
9,T10,T9,Rory McIlroy,50,"2' 9""",173.167,63,128
10,T10,T16,Brandt Snedeker,68,"2' 9""",216.583,79,34
11,T10,T12,Josh Teater,47,"2' 9""",126.333,46,147
12,T10,T12,Tiger Woods,31,"2' 9""",73.667,27,107
13,T14,T16,Kramer Hickok,59,"2' 10""",122.333,43,117
14,T14,T16,Charles Howell III,64,"2' 10""",123.333,43,81
15,T14,999,Shane Lowry,30,"2' 10""",114.917,40,115
16,T14,T6,Webb Simpson,53,"2' 10""",185.25,65,2
17,T18,T20,Ryan Armour,66,"2' 11""",238.75,83,5
18,T18,T41,Harris English,72,"2' 11""",241.417,82,70
19,T18,T20,Tony Finau,61,"2' 11""",221.25,75,64
20,T18,T16,Brian Gay,79,"2' 11""",248.25,85,60
21,T18,T20,Si Woo Kim,65,"2' 11""",191.083,66,13
22,T18,T20,Chris Kirk,47,"2' 11""",119.5,41,98
23,T18,T20,Troy Merritt,42,"2' 11""",139.75,48,130
24,T18,T20,C.T. Pan,64,"2' 11""",199.083,68,37
25,T18,T20,Jon Rahm,51,"2' 11""",170.583,59,71
26,T18,T20,Patrick Rodgers,44,"2' 11""",164.75,57,154
27,T18,T29,José de Jesús Rodríguez,51,"2' 11""",153.333,53,88
28,T18,999,Tyrone Van Aswegen,30,"2' 11""",108.917,37,13
29,T30,T29,Aaron Baddeley,51,"3' 0""",154.667,52,4
30,T30,T29,Bud Cauley,61,"3' 0""",227.167,76,16
31,T30,T41,Brian Harman,67,"3' 0""",255.75,85,140
32,T30,T41,Jim Herman,37,"3' 0""",171.167,57,183
33,T30,T20,Scott Langley,60,"3' 0""",247.75,83,100
34,T30,T41,Nate Lashley,44,"3' 0""",118.0,39,40
35,T30,T29,Francesco Molinari,41,"3' 0""",149.583,50,26
36,T30,T29,Trey Mullinax,67,"3' 0""",236.417,78,100
37,T30,T29,Kevin Na,54,"3' 0""",101.583,34,136
38,T30,T29,Carlos Ortiz,60,"3' 0""",236.0,78,153
39,T30,T29,Pat Perez,52,"3' 0""",130.75,43,73
40,T30,T53,Alex Prugh,54,"3' 0""",124.083,41,198
41,T30,T29,Brian Stuard,76,"3' 0""",321.08299999999997,106,6
42,T30,T29,Gary Woodland,63,"3' 0""",225.583,75,169
43,T44,T41,Rafa Cabrera Bello,57,"3' 1""",201.333,65,65
44,T44,T62,Roberto Díaz,51,"3' 1""",135.333,44,63
45,T44,T12,Fabián Gómez,44,"3' 1""",145.25,47,79
46,T44,T29,Zach Johnson,50,"3' 1""",307.58299999999997,101,38
47,T44,T53,Hank Lebioda,55,"3' 1""",197.75,65,173
48,T44,T41,Richy Werenski,63,"3' 1""",250.75,82,118
49,T50,T53,Byeong Hun An,54,"3' 2""",179.75,57,189
50,T50,T41,Sangmoon Bae,42,"3' 2""",111.667,35,106
51,T50,T41,Corey Conners,62,"3' 2""",198.667,62,185
52,T50,T53,Tommy Fleetwood,43,"3' 2""",151.833,48,7
53,T50,T41,Bill Haas,58,"3' 2""",224.417,70,89
54,T50,T41,Martin Laird,60,"3' 2""",185.75,59,116
55,T50,T53,Joaquin Niemann,68,"3' 2""",317.25,100,123
56,T50,T41,Scott Piercy,70,"3' 2""",232.917,73,27
57,T50,T12,Ollie Schniederjans,63,"3' 2""",247.083,79,151
58,T50,T62,J.J. Spaun,68,"3' 2""",218.0,68,131
59,T50,T41,Nick Taylor,70,"3' 2""",270.58299999999997,85,113
60,T61,T53,Lucas Bjerregaard,37,"3' 3""",113.667,35,203
61,T61,T62,Jonas Blixt,66,"3' 3""",282.83299999999997,86,95
62,T61,T53,Tyler Duncan,66,"3' 3""",292.25,90,181
63,T61,T62,Russell Henley,56,"3' 3""",226.75,69,23
64,T61,T81,Sebastián Muñoz,58,"3' 3""",157.583,48,157
65,T61,T62,Seamus Power,58,"3' 3""",223.167,68,105
66,T61,T62,Chez Reavie,67,"3' 3""",257.66700000000003,79,100
67,T61,T71,Roger Sloan,62,"3' 3""",248.0,76,166
68,T61,T71,Aaron Wise,52,"3' 3""",157.167,48,201
69,T70,T62,Anders Albertson,48,"3' 4""",168.667,51,59
70,T70,T105,Jonathan Byrd,43,"3' 4""",142.917,43,11
71,T70,T71,Paul Casey,51,"3' 4""",178.083,53,134
72,T70,T71,Branden Grace,62,"3' 4""",206.5,62,190
73,T70,T71,Cody Gribble,52,"3' 4""",227.5,69,204
74,T70,T81,Sungjae Im,88,"3' 4""",357.417,107,44
75,T70,T71,Patton Kizzire,58,"3' 4""",221.917,67,159
76,T70,T71,Hideki Matsuyama,59,"3' 4""",222.5,67,11
77,T70,T71,Sam Saunders,53,"3' 4""",293.5,89,55
78,T70,T62,Adam Schenk,80,"3' 4""",307.0,93,90
79,T70,T71,Charl Schwartzel,34,"3' 4""",87.5,26,84
80,T70,T53,Robert Streb,60,"3' 4""",204.0,61,66
81,T70,T71,Adam Svensson,51,"3' 4""",228.917,68,150
82,T83,T81,Roberto Castro,54,"3' 5""",203.583,59,20
83,T83,T95,Wyndham Clark,61,"3' 5""",255.333,74,162
84,T83,T81,Jason Dufner,56,"3' 5""",223.917,65,197
85,T83,T81,Julián Etulain,55,"3' 5""",208.833,61,56
86,T83,T81,Lucas Glover,62,"3' 5""",285.66700000000003,83,3
87,T83,T81,Max Homa,61,"3' 5""",322.25,95,86
88,T83,T81,Martin Kaymer,38,"3' 5""",209.583,62,121
89,T83,T81,Jason Kokrak,68,"3' 5""",333.5,97,75
90,T83,T95,Peter Malnati,64,"3' 5""",317.83299999999997,93,32
91,T83,T62,Graeme McDowell,61,"3' 5""",217.167,63,33
92,T83,T81,Keith Mitchell,64,"3' 5""",203.5,59,176
93,T83,T81,John Senden,39,"3' 5""",102.583,30,156
94,T95,T95,Sam Burns,66,"3' 6""",313.0,89,135
95,T95,T126,J.B. Holmes,54,"3' 6""",173.833,50,138
96,T95,T95,Matt Jones,67,"3' 6""",229.25,65,38
97,T95,T95,Kevin Kisner,65,"3' 6""",306.91700000000003,88,73
98,T95,T95,Adam Long,52,"3' 6""",299.0,85,109
99,T95,T105,Denny McCarthy,63,"3' 6""",216.0,61,10
100,T95,T95,Louis Oosthuizen,43,"3' 6""",160.667,46,62
101,T95,T95,Andrew Putnam,57,"3' 6""",167.833,48,123
102,T95,T95,Patrick Reed,53,"3' 6""",207.167,59,96
103,T95,T105,Scott Stallings,63,"3' 6""",280.91700000000003,80,159
104,T95,T81,Sepp Straka,48,"3' 6""",166.5,48,195
105,T95,T95,Martin Trainer,51,"3' 6""",211.0,60,161
106,T95,T81,Cameron Tringale,52,"3' 6""",201.0,57,49
107,T95,T119,Peter Uihlein,65,"3' 6""",209.5,60,139
108,T109,T105,Jim Furyk,53,"3' 7""",228.833,64,8
109,T109,T119,David Hearn,41,"3' 7""",130.333,36,93
110,T109,T81,Kyle Jones,49,"3' 7""",216.417,61,122
111,T109,T105,Haotong Li,32,"3' 7""",149.083,42,100
112,T109,T105,Hunter Mahan,45,"3' 7""",175.333,49,177
113,T109,999,Martin Piller,30,"3' 7""",88.583,25,67
114,T109,T105,J.T. Poston,76,"3' 7""",447.583,124,25
115,T109,T105,Justin Rose,42,"3' 7""",194.917,54,30
116,T109,T105,Cameron Smith,55,"3' 7""",236.5,66,90
117,T109,T105,Brendan Steele,50,"3' 7""",238.583,66,194
118,T109,T105,Kevin Streelman,63,"3' 7""",299.5,83,93
119,T109,T105,Vaughn Taylor,69,"3' 7""",349.75,97,52
120,T109,T119,D.J. Trahan,33,"3' 7""",75.417,21,28
121,T109,T105,Matt Wallace,31,"3' 7""",144.5,40,126
122,T123,T119,Alex Cejka,41,"3' 8""",259.33299999999997,71,152
123,T123,T119,Stewart Cink,33,"3' 8""",113.5,31,188
124,T123,T135,Matt Every,38,"3' 8""",140.667,38,202
125,T123,T119,Brandon Harkins,67,"3' 8""",282.0,77,199
126,T123,T126,Tom Hoge,70,"3' 8""",358.917,97,148
127,T123,T119,Sam Ryder,52,"3' 8""",254.333,70,43
