,SG_Around_the_Green_RANK THIS WEEK,SG_Around_the_Green_RANK LAST WEEK,SG_Around_the_Green_PLAYER NAME,SG_Around_the_Green_ROUNDS,SG_Around_the_Green_AVERAGE,SG_Around_the_Green_TOTAL SG:ARG,SG_Around_the_Green_MEASURED ROUNDS
0,1,1,Bud Cauley,61,0.6829999999999999,36.21,53
1,2,2,Brandt Snedeker,68,0.617,29.603,48
2,3,3,Byeong Hun An,54,0.614,23.94,39
3,4,4,Louis Oosthuizen,43,0.545,13.08,24
4,5,7,Stephan Jaeger,59,0.529,21.688000000000002,41
5,6,5,Aaron Baddeley,51,0.474,18.025,38
6,7,6,Si Woo Kim,65,0.46299999999999997,18.044,39
7,8,8,Tiger Woods,31,0.45,9.455,21
8,9,14,Justin Thomas,49,0.441,14.982000000000001,34
9,10,9,Hideki Matsuyama,59,0.435,18.726,43
10,11,10,Matt Wallace,31,0.434,9.548,22
11,12,11,Webb Simpson,53,0.42,18.909000000000002,45
12,13,12,Patrick Cantlay,49,0.41200000000000003,13.579,33
13,14,13,Tyrrell Hatton,46,0.409,12.26,30
14,15,20,Sebastián Muñoz,58,0.389,15.542,40
15,16,17,Charles Howell III,64,0.376,16.180999999999997,43
16,17,18,Adam Scott,41,0.368,8.832,24
17,18,19,Ernie Els,43,0.36200000000000004,9.404,26
18,19,21,Patrick Reed,53,0.35,12.936,37
19,20,T15,Bill Haas,58,0.33399999999999996,15.377,46
20,T21,T22,Kevin Na,54,0.32799999999999996,10.84,33
21,T21,T22,Brian Stuard,76,0.32799999999999996,18.046,55
22,23,24,Rory Sabbatini,71,0.32299999999999995,17.442,54
23,24,T15,Kevin Tway,62,0.317,14.245,45
24,T25,57,Alex Noren,49,0.311,10.26,33
25,T25,43,Rod Pampling,40,0.311,8.395,27
26,27,25,Lucas Glover,62,0.302,16.003,53
27,28,26,Cameron Smith,55,0.301,9.932,33
28,T29,T27,Tommy Fleetwood,43,0.287,7.454,26
29,T29,T27,Pat Perez,52,0.287,8.316,29
30,T31,29,Matt Jones,67,0.28300000000000003,12.722999999999999,45
31,T31,33,Jimmy Walker,61,0.28300000000000003,13.027000000000001,46
32,33,30,Chris Kirk,47,0.27,9.458,35
33,34,31,Adam Svensson,51,0.268,9.904,37
34,35,T68,Jonathan Byrd,43,0.266,7.4510000000000005,28
35,36,45,Ryan Armour,66,0.265,13.007,49
36,T37,35,Sungjae Im,88,0.259,17.613,68
37,T37,34,Jordan Spieth,57,0.259,11.661,45
38,39,37,Troy Merritt,42,0.249,8.203,33
39,40,52,Rory McIlroy,50,0.24600000000000002,9.093,37
40,41,38,Hank Lebioda,55,0.244,9.508,39
41,42,39,Stewart Cink,33,0.242,5.084,21
42,43,40,Paul Casey,51,0.24100000000000002,7.478,31
