,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,999,Tyrone Van Aswegen,30,66.67,24,36,5.0
1,2,2,Ernie Els,43,66.18,45,68,11.0
2,3,3,Tommy Fleetwood,43,66.1,39,59,3.0
3,4,1,Dustin Johnson,47,64.15,34,53,2.0
4,5,4,Sam Ryder,52,64.0,64,100,17.0
5,6,5,Martin Kaymer,38,63.93,39,61,20.0
6,7,12,Webb Simpson,53,62.22,56,90,13.0
7,8,9,Ben Silverman,54,61.96,57,92,19.0
8,9,6,Brandt Snedeker,68,61.67,74,120,27.0
9,10,7,Andrew Putnam,57,61.63,53,86,22.0
10,11,8,Francesco Molinari,41,61.54,32,52,11.0
11,12,13,Matt Kuchar,65,61.19,41,67,13.0
12,13,10,Justin Rose,42,60.87,42,69,18.0
13,14,11,Si Woo Kim,65,60.8,76,125,21.0
14,15,T16,Brooks Koepka,49,60.78,31,51,3.0
15,16,14,Louis Oosthuizen,43,60.27,44,73,18.0
16,17,15,Cameron Smith,55,60.23,53,88,21.0
17,18,19,Jimmy Walker,61,60.17,71,118,28.0
18,19,20,Brian Harman,67,60.0,69,115,23.0
19,20,18,Russell Knox,65,59.76,49,82,13.0
20,21,24,Bud Cauley,61,59.09,65,110,23.0
21,22,21,Chris Kirk,47,58.82,50,85,21.0
22,23,22,Adam Scott,41,58.73,37,63,13.0
23,24,23,Michael Thompson,56,58.2,71,122,27.0
24,25,33,Seamus Power,58,58.16,57,98,16.0
25,26,25,D.A. Points,33,57.81,37,64,26.0
26,T27,T27,Haotong Li,32,57.69,30,52,12.0
27,T27,T27,Ian Poulter,49,57.69,45,78,19.0
28,T29,29,Anirban Lahiri,54,57.61,53,92,34.0
29,T29,56,Harold Varner III,62,57.61,53,92,26.0
30,31,30,Stewart Cink,33,57.53,42,73,22.0
31,T32,38,Ben Crane,41,57.14,40,70,23.0
32,T32,31,Tyrrell Hatton,46,57.14,44,77,19.0
33,34,34,Sung Kang,67,56.78,67,118,37.0
34,35,35,Aaron Baddeley,51,56.67,51,90,24.0
35,36,36,Dominic Bozzelli,53,56.18,50,89,18.0
36,37,39,Brian Stuard,76,56.14,64,114,35.0
37,38,40,Rory Sabbatini,71,56.07,60,107,28.0
38,39,41,Charl Schwartzel,34,56.06,37,66,19.0
39,40,26,Danny Lee,66,56.03,65,116,23.0
40,41,37,Ryan Armour,66,55.96,61,109,34.0
41,42,42,Roger Sloan,62,55.93,66,118,46.0
42,43,999,Shane Lowry,30,55.81,24,43,14.0
43,44,32,Rory McIlroy,50,55.71,39,70,15.0
44,T45,44,James Hahn,34,55.56,20,36,-1.0
45,T45,T59,Cameron Tringale,52,55.56,40,72,19.0
46,47,48,Stephan Jaeger,59,55.34,57,103,21.0
47,48,71,Talor Gooch,37,55.17,32,58,21.0
48,49,45,Xander Schauffele,55,55.1,54,98,23.0
49,50,46,Kevin Na,54,55.06,49,89,21.0
50,51,47,Byeong Hun An,54,55.0,55,100,21.0
51,52,54,Adam Hadwin,66,54.92,67,122,37.0
52,53,51,Peter Uihlein,65,54.87,62,113,27.0
53,54,49,Rickie Fowler,54,54.81,57,104,18.0
54,55,50,Vaughn Taylor,69,54.76,69,126,39.0
55,56,43,Hudson Swafford,59,54.64,53,97,23.0
56,57,52,Phil Mickelson,41,54.55,36,66,23.0
57,58,57,Shawn Stefani,57,54.43,43,79,19.0
58,59,87,Bubba Watson,47,54.41,37,68,14.0
59,60,53,C.T. Pan,64,54.37,56,103,32.0
60,61,55,Patrick Cantlay,49,54.29,38,70,11.0
61,62,64,Graeme McDowell,61,54.05,60,111,41.0
62,63,58,Hideki Matsuyama,59,53.92,55,102,32.0
63,64,68,Wyndham Clark,61,53.85,56,104,25.0
64,65,61,Emiliano Grillo,65,53.61,52,97,20.0
65,66,62,J.B. Holmes,54,53.57,45,84,21.0
66,67,66,Zach Johnson,50,53.49,46,86,17.0
67,68,T59,Justin Thomas,49,53.42,39,73,10.0
68,69,63,Martin Trainer,51,53.41,47,88,25.0
69,70,T76,D.J. Trahan,33,53.33,24,45,10.0
70,71,67,John Senden,39,53.06,26,49,14.0
71,72,T105,Brady Schnell,38,52.83,28,53,19.0
72,73,69,Marc Leishman,52,52.81,47,89,23.0
73,74,70,Jason Day,45,52.78,38,72,22.0
74,75,72,Matt Jones,67,52.54,62,118,28.0
75,76,T73,Patrick Reed,53,52.53,52,99,20.0
76,77,75,Kyoung-Hoon Lee,72,52.5,63,120,44.0
77,78,T73,José de Jesús Rodríguez,51,52.38,55,105,27.0
78,79,T76,Matt Every,38,52.31,34,65,23.0
79,T80,T79,Kiradech Aphibarnrat,49,52.27,46,88,39.0
80,T80,T79,Lucas Glover,62,52.27,46,88,19.0
81,82,91,Ollie Schniederjans,63,52.17,60,115,37.0
82,83,78,Joey Garber,44,52.11,37,71,21.0
83,84,100,Scott Langley,60,52.08,50,96,40.0
84,85,83,Daniel Berger,48,52.0,52,100,32.0
85,86,85,Troy Merritt,42,51.79,29,56,17.0
86,87,86,J.T. Poston,76,51.68,77,149,39.0
87,88,92,Harris English,72,51.64,63,122,38.0
88,89,89,Rafa Cabrera Bello,57,51.61,64,124,37.0
89,90,88,Kevin Tway,62,51.55,50,97,25.0
90,91,90,Patton Kizzire,58,51.49,52,101,34.0
91,92,84,Chase Wright,53,51.19,43,84,29.0
