,Sand_Saves_from_20-30_yards_RANK THIS WEEK,Sand_Saves_from_20-30_yards_RANK LAST WEEK,Sand_Saves_from_20-30_yards_PLAYER NAME,Sand_Saves_from_20-30_yards_ROUNDS,Sand_Saves_from_20-30_yards_%,Sand_Saves_from_20-30_yards_# OF SAVES,Sand_Saves_from_20-30_yards_# OF BUNKERS
0,T1,T1,Justin Harding,31,100.0,3,3
1,T1,T1,Martin Kaymer,38,100.0,7,7
2,T3,3,Haotong Li,32,71.43,10,14
3,T3,T7,Rory McIlroy,50,71.43,5,7
4,T3,999,Martin Piller,30,71.43,5,7
5,T3,999,Tyrone Van Aswegen,30,71.43,5,7
6,7,4,Adam Long,52,70.0,14,20
7,8,5,Sung Kang,67,69.57,16,23
8,9,6,Justin Rose,42,69.23,9,13
9,T10,T17,Ben Crane,41,66.67,10,15
10,T10,T7,Tommy Fleetwood,43,66.67,8,12
11,T10,T7,Si Woo Kim,65,66.67,12,18
12,T10,T7,Francesco Molinari,41,66.67,8,12
13,T10,T7,Sam Ryder,52,66.67,10,15
14,15,12,Rory Sabbatini,71,65.38,17,26
15,16,13,Brian Harman,67,65.0,13,20
16,17,14,Chris Kirk,47,64.71,11,17
17,18,T17,Cameron Tringale,52,64.29,9,14
18,T19,T15,Jason Day,45,63.64,7,11
19,T19,T15,Marc Leishman,52,63.64,7,11
20,21,19,Rickie Fowler,54,61.29,19,31
21,T22,T20,Andrew Putnam,57,61.11,11,18
22,T22,T20,Brandt Snedeker,68,61.11,11,18
23,24,T46,Matt Kuchar,65,60.87,14,23
24,25,T22,Roger Sloan,62,60.61,20,33
25,T26,T46,Dustin Johnson,47,60.0,6,10
26,T26,T22,Russell Knox,65,60.0,12,20
27,T26,T22,Anirban Lahiri,54,60.0,9,15
28,T26,T22,Charl Schwartzel,34,60.0,6,10
29,T30,T27,Branden Grace,62,59.09,13,22
30,T30,T27,Peter Uihlein,65,59.09,13,22
31,T32,T29,Russell Henley,56,58.82,10,17
32,T32,T29,Beau Hossler,66,58.82,20,34
33,T32,T29,Nate Lashley,44,58.82,10,17
34,35,32,Seamus Power,58,58.62,17,29
35,T36,T75,Fabián Gómez,44,58.33,7,12
36,T36,T33,Kevin Na,54,58.33,14,24
37,T36,T33,Adam Scott,41,58.33,7,12
38,39,55,Webb Simpson,53,57.69,15,26
39,40,35,Ryan Blaum,67,57.58,19,33
40,T41,T36,Bronson Burgoon,37,57.14,8,14
41,T41,T36,Lucas Glover,62,57.14,12,21
42,T41,T36,Billy Horschel,73,57.14,16,28
43,T41,T56,Adam Svensson,51,57.14,8,14
44,T41,T42,Kevin Tway,62,57.14,12,21
45,46,41,José de Jesús Rodríguez,51,56.52,13,23
46,47,T42,Grayson Murray,36,56.25,9,16
47,T48,T46,Talor Gooch,37,55.56,5,9
48,T48,T46,Freddie Jacobson,37,55.56,5,9
49,T48,T42,Alex Noren,49,55.56,10,18
50,T48,T46,Patrick Reed,53,55.56,10,18
51,T48,T46,Ben Silverman,54,55.56,5,9
52,53,52,Kevin Kisner,65,55.17,16,29
53,T54,T68,Wyndham Clark,61,54.55,12,22
54,T54,T53,Troy Merritt,42,54.55,6,11
55,T54,T36,Sam Saunders,53,54.55,12,22
56,T54,T22,Hudson Swafford,59,54.55,12,22
57,58,T53,Sebastián Muñoz,58,54.17,13,24
58,59,T56,John Chin,38,53.85,7,13
59,60,60,Chesson Hadley,58,53.57,15,28
60,T61,T61,Abraham Ancer,69,53.33,8,15
61,T61,T56,Adam Hadwin,66,53.33,8,15
62,63,T42,Chase Wright,53,52.94,9,17
63,64,64,Michael Thompson,56,52.78,19,36
64,T65,T65,Kiradech Aphibarnrat,49,52.63,10,19
65,T65,T65,Keegan Bradley,65,52.63,10,19
66,T65,T65,Jordan Spieth,57,52.63,10,19
67,T68,T68,Patton Kizzire,58,52.38,11,21
68,T68,T68,Phil Mickelson,41,52.38,11,21
69,T68,T68,C.T. Pan,64,52.38,11,21
70,71,72,Rafa Cabrera Bello,57,52.17,12,23
71,72,73,Stephan Jaeger,59,52.0,13,25
72,T73,74,Emiliano Grillo,65,51.72,15,29
73,T73,T94,Scott Langley,60,51.72,15,29
74,T75,T75,Patrick Cantlay,49,50.0,3,6
75,T75,T75,Alex Cejka,41,50.0,5,10
76,T75,T75,Roberto Díaz,51,50.0,9,18
77,T75,T75,Jason Dufner,56,50.0,14,28
78,T75,T56,Matt Every,38,50.0,7,14
79,T75,T75,Sergio Garcia,39,50.0,7,14
80,T75,63,Mackenzie Hughes,58,50.0,9,18
81,T75,T75,Brooks Koepka,49,50.0,3,6
82,T75,T75,Jason Kokrak,68,50.0,9,18
83,T75,T61,Danny Lee,66,50.0,16,32
84,T75,999,Shane Lowry,30,50.0,4,8
85,T75,T75,Louis Oosthuizen,43,50.0,7,14
86,T75,T75,Jon Rahm,51,50.0,9,18
87,T75,T75,Xander Schauffele,55,50.0,7,14
88,T75,T75,Kevin Streelman,63,50.0,11,22
89,T75,T101,Chris Stroud,54,50.0,10,20
90,T75,T109,Chris Thompson,34,50.0,8,16
91,T75,T75,D.J. Trahan,33,50.0,4,8
92,T75,T75,Jimmy Walker,61,50.0,9,18
93,T75,T75,Tiger Woods,31,50.0,3,6
94,95,T75,Brian Gay,79,48.57,17,35
95,96,93,Martin Laird,60,48.48,16,33
96,97,T94,Max Homa,61,48.15,13,27
97,98,97,Matt Jones,67,48.0,12,25
98,T99,T101,Joaquin Niemann,68,47.83,11,23
99,T99,98,Brian Stuard,76,47.83,11,23
100,T99,T125,Harold Varner III,62,47.83,11,23
101,T102,T101,Zach Johnson,50,47.62,10,21
102,T102,T99,Hunter Mahan,45,47.62,10,21
103,T104,T75,Bill Haas,58,47.37,9,19
104,T104,T127,Sepp Straka,48,47.37,9,19
105,T104,T75,Justin Thomas,49,47.37,9,19
106,T104,T101,Gary Woodland,63,47.37,9,19
107,108,106,J.T. Poston,76,47.22,17,36
108,109,T107,John Huh,35,47.06,8,17
109,T110,T109,Stewart Cink,33,46.67,7,15
110,T110,T134,Kyle Jones,49,46.67,7,15
111,T110,T109,Whee Kim,57,46.67,7,15
112,T110,T117,Danny Willett,47,46.67,7,15
113,T114,T115,Sam Burns,66,46.43,13,28
114,T114,T94,Brandon Harkins,67,46.43,13,28
115,T114,T115,Richy Werenski,63,46.43,13,28
116,T117,T117,Harris English,72,46.15,12,26
117,T117,T117,Charley Hoffman,58,46.15,12,26
118,T117,T117,Jhonattan Vegas,60,46.15,12,26
119,120,132,Bud Cauley,61,45.83,11,24
120,T121,T99,Jim Furyk,53,45.45,10,22
121,T121,123,J.B. Holmes,54,45.45,5,11
122,T123,T109,Scott Stallings,63,45.16,14,31
123,T123,124,Vaughn Taylor,69,45.16,14,31
124,T125,T101,Julián Etulain,55,45.0,9,20
125,T125,T125,Cameron Smith,55,45.0,9,20
126,T127,T109,Wes Roach,45,44.44,8,18
127,T127,T127,Brady Schnell,38,44.44,4,9
128,T127,T107,Shawn Stefani,57,44.44,8,18
129,T130,T129,Daniel Berger,48,44.0,11,25
130,T130,122,Scott Brown,66,44.0,11,25
131,T130,T129,Hideki Matsuyama,59,44.0,11,25
132,133,T109,Denny McCarthy,63,43.75,7,16
133,T134,T134,Joel Dahmen,78,42.86,15,35
134,T134,T117,Jim Knous,55,42.86,6,14
135,T134,T134,Scott Piercy,70,42.86,9,21
136,T134,T134,Henrik Stenson,46,42.86,6,14
137,138,138,Graeme McDowell,61,42.31,11,26
138,T139,T139,Hank Lebioda,55,42.11,8,19
139,T139,T139,Martin Trainer,51,42.11,8,19
140,141,133,Nick Watney,67,41.94,13,31
141,T142,T141,Bryson DeChambeau,45,41.67,5,12
142,T142,T174,Jim Herman,37,41.67,5,12
143,T142,T141,Sungjae Im,88,41.67,10,24
144,T142,T141,Chez Reavie,67,41.67,5,12
145,146,T164,Nick Taylor,70,41.38,12,29
146,T147,T144,Corey Conners,62,41.18,7,17
147,T147,131,Kramer Hickok,59,41.18,7,17
148,T147,T144,Satoshi Kodaira,51,41.18,7,17
149,T147,T144,Ryan Moore,54,41.18,7,17
150,T147,T144,Ian Poulter,49,41.18,7,17
151,T147,T170,Johnson Wagner,45,41.18,7,17
152,153,149,Luke List,52,40.91,9,22
153,T154,T150,Ryan Armour,66,40.0,6,15
154,T154,T150,Austin Cook,50,40.0,14,35
155,T154,T150,Cameron Davis,54,40.0,4,10
156,T154,T150,Michael Kim,51,40.0,6,15
157,T154,T150,Keith Mitchell,64,40.0,8,20
158,T154,T150,Trey Mullinax,67,40.0,8,20
159,T154,T150,Pat Perez,52,40.0,10,25
160,T154,T150,Kyle Stanley,53,40.0,8,20
161,T154,T144,Bubba Watson,47,40.0,8,20
162,T163,186,Jonas Blixt,66,39.29,11,28
163,T163,159,Charles Howell III,64,39.29,11,28
164,T165,T160,Byeong Hun An,54,39.13,9,23
165,T165,T167,Dylan Frittelli,55,39.13,9,23
166,T165,T160,Ollie Schniederjans,63,39.13,9,23
167,168,T162,Kyoung-Hoon Lee,72,38.89,7,18
168,169,158,Kelly Kraft,67,38.24,13,34
169,T170,T167,Anders Albertson,48,38.1,8,21
170,T170,T167,Patrick Rodgers,44,38.1,8,21
171,T172,T170,Ernie Els,43,37.5,3,8
172,T172,T170,"Ted Potter, Jr.",56,37.5,9,24
173,T174,T180,Curtis Luck,51,36.84,7,19
174,T174,T162,Seth Reeves,52,36.84,7,19
175,176,T174,Jonathan Byrd,43,36.36,4,11
176,T177,T164,Dominic Bozzelli,53,35.71,5,14
177,T177,T176,Ryan Palmer,56,35.71,5,14
178,T177,T164,Josh Teater,47,35.71,5,14
179,T180,T189,Cody Gribble,52,35.29,6,17
180,T180,T170,Rod Pampling,40,35.29,6,17
181,T180,178,Aaron Wise,52,35.29,6,17
182,183,179,Aaron Baddeley,51,35.0,7,20
183,T184,T180,Tom Hoge,70,33.33,5,15
184,T184,T180,Andrew Landry,56,33.33,5,15
185,T184,T180,D.A. Points,33,33.33,2,6
186,T184,187,Adam Schenk,80,33.33,8,24
187,188,188,Paul Casey,51,31.58,6,19
188,T189,T189,Matthew Fitzpatrick,42,31.25,5,16
189,T189,T189,Tyrrell Hatton,46,31.25,5,16
190,T189,T176,Alex Prugh,54,31.25,5,16
191,T192,T199,Roberto Castro,54,30.77,4,13
192,T192,192,David Hearn,41,30.77,4,13
193,T194,T193,Lucas Bjerregaard,37,30.0,3,10
194,T194,T180,Joey Garber,44,30.0,3,10
195,T194,T193,J.J. Henry,42,30.0,6,20
196,T197,196,Tony Finau,61,29.63,8,27
197,T197,T180,J.J. Spaun,68,29.63,8,27
198,199,197,Matt Wallace,31,28.57,2,7
199,200,T193,Tyler Duncan,66,27.27,6,22
200,201,198,Peter Malnati,64,26.32,5,19
201,T202,205,Sangmoon Bae,42,25.0,2,8
202,T202,T199,Robert Streb,60,25.0,5,20
203,204,201,Carlos Ortiz,60,22.22,4,18
204,T205,T202,Brice Garnett,63,20.0,5,25
205,T205,T202,James Hahn,34,20.0,1,5
206,T205,T202,Brendan Steele,50,20.0,3,15
207,208,206,Cameron Champ,58,9.09,2,22
208,209,207,John Senden,39,8.33,1,12
