,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,T1,T1,Tommy Fleetwood,43,100.0,2.0,2
1,T1,T1,Phil Mickelson,41,100.0,4.0,4
2,T3,T4,Stewart Cink,33,80.0,4.0,5
3,T3,T6,Ben Crane,41,80.0,4.0,5
4,T3,T6,Curtis Luck,51,80.0,4.0,5
5,T3,T4,Andrew Putnam,57,80.0,4.0,5
6,7,T6,Roberto Díaz,51,75.0,6.0,8
7,8,9,Adam Schenk,80,72.73,8.0,11
8,9,T11,Webb Simpson,53,71.43,5.0,7
9,10,10,Ben Silverman,54,70.0,7.0,10
10,T11,3,Scott Brown,66,66.67,8.0,12
11,T11,T11,Trey Mullinax,67,66.67,4.0,6
12,T11,T11,D.A. Points,33,66.67,4.0,6
13,T11,T11,John Senden,39,66.67,4.0,6
14,T15,16,C.T. Pan,64,62.5,5.0,8
15,T15,T23,Seamus Power,58,62.5,5.0,8
16,T15,T25,Robert Streb,60,62.5,5.0,8
17,T18,T17,Byeong Hun An,54,60.0,3.0,5
18,T18,T17,John Chin,38,60.0,3.0,5
19,T18,T17,Denny McCarthy,63,60.0,9.0,15
20,T18,T17,Scott Stallings,63,60.0,6.0,10
21,T18,T17,Kyle Stanley,53,60.0,3.0,5
22,T23,T23,Cameron Champ,58,57.14,4.0,7
23,T23,T11,Rod Pampling,40,57.14,4.0,7
24,T25,T25,Ryan Armour,66,50.0,6.0,12
25,T25,T25,Dominic Bozzelli,53,50.0,3.0,6
26,T25,T25,Ernie Els,43,50.0,2.0,4
27,T25,T17,Joey Garber,44,50.0,3.0,6
28,T25,T25,Emiliano Grillo,65,50.0,4.0,8
29,T25,T25,James Hahn,34,50.0,1.0,2
30,T25,T25,Tyrrell Hatton,46,50.0,2.0,4
31,T25,T25,Russell Henley,56,50.0,3.0,6
32,T25,999,Shane Lowry,30,50.0,4.0,8
33,T25,T25,Rory McIlroy,50,50.0,4.0,8
34,T25,T25,Francesco Molinari,41,50.0,1.0,2
35,T25,T25,Kevin Na,54,50.0,2.0,4
36,T25,T25,Pat Perez,52,50.0,2.0,4
37,T25,T25,Patrick Rodgers,44,50.0,5.0,10
38,T25,T25,José de Jesús Rodríguez,51,50.0,2.0,4
39,T25,T25,Charl Schwartzel,34,50.0,1.0,2
40,T25,T25,Adam Scott,41,50.0,2.0,4
