,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,T1,Aaron Baddeley,51,100.0,2.0,2
1,T1,T1,Sangmoon Bae,42,100.0,1.0,1
2,T1,T1,Lucas Bjerregaard,37,100.0,2.0,2
3,T1,T1,Corey Conners,62,100.0,6.0,6
4,T1,T1,Bryson DeChambeau,45,100.0,4.0,4
5,T1,T1,Ernie Els,43,100.0,3.0,3
6,T1,T1,Jim Furyk,53,100.0,5.0,5
7,T1,T1,Brian Gay,79,100.0,3.0,3
8,T1,T1,James Hahn,34,100.0,1.0,1
9,T1,T1,Jim Herman,37,100.0,1.0,1
10,T1,T1,Charles Howell III,64,100.0,5.0,5
11,T1,T1,Freddie Jacobson,37,100.0,1.0,1
12,T1,T1,Stephan Jaeger,59,100.0,1.0,1
13,T1,T1,Si Woo Kim,65,100.0,5.0,5
14,T1,T1,Jason Kokrak,68,100.0,2.0,2
15,T1,T1,Trey Mullinax,67,100.0,3.0,3
16,T1,T1,Pat Perez,52,100.0,1.0,1
17,T1,T1,Sam Ryder,52,100.0,2.0,2
18,T1,T1,Charl Schwartzel,34,100.0,1.0,1
19,T1,T1,Adam Scott,41,100.0,1.0,1
20,T1,T1,John Senden,39,100.0,2.0,2
21,T1,T1,Robert Streb,60,100.0,3.0,3
22,T1,T1,Justin Thomas,49,100.0,4.0,4
23,T1,T1,D.J. Trahan,33,100.0,2.0,2
24,T1,T1,Cameron Tringale,52,100.0,5.0,5
25,T1,T1,Kevin Tway,62,100.0,5.0,5
26,T1,999,Tyrone Van Aswegen,30,100.0,1.0,1
27,T1,T1,Gary Woodland,63,100.0,6.0,6
28,T1,T1,Tiger Woods,31,100.0,1.0,1
29,30,30,Brian Stuard,76,90.0,9.0,10
30,T31,T35,Harris English,72,85.71,6.0,7
31,T31,T31,Hideki Matsuyama,59,85.71,6.0,7
32,T31,T31,Sam Saunders,53,85.71,6.0,7
33,T31,T31,Xander Schauffele,55,85.71,6.0,7
34,T31,T31,Vaughn Taylor,69,85.71,6.0,7
35,T36,T35,Cameron Davis,54,83.33,5.0,6
36,T36,T35,Max Homa,61,83.33,5.0,6
37,T36,T35,Matt Kuchar,65,83.33,5.0,6
38,T36,T35,Peter Malnati,64,83.33,5.0,6
39,T36,T35,Brandt Snedeker,68,83.33,5.0,6
40,T36,T35,Chase Wright,53,83.33,5.0,6
41,T42,T42,Rafa Cabrera Bello,57,80.0,4.0,5
42,T42,T42,Joel Dahmen,78,80.0,8.0,10
43,T42,T42,Tony Finau,61,80.0,4.0,5
44,T42,T42,Lucas Glover,62,80.0,4.0,5
45,T42,T42,Martin Kaymer,38,80.0,8.0,10
46,T42,T51,Whee Kim,57,80.0,8.0,10
47,T42,T42,Patton Kizzire,58,80.0,4.0,5
48,T42,T42,Scott Piercy,70,80.0,4.0,5
49,T42,T53,Webb Simpson,53,80.0,4.0,5
50,T42,T42,Adam Svensson,51,80.0,4.0,5
51,T42,T42,Martin Trainer,51,80.0,4.0,5
52,53,T51,Kevin Streelman,63,77.78,7.0,9
53,T54,T67,Roberto Castro,54,75.0,3.0,4
54,T54,T53,Stewart Cink,33,75.0,3.0,4
55,T54,T53,Jason Dufner,56,75.0,3.0,4
56,T54,T67,Joey Garber,44,75.0,3.0,4
57,T54,T53,Cody Gribble,52,75.0,3.0,4
58,T54,T53,Troy Merritt,42,75.0,3.0,4
59,T54,T53,Jon Rahm,51,75.0,3.0,4
60,T54,T53,Cameron Smith,55,75.0,3.0,4
61,T54,T53,Scott Stallings,63,75.0,3.0,4
62,63,61,Russell Knox,65,72.73,8.0,11
63,T64,T62,Abraham Ancer,69,71.43,5.0,7
64,T64,T62,Brice Garnett,63,71.43,5.0,7
65,T64,T62,J.T. Poston,76,71.43,5.0,7
66,T67,T67,Bill Haas,58,70.0,7.0,10
67,T67,T65,Andrew Landry,56,70.0,7.0,10
68,T67,T65,Justin Rose,42,70.0,7.0,10
69,T70,T94,Dominic Bozzelli,53,66.67,4.0,6
70,T70,T67,Bud Cauley,61,66.67,4.0,6
