,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Patrick Cantlay,49,69.2,173,250
1,2,4,Webb Simpson,53,67.92,199,293
2,3,2,Lucas Glover,62,67.69,220,325
3,4,3,Aaron Baddeley,51,67.68,222,328
4,5,8,Ryan Armour,66,66.33,262,395
5,6,5,Brian Stuard,76,66.23,304,459
6,7,7,Tommy Fleetwood,43,66.04,140,212
7,8,6,Jim Furyk,53,65.46,163,249
8,9,18,Matt Kuchar,65,65.28,188,288
9,10,9,Denny McCarthy,63,65.23,242,371
10,T11,25,Jonathan Byrd,43,65.06,175,269
11,T11,10,Hideki Matsuyama,59,65.06,203,312
12,T13,12,Si Woo Kim,65,64.77,250,386
13,T13,999,Tyrone Van Aswegen,30,64.77,125,193
14,15,17,Dustin Johnson,47,64.56,153,237
15,16,13,Bud Cauley,61,64.46,243,377
16,17,14,Ernie Els,43,64.26,160,249
17,18,15,Marc Leishman,52,64.21,174,271
18,19,16,Rory Sabbatini,71,64.15,263,410
19,20,27,Roberto Castro,54,64.14,195,304
20,21,26,Bubba Watson,47,63.87,152,238
21,22,19,Michael Thompson,56,63.84,226,354
22,23,T20,Russell Henley,56,63.79,192,301
23,24,22,Adam Scott,41,63.72,144,226
24,25,23,J.T. Poston,76,63.7,293,460
25,26,24,Francesco Molinari,41,63.68,149,234
26,27,28,Scott Piercy,70,63.51,221,348
27,28,11,D.J. Trahan,33,63.47,106,167
28,29,40,Stephan Jaeger,59,63.36,230,363
29,30,29,Justin Rose,42,63.14,149,236
30,31,31,Kiradech Aphibarnrat,49,63.01,201,319
31,32,32,Peter Malnati,64,62.96,255,405
32,33,T59,Graeme McDowell,61,62.89,222,353
33,T34,T20,Dylan Frittelli,55,62.82,196,312
34,T34,50,Brandt Snedeker,68,62.82,267,425
35,T34,54,Jimmy Walker,61,62.82,245,390
36,37,33,C.T. Pan,64,62.79,243,387
37,T38,53,Zach Johnson,50,62.76,214,341
38,T38,34,Matt Jones,67,62.76,241,384
39,40,42,Nate Lashley,44,62.71,148,236
40,41,35,Russell Knox,65,62.65,203,324
41,42,T74,Henrik Stenson,46,62.56,137,219
42,43,37,Sam Ryder,52,62.42,196,314
43,44,36,Sungjae Im,88,62.4,307,492
44,45,39,Xander Schauffele,55,62.37,179,287
45,46,44,Kevin Tway,62,62.28,208,334
46,47,45,Rickie Fowler,54,62.03,196,316
47,48,T46,Abraham Ancer,69,62.02,240,387
48,49,55,Cameron Tringale,52,62.01,173,279
49,T50,T48,Sung Kang,67,62.0,248,400
50,T50,T48,Jordan Spieth,57,62.0,217,350
51,52,51,Vaughn Taylor,69,61.97,264,426
52,53,77,Wes Roach,45,61.94,166,268
53,54,69,Mackenzie Hughes,58,61.93,218,352
54,55,T59,Sam Saunders,53,61.92,213,344
55,56,30,Julián Etulain,55,61.9,208,336
56,57,41,Brady Schnell,38,61.85,154,249
57,58,43,J.J. Henry,42,61.83,149,241
58,59,38,Anders Albertson,48,61.79,173,280
59,60,63,Brian Gay,79,61.72,308,499
60,61,56,Bryson DeChambeau,45,61.54,160,260
61,62,57,Louis Oosthuizen,43,61.5,139,226
62,63,T46,Roberto Díaz,51,61.46,185,301
63,64,58,Tony Finau,61,61.38,213,347
64,65,62,Rafa Cabrera Bello,57,61.27,212,346
65,66,64,Robert Streb,60,61.24,218,356
66,67,999,Martin Piller,30,61.17,126,206
67,68,66,Joey Garber,44,61.13,162,265
68,69,T59,Chris Stroud,54,60.98,211,346
69,70,116,Harris English,72,60.93,262,430
70,71,68,Jon Rahm,51,60.87,154,253
71,72,52,Cameron Davis,54,60.84,188,309
72,T73,T70,Kevin Kisner,65,60.83,205,337
73,T73,T70,Pat Perez,52,60.83,191,314
74,T75,T70,Ben Crane,41,60.82,163,268
75,T75,73,Jason Kokrak,68,60.82,222,365
76,77,76,Billy Horschel,73,60.73,232,382
77,78,78,John Huh,35,60.63,134,221
78,T79,T74,Fabián Gómez,44,60.61,160,264
79,T79,105,Justin Thomas,49,60.61,140,231
80,81,79,Charles Howell III,64,60.59,186,307
81,82,65,Shawn Stefani,57,60.58,189,312
82,83,80,Anirban Lahiri,54,60.57,212,350
83,T84,120,Brooks Koepka,49,60.54,135,223
84,T84,81,Charl Schwartzel,34,60.54,135,223
85,86,82,Max Homa,61,60.53,227,375
86,87,83,Curtis Luck,51,60.49,196,324
87,88,118,José de Jesús Rodríguez,51,60.47,208,344
88,89,67,Bill Haas,58,60.43,223,369
89,T90,T108,Danny Lee,66,60.31,237,393
90,T90,85,Adam Schenk,80,60.31,275,456
91,T90,84,Cameron Smith,55,60.31,196,325
92,T93,101,David Hearn,41,60.17,139,231
93,T93,86,Kevin Streelman,63,60.17,210,349
94,95,T98,Jonas Blixt,66,60.15,246,409
95,96,T87,Patrick Reed,53,60.13,184,306
96,97,T92,Talor Gooch,37,60.1,119,198
97,98,90,Chris Kirk,47,60.07,164,273
98,99,89,Scott Brown,66,60.05,227,378
99,T100,T92,Scott Langley,60,60.0,240,400
100,T100,T92,Haotong Li,32,60.0,108,180
101,T100,96,Trey Mullinax,67,60.0,219,365
102,T100,T92,Chez Reavie,67,60.0,207,345
103,T100,125,Harold Varner III,62,60.0,219,365
104,105,91,Seamus Power,58,59.9,236,394
105,106,100,Sangmoon Bae,42,59.85,155,259
106,107,T98,Tiger Woods,31,59.84,76,127
107,108,102,Ryan Blaum,67,59.77,257,430
108,T109,T103,Adam Long,52,59.76,196,328
109,T109,T87,Ben Silverman,54,59.76,199,333
110,111,138,Keegan Bradley,65,59.75,190,318
111,112,131,Ryan Palmer,56,59.72,169,283
112,113,114,Nick Taylor,70,59.71,246,412
113,114,106,Jhonattan Vegas,60,59.69,194,325
114,115,999,Shane Lowry,30,59.65,102,171
115,116,107,Martin Laird,60,59.63,192,322
116,117,T103,Kramer Hickok,59,59.6,211,354
117,118,110,Richy Werenski,63,59.59,233,391
118,119,T108,Andrew Landry,56,59.56,190,319
119,120,147,Adam Hadwin,66,59.52,222,373
120,121,T111,Martin Kaymer,38,59.47,157,264
121,122,97,Kyle Jones,49,59.43,189,318
122,T123,141,Joaquin Niemann,68,59.41,240,404
123,T123,115,Andrew Putnam,57,59.41,180,303
124,125,113,Dominic Bozzelli,53,59.38,190,320
125,126,117,Matt Wallace,31,59.31,121,204
126,127,124,Daniel Berger,48,59.29,185,312
127,128,129,Rory McIlroy,50,59.26,144,243
128,129,119,Jason Day,45,59.21,135,228
129,130,121,Troy Merritt,42,59.15,126,213
130,T131,T122,Ryan Moore,54,59.13,191,323
131,T131,T122,D.A. Points,33,59.13,136,230
132,T131,T111,J.J. Spaun,68,59.13,217,367
133,134,126,Paul Casey,51,58.98,151,256
134,135,127,Sam Burns,66,58.91,248,421
135,136,130,Kevin Na,54,58.84,173,294
136,137,140,Nick Watney,67,58.82,210,357
137,138,156,J.B. Holmes,54,58.78,164,279
138,139,135,Peter Uihlein,65,58.7,226,385
139,140,143,Brian Harman,67,58.68,267,455
140,141,134,Kyle Stanley,53,58.67,176,300
141,142,136,Joel Dahmen,78,58.65,261,445
142,143,132,Sergio Garcia,39,58.64,112,191
143,144,137,Ian Poulter,49,58.62,136,232
144,145,139,Chesson Hadley,58,58.54,209,357
145,146,128,Chase Wright,53,58.47,183,313
146,147,142,Josh Teater,47,58.46,152,260
147,148,145,Tom Hoge,70,58.29,246,422
148,149,144,Kyoung-Hoon Lee,72,58.21,227,390
149,150,133,Adam Svensson,51,58.16,171,294
150,151,T149,Ollie Schniederjans,63,58.11,240,413
151,152,148,Alex Cejka,41,58.1,147,253
152,153,146,Carlos Ortiz,60,57.99,196,338
153,154,T149,Patrick Rodgers,44,57.71,161,279
154,155,157,Jim Knous,55,57.63,170,295
155,156,T151,John Senden,39,57.62,121,210
156,157,162,Sebastián Muñoz,58,57.57,194,337
157,158,154,Johnson Wagner,45,57.51,134,233
158,T159,155,Patton Kizzire,58,57.45,212,369
159,T159,160,Scott Stallings,63,57.45,212,369
160,161,153,Martin Trainer,51,57.42,209,364
161,162,158,Wyndham Clark,61,57.37,218,380
162,163,170,Danny Willett,47,57.35,156,272
163,164,161,Whee Kim,57,57.1,193,338
164,165,159,Phil Mickelson,41,57.08,133,233
165,166,163,Roger Sloan,62,56.71,224,395
166,167,177,Chris Thompson,34,56.46,118,209
167,168,164,Beau Hossler,66,56.4,229,406
168,169,165,Gary Woodland,63,56.39,181,321
169,170,166,Emiliano Grillo,65,56.34,191,339
170,171,168,James Hahn,34,56.29,94,167
171,172,187,Rod Pampling,40,56.27,148,263
172,T173,169,Austin Cook,50,56.21,163,290
173,T173,174,Hank Lebioda,55,56.21,163,290
174,175,171,Bronson Burgoon,37,56.09,129,230
175,176,172,Keith Mitchell,64,56.07,194,346
176,177,173,Hunter Mahan,45,55.97,150,268
177,178,176,Charley Hoffman,58,55.82,187,335
178,179,167,Kelly Kraft,67,55.81,245,439
179,180,T184,Alex Noren,49,55.74,165,296
180,T181,181,Tyler Duncan,66,55.59,209,376
181,T181,178,Luke List,52,55.59,164,295
182,183,189,Jim Herman,37,55.47,137,247
183,184,179,Justin Harding,31,55.28,89,161
184,185,175,Corey Conners,62,55.14,161,292
185,186,180,Hudson Swafford,59,55.13,188,341
186,187,182,Matthew Fitzpatrick,42,55.08,141,256
187,188,183,Stewart Cink,33,54.69,105,192
188,189,T184,Byeong Hun An,54,54.55,168,308
189,190,188,Branden Grace,62,54.27,178,328
190,191,186,Seth Reeves,52,53.9,166,308
191,192,190,John Chin,38,53.74,115,214
192,193,191,Freddie Jacobson,37,53.57,135,252
193,194,194,Brendan Steele,50,53.48,146,273
194,195,193,Sepp Straka,48,53.33,144,270
195,196,192,Brice Garnett,63,53.14,186,350
196,197,197,Jason Dufner,56,53.04,157,296
197,198,T195,Alex Prugh,54,52.96,143,270
198,199,198,Brandon Harkins,67,52.93,208,393
199,200,200,"Ted Potter, Jr.",56,52.86,185,350
200,201,T195,Aaron Wise,52,52.57,143,272
201,202,205,Matt Every,38,52.48,106,202
202,203,199,Lucas Bjerregaard,37,52.43,97,185
203,204,207,Cody Gribble,52,52.15,182,349
204,205,201,Grayson Murray,36,51.46,123,239
205,206,202,Michael Kim,51,51.18,173,338
206,207,203,Cameron Champ,58,51.16,155,303
207,208,204,Satoshi Kodaira,51,50.91,168,330
208,209,206,Tyrrell Hatton,46,50.79,128,252
