,Scrambling_20-30_yds_RTP_Score_RANK THIS WEEK,Scrambling_20-30_yds_RTP_Score_RANK LAST WEEK,Scrambling_20-30_yds_RTP_Score_PLAYER NAME,Scrambling_20-30_yds_RTP_Score_ROUNDS,Scrambling_20-30_yds_RTP_Score_AVG RTP,Scrambling_20-30_yds_RTP_Score_TOTAL HOLES,Scrambling_20-30_yds_RTP_Score_TOTAL RTP
0,1,1,Haotong Li,32,0.188,16,3.0
1,2,2,Patrick Cantlay,49,0.222,18,4.0
2,3,3,Lucas Bjerregaard,37,0.23800000000000002,21,5.0
3,4,4,Tiger Woods,31,0.273,11,3.0
4,5,999,Martin Piller,30,0.294,34,10.0
5,6,6,Lucas Glover,62,0.303,66,20.0
6,7,7,Matt Wallace,31,0.308,26,8.0
7,T8,10,Ryan Armour,66,0.313,64,20.0
8,T8,8,Mackenzie Hughes,58,0.313,48,15.0
9,10,9,Adam Svensson,51,0.324,37,12.0
10,11,12,Jordan Spieth,57,0.32799999999999996,58,19.0
11,12,13,Matt Kuchar,65,0.33299999999999996,48,16.0
12,13,14,Chris Stroud,54,0.345,58,20.0
13,14,15,Si Woo Kim,65,0.35,40,14.0
14,15,16,Russell Henley,56,0.35100000000000003,37,13.0
15,T16,17,Chesson Hadley,58,0.35200000000000004,54,19.0
16,T16,25,Jimmy Walker,61,0.35200000000000004,54,19.0
17,18,5,Matt Every,38,0.355,31,11.0
18,T19,T18,Bronson Burgoon,37,0.35700000000000004,28,10.0
19,T19,T18,Marc Leishman,52,0.35700000000000004,28,10.0
20,21,20,Jon Rahm,51,0.36,25,9.0
21,T22,21,Ernie Els,43,0.361,36,13.0
22,T22,T23,Cameron Tringale,52,0.361,36,13.0
23,T24,11,Julián Etulain,55,0.36200000000000004,47,17.0
24,T24,22,Rickie Fowler,54,0.36200000000000004,47,17.0
25,26,T23,Justin Rose,42,0.364,22,8.0
26,27,T47,Ben Crane,41,0.368,38,14.0
27,28,26,Adam Scott,41,0.375,32,12.0
28,T29,27,Abraham Ancer,69,0.38799999999999996,49,19.0
29,T29,31,Jim Furyk,53,0.38799999999999996,49,19.0
30,31,28,Justin Harding,31,0.389,18,7.0
31,32,29,Grayson Murray,36,0.391,23,9.0
32,33,T45,Sebastián Muñoz,58,0.392,51,20.0
33,34,30,Matt Jones,67,0.39399999999999996,66,26.0
34,35,38,Curtis Luck,51,0.395,43,17.0
35,36,61,Webb Simpson,53,0.396,53,21.0
36,T37,T32,Jason Day,45,0.4,20,8.0
