,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,T1,1,Bud Cauley,61,"6' 3""",1865.0829999999999,297
1,T1,2,Webb Simpson,53,"6' 3""",1473.6670000000001,235
2,T3,T3,Lucas Glover,62,"6' 9""",1837.1670000000001,273
3,T3,T3,Charles Howell III,64,"6' 9""",1451.9170000000001,216
4,T5,T3,Rory McIlroy,50,"6' 11""",1058.833,153
5,T5,6,Brandt Snedeker,68,"6' 11""",2016.75,293
6,T7,T7,Patrick Cantlay,49,"7' 0""",1161.5,165
7,T7,T7,Kevin Streelman,63,"7' 0""",1905.25,273
8,T9,T9,Dustin Johnson,47,"7' 1""",1156.0,163
9,T9,T9,Francesco Molinari,41,"7' 1""",1040.417,147
10,T9,T9,Brian Stuard,76,"7' 1""",2319.833,328
11,12,999,Shane Lowry,30,"7' 2""",848.8330000000001,119
12,T13,T16,Ryan Armour,66,"7' 3""",2132.583,294
13,T13,12,Roberto Castro,54,"7' 3""",1667.0829999999999,229
14,T13,T13,Hideki Matsuyama,59,"7' 3""",1567.4170000000001,217
15,T13,T13,Charl Schwartzel,34,"7' 3""",666.5,92
16,T13,T32,Justin Thomas,49,"7' 3""",1096.333,151
17,T13,T13,Michael Thompson,56,"7' 3""",2151.75,296
18,T19,T16,Russell Knox,65,"7' 4""",1743.0829999999999,239
19,T19,T16,Matt Wallace,31,"7' 4""",931.5830000000001,127
20,T21,T19,Byeong Hun An,54,"7' 5""",1573.5829999999999,212
21,T21,T19,Paul Casey,51,"7' 5""",1187.667,161
22,T21,T19,Ernie Els,43,"7' 5""",1245.833,168
23,T21,T19,Tommy Fleetwood,43,"7' 5""",1115.333,150
24,T21,T27,Sungjae Im,88,"7' 5""",2658.417,357
25,T21,T19,Phil Mickelson,41,"7' 5""",1264.167,171
26,T21,T19,Rory Sabbatini,71,"7' 5""",2344.917,316
27,T28,T27,Martin Kaymer,38,"7' 6""",1545.5,205
28,T28,T27,Louis Oosthuizen,43,"7' 6""",1181.667,157
29,T28,T19,Henrik Stenson,46,"7' 6""",1293.667,173
30,T28,999,Tyrone Van Aswegen,30,"7' 6""",804.25,107
31,T28,T27,Tiger Woods,31,"7' 6""",688.3330000000001,92
32,T33,T79,Jonathan Byrd,43,"7' 7""",1350.9170000000001,178
33,T33,T32,Zach Johnson,50,"7' 7""",2000.0829999999999,263
34,T33,T32,Chris Kirk,47,"7' 7""",1451.25,192
35,T33,T32,Marc Leishman,52,"7' 7""",1323.5,174
36,T33,T19,Kevin Tway,62,"7' 7""",1790.75,236
37,T38,T36,Aaron Baddeley,51,"7' 8""",1714.3329999999999,223
38,T38,T36,Keegan Bradley,65,"7' 8""",1598.5,209
39,T38,T36,Jim Furyk,53,"7' 8""",1571.0,205
40,T38,T36,Branden Grace,62,"7' 8""",1638.5,214
41,T38,T46,Stephan Jaeger,59,"7' 8""",1894.5829999999999,247
42,T38,T36,Cameron Smith,55,"7' 8""",1518.3329999999999,197
43,T38,T27,Shawn Stefani,57,"7' 8""",1519.1670000000001,198
44,T38,T36,Chris Stroud,54,"7' 8""",1992.4170000000001,261
45,T38,T36,Cameron Tringale,52,"7' 8""",1419.3329999999999,186
46,T47,T46,Rickie Fowler,54,"7' 9""",1785.5829999999999,231
47,T47,T46,Matt Jones,67,"7' 9""",1988.4170000000001,256
48,T47,T46,Patton Kizzire,58,"7' 9""",1701.1670000000001,219
49,T47,T53,Hank Lebioda,55,"7' 9""",1600.5829999999999,206
50,T47,T53,Denny McCarthy,63,"7' 9""",2114.083,273
51,T47,T53,Joaquin Niemann,68,"7' 9""",2245.5,289
52,T47,T36,Seamus Power,58,"7' 9""",2154.5,278
53,T47,T46,Adam Svensson,51,"7' 9""",1605.1670000000001,207
54,T47,T46,Chris Thompson,34,"7' 9""",953.6669999999999,123
55,T47,T36,Nick Watney,67,"7' 9""",1937.75,251
56,T57,T53,Si Woo Kim,65,"7' 10""",1817.25,233
57,T57,T36,Brooks Koepka,49,"7' 10""",1076.25,138
58,T57,T53,Haotong Li,32,"7' 10""",825.0830000000001,105
59,T57,T53,Ryan Moore,54,"7' 10""",1904.0,243
60,T57,T53,C.T. Pan,64,"7' 10""",2045.6670000000001,261
61,T57,T53,Pat Perez,52,"7' 10""",1384.5,177
62,T57,T61,Robert Streb,60,"7' 10""",1952.4170000000001,250
63,T57,T66,Peter Uihlein,65,"7' 10""",1985.25,254
64,T57,T46,Jimmy Walker,61,"7' 10""",2151.5,275
65,T66,T61,Jason Kokrak,68,"7' 11""",2182.417,275
66,T66,T61,Jon Rahm,51,"7' 11""",1339.25,169
67,T66,T66,J.J. Spaun,68,"7' 11""",2071.333,261
68,T69,T73,Alex Cejka,41,"8' 0""",1378.8329999999999,172
69,T69,T61,Bill Haas,58,"8' 0""",2280.167,285
70,T69,T73,Russell Henley,56,"8' 0""",1893.0,237
71,T69,T66,Kyoung-Hoon Lee,72,"8' 0""",1994.6670000000001,249
72,T69,T66,Adam Long,52,"8' 0""",1975.8329999999999,247
73,T69,T66,John Senden,39,"8' 0""",1046.25,131
74,T75,T73,Rafa Cabrera Bello,57,"8' 1""",1821.0,226
75,T75,T61,Julián Etulain,55,"8' 1""",1866.5,232
76,T75,T96,Jim Herman,37,"8' 1""",1428.6670000000001,177
77,T75,T66,Tom Hoge,70,"8' 1""",2146.5,265
78,T75,T73,John Huh,35,"8' 1""",1254.833,156
79,T75,T79,Nate Lashley,44,"8' 1""",1326.9170000000001,165
80,T75,T73,Peter Malnati,64,"8' 1""",2659.75,328
81,T75,T79,Scott Piercy,70,"8' 1""",2005.0,248
82,T75,T73,Adam Scott,41,"8' 1""",1136.917,140
83,T84,T104,Harris English,72,"8' 2""",2579.417,315
84,T84,T79,Tony Finau,61,"8' 2""",1854.4170000000001,227
85,T84,T66,Dylan Frittelli,55,"8' 2""",1929.5829999999999,236
86,T84,T89,Fabián Gómez,44,"8' 2""",1413.8329999999999,173
87,T84,T104,Mackenzie Hughes,58,"8' 2""",2158.667,264
88,T84,T79,Scott Langley,60,"8' 2""",2578.667,316
89,T84,T79,J.T. Poston,76,"8' 2""",3167.917,388
90,T84,T79,Chez Reavie,67,"8' 2""",1869.5829999999999,229
91,T84,T79,Justin Rose,42,"8' 2""",1164.25,142
92,T84,T89,Scott Stallings,63,"8' 2""",2238.417,275
93,T84,T79,Gary Woodland,63,"8' 2""",1754.6670000000001,214
94,T95,T104,Jonas Blixt,66,"8' 3""",2579.583,313
95,T95,T89,Bronson Burgoon,37,"8' 3""",1326.3329999999999,161
96,T95,T89,Sergio Garcia,39,"8' 3""",1344.25,163
97,T95,T96,Kramer Hickok,59,"8' 3""",1867.1670000000001,226
98,T95,T96,Matt Kuchar,65,"8' 3""",1866.75,226
99,T95,T89,Anirban Lahiri,54,"8' 3""",2234.083,272
100,T95,T89,Patrick Reed,53,"8' 3""",1775.9170000000001,215
101,T95,T96,Sam Saunders,53,"8' 3""",2320.333,280
102,T95,T89,Xander Schauffele,55,"8' 3""",1428.3329999999999,174
103,T104,T118,Ben Crane,41,"8' 4""",1260.833,152
104,T104,T96,Bryson DeChambeau,45,"8' 4""",1752.3329999999999,211
105,T104,T96,Jason Dufner,56,"8' 4""",1714.0,206
106,T104,T113,J.B. Holmes,54,"8' 4""",1377.5829999999999,165
107,T104,T96,Luke List,52,"8' 4""",1924.0,230
108,T104,T96,Ian Poulter,49,"8' 4""",1295.083,155
109,T104,T126,D.J. Trahan,33,"8' 4""",727.5830000000001,87
110,T111,T104,Stewart Cink,33,"8' 5""",971.75,116
111,T111,T104,Matthew Fitzpatrick,42,"8' 5""",1367.5829999999999,162
112,T111,T126,Danny Lee,66,"8' 5""",2552.333,302
113,T111,T104,Kevin Na,54,"8' 5""",1513.8329999999999,179
114,T111,T113,Wes Roach,45,"8' 5""",1313.0,156
115,T111,T104,Sam Ryder,52,"8' 5""",1864.6670000000001,221
116,T111,T104,Nick Taylor,70,"8' 5""",2924.0,346
117,T111,T126,Harold Varner III,62,"8' 5""",2424.667,289
118,T119,T126,Brian Harman,67,"8' 6""",2627.333,310
119,T119,T113,Sung Kang,67,"8' 6""",2628.333,308
120,T119,T113,Michael Kim,51,"8' 6""",1752.4170000000001,207
121,T119,T113,Vaughn Taylor,69,"8' 6""",2867.917,338
122,T119,T79,Bubba Watson,47,"8' 6""",1683.5,199
123,T124,T118,Abraham Ancer,69,"8' 7""",2444.583,286
124,T124,T118,Ryan Blaum,67,"8' 7""",2740.333,319
125,T124,T136,Jim Knous,55,"8' 7""",1753.5,205
126,T124,T126,Martin Laird,60,"8' 7""",2183.083,255
127,T124,T118,Andrew Landry,56,"8' 7""",2155.667,252
128,T124,T143,Sebastián Muñoz,58,"8' 7""",1887.5829999999999,220
129,T124,T126,Alex Noren,49,"8' 7""",1691.5,198
130,T124,T136,Carlos Ortiz,60,"8' 7""",2172.25,254
131,T124,T118,Jordan Spieth,57,"8' 7""",2171.0,254
132,T124,T118,Hudson Swafford,59,"8' 7""",2165.167,252
133,T124,T136,Richy Werenski,63,"8' 7""",2545.667,296
134,T135,T136,Wyndham Clark,61,"8' 8""",2280.333,262
135,T135,T149,Matt Every,38,"8' 8""",1156.667,133
136,T135,T126,Max Homa,61,"8' 8""",2525.25,292
137,T135,T136,Graeme McDowell,61,"8' 8""",2070.833,240
138,T135,T126,Troy Merritt,42,"8' 8""",1460.0829999999999,169
139,T135,T126,Patrick Rodgers,44,"8' 8""",1762.75,204
140,T141,T118,Scott Brown,66,"8' 9""",2517.25,289
141,T141,T169,Tyler Duncan,66,"8' 9""",2193.667,250
142,T141,T143,Brian Gay,79,"8' 9""",3092.167,354
143,T141,T149,Trey Mullinax,67,"8' 9""",2257.667,258
144,T141,T143,Ollie Schniederjans,63,"8' 9""",2379.417,272
145,T141,T136,Aaron Wise,52,"8' 9""",1514.5829999999999,173
146,T147,T118,Brice Garnett,63,"8' 10""",2120.5,240
147,T147,T169,Adam Hadwin,66,"8' 10""",2275.417,258
148,T147,T149,Brandon Harkins,67,"8' 10""",2400.167,271
149,T147,T143,Tyrrell Hatton,46,"8' 10""",1346.5,153
150,T147,T104,Kyle Jones,49,"8' 10""",1945.25,220
151,T147,T178,Danny Willett,47,"8' 10""",1751.5829999999999,198
152,T153,T149,Jason Day,45,"8' 11""",1162.0,130
153,T153,T149,Talor Gooch,37,"8' 11""",1306.667,147
154,T153,T149,Emiliano Grillo,65,"8' 11""",2020.8329999999999,226
155,T153,T149,Chesson Hadley,58,"8' 11""",2140.583,241
156,T153,T149,James Hahn,34,"8' 11""",677.6669999999999,76
157,T153,T149,J.J. Henry,42,"8' 11""",1376.4170000000001,155
158,T153,T149,Charley Hoffman,58,"8' 11""",1696.8329999999999,191
159,T153,T126,Brady Schnell,38,"8' 11""",1440.0,161
160,T153,T136,Roger Sloan,62,"8' 11""",2480.667,279
161,T153,T149,Chase Wright,53,"8' 11""",1961.5,220
162,T163,188,Cody Gribble,52,"9' 0""",2308.833,256
163,T163,T160,José de Jesús Rodríguez,51,"9' 0""",2025.25,226
164,T163,T143,Sepp Straka,48,"9' 0""",1558.9170000000001,174
165,T166,T160,Freddie Jacobson,37,"9' 1""",1390.1670000000001,153
166,T166,T160,Satoshi Kodaira,51,"9' 1""",1964.9170000000001,217
167,T166,T160,Grayson Murray,36,"9' 1""",1324.5829999999999,146
168,T166,T178,Ryan Palmer,56,"9' 1""",1753.3329999999999,193
169,T166,T182,Rod Pampling,40,"9' 1""",1554.1670000000001,171
