,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Louis Oosthuizen,43,-.273,11,-3.00
1,2,2,Troy Merritt,42,-.235,17,-4.00
2,3,999,Shane Lowry,30,-.231,13,-3.00
3,4,3,Josh Teater,47,-.211,19,-4.00
4,T5,T5,Justin Harding,31,-.200,5,-1.00
5,T5,T5,Charl Schwartzel,34,-.200,5,-1.00
6,7,9,Russell Knox,65,-.190,21,-4.00
7,T8,4,J.B. Holmes,54,-.188,16,-3.00
8,T8,T10,Chris Kirk,47,-.188,16,-3.00
9,10,12,Justin Rose,42,-.182,11,-2.00
10,11,T19,Roberto Díaz,51,-.176,17,-3.00
11,T12,T13,Aaron Baddeley,51,-.167,12,-2.00
12,T12,T5,Martin Laird,60,-.167,12,-2.00
13,T12,T13,Jon Rahm,51,-.167,24,-4.00
14,T12,T5,Chris Thompson,34,-.167,12,-2.00
15,16,T19,Sepp Straka,48,-.150,20,-3.00
16,17,16,Sam Burns,66,-.148,27,-4.00
17,18,17,Matt Wallace,31,-.143,14,-2.00
18,19,18,Rory Sabbatini,71,-.138,29,-4.00
19,20,T32,Richy Werenski,63,-.136,22,-3.00
20,21,T21,Emiliano Grillo,65,-.125,16,-2.00
21,22,T10,Aaron Wise,52,-.118,17,-2.00
22,T23,T23,Wyndham Clark,61,-.111,18,-2.00
23,T23,T23,Ollie Schniederjans,63,-.111,18,-2.00
24,T25,34,Zach Johnson,50,-.107,28,-3.00
25,T25,26,Brian Stuard,76,-.107,28,-3.00
26,T27,T21,Anders Albertson,48,-.105,19,-2.00
27,T27,T27,Adam Svensson,51,-.105,19,-2.00
28,T29,T29,Haotong Li,32,-.100,10,-1.00
29,T29,T29,Ian Poulter,49,-.100,10,-1.00
30,T29,T29,Patrick Reed,53,-.100,20,-2.00
31,T32,T68,Jonathan Byrd,43,-.091,11,-1.00
32,T32,T52,Ryan Palmer,56,-.091,22,-2.00
33,T32,T23,Henrik Stenson,46,-.091,22,-2.00
34,35,T27,Scott Langley,60,-.087,23,-2.00
35,36,T57,Brandt Snedeker,68,-.080,25,-2.00
36,T37,T36,Bronson Burgoon,37,-.077,13,-1.00
37,T37,T36,J.J. Henry,42,-.077,13,-1.00
38,T37,T68,Nate Lashley,44,-.077,13,-1.00
39,T40,35,Scott Brown,66,-.074,27,-2.00
40,T40,T57,Graeme McDowell,61,-.074,27,-2.00
41,T42,61,Stephan Jaeger,59,-.071,28,-2.00
42,T42,T39,Anirban Lahiri,54,-.071,28,-2.00
43,T42,T39,Kyoung-Hoon Lee,72,-.071,14,-1.00
44,T45,T42,Martin Kaymer,38,-.067,15,-1.00
45,T45,T42,Pat Perez,52,-.067,15,-1.00
46,T47,47,Ryan Blaum,67,-.065,31,-2.00
47,T47,T36,Brian Gay,79,-.065,31,-2.00
48,T47,T42,Peter Malnati,64,-.065,31,-2.00
49,50,T42,Scott Piercy,70,-.063,16,-1.00
50,T51,T48,Rickie Fowler,54,-.059,17,-1.00
51,T51,15,Peter Uihlein,65,-.059,17,-1.00
52,T51,T48,Tiger Woods,31,-.059,17,-1.00
53,T54,51,Kiradech Aphibarnrat,49,-.056,18,-1.00
54,T54,T68,Alex Prugh,54,-.056,18,-1.00
55,56,T52,Charley Hoffman,58,-.053,19,-1.00
56,57,54,Cameron Smith,55,-.050,20,-1.00
57,58,T55,Hudson Swafford,59,-.045,22,-1.00
58,T59,T48,Dominic Bozzelli,53,-.043,23,-1.00
59,T59,T32,Alex Cejka,41,-.043,23,-1.00
60,T59,T68,Matt Kuchar,65,-.043,23,-1.00
61,T62,60,Andrew Landry,56,-.042,24,-1.00
62,T62,T55,Seth Reeves,52,-.042,24,-1.00
63,64,59,Kyle Jones,49,-.040,25,-1.00
64,65,T62,Joel Dahmen,78,-.038,26,-1.00
65,66,T65,Tom Hoge,70,-.033,30,-1.00
66,T67,64,Keegan Bradley,65,-.032,31,-1.00
67,T67,T62,Harris English,72,-.032,31,-1.00
68,69,T68,Sam Saunders,53,-.031,32,-1.00
69,70,T68,Jonas Blixt,66,-.029,35,-1.00
70,T71,T68,Abraham Ancer,69,E,26,E
71,T71,T118,Ryan Armour,66,E,31,E
72,T71,T68,Lucas Bjerregaard,37,E,9,E
73,T71,T68,Patrick Cantlay,49,E,21,E
74,T71,T68,Bud Cauley,61,E,24,E
75,T71,T68,Cameron Champ,58,E,23,E
76,T71,T68,John Chin,38,E,12,E
77,T71,T39,Corey Conners,62,E,17,E
78,T71,T68,Ben Crane,41,E,13,E
79,T71,T68,Jason Day,45,E,11,E
80,T71,T68,Jason Dufner,56,E,15,E
81,T71,T68,Dylan Frittelli,55,E,22,E
82,T71,T68,Joey Garber,44,E,12,E
83,T71,T68,Sergio Garcia,39,E,22,E
84,T71,T68,Fabián Gómez,44,E,18,E
85,T71,67,Bill Haas,58,E,38,E
86,T71,T68,Brandon Harkins,67,E,21,E
87,T71,T68,Beau Hossler,66,E,20,E
88,T71,T65,Sungjae Im,88,E,33,E
89,T71,T68,Dustin Johnson,47,E,21,E
90,T71,T68,Si Woo Kim,65,E,22,E
91,T71,T68,Michael Kim,51,E,14,E
92,T71,T68,Marc Leishman,52,E,16,E
93,T71,T141,Curtis Luck,51,E,16,E
94,T71,T68,Hunter Mahan,45,E,15,E
95,T71,T68,Hideki Matsuyama,59,E,25,E
96,T71,T68,Phil Mickelson,41,E,19,E
97,T71,T68,Francesco Molinari,41,E,15,E
98,T71,T68,C.T. Pan,64,E,30,E
99,T71,999,Martin Piller,30,E,6,E
100,T71,T68,José de Jesús Rodríguez,51,E,22,E
101,T71,T68,Adam Scott,41,E,10,E
102,T71,T68,Robert Streb,60,E,21,E
103,T71,T42,Justin Thomas,49,E,22,E
104,T71,T68,D.J. Trahan,33,E,4,E
105,T71,999,Tyrone Van Aswegen,30,E,13,E
106,T71,T68,Harold Varner III,62,E,27,E
107,T71,T68,Jhonattan Vegas,60,E,22,E
108,T71,T68,Jimmy Walker,61,E,17,E
109,T71,T68,Nick Watney,67,E,20,E
110,T71,158,Danny Willett,47,E,21,E
111,112,116,Sung Kang,67,+.025,40,+1.00
112,113,T68,Adam Schenk,80,+.029,35,+1.00
113,114,117,Joaquin Niemann,68,+.030,33,+1.00
114,115,T120,Trey Mullinax,67,+.034,29,+1.00
115,T116,T118,Lucas Glover,62,+.036,28,+1.00
116,T116,T68,Carlos Ortiz,60,+.036,28,+1.00
117,T118,T68,Tyler Duncan,66,+.037,27,+1.00
118,T118,122,Russell Henley,56,+.037,27,+1.00
119,T118,T68,Bubba Watson,47,+.037,27,+1.00
