,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,Pat Perez,52,0.22399999999999998,85,19.0
1,2,2,Adam Scott,41,0.228,57,13.0
2,3,3,Jonathan Byrd,43,0.233,103,24.0
3,4,4,Jim Furyk,53,0.267,101,27.0
4,5,5,Ernie Els,43,0.282,78,22.0
5,6,8,Lucas Glover,62,0.3,110,33.0
6,7,9,Brian Stuard,76,0.303,142,43.0
7,8,T10,Paul Casey,51,0.304,56,17.0
8,9,12,Chez Reavie,67,0.307,114,35.0
9,10,T10,Russell Henley,56,0.308,107,33.0
10,11,6,Roberto Castro,54,0.309,110,34.0
11,12,T13,Jhonattan Vegas,60,0.315,124,39.0
12,13,T16,Dustin Johnson,47,0.316,79,25.0
13,T14,21,Ryan Armour,66,0.317,126,40.0
14,T14,7,Daniel Berger,48,0.317,101,32.0
15,T14,30,Webb Simpson,53,0.317,104,33.0
16,17,T16,Jordan Spieth,57,0.319,119,38.0
17,18,T13,Denny McCarthy,63,0.321,134,43.0
18,19,T18,Xander Schauffele,55,0.32299999999999995,62,20.0
19,20,22,Josh Teater,47,0.33,100,33.0
20,21,T23,Charl Schwartzel,34,0.33299999999999996,78,26.0
21,22,26,Patrick Cantlay,49,0.33799999999999997,77,26.0
22,T23,T27,Tommy Fleetwood,43,0.33899999999999997,56,19.0
23,T23,T27,Haotong Li,32,0.33899999999999997,56,19.0
24,25,T23,Kevin Tway,62,0.34,94,32.0
25,26,15,J.J. Spaun,68,0.34700000000000003,101,35.0
26,T27,T18,J.J. Henry,42,0.348,69,24.0
27,T27,25,Nate Lashley,44,0.348,89,31.0
28,T29,T34,Kiradech Aphibarnrat,49,0.35200000000000004,71,25.0
29,T29,37,Curtis Luck,51,0.35200000000000004,122,43.0
30,T29,T34,Justin Rose,42,0.35200000000000004,71,25.0
31,T32,20,Julián Etulain,55,0.355,110,39.0
32,T32,47,Rory McIlroy,50,0.355,76,27.0
33,T34,36,Alex Cejka,41,0.35600000000000004,90,32.0
34,T34,T27,Talor Gooch,37,0.35600000000000004,73,26.0
35,T34,38,Hideki Matsuyama,59,0.35600000000000004,73,26.0
36,37,33,Roberto Díaz,51,0.36,125,45.0
37,T38,T44,Peter Malnati,64,0.36200000000000004,174,63.0
38,T38,40,Scott Piercy,70,0.36200000000000004,116,42.0
39,40,41,Tony Finau,61,0.366,112,41.0
40,41,50,Rod Pampling,40,0.371,89,33.0
41,42,T44,Andrew Putnam,57,0.375,104,39.0
42,43,61,Mackenzie Hughes,58,0.376,125,47.0
43,T44,T31,Brady Schnell,38,0.37799999999999995,90,34.0
44,T44,48,Tiger Woods,31,0.37799999999999995,37,14.0
45,46,39,Kramer Hickok,59,0.38,121,46.0
46,47,49,Rafa Cabrera Bello,57,0.381,84,32.0
47,48,T53,Abraham Ancer,69,0.386,127,49.0
48,T49,43,Bud Cauley,61,0.389,126,49.0
49,T49,T64,Graeme McDowell,61,0.389,113,44.0
50,T51,T56,Rickie Fowler,54,0.39,100,39.0
51,T51,T88,Harold Varner III,62,0.39,159,62.0
52,T53,T58,Aaron Baddeley,51,0.391,138,54.0
53,T53,T58,Rory Sabbatini,71,0.391,151,59.0
54,T53,T58,Michael Thompson,56,0.391,115,45.0
55,T56,T44,Kelly Kraft,67,0.39299999999999996,135,53.0
56,T56,T53,Nick Watney,67,0.39299999999999996,122,48.0
57,T58,T64,Charley Hoffman,58,0.396,91,36.0
58,T58,62,Sungjae Im,88,0.396,164,65.0
59,T58,T31,D.J. Trahan,33,0.396,53,21.0
60,T58,55,Richy Werenski,63,0.396,144,57.0
61,T62,T66,Adam Long,52,0.397,121,48.0
62,T62,T66,John Senden,39,0.397,78,31.0
63,T62,52,Nick Taylor,70,0.397,156,62.0
64,T65,T96,Sangmoon Bae,42,0.39799999999999996,93,37.0
65,T65,51,Bill Haas,58,0.39799999999999996,118,47.0
66,T65,68,Cameron Smith,55,0.39799999999999996,88,35.0
67,68,42,Jonas Blixt,66,0.39899999999999997,163,65.0
68,T69,T69,Marc Leishman,52,0.4,65,26.0
69,T69,999,Martin Piller,30,0.4,80,32.0
70,T69,T69,Vaughn Taylor,69,0.4,145,58.0
71,72,T93,Stephan Jaeger,59,0.40299999999999997,129,52.0
72,T73,999,Shane Lowry,30,0.40399999999999997,57,23.0
73,T73,T99,Jimmy Walker,61,0.40399999999999997,114,46.0
74,T73,73,Matt Wallace,31,0.40399999999999997,47,19.0
75,T76,63,Carlos Ortiz,60,0.405,121,49.0
76,T76,83,Robert Streb,60,0.405,121,49.0
77,T78,76,Matt Jones,67,0.40700000000000003,145,59.0
78,T78,T69,Chris Stroud,54,0.40700000000000003,118,48.0
79,80,T77,Russell Knox,65,0.408,98,40.0
80,T81,T79,Chesson Hadley,58,0.409,127,52.0
81,T81,T79,Kevin Kisner,65,0.409,127,52.0
82,T81,T79,Brendan Steele,50,0.409,93,38.0
83,84,T56,Bubba Watson,47,0.41100000000000003,73,30.0
84,85,T84,Hunter Mahan,45,0.41200000000000003,85,35.0
85,86,T84,Austin Cook,50,0.413,75,31.0
86,T87,T88,Troy Merritt,42,0.415,65,27.0
87,T87,999,Tyrone Van Aswegen,30,0.415,82,34.0
88,T89,T79,Joey Garber,44,0.41600000000000004,101,42.0
89,T89,T91,Si Woo Kim,65,0.41600000000000004,113,47.0
90,T89,T88,Joaquin Niemann,68,0.41600000000000004,125,52.0
91,T89,87,Wes Roach,45,0.41600000000000004,89,37.0
92,T89,T91,Sam Ryder,52,0.41600000000000004,101,42.0
93,94,T106,Seamus Power,58,0.418,122,51.0
94,95,T96,Louis Oosthuizen,43,0.419,74,31.0
95,96,98,Jason Kokrak,68,0.42100000000000004,121,51.0
96,97,72,Jim Knous,55,0.42200000000000004,102,43.0
97,T98,T103,Ryan Blaum,67,0.424,165,70.0
98,T98,T103,Max Homa,61,0.424,139,59.0
99,100,T109,Whee Kim,57,0.425,106,45.0
100,T101,95,Brian Gay,79,0.426,148,63.0
101,T101,T131,Brandt Snedeker,68,0.426,115,49.0
102,T103,T106,Keith Mitchell,64,0.42700000000000005,96,41.0
103,T103,T99,Cameron Tringale,52,0.42700000000000005,110,47.0
104,T105,T99,Fabián Gómez,44,0.43,107,46.0
105,T105,T122,Matt Kuchar,65,0.43,93,40.0
106,T105,75,Danny Willett,47,0.43,107,46.0
107,T108,T112,Wyndham Clark,61,0.431,160,69.0
108,T108,T109,J.T. Poston,76,0.431,144,62.0
109,T108,T93,Shawn Stefani,57,0.431,109,47.0
110,111,111,Ryan Moore,54,0.43200000000000005,81,35.0
111,112,T112,Jason Day,45,0.434,76,33.0
112,113,115,Justin Harding,31,0.435,23,10.0
113,114,T84,Justin Thomas,49,0.436,55,24.0
114,115,116,Branden Grace,62,0.43799999999999994,89,39.0
115,116,151,Danny Lee,66,0.439,148,65.0
116,117,102,Adam Svensson,51,0.44,116,51.0
117,T118,T117,C.T. Pan,64,0.441,102,45.0
118,T118,T117,Kevin Streelman,63,0.441,102,45.0
119,T120,T119,Anirban Lahiri,54,0.44299999999999995,115,51.0
120,T120,T119,Luke List,52,0.44299999999999995,106,47.0
121,T120,T119,Kyle Stanley,53,0.44299999999999995,70,31.0
122,123,T122,Billy Horschel,73,0.444,108,48.0
123,124,T77,Dominic Bozzelli,53,0.445,119,53.0
124,125,124,Sung Kang,67,0.446,130,58.0
125,T126,74,Dylan Frittelli,55,0.447,123,55.0
126,T126,125,Patrick Rodgers,44,0.447,94,42.0
127,128,126,Joel Dahmen,78,0.44799999999999995,154,69.0
128,T129,T112,Martin Laird,60,0.45,111,50.0
129,T129,129,D.A. Points,33,0.45,80,36.0
130,T131,T131,Matthew Fitzpatrick,42,0.452,62,28.0
131,T131,T127,Ben Silverman,54,0.452,104,47.0
132,T131,130,Hudson Swafford,59,0.452,126,57.0
133,T134,T137,John Chin,38,0.455,77,35.0
134,T134,T134,Jon Rahm,51,0.455,77,35.0
135,136,105,Johnson Wagner,45,0.456,68,31.0
136,T137,T137,Francesco Molinari,41,0.45799999999999996,59,27.0
137,T137,T143,Henrik Stenson,46,0.45799999999999996,72,33.0
138,T137,T127,Peter Uihlein,65,0.45799999999999996,118,54.0
139,140,108,Scott Langley,60,0.45899999999999996,135,62.0
140,141,T139,Jason Dufner,56,0.46,87,40.0
141,142,T134,Sam Saunders,53,0.462,117,54.0
142,143,133,Adam Schenk,80,0.46299999999999997,149,69.0
143,144,153,José de Jesús Rodríguez,51,0.46399999999999997,110,51.0
144,145,141,Beau Hossler,66,0.465,127,59.0
145,146,T164,Alex Noren,49,0.466,73,34.0
146,147,T143,Trey Mullinax,67,0.467,137,64.0
147,T148,T162,Harris English,72,0.469,130,61.0
148,T148,T143,Zach Johnson,50,0.469,113,53.0
149,150,T143,Byeong Hun An,54,0.47,100,47.0
150,T151,T139,Cameron Davis,54,0.47100000000000003,136,64.0
151,T151,155,Tom Hoge,70,0.47100000000000003,153,72.0
152,153,T164,J.B. Holmes,54,0.474,78,37.0
153,T154,T148,Stewart Cink,33,0.47600000000000003,42,20.0
154,T154,T143,Hank Lebioda,55,0.47600000000000003,126,60.0
155,156,158,Scott Brown,66,0.47700000000000004,149,71.0
156,T157,T164,Tyler Duncan,66,0.478,134,64.0
157,T157,T164,Sebastián Muñoz,58,0.478,115,55.0
158,159,142,Anders Albertson,48,0.479,94,45.0
159,160,T134,Ryan Palmer,56,0.48100000000000004,79,38.0
160,161,154,James Hahn,34,0.483,60,29.0
