,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Patrick Cantlay,49,0.5710000000000001,28,16.0
1,2,2,John Senden,39,0.579,19,11.0
2,3,3,Brian Stuard,76,0.593,54,32.0
3,4,4,Ryan Moore,54,0.611,36,22.0
4,5,T9,Wes Roach,45,0.613,31,19.0
5,6,5,Adam Scott,41,0.63,27,17.0
6,T7,6,Jim Furyk,53,0.636,33,21.0
7,T7,7,Billy Horschel,73,0.636,44,28.0
8,9,12,Denny McCarthy,63,0.638,58,37.0
9,10,8,Sung Kang,67,0.642,53,34.0
10,11,T9,Patrick Rodgers,44,0.643,42,27.0
11,12,11,Louis Oosthuizen,43,0.645,31,20.0
12,13,T13,Kevin Na,54,0.65,40,26.0
13,14,15,Justin Rose,42,0.6509999999999999,43,28.0
14,T15,T16,Justin Harding,31,0.667,15,10.0
15,T15,T13,Dustin Johnson,47,0.667,21,14.0
16,17,T16,Ben Silverman,54,0.682,44,30.0
17,18,20,Rod Pampling,40,0.6829999999999999,41,28.0
18,19,T16,Roberto Díaz,51,0.6859999999999999,35,24.0
19,20,21,Xander Schauffele,55,0.69,29,20.0
20,21,24,Patrick Reed,53,0.705,44,31.0
21,22,T25,Chez Reavie,67,0.711,38,27.0
22,23,23,Adam Hadwin,66,0.7140000000000001,49,35.0
23,T24,27,Ryan Armour,66,0.7170000000000001,53,38.0
24,T24,28,Charles Howell III,64,0.7170000000000001,53,38.0
25,26,29,Matt Jones,67,0.718,39,28.0
26,27,30,Tommy Fleetwood,43,0.72,25,18.0
27,T28,T31,Ernie Els,43,0.722,36,26.0
28,T28,T33,Joaquin Niemann,68,0.722,54,39.0
29,30,36,Kiradech Aphibarnrat,49,0.7390000000000001,46,34.0
30,31,37,Jhonattan Vegas,60,0.743,35,26.0
31,T32,T31,Scott Brown,66,0.7440000000000001,39,29.0
32,T32,T25,Kramer Hickok,59,0.7440000000000001,43,32.0
33,T34,T38,Alex Cejka,41,0.75,24,18.0
34,T34,T38,Lucas Glover,62,0.75,48,36.0
35,T34,22,David Hearn,41,0.75,28,21.0
36,T34,51,Zach Johnson,50,0.75,44,33.0
